,LSTM Train MAPE,LSTM Test MAPE,ED-LSTM Train MAPE,ED-LSTM Test MAPE,BD-LSTM Train MAPE,BD-LSTM Test MAPE,CNN Train MAPE,CNN Test MAPE,Conv-LSTM Train MAPE,Conv-LSTM Test MAPE,Transformer Train MAPE,Transformer Test MAPE
10,"[48.61096619086335, 43.003582032334364, 48.46531678423129, 45.04405101922656, 40.283900394894616]","[6.273979632129488, 8.198930797951794, 10.187668524380188, 11.065937468856815, 13.098657333179355]","[8.232435282332649, 8.274448087180863, 9.203138414857357, 9.972655808945076, 10.820894938435407]","[22.051422723990683, 21.75502617997335, 22.211436359253284, 22.824724327621677, 23.423140591847094]","[43.830739945827624, 26.209041379924177, 42.66764191202706, 49.33506894339018, 33.580072901274164]","[17.966907252793373, 23.561950395666017, 30.95705716658419, 28.33333337144943, 32.67742654932704]","[8.61413411426578, 13.211700128824516, 15.077835031471714, 19.404389650254572, 18.815450607872705]","[87.83967270422434, 89.85789475774702, 127.69067293523584, 167.6662209457768, 177.62410101076978]","[23.081585591399172, 21.41257486602292, 21.231211809324186, 31.629416001312578, 39.6337379832948]","[17.815128628414318, 118.77421078847217, 90.26751680269265, 47.42224655312368, 81.3061929800065]","[24.60346276988505, 24.8146473746979, 32.77113028794421, 30.737637037224726, 28.521021394504654]","[48.92689488710848, 50.86462962534159, 55.83983913945847, 58.28795123140499, 61.170451928420576]"
11,"[12.142730789368043, 8.60305913956385, 14.299408841730306, 9.620667377282551, 10.699980914817596]","[5.65266564690826, 7.285306514134195, 8.816169949257539, 11.129269400169061, 13.144410366359342]","[7.134851121130066, 7.5745096690084806, 8.541354560562478, 9.32126334866889, 10.170081732987454]","[21.782793908494092, 20.453258336515585, 20.344423046873047, 20.66300198271062, 21.024981391603387]","[13.520095087605153, 17.643909716450604, 25.942037738476003, 25.471326972757417, 38.92927497020588]","[17.065081119469426, 27.53930825104622, 31.844588987231752, 29.623201826691197, 34.39980779113173]","[9.641060204716865, 9.390902085094528, 9.778026570178646, 11.056213130007833, 12.130621004047896]","[100.09844776629298, 102.28830299788667, 144.46953487617142, 189.81169910687123, 201.17056966444898]","[27.83310353791623, 17.028200785909313, 11.135980299560378, 29.6163397712472, 38.70822025989902]","[34.19715093421438, 117.27130764606142, 80.73405498503595, 69.45824118381175, 97.96655317930234]","[27.52003815946634, 26.06099317230013, 26.9922085293424, 20.972075798192673, 20.80486209668317]","[37.119381008391954, 39.95766206587863, 42.926860943272054, 47.317576724304836, 48.27108646072404]"
12,"[8.39744959913847, 8.945032740713044, 9.979098050964389, 9.484319346990047, 15.261258054707127]","[5.8931674648912376, 7.191479425473396, 8.919806769529606, 11.067204817757744, 13.049090485740427]","[30.875265025375764, 28.805691910270266, 29.059108606375943, 29.402900537628213, 29.839447427904886]","[20.401138218072123, 19.50391584919298, 18.7171196890438, 18.44144351187113, 18.48856979994594]","[12.639016690641277, 10.45557164631151, 19.747239592541888, 22.783140725597008, 13.79878895147385]","[16.346961693670835, 22.658198516886902, 28.284656681450176, 25.548472510783387, 31.659063753086542]","[19.973338131031316, 18.120664630033527, 12.5260486452348, 18.445543413646995, 25.116145491799692]","[91.44306109426378, 95.07798336204411, 136.4823874682738, 181.46728307687277, 199.6815655200005]","[11.241252483798744, 20.86063824942358, 34.75783893252489, 32.844488974776255, 23.975912793235224]","[25.523948706255002, 100.86972294742644, 44.38517010978861, 56.79128605283533, 83.75909883738416]","[19.328362491128004, 18.010834435889777, 18.95542036855894, 19.356374543361056, 21.442529169858002]","[31.076022890724666, 32.75674329346664, 38.3059566483006, 45.3433266545712, 48.2390409659596]"
13,"[17.017080913912892, 12.822989435127354, 13.786349424905023, 20.73479263900131, 34.02229057987235]","[6.244060672856068, 8.061624363207507, 10.045534742857948, 11.587797840211714, 15.111724860059281]","[17.928563416225586, 21.254133764538803, 22.084734847213944, 22.536253039346064, 23.17709880992737]","[14.642975068930255, 15.196743291212933, 15.553702689229205, 16.335297291725293, 16.996657062381882]","[7.993720152579316, 26.49763475528258, 9.606814717784513, 20.15123668462521, 13.727337781705081]","[13.840267374531075, 19.08669948399776, 21.396903683141595, 20.106549357383162, 24.249008490955358]","[8.732070951144426, 16.4175858768461, 9.867489184923189, 13.881724876342918, 12.06747167167171]","[81.909713517772, 86.63938565134228, 124.70273343057086, 166.488143653326, 181.20291869631154]","[19.230975299993307, 14.829130837024932, 11.237183462842834, 12.8317563323455, 12.187677315062356]","[25.54431177184444, 112.45317446492378, 28.17508492825118, 62.31675985985253, 81.76342007209765]","[27.12974475294659, 25.901972550927187, 15.827400564246187, 20.319566126455747, 20.382627380989582]","[41.8872274605804, 44.55145013834561, 51.17253103608302, 55.47982511964828, 58.72018403806965]"
14,"[25.485707907317433, 29.747405080920814, 25.92411502905901, 19.15307580378479, 23.069081283569318]","[7.4562738238675, 9.831064361101632, 10.866693769418657, 11.783433715223994, 15.12229828904882]","[6.0558171501631275, 7.090406544595315, 8.04943054554396, 8.80095212430559, 9.672834622000138]","[13.910457576687326, 15.675216474975892, 16.164693998622354, 16.7321927949657, 17.280453002352775]","[19.26303906786544, 11.357881995217806, 8.808917130640511, 14.625516780242961, 12.187021036076723]","[11.838426106068987, 16.34371076866037, 20.230890863982236, 18.64688443764685, 22.869890059707707]","[14.323602295476338, 9.339099454328856, 10.148106417887337, 11.301648696441182, 12.187466162437593]","[70.57902672020892, 75.50944475645728, 110.80207420518711, 150.61896495410653, 167.0911110154361]","[8.508486222324649, 12.963130508862877, 8.869527586572099, 14.50185832417438, 15.21196448120103]","[33.95368494425421, 117.00168235795665, 30.624659701866292, 61.0284158538968, 86.35008126934645]","[17.741906072339084, 17.867039613261422, 17.780833996368354, 22.586540510213197, 22.938815333012688]","[46.74983454232317, 48.940847302686066, 50.516736365479396, 52.62874731515175, 52.63312981465712]"
15,"[18.277066570711415, 12.658830698991194, 15.77591228895979, 21.61418528029875, 22.685897082518245]","[8.308139509282281, 9.913667283438695, 10.900571818221714, 12.184921499820526, 14.507471526006407]","[9.730558865903651, 13.280211292531034, 13.854364131298217, 14.305820060770463, 14.93383617415528]","[13.75572934329147, 16.43790344665791, 17.19046459197213, 17.78061885984701, 18.224978758196446]","[49.67884428422856, 50.12544720527061, 29.210621510080596, 11.696510577771562, 12.274485929891405]","[11.487750497373266, 14.387496079895175, 19.38271828102652, 19.1792703672357, 21.026809855573518]","[14.453689816279638, 11.047466674363841, 10.07861216822359, 10.731185489871756, 18.077370321150692]","[74.85669098589311, 77.66875196379559, 116.21251533961289, 158.14775287561332, 174.53201365894765]","[11.656127094893753, 17.095174977998116, 8.20511840297662, 12.771869161592964, 11.205251291396339]","[46.71959702485635, 118.03188678257924, 33.457413989613, 65.19316045381447, 77.35096568357]","[16.672725495290017, 18.92819062874099, 16.02714771301753, 16.12046711926959, 16.61628336729126]","[49.484108831366235, 51.96002709482948, 55.819802868889134, 59.034547575095445, 59.2838716383141]"
16,"[8.174802764245275, 7.081456535339887, 12.763791567886942, 13.560742636253503, 9.591431828136193]","[10.460606085169385, 11.935628972396986, 13.147836306833852, 13.767796342377231, 14.081468243033857]","[6.018831251422596, 8.843591723973363, 9.46467432896559, 10.08816974261487, 10.833033880135261]","[14.101270716151895, 17.12272277644628, 17.95010316409641, 18.521169566370244, 18.956885874737363]","[5.972383429827383, 10.452547597169644, 29.24198564709756, 11.365178000271936, 18.465983250285127]","[11.359908689831375, 17.189733251257604, 20.71406333671483, 21.588835921427503, 21.887850449952055]","[8.404144844857885, 11.105755067034607, 10.32903041601437, 10.182162881955657, 13.21940736663063]","[65.60792736972411, 70.1728424883577, 102.29426156472708, 139.8349230244521, 154.9125155415458]","[16.084547361945244, 7.537970789347388, 8.23788108001235, 10.27155204017772, 9.68083738114786]","[47.8211500757645, 117.6032558980092, 32.544689302204546, 63.178347569198664, 72.19617414034381]","[19.460312845391243, 17.28920589669082, 15.458037790255139, 21.213235578748364, 16.158481298613946]","[34.2987300875471, 37.19643224956751, 42.6751859241085, 45.235122579505045, 43.24012189194732]"
17,"[9.585291978691854, 16.130169235833712, 7.963791689091976, 13.634605807385572, 9.770046281049003]","[20.12757871174553, 20.978485861330167, 20.231038214611782, 21.07768431914129, 19.731757208866615]","[16.1687219021475, 14.298756718461922, 14.924518677124865, 15.26371457292468, 15.680521749263379]","[16.20729980039651, 21.078641586062822, 22.07174431381572, 22.59061177794031, 22.980644859365036]","[9.727143079696237, 9.311363960571365, 12.451541226112766, 14.130805655223957, 28.4687177926765]","[11.241721362087443, 16.802190424069412, 19.942846822923258, 22.806950760513317, 21.520298780828785]","[37.67950388107441, 31.051588830202487, 28.02465800154326, 31.30664975787646, 45.99323935358786]","[44.879837927114494, 41.768180044422515, 56.759667047411114, 78.80481761109878, 89.57185494002252]","[15.075787047102834, 11.504543320201122, 23.12806437693126, 21.389097125354144, 9.439047121015458]","[46.25361104263705, 105.53389418858565, 33.7628472812946, 44.742511189323224, 59.40670045268739]","[24.542985815932855, 16.971797083566038, 13.977055988446505, 14.062562306322995, 15.933826686178174]","[26.636901469717493, 30.46986324597336, 39.41415001138945, 43.56710512573551, 43.862202613655604]"
18,"[16.152194252190686, 23.073100122968313, 19.042607326637487, 20.289808066382296, 19.884717180378093]","[26.069507026373184, 27.025315074286006, 26.036808693238722, 27.1000171899395, 25.94518190846805]","[13.274786340852835, 10.441378483929682, 10.849287133714068, 11.117111066062863, 11.556094284052962]","[36.46465833146522, 37.821859619136504, 38.43826327514739, 38.82909568274522, 39.07742967848644]","[46.697889525920566, 31.247777628428274, 52.12917663633009, 41.37594662041722, 64.95989028969056]","[12.3008306929683, 15.184518221750245, 22.5870843326698, 26.364038157664936, 25.676044137366556]","[54.565188642155405, 46.86709928190707, 43.62562701156411, 26.232289137263294, 29.270001925196897]","[39.10049000105686, 38.88854072363426, 54.360213531978395, 75.41972113392352, 86.29966364903898]","[7.854989024852767, 8.68515687484991, 10.468391029513318, 10.097444764483516, 11.370698695872981]","[47.73188845737227, 110.11811573054963, 32.46411707303124, 56.550546222844865, 64.13787346207198]","[14.216634253011124, 23.886429889260313, 20.511195428771632, 14.057179045747429, 17.51084572564099]","[35.31528507088278, 35.707989521794644, 41.13473726256197, 43.45505382518949, 41.640559123605655]"
19,"[13.870568094578356, 7.360295878017934, 16.21772677118885, 12.75189392046378, 9.492419098665918]","[36.48389910912723, 39.198375110114185, 37.23678236870149, 38.84683876170919, 38.38812656300982]","[8.150266844791943, 8.75156820212618, 9.472459901489074, 10.356345705328149, 11.308408283735377]","[26.013080733130252, 27.17648839774004, 27.74652246376591, 28.13488201729478, 28.387936348315197]","[10.329859645015006, 7.726923271128788, 33.21965260091401, 51.26985472271372, 58.723669498569485]","[10.97337876723357, 16.056492087749223, 21.6261119841326, 27.012647937291312, 24.840526271284862]","[8.729249686458719, 9.093509634329628, 18.303413825122266, 10.434684772163775, 16.28810371536572]","[36.96084733391008, 33.773595277500625, 40.387312148438326, 51.89521163522105, 59.23447403000219]","[8.115359217475412, 18.80821557117749, 10.614531802514911, 8.248285507727987, 8.612002538852966]","[48.424795578068355, 106.89549998179714, 33.214215710752704, 50.86897677561836, 65.31531246296197]","[20.551746240521638, 23.050515371271505, 21.752628453439176, 21.30145787892245, 22.331046941443475]","[42.98002996691197, 39.45580647196326, 32.87209169740372, 37.644676782058326, 37.25250132691963]"
20,"[13.71094806472652, 21.875830770278395, 19.081679793891684, 22.543154967868432, 21.64457280897241]","[39.635324000611085, 41.519836411659924, 40.70856556509274, 42.03922263610204, 42.61753020605129]","[7.620491983304108, 7.548176890913892, 8.243214206573759, 8.820854489364716, 9.606860572935311]","[15.130746739995402, 16.48366286582196, 17.108990345211296, 17.73528952758351, 18.248856823292815]","[24.44850708235318, 10.597513536286908, 32.66504656777124, 28.853758046480866, 11.982309091202247]","[10.738321933282172, 14.93438674113244, 21.222956240476957, 25.814057357669988, 23.400136691063317]","[9.528895313705595, 10.952691107174429, 15.361371755162528, 10.240134926938534, 11.921507400022255]","[41.02747666554365, 40.39871755211443, 45.954821731086646, 56.231639648397625, 64.70824267217296]","[11.057988434105134, 9.66473745536957, 8.824961801182399, 8.120783444413265, 9.263886454641078]","[48.07901694708504, 103.681989385096, 42.160830069267725, 40.463081647618814, 60.80156376299095]","[17.193089730093845, 16.537108653450314, 16.33916658123928, 15.314936063065424, 18.494413616212515]","[23.281433920538987, 26.413175773866136, 37.12403221291368, 38.83492811234343, 36.16595136986654]"
21,"[6.052181358934053, 10.305526479203644, 7.745768316375143, 9.064964724430439, 11.401278276994663]","[37.83945804169998, 40.97817805285061, 39.948026148916355, 41.27480681473636, 42.31910881828249]","[12.2788645851219, 15.015031880285957, 15.754866772481854, 16.414652453318315, 17.128768990676427]","[18.70940822953243, 19.136580992023756, 19.566652913186893, 20.100278310865956, 20.618457701499654]","[37.265034683743025, 31.938190309554916, 27.768216063552842, 26.761662761674266, 29.51428462000536]","[11.337563109762092, 14.339268875545633, 20.389641136361064, 24.370923525382874, 24.861597105296322]","[10.110501692797225, 10.95229257230876, 10.965654398478925, 11.648876083056187, 12.35390254572083]","[41.89908460414218, 43.116890690400844, 48.49016318000713, 57.60695724390258, 66.03618151680382]","[13.895093286777744, 10.669947975127881, 13.883880367430903, 18.953779565578603, 17.58949590884768]","[42.97782642246435, 85.91276162396039, 38.372675863207, 42.07886193907187, 51.17387916762877]","[16.407753532109844, 16.946128301264245, 18.610860865345867, 17.67636872673252, 18.025180013671985]","[39.81827300373109, 41.79579732025362, 47.22918628440274, 48.66459119262007, 46.99477727682272]"
22,"[12.09245169030813, 7.109341650954618, 7.998511801377571, 8.64624609697157, 13.157607202712887]","[30.159040088519507, 33.74278299841414, 34.382473980415085, 35.495653477239905, 36.00993919000874]","[12.162049245202319, 14.696009134526369, 15.27197799426242, 15.846204936464309, 16.473274236788523]","[19.38639221286725, 19.34255381371103, 19.590394243705546, 20.028874709803578, 20.45070433460966]","[18.497842785933333, 10.65092663489818, 22.565660784301848, 18.72798414711138, 30.319288910819754]","[12.576752369166933, 14.294549801271705, 19.08326076119819, 25.34481997121422, 29.30400697981932]","[13.701091659481577, 21.998675336555205, 13.536478635444146, 10.139912744995778, 22.510611685512398]","[44.14634044666506, 47.115764721442666, 53.30888369252694, 61.63674680948278, 72.15958216201581]","[6.540749528058798, 7.170444753785023, 10.343004588423845, 11.568505282777588, 10.431823378499242]","[38.30158138229695, 80.42377081160336, 41.64839466220711, 46.90100827905758, 46.57839143057822]","[24.195133070821722, 18.856527561057092, 31.40719835657693, 17.301778270948894, 16.607590155582155]","[31.260984041956448, 35.4589836417885, 44.36681688343733, 46.47264604294863, 44.74545130402788]"
23,"[9.289976517203357, 7.2887459812213065, 8.49901999506694, 9.802234414960118, 10.721898471659241]","[24.509945399781877, 27.29718245723603, 28.35048265976015, 29.434993815566628, 29.890342756936146]","[7.226957803190243, 9.015921302416107, 9.7230434060552, 10.382093975494055, 11.14752399687539]","[31.756423692110648, 31.02490558384037, 30.8295408219387, 31.041791778861704, 31.35808587764898]","[41.09191663599262, 36.06369507402477, 20.471899653623115, 21.04179995238699, 29.690917512533172]","[13.878140452945638, 14.5903405252439, 20.27695098677129, 29.62464356519018, 34.84315665635195]","[9.563207254309038, 10.113751974065783, 15.18662609253102, 12.115198633515684, 11.911906631429874]","[43.89308487943006, 50.604785684346574, 62.11580620227755, 75.55305726378309, 87.52083808695713]","[6.242084418865351, 9.891771665624967, 13.504114671079876, 14.150265336120512, 10.062066668496348]","[28.547982156750134, 63.13967123247358, 46.263777711692704, 55.4087180641988, 43.825428973168066]","[16.077339837530456, 14.804616825397302, 14.852882762344585, 15.569795749383038, 17.47331479936327]","[14.190388854054145, 21.75698166254993, 38.14281043310033, 38.87458660851371, 40.42289426892192]"
