,LSTM Train MAPE,LSTM Test MAPE,ED-LSTM Train MAPE,ED-LSTM Test MAPE,BD-LSTM Train MAPE,BD-LSTM Test MAPE,CNN Train MAPE,CNN Test MAPE,Conv-LSTM Train MAPE,Conv-LSTM Test MAPE,Transformer Train MAPE,Transformer Test MAPE
0,"[72.53542698047158, 36.61297654974588, 64.24931300882581, 14.279459179649697, 34.711928259713346]","[10.087251227149864, 8.658261684102042, 10.296633284080919, 9.038302515060554, 10.115937909105629]","[51.27112911890694, 50.17506220688439, 46.09111996412293, 47.73593183654512, 46.59747534822697]","[6.773185648428055, 7.974788370959376, 8.767356201458496, 9.887302569085708, 10.728309548739244]","[6.716438984223674, 7.828011161669793, 38.51323157865152, 19.396731551188342, 51.16525719378444]","[4.748115310488168, 6.107881314946818, 8.427437828692305, 8.901750100714738, 9.668568313093395]","[19.814139828461926, 15.148155301311784, 13.475311268671902, 16.10369409151629, 14.130519667258776]","[15.666071835473286, 16.132378050983363, 13.614188145119599, 11.920338594974938, 14.89309493296284]","[20.84620000326145, 17.717407691721025, 27.311824392407352, 13.684017936628715, 19.516252923235175]","[8.910231665277127, 9.960154195933837, 11.122737185990628, 11.244205476237543, 11.562786627193965]","[139.83711555559864, 61.425509839216154, 32.690334985028066, 43.21903152525359, 49.501963565975736]","[35.93896549895902, 48.2188625807012, 48.013205465031014, 52.01643330280946, 47.085900063780336]"
1,"[48.42448684815492, 47.269205124825675, 50.293949676219874, 58.48216728804408, 65.57744627625563]","[8.078998175109724, 10.392927861838325, 12.939571234419606, 13.315156974391618, 14.31936783105032]","[21.26013895658147, 31.865461797911117, 30.240494736099123, 31.80370898765649, 33.84830638805297]","[6.575313340973664, 7.058777576381499, 8.078904540125448, 9.043340260576826, 9.903150162726117]","[53.747706515798534, 10.9739411556368, 19.900011367924446, 32.29538765970101, 16.22589595112077]","[7.603450992298829, 6.196242197352396, 7.376548054372402, 8.65378527766585, 9.612807057616847]","[15.034110250489121, 20.992652019440662, 23.516030754325822, 28.679576569773285, 42.035047932672676]","[33.34816877606103, 33.38925628384018, 36.08104794493961, 36.31034394094925, 33.05745599481714]","[15.888020572545864, 23.825427769803813, 12.744465669149815, 14.921428837887637, 13.52135178821289]","[17.382497760549658, 16.87420962350536, 15.994699385808971, 13.54244468078894, 14.513847954377113]","[124.30556925558069, 119.15712787458214, 31.724392364039357, 58.97447535732707, 116.79654983402186]","[32.730078298826285, 23.848486530369872, 22.96364858866658, 24.84796123440412, 30.258665037140975]"
2,"[20.232425796256873, 20.524185586944867, 47.198537591501776, 49.72435606627313, 39.53958803535724]","[5.472842130968712, 9.8168049394221, 12.81204599682471, 13.72863182169564, 13.176050574990134]","[20.22844947474495, 24.312066270807232, 28.577508939020984, 23.880165723987908, 21.01844206918699]","[9.747923579518988, 11.989821328119373, 11.778052116916431, 12.439567463400095, 12.780503035305568]","[82.35424232368739, 112.86052304967245, 127.51540751697692, 111.87892646183832, 46.57954528048276]","[5.220263290368613, 7.913204992965187, 10.21831673987527, 10.239828756696763, 9.77860265877699]","[13.385709988875785, 27.2952378829177, 28.276200682310836, 25.219446737286187, 26.905440788493834]","[53.284444909029375, 57.782987032905034, 59.693506163094824, 64.55530133353639, 64.6625266831704]","[13.625492444023548, 29.105816088981957, 20.298417257365514, 23.639953281576563, 22.319313910775676]","[17.572327273207332, 16.85994059284157, 16.58353905224878, 15.582233779390087, 14.066491795141673]","[26.542975587065783, 18.5478868113124, 24.746471782684342, 21.451694935487563, 23.147876287864307]","[34.31968087618492, 35.86588878159592, 40.154250794760515, 39.1496597176718, 38.98167832911537]"
3,"[75.63778387861846, 83.32128079309086, 64.09074979713004, 56.77953388151087, 62.85965132193938]","[10.065993155294858, 13.314888140127293, 13.336389501246613, 12.566202701026402, 13.45712218564829]","[24.018538498351948, 31.24350480546739, 29.451682981609483, 30.244622231055867, 31.125594656988635]","[6.9322784034408516, 10.299818780599754, 10.766938557829492, 11.773989737444113, 12.481289302627992]","[22.20309185603014, 16.695112072576794, 46.928815977741515, 37.28099074743161, 34.879536652431185]","[7.740800088751527, 7.737813702691061, 9.964370129344205, 10.888560203122562, 11.482972602952263]","[12.073771189521056, 10.81384311907717, 16.721251182138555, 19.32187458270124, 13.932565823593837]","[111.6936852626964, 119.37230074848999, 134.01763975591737, 162.22468740752427, 163.0815643943682]","[10.165341359221276, 16.22631576981849, 15.42002625782874, 18.219167384154165, 28.597115170107646]","[25.029958965268783, 22.186894980489026, 10.63962919681912, 16.776260306229194, 13.710990550575666]","[44.69630499762083, 20.11882694391361, 22.428012077789646, 35.497517766529434, 21.883208500195252]","[39.710316982866736, 44.07112848565497, 46.84555705873017, 51.068937348679974, 50.87718831223117]"
4,"[65.59218100746786, 43.875595109026285, 50.2096812984931, 45.30948263372267, 56.077394167746185]","[8.730642835129986, 7.968008255788887, 8.91014200839598, 9.902884885007008, 10.834416618665447]","[9.237877499675847, 10.223849864481318, 10.443083615088641, 11.390692029139007, 12.311734758457526]","[8.345007783558827, 10.767427771509832, 11.374482076428768, 12.26163504842316, 13.027923804978478]","[9.700955982609637, 18.20354723909613, 28.25339426947519, 27.185037708636866, 20.01791030089987]","[9.485711358036252, 10.22615405289629, 14.541397050939953, 13.377262044260767, 14.055351134890742]","[11.523306682435292, 11.47352506936473, 18.371340557832248, 19.349667449777126, 17.2179366228223]","[156.5962817935055, 165.07821741867923, 186.66022404656516, 233.31389998153958, 237.6179721887793]","[16.992834936146547, 8.091729488929435, 10.451704325949942, 12.334007030580354, 9.607699268124307]","[24.3400927650631, 20.14030977851429, 12.00592545825305, 15.875929891681167, 15.102714347204122]","[18.517798023972517, 24.3748100957264, 18.52038420218875, 18.542626530727244, 18.942245253186886]","[55.71373811716015, 57.01003602584185, 60.523943027555525, 63.32634781472937, 63.80456744483772]"
5,"[21.659270371453136, 20.037306718320266, 14.954487337289105, 26.452484610621337, 19.692615896386993]","[6.432789184859384, 8.91659343866807, 11.38925799922266, 13.801655022015, 12.626142681054928]","[28.971172969048016, 30.03675370119571, 30.00412271587537, 30.531134773062995, 31.04688311920277]","[12.911465058389357, 14.541613822348781, 15.055326839203897, 15.88729656107099, 16.67579875390445]","[25.60599918799373, 16.371769247649077, 20.01961816069438, 20.785700204083636, 30.968582215595003]","[9.962097008041653, 12.013825227354962, 16.930033048448884, 16.36718984975845, 16.687452220334283]","[14.963587863590103, 17.71212583635187, 26.954177004238478, 35.11023712243927, 39.392135367430704]","[160.8344176493944, 156.36351029968884, 193.87407599663712, 249.5369209433244, 250.12105875999336]","[17.01766520104138, 13.246673059817555, 12.751820184338374, 20.568014295990107, 23.506071741581447]","[18.53379559680054, 18.831913898080828, 16.227919788019765, 16.408381625042953, 17.560799174639392]","[15.730919851133166, 17.452647840655438, 17.782968266247927, 19.114482854364145, 17.58014773787559]","[51.07951831949181, 54.08424197887256, 55.11762066927087, 57.32043394575893, 60.10057229446528]"
6,"[23.839767717361596, 9.847321552562873, 11.243676579531122, 10.757943871279435, 11.301681964999043]","[5.58440651320862, 7.298244975847486, 8.986431244520485, 11.67368647318228, 10.913435782549842]","[29.189088661505195, 30.07467310797709, 30.920737566328093, 31.436007815217557, 32.01149463226577]","[11.21065395584303, 13.31287187000819, 14.198668557342527, 15.088721129132548, 15.970808694131748]","[15.678920929905885, 19.897946970054342, 12.754739348708272, 11.848242475546131, 36.952656071367755]","[16.601752145131808, 18.549115859190866, 25.24509353637303, 22.359089458678802, 24.527492741313583]","[15.510051791486607, 18.075689789213488, 11.050906402669822, 12.265965205628913, 12.691871270439528]","[137.54269674089517, 137.33062768382095, 187.82259373312277, 256.61639011853003, 272.0588132125138]","[9.32364029541229, 8.903241138003615, 10.53559211723161, 12.044828512015398, 16.17582801193787]","[19.717708768130045, 49.51562794677199, 21.6524059325851, 16.82523408703834, 28.206814005114744]","[16.63991753383514, 17.33213861285368, 17.311761105020178, 17.399526611918162, 17.60392905821362]","[45.73699342179268, 49.73336619793759, 53.60477320867773, 55.84009869984741, 58.80754939937361]"
7,"[30.024277775351226, 37.10626673926803, 27.112275734519077, 19.977674049307435, 30.183771816774524]","[7.223316592327028, 8.585433942695195, 9.200748104580436, 11.26592054056182, 10.665648436949501]","[8.059756399805117, 8.784522905771357, 9.659702236648082, 10.369526351445995, 11.155040074221017]","[15.893976906938617, 17.15162692681609, 17.888863688458052, 18.72806456141867, 19.535594987582407]","[20.379018419854162, 11.41795894812043, 28.19598331518729, 17.039225630690495, 34.36921337977814]","[15.315383752300571, 20.86458284954572, 25.72675489577161, 22.697325898346847, 22.651366042732754]","[10.562173696030193, 9.097601855318787, 11.036825613006117, 12.350922338217147, 19.209123881222876]","[117.40124089482732, 118.44850420256452, 168.32816665479382, 229.18856805184973, 249.4786416911469]","[10.854620585689851, 14.468185674764076, 26.95039898765708, 33.36685198950021, 23.228536569660807]","[14.205028969291652, 83.94718829275682, 32.81830836772722, 24.85396839947408, 55.81947179847779]","[38.98467268844646, 30.69212352089133, 35.89469728107456, 37.72496485185407, 33.674929625040434]","[49.73655356607027, 52.40290402644722, 55.919519719420386, 58.449204237535845, 60.464189681782145]"
8,"[12.953351460856656, 9.68174618150651, 9.69350538404052, 10.234443983230719, 12.032248789305934]","[6.091855270552384, 7.812640935171908, 9.734976695371039, 10.779702913118596, 13.541089193251398]","[22.489316140417415, 24.187890774878632, 24.764973090452234, 25.206419828074765, 25.788445068876513]","[17.76200259667671, 18.46812697732817, 19.228868497953446, 20.055918893285693, 20.818939486007395]","[18.27068164025141, 11.392660072962288, 11.279882901660073, 17.708908928341877, 16.022179524750342]","[12.731233190051391, 20.314410596342842, 26.839991000199714, 25.336172798182304, 28.462824722912284]","[11.32885062631597, 15.364395443946274, 21.74939982871745, 25.927882236342814, 34.49709164550366]","[104.67433105566622, 105.0388052917911, 147.17440389144352, 197.2273946199772, 207.63339287823234]","[15.109803918507064, 12.383518710526985, 13.960226885160909, 13.414937109906317, 14.365549887659022]","[21.322843115122208, 161.60544394131063, 113.3095321851785, 44.64545442430857, 138.52157615239412]","[19.177297079931027, 22.435645668091606, 20.157251818149277, 20.82687873302503, 18.353564609608572]","[45.61138536785512, 48.91191548456202, 52.98110835850306, 53.986187343987304, 55.15202412645227]"
9,"[9.30377750501127, 9.032713713735909, 9.766007136125436, 13.246170648062137, 11.647698561682537]","[8.043312679608388, 8.871934534852974, 9.13380090380453, 10.87565202207514, 11.092004689185439]","[11.750064172982114, 11.17588011831998, 11.966591292512812, 12.670008265091345, 13.481951648722253]","[22.47991916451035, 22.56597653566968, 23.13015287288373, 23.758283349750357, 24.375232048046357]","[13.811246789835302, 26.494158688333624, 15.874222137528587, 23.75028625707569, 23.818014613460328]","[12.543704416025845, 23.028540851160543, 29.703436414815513, 26.332573371336682, 30.322100086746538]","[14.081193204774161, 12.435252533266855, 11.269826364982762, 11.565054537486766, 13.011311892954176]","[64.05021533498368, 66.94071893573965, 96.80600447225297, 130.72074068536588, 136.31403516923893]","[40.51204007627649, 40.50703277198354, 42.038734032507335, 26.26951267445314, 19.15683674357961]","[24.62741438221311, 156.57683756435102, 136.00443234341196, 81.4817301851606, 131.92581092971457]","[18.21575653241348, 19.909094912222848, 16.622684801076595, 19.404198007954797, 21.179775067146448]","[43.581651941389175, 49.71692820624525, 56.26000287825397, 58.83311392439441, 60.575771043789395]"
