,LSTM Train MINMAX RMSE,LSTM Test MINMAX RMSE,ED LSTM Train MINMAX RMSE,ED LSTM Test MINMAX RMSE,BD LSTM Train MINMAX RMSE,BD LSTM Test MINMAX RMSE,CNN Train MINMAX RMSE,CNN Test MINMAX RMSE,Covn-LSTM Train MINMAX RMSE,Covn-LSTM Test MINMAX RMSE,Transformer Train MINMAX RMSE,Transformer Test MINMAX RMSE
20,"[0.006990209813425545, 0.00827626448227403, 0.008833567278341429, 0.009305217418830463, 0.010239961791199037]","[0.06162059252407447, 0.07698143398401308, 0.09384975771420517, 0.09069685171242685, 0.0982493830745007]","[0.010856203953345682, 0.01112960676303221, 0.012509090254204469, 0.012077260270787062, 0.013451346142970647]","[0.1220874459835409, 0.13007850665424123, 0.1387913887060037, 0.0793102581355443, 0.08567243754697369]","[0.012483379335568033, 0.014392258611031094, 0.016063840005597716, 0.018136574781819723, 0.02157822927747609]","[0.11483180430806599, 0.1528131584639801, 0.34320384867502035, 0.4355890856333682, 0.3999498567658674]","[0.01912430805100681, 0.012562273213431384, 0.013578396160636661, 0.017318905289237026, 0.019299460568054826]","[0.5894186547420334, 0.5221594056881522, 0.5379107758482465, 0.5939185469611272, 0.6261169113619882]","[0.006779132296096813, 0.007026796863224379, 0.008156432082894478, 0.00802996369363722, 0.00887298421483491]","[0.05978910668550358, 0.08564603214337257, 0.08232337385529277, 0.09024115106245788, 0.10581081321864928]","[0.00862370889071456, 0.00857431988694909, 0.009463994980007075, 0.009806886252915285, 0.009517851431829944]","[0.12822326000003892, 0.14156599434040598, 0.155880785931201, 0.15973925990223115, 0.11192228882171004]"
21,"[0.0076396136373537565, 0.007955821103312869, 0.00869023289708302, 0.009316991172500596, 0.010473870491452115]","[0.062455763969014366, 0.07640129307414323, 0.09067245737642517, 0.089536925601156, 0.10247222388874254]","[0.009367946053139705, 0.010062355620212238, 0.011171513243242974, 0.011284319057587854, 0.012246840935121843]","[0.1366737019334437, 0.13793589613992305, 0.1251530977252132, 0.0787030799933618, 0.0832724611565963]","[0.011691505873108129, 0.014332286599851808, 0.01620921599357169, 0.017945843878908737, 0.02132033933334577]","[0.12184163475037392, 0.1924672968704708, 0.36156758699744523, 0.4441826865215873, 0.41991148433142517]","[0.016285991551088834, 0.013694119933574228, 0.014381540557490963, 0.017926306539926693, 0.023990724983077454]","[0.5940874450918799, 0.5373582739016205, 0.5358612185098859, 0.5732852301394965, 0.6044730188377012]","[0.00726662665147136, 0.007110943485950147, 0.00750214562240591, 0.007949204119281824, 0.008637374254414106]","[0.05896761454394183, 0.07190866893163497, 0.08510404267915436, 0.09012531074689113, 0.09268623160720998]","[0.00949251030528932, 0.009428617723923258, 0.009714560523322186, 0.010226691475489005, 0.01104264444720194]","[0.14838176152470323, 0.15397988102730403, 0.1899602018871069, 0.20282569103466028, 0.18151841619178852]"
22,"[0.006710228263404505, 0.00772463503367857, 0.008422742853198027, 0.00904704474151838, 0.009780466884136878]","[0.06242819869781495, 0.07299130046491904, 0.08650976344996554, 0.08446247964829448, 0.0884796970348227]","[0.01036588198350946, 0.010548872657844387, 0.011401328984723496, 0.011918378910800106, 0.012777059037735333]","[0.11075671141639395, 0.11569668505137295, 0.1078015103731048, 0.08159970052542224, 0.09006959702473831]","[0.011718274514508955, 0.01418387569621987, 0.01604417333378674, 0.017803089853151797, 0.020649006090527635]","[0.11620048793012126, 0.19384474078552924, 0.38345811804662516, 0.46088058593762654, 0.4441105193037413]","[0.01832036413675759, 0.014358990979820381, 0.01602238640841173, 0.01879813477419529, 0.018719860632627008]","[0.5593225109606642, 0.5119295535128887, 0.5040189937982574, 0.5219969359096428, 0.5552934474635736]","[0.006595795102378688, 0.007270049784124852, 0.007558113108928615, 0.008062964976650263, 0.008817327586845548]","[0.06298909828659367, 0.07184080779010348, 0.09403871204400985, 0.09247536899190717, 0.09653421654743649]","[0.006746812285514287, 0.006998884175082573, 0.007634320737713444, 0.00789148253903615, 0.007933128096942658]","[0.1543422851105301, 0.1498215995995515, 0.17194265023892316, 0.19727655489044843, 0.1513945554084249]"
23,"[0.0065345713140023, 0.00788350250635951, 0.008298354128547805, 0.008973406118077386, 0.009627953122928128]","[0.06459108866450985, 0.06947333047893929, 0.08291807091523193, 0.08351783448328981, 0.08821308647922792]","[0.01055207859826158, 0.010364357848197064, 0.011474193126013643, 0.011357319319320791, 0.012040611084327904]","[0.13546669020232305, 0.15041291143285335, 0.10317183692472429, 0.08557859870325363, 0.09217832737691456]","[0.011639368281118093, 0.01418269171454151, 0.015923621041963033, 0.017848998256526975, 0.01999661668593615]","[0.12750702054322804, 0.23022511169607918, 0.4162168210424471, 0.47474411291800295, 0.47597085187999777]","[0.01476737459653623, 0.012477325586144693, 0.01261752790067224, 0.012910638379829654, 0.01544030989647304]","[0.5859198116464004, 0.5680819626502547, 0.5777468848012202, 0.596771543642017, 0.6170271316109156]","[0.006696165664898061, 0.007131070270580634, 0.008013641835064209, 0.008745750676017593, 0.009135046589920273]","[0.08572953507590401, 0.08008571998033434, 0.11046912719680277, 0.10918857536739571, 0.1310346301595523]","[0.010969287150260553, 0.010540144345560573, 0.009700530302264698, 0.011968189398404753, 0.01066508373986844]","[0.14768453293256123, 0.13967185736364282, 0.15397237352850562, 0.1149166863644767, 0.12389789319646814]"
24,"[0.005952592538144046, 0.006985161172963095, 0.007687100277292285, 0.008294305728172593, 0.008877986184265453]","[0.06390586020142545, 0.06825899971458455, 0.08380864888173346, 0.08561309422179383, 0.08584820648490524]","[0.008822669961431051, 0.00924940793306171, 0.010203169135747477, 0.010408512722224128, 0.011510510272179461]","[0.1335374597228876, 0.15425381423214987, 0.14890076612033096, 0.08949113925791868, 0.09324559107370035]","[0.011142332975155746, 0.014266826682826458, 0.015971319502960844, 0.017935918359104037, 0.020167202162229732]","[0.11973446142705355, 0.23669038903388298, 0.39100805267341765, 0.45948292037428856, 0.4623621534487626]","[0.017469983808003936, 0.012975988035062705, 0.013680580111317881, 0.014149264183631475, 0.01594026068219251]","[0.5820943363630489, 0.5930096247062691, 0.5986075670592, 0.6120378084932518, 0.6245284912433557]","[0.006561441326134428, 0.007264911874950512, 0.007468744862426018, 0.007739847502844709, 0.008500479618780778]","[0.11870445280503807, 0.10649703090320511, 0.13613672174954944, 0.13114812284724897, 0.14771041101999716]","[0.007730354811273814, 0.009049930329482904, 0.00951467281978004, 0.010019622394468984, 0.009307005136529094]","[0.13960953869753742, 0.15493306936847906, 0.1597834234482686, 0.10874931545463207, 0.12353318756688929]"
25,"[0.005841983903999509, 0.007057701988935731, 0.007627227938535654, 0.008136060656386352, 0.008692821030617979]","[0.06271992938663733, 0.06900932587616898, 0.08652653765926378, 0.08288572424934297, 0.08567262339508325]","[0.008780454624048925, 0.0099133836703449, 0.010111602833708738, 0.010163640670769207, 0.011078113852231059]","[0.13833809025672006, 0.15725002484863063, 0.13011335523383594, 0.08715088896408325, 0.09273886550445148]","[0.011052899243541857, 0.013883164253710069, 0.015487877503793475, 0.017186166804176665, 0.019180193264893605]","[0.11276494112979303, 0.22458121505768158, 0.40495454292308586, 0.4584487503004074, 0.4661278042216811]","[0.01500287471328573, 0.011662270931358772, 0.012354446974734241, 0.012770488964102667, 0.014504598742371607]","[0.5918175654542154, 0.6025959476091309, 0.6045238606218859, 0.615180889897277, 0.6256748649128081]","[0.006814810885368933, 0.007164205951736381, 0.007990154814240891, 0.00806539376089309, 0.008884045811266113]","[0.1400300187265218, 0.12910844168081043, 0.15736777815894828, 0.14930397854142458, 0.16035732483075477]","[0.008385508042428536, 0.008083972681499223, 0.008831989983826706, 0.007942831753469486, 0.008365217258094193]","[0.13686765034642434, 0.15804988948650733, 0.14702873393555174, 0.1382353015929314, 0.14002499874284902]"
26,"[0.010001589740756704, 0.011830010972756674, 0.013637019828879823, 0.017875759406192914, 0.023357046879954428]","[0.058421345676494894, 0.07264845913123469, 0.08288958212628011, 0.07769721405300324, 0.08352679564539696]","[0.008669246667320567, 0.009980210252485449, 0.011427878862569869, 0.011446029594707387, 0.011954345961760742]","[0.13893236510436732, 0.15877597396523443, 0.14875422296035418, 0.08661646786388869, 0.09170818166075291]","[0.010970166082884964, 0.013535900005517774, 0.015291852994184283, 0.0168390943823587, 0.018892810239117565]","[0.12335881245960181, 0.25433102146338865, 0.39739155204394555, 0.4376449212988268, 0.45406397921560576]","[0.013241756981117521, 0.011559540028110386, 0.012394291455539795, 0.012459171090952985, 0.013950202261707567]","[0.5887386415543728, 0.5864124641330589, 0.573679201094066, 0.5796499577732676, 0.5955050995466239]","[0.006282447226995058, 0.006622989545225025, 0.0074658876431553094, 0.007812718270876484, 0.008091048865318057]","[0.12683167735375867, 0.11947623259144637, 0.1543350308583617, 0.14014935113121443, 0.15051002321481072]","[0.011004035485204317, 0.012161829206691338, 0.011502149644410445, 0.013047620485394835, 0.013101604435087259]","[0.14848448102431316, 0.16483705862149928, 0.16361953490413222, 0.12198604543894584, 0.12396583278920471]"
27,"[0.0056696530962936755, 0.006668382518654671, 0.007326402201047526, 0.007905000521452571, 0.00835605958734273]","[0.06161580969142869, 0.073115423115685, 0.08265077578968628, 0.08392119867363004, 0.08451648331380061]","[0.0076558017932311425, 0.008770270072651121, 0.009493116132212966, 0.010658219259386275, 0.010665920909982158]","[0.13773893440560595, 0.15896202759228886, 0.16841851317727832, 0.08734533644348118, 0.0907775082139343]","[0.011477874867686557, 0.01340305971123179, 0.014938309708676918, 0.016847635005561953, 0.019170241769629354]","[0.1151057161815594, 0.3126205752419977, 0.42100762073589465, 0.43548549692975563, 0.44121631945501255]","[0.01468932602216539, 0.015001913897617243, 0.017802663546269457, 0.021321139711202086, 0.024331398242829906]","[0.5597420662001351, 0.6031091097432829, 0.6469653822582742, 0.6712694256784745, 0.6825034618142175]","[0.006268337736307679, 0.006671611524665767, 0.007183322450110019, 0.007476164841130483, 0.007842666306250457]","[0.12701727223254528, 0.11342753285708836, 0.15843519995257602, 0.12321301434000331, 0.12389665639781852]","[0.007111379538591816, 0.007277008532767768, 0.007469315294904622, 0.0069169719494533745, 0.007547907343483455]","[0.0999835308503569, 0.12678790678320243, 0.15129135376269354, 0.1456213987605788, 0.14985914093773475]"
28,"[0.005991872226708703, 0.006575017992546848, 0.00726570729369982, 0.007788375298327641, 0.008329757584915607]","[0.059876364183201046, 0.07602967128500629, 0.08145736881865873, 0.08192504201471536, 0.08591070482788987]","[0.007320193978494628, 0.008003704234410196, 0.008760714303042915, 0.009400432539098115, 0.010121783517206159]","[0.14010171373372643, 0.15328155400613694, 0.17448645095710882, 0.08104803381587301, 0.08468315354207194]","[0.010658677964075616, 0.013495344716952757, 0.01496380199477716, 0.016651870548754492, 0.018957710529919562]","[0.10694571259040252, 0.29785476466457633, 0.38421867128434334, 0.40550255076672614, 0.41530681659660673]","[0.01287720487788909, 0.011162757618125432, 0.012830718867760188, 0.014700067733991486, 0.013434756601601297]","[0.5515913732865599, 0.581041123345454, 0.5599527717993501, 0.571935277923845, 0.5800110735529438]","[0.006584375634551293, 0.0067371756841432704, 0.007276886211154728, 0.007563210926343515, 0.007845800261678611]","[0.09545580176185212, 0.09822147964522036, 0.15147479959805504, 0.1097427681617051, 0.13190695138318118]","[0.007194230897534372, 0.007108209005795431, 0.007489853780323022, 0.007555787417084265, 0.008086403273418776]","[0.11072299648952956, 0.14350444936019027, 0.1517142941205361, 0.148631089528523, 0.14275485605905028]"
29,"[0.009867335118226633, 0.011134261982295566, 0.012729864722848152, 0.017162581702372948, 0.015708436641525513]","[0.06046131657162511, 0.07700811040388424, 0.07186898922350915, 0.08822202103416327, 0.08640214415115033]","[0.007043401221215206, 0.007710958738301794, 0.008565244704305947, 0.00913774828547027, 0.009819709904008364]","[0.13739683041099363, 0.1457777823919845, 0.16858921219365028, 0.08170731483321042, 0.08664130688286288]","[0.0114202538684784, 0.013249408390901126, 0.014660171112363335, 0.016022525080183925, 0.017717677932252995]","[0.10798646764203115, 0.25907094755391624, 0.36550410044320075, 0.40162255186699025, 0.4022207009888628]","[0.01507690275073353, 0.015228587182160871, 0.019190424684143306, 0.022503079941704897, 0.026732197726677877]","[0.5282286961178588, 0.5880279398306401, 0.6109109834727989, 0.632740381813468, 0.6537927393028871]","[0.00637837139541281, 0.006632331896253842, 0.0071352847071435846, 0.007535240451982954, 0.008587297524635643]","[0.08262907734881313, 0.0841473323531683, 0.16022797760133425, 0.11094630342697194, 0.12811478747585647]","[0.007876131953808615, 0.008143326037817485, 0.009249620138821784, 0.009322174750461107, 0.00968072756519385]","[0.1223151085066567, 0.14248262984094542, 0.15422686731861884, 0.15786062543106819, 0.15305365991011488]"
