,LSTM Train MINMAX RMSE,LSTM Test MINMAX RMSE,ED LSTM Train MINMAX RMSE,ED LSTM Test MINMAX RMSE,BD LSTM Train MINMAX RMSE,BD LSTM Test MINMAX RMSE,CNN Train MINMAX RMSE,CNN Test MINMAX RMSE,Covn-LSTM Train MINMAX RMSE,Covn-LSTM Test MINMAX RMSE,Transformer Train MINMAX RMSE,Transformer Test MINMAX RMSE
10,"[0.011199795981564986, 0.015127140426196216, 0.015484448120905762, 0.017939605125522937, 0.02174830257450444]","[0.08346557051105247, 0.1222918397315288, 0.12747443710905773, 0.08456385218098719, 0.0816050327580269]","[0.01652639537684839, 0.014859488147811952, 0.01575645119726383, 0.016456638276278385, 0.018448589151486155]","[0.0932297458612051, 0.12894595605764544, 0.08531781575207427, 0.08245117957506734, 0.08811876272291526]","[0.017486894010537688, 0.019655333595292698, 0.022455508676058458, 0.02477930104338765, 0.02722143601080095]","[0.07626730520702374, 0.13470195742253088, 0.17522227973427426, 0.17645705277683565, 0.1810397937534298]","[0.015745507903114308, 0.012663449623936004, 0.013204018352109395, 0.013374099687833116, 0.015166177731303292]","[0.45633841291222965, 0.42835748341833046, 0.4616606819872845, 0.4826729542567716, 0.48618786209221304]","[0.008853712852476292, 0.011915658495930861, 0.01196481274846611, 0.01313775791963985, 0.01761503855360418]","[0.06581409510754191, 0.3022414424279529, 0.2337070249483637, 0.15546357073775652, 0.30903145583114605]","[0.010071536072188194, 0.012096901596684896, 0.01059060770441114, 0.012114981428361989, 0.012173569903881323]","[0.1522965094937571, 0.16768077439214082, 0.19097363491868793, 0.19438733901608513, 0.1905935453881713]"
11,"[0.010516132589443724, 0.012844521402110865, 0.014364800454589335, 0.014803954552848107, 0.016419722000329793]","[0.07882915024642963, 0.10834145754146267, 0.11031347597106626, 0.09090718613680444, 0.09014267720476486]","[0.01416356659488867, 0.015251643882870182, 0.015823601322706923, 0.01648887260446575, 0.017651648336404594]","[0.0921753640598311, 0.13130584623574482, 0.08580424935753349, 0.0804480562658647, 0.08690526387210118]","[0.015668594305087203, 0.017564187901869772, 0.020032930997253052, 0.023664831595730604, 0.026913365387906035]","[0.0915529908067064, 0.15934619534779193, 0.19418679031375272, 0.1782809887421052, 0.19205793499476448]","[0.013343116439634463, 0.012146095954147229, 0.013491758835673497, 0.015861375203860953, 0.017613599414878063]","[0.4406384594389163, 0.41853583343816425, 0.45062041466815855, 0.4700904759441508, 0.47137620766286875]","[0.012313834076584377, 0.014646988723562097, 0.019134411618450087, 0.022156098346661362, 0.02618263731509427]","[0.05588241997882368, 0.22233605380802782, 0.1588890053293016, 0.13708904774610187, 0.31898534295758774]","[0.01407953896955051, 0.01519222463581551, 0.015839205102658932, 0.018358762834141146, 0.020446799830296812]","[0.1868246030412044, 0.19291579519835697, 0.20997981641802047, 0.21372687312373997, 0.21137520395080175]"
12,"[0.01098746822446095, 0.012363369534772677, 0.013822174849835143, 0.015447152956720719, 0.017448945903833335]","[0.06514297723935226, 0.08944570226367783, 0.10116424040220856, 0.09530961363682838, 0.0882495962553277]","[0.016164121582094702, 0.01439409402828386, 0.015539378456273192, 0.016196718184556494, 0.01799299490153113]","[0.10861932088039584, 0.14242939474454885, 0.09618400612684684, 0.07997187401012751, 0.08442633163665961]","[0.015476842216465165, 0.016899738659520765, 0.01932661398534907, 0.022987605770927667, 0.0257448700145245]","[0.09651978585852584, 0.1701504026563493, 0.24734930194009386, 0.2160617085218256, 0.24567954334957892]","[0.014660775870438132, 0.011666169546241086, 0.012759718949390054, 0.013854007456689783, 0.015162974841183202]","[0.4498122706625705, 0.42749597437089343, 0.46801260875032935, 0.4901426677519831, 0.4996935854204574]","[0.009054987774316747, 0.008938095330599484, 0.01034247806715888, 0.011650377879252409, 0.015165347276208017]","[0.048543414429592764, 0.21301527223554761, 0.07927140865944773, 0.11236276830733731, 0.2667422236147551]","[0.010281806078642092, 0.012018208970673178, 0.01152797572254302, 0.012618008166372149, 0.01743675346363894]","[0.13089843461361161, 0.13456257984824527, 0.14886173821686555, 0.15486175385622686, 0.1547350251595535]"
13,"[0.010747988052763922, 0.01389482701818386, 0.014436999212942515, 0.017308400258673518, 0.01683875732734435]","[0.07207425417655013, 0.08220982770294843, 0.08532654743170859, 0.08348237691596404, 0.08688215842256602]","[0.013586033443531922, 0.013079867646840462, 0.014613843045090807, 0.01485604353869674, 0.01643362451078561]","[0.10394466643713897, 0.13239312702531486, 0.09204368150658444, 0.08174401172102987, 0.08778739301179922]","[0.015253952124319105, 0.01679060600649513, 0.019069931714715313, 0.02286969286466833, 0.027142949173434662]","[0.0985971193202293, 0.17203854843273397, 0.24197711348522336, 0.251357675467451, 0.2523083690770008]","[0.018375047597842167, 0.014485560560146046, 0.015054805045247782, 0.017141016783277764, 0.017145222088787087]","[0.4676410418326299, 0.4705451744626448, 0.53794823482545, 0.5811625900366624, 0.5978243143454884]","[0.008609007137847501, 0.00945155444225355, 0.009613697872184362, 0.014110962351779124, 0.016315015257630242]","[0.04864249519225167, 0.22963974011948643, 0.06104013235464771, 0.1446043742681844, 0.27088950045413457]","[0.008887382716173054, 0.00946876367326471, 0.008961805062228323, 0.011036530798362754, 0.009841723151835284]","[0.152314550223267, 0.16144714854362582, 0.17300532905796662, 0.16799836364022475, 0.18136183952344923]"
14,"[0.008875630799377632, 0.010525052423458506, 0.012285410578195283, 0.01309045338969242, 0.013542604877711141]","[0.06755947752621234, 0.0817575991599708, 0.09368446626930954, 0.09189989774192818, 0.1044109561528263]","[0.011916647911984546, 0.013332374585577653, 0.014955736164557884, 0.015112976990921692, 0.016784949851472927]","[0.10534908170387738, 0.12027514207183654, 0.08367461055859143, 0.0875312856238871, 0.09536928491389413]","[0.01355075255882475, 0.015880476761623522, 0.017500564690625334, 0.02160626841552886, 0.025127987004182485]","[0.08713029460565905, 0.15981829655217206, 0.2638861437335931, 0.30421860194504086, 0.29208546531257934]","[0.014787924087454125, 0.01269621466845265, 0.01327913206420943, 0.01356190233036424, 0.014198960639334643]","[0.4654897057466662, 0.44951493023985417, 0.48366843463491493, 0.5078338648762468, 0.5167195847736059]","[0.007478191719825949, 0.0078031561410784895, 0.008628057222614892, 0.009248734093131832, 0.010163764591986956]","[0.04790306876927446, 0.1914989261799127, 0.069080111631541, 0.12200562603315496, 0.30985815186686544]","[0.012359659810744609, 0.013732388363114205, 0.014218304137142156, 0.015715938459253703, 0.014732410106034927]","[0.16685584858815813, 0.17410598644330127, 0.17733027280122865, 0.15410520536771175, 0.14401352648930216]"
15,"[0.00847742148219613, 0.00965544386406747, 0.011121896115594937, 0.012038113360076961, 0.013147192283782864]","[0.04557582899282192, 0.0646772549726642, 0.09782600679913642, 0.09351108721961264, 0.08758019959786272]","[0.012049495982395419, 0.012913227869673641, 0.014025574403888208, 0.013892219229058962, 0.015635001206885463]","[0.09701134032551748, 0.0997930101866556, 0.08250720939436161, 0.09055055771695869, 0.09839531179527218]","[0.014049133989806496, 0.015991590511402393, 0.017651738119388565, 0.02231744387270959, 0.025211558923028756]","[0.08954261462590073, 0.1447448761371283, 0.2557378965105939, 0.3162584108465441, 0.27972977211182914]","[0.013692555103833461, 0.011390664918925654, 0.012246159988053496, 0.013085350914668331, 0.013696139588211554]","[0.47942600022962484, 0.44914946515284665, 0.48271094632160805, 0.5022647041563766, 0.5082156492885084]","[0.0073146653616425195, 0.007876224365412412, 0.008724886222483987, 0.00914574633254392, 0.010369093417127268]","[0.08818099472880228, 0.18953277522961753, 0.06903515217661108, 0.12603476837260477, 0.2208768437222965]","[0.009693246721239038, 0.010886875470566292, 0.0094369131536524, 0.01204521777354951, 0.009710803896422312]","[0.13261201767104447, 0.14483315601930127, 0.17279742045124663, 0.18692497787059556, 0.18943662618796683]"
16,"[0.008400131484322528, 0.009388668711936195, 0.010980095032715718, 0.01225410972604045, 0.01317915745979664]","[0.04304258761234779, 0.05962203227215992, 0.08525607840281368, 0.08037553472949197, 0.09110270224840666]","[0.01094850573451127, 0.011801326864969198, 0.012978606299028033, 0.013015915737837256, 0.014636664585188737]","[0.08838429729142645, 0.08825561491985333, 0.08451989045416139, 0.09127808318810349, 0.09818075045250198]","[0.01290076276146498, 0.015100384276755549, 0.016761147620398185, 0.019962027254824512, 0.023417045391749505]","[0.08916532326859233, 0.14132276795729382, 0.29364908785512284, 0.35121198579790824, 0.29981036900954655]","[0.013693973733741507, 0.011425319022381133, 0.013564560604784946, 0.014558139604141412, 0.014485036246797702]","[0.47541279929901736, 0.4599613816834021, 0.503110220237722, 0.5233817901166787, 0.5347573327053744]","[0.007136095887311872, 0.00762662570867925, 0.008738203388363895, 0.008967105140920837, 0.00940221259589592]","[0.06773637832385974, 0.14841803949459068, 0.0606471997812748, 0.10114099487021205, 0.08940840183159568]","[0.008028109544990284, 0.008585831048238074, 0.008672035172170885, 0.009603517741750361, 0.009667067295435323]","[0.15594456653704292, 0.16425134035221134, 0.18321773958801693, 0.16549352429968972, 0.15689958460136877]"
17,"[0.007796360503312745, 0.008972936915844346, 0.010265078336060858, 0.01030143860082037, 0.0114913726322039]","[0.052090161113866246, 0.07169037748121146, 0.10511226902026084, 0.0897963783955067, 0.10249775650120614]","[0.02368264393673708, 0.020259198657400345, 0.015904812529845585, 0.0171699490563353, 0.016327528681928206]","[0.08435707593422292, 0.08015666322591962, 0.07862672736460817, 0.08962000265659849, 0.0977684876401184]","[0.01389565219940157, 0.015544545886346753, 0.017203670893001326, 0.02055388413817707, 0.0239421185880725]","[0.0974538274727929, 0.12468777354558694, 0.2818872270226604, 0.357644731633223, 0.30352220614580305]","[0.01353457556581614, 0.011261591202821811, 0.013767205128171832, 0.0135490736866754, 0.014383943959662984]","[0.5036551431325313, 0.45445535504448714, 0.481554811980725, 0.5165471732686058, 0.5286370115051947]","[0.008431843502085916, 0.010437197323857865, 0.010133001334611839, 0.011706734388219286, 0.013077424954625641]","[0.06018197471061144, 0.11421203785053917, 0.07156284732823578, 0.07074608878112205, 0.08441668085675384]","[0.00789043123578825, 0.008675044630127674, 0.008234381887198754, 0.00862693745821516, 0.008931520022079522]","[0.09832034740793158, 0.10955808499874813, 0.13386328451290075, 0.15413736233633582, 0.16061982026494986]"
18,"[0.007327638750099567, 0.00853786946031501, 0.009312794670996062, 0.01005318725635852, 0.010841314794667264]","[0.050861216196645236, 0.07000648968336418, 0.09549386072733232, 0.08855232402116979, 0.10344881397524254]","[0.012368387353285862, 0.012873865694174619, 0.014331260039523326, 0.015630460394756872, 0.01961561528177531]","[0.09336473350326906, 0.10045614888314633, 0.10745644782155912, 0.08450655145940693, 0.09064043009104251]","[0.013562841379764282, 0.015276179765097273, 0.017069442702112404, 0.019780838265467116, 0.023108507821804722]","[0.10065481218416968, 0.12323133345452143, 0.30965971313416246, 0.3951675508880616, 0.33949032198665097]","[0.016510696744046146, 0.012903383759139754, 0.014829380157326419, 0.02074624212499417, 0.02309921935431462]","[0.530219225199715, 0.4905687097567328, 0.5850623747164116, 0.6622274299794288, 0.68953754498439]","[0.006972019180342994, 0.007356118376855586, 0.007997923971609831, 0.008312070662652023, 0.00957441721977158]","[0.06329362731880472, 0.10386481856703848, 0.0742186143657866, 0.07777357277642193, 0.0896868572072291]","[0.007970779154150653, 0.007452180972133626, 0.0079552963091329, 0.008701714945055162, 0.008327673787108726]","[0.15117350599872675, 0.16586958938641427, 0.17001197567607026, 0.16148510010386363, 0.1572241584055917]"
19,"[0.0072638380663751665, 0.008368291121201703, 0.009560496969339515, 0.009898646374294915, 0.011020708349151106]","[0.05870609615725882, 0.07383215881790556, 0.08910158576486753, 0.08882221166231202, 0.09629265327529785]","[0.011323285043071016, 0.012553454814173257, 0.014111653978697536, 0.017138816662571346, 0.020064716565293607]","[0.11794638914203213, 0.1285728224112899, 0.10471342848713497, 0.0843267454575403, 0.0853058421770691]","[0.012806456049212664, 0.01457509208480332, 0.016162882716079446, 0.018698027577979642, 0.022124842371454914]","[0.11670489176895028, 0.1580902081874583, 0.34561628507817077, 0.42331296705660304, 0.3819102880116638]","[0.016109304098320284, 0.013934264712454434, 0.014548198279692696, 0.016536294825611496, 0.019986992353891078]","[0.5565817510538412, 0.4700782644167123, 0.5175660186985152, 0.5958094915723342, 0.6312771197160058]","[0.00671338182629547, 0.007108316386016192, 0.0077511384328268745, 0.008638461609664697, 0.009127348107028366]","[0.07283560245966278, 0.08662949119435893, 0.08314058695339518, 0.07907010789560388, 0.09091154792966752]","[0.019626979677484627, 0.020966083800282604, 0.021310750907334648, 0.022493646372268868, 0.02574281312946555]","[0.2575679162352429, 0.25642116917665675, 0.21713646678333184, 0.25355179184092463, 0.24563740775525503]"
