,LSTM Train MAPE,LSTM Test MAPE,ED-LSTM Train MAPE,ED-LSTM Test MAPE,BD-LSTM Train MAPE,BD-LSTM Test MAPE,CNN Train MAPE,CNN Test MAPE,Covn-LSTM Train MAPE,Covn-LSTM Test MAPE,Transformer Train MAPE,Transformer Test MAPE,,
10,"[17.940971407282536, 15.56677613767954, 14.894929698445731, 13.984999182454002, 12.5794500470265]","[4.227893357908201, 6.1170769355506645, 7.941292110430527, 9.287419392175094, 10.439581572336152]","[7.706320560371655, 11.696743929577085, 10.959841970855315, 12.066914937319625, 13.065424935735404]","[4.984463058466284, 6.647250727036502, 8.563919606657722, 10.025804606446984, 11.158452218780168]","[21.921713792181627, 17.079563397555425, 17.814503616864823, 38.007585949996695, 28.80163535393581]","[4.178788285774102, 6.005237281437893, 7.570718987003061, 8.711226147060266, 9.853713981098949]","[10.77244187619403, 9.155856160783852, 9.92665709638512, 10.546840845598332, 19.577550358519886]","[6.236212361106819, 7.394559598401483, 8.725990499249283, 10.202885320878606, 11.73308362894993]","[5.188906275043339, 10.636254460518508, 11.919232449314341, 21.6761888918895, 25.922807339375748]","[4.547751259102923, 6.574697951477187, 7.670847997607866, 9.120391445584438, 10.284091193327708]","[96.04625582471567, 30.61245352542883, 49.30245549366921, 127.42661444554967, 65.59939560696137]","[5.963658671086927, 11.093447081838963, 9.93577910906637, 9.856227919588699, 11.81099037869781]",,
11,"[11.419984855724714, 9.938664540976248, 16.21937772096971, 30.85719039325251, 39.79137601118692]","[4.030929266342935, 5.746973972393777, 7.44501731339124, 9.060667858974362, 10.360959808169124]","[6.408857241172733, 8.276376406430195, 8.44868121724751, 9.56043901607696, 10.565777725333074]","[4.216029852961861, 6.157631711814869, 8.339458223053898, 9.992737249895574, 11.227435891011053]","[26.108611031728906, 34.651213317685574, 26.035601106427304, 25.545066002996304, 32.40405161266393]","[5.212379039999485, 6.9354480914713825, 8.05249265313163, 9.3631754268406, 10.34081489685439]","[17.953060197850164, 21.56150454747059, 10.334261641735207, 19.285751872992282, 15.81889725315701]","[6.698587623332325, 7.79332779279721, 8.593954076881415, 10.490116988058002, 11.805886014622798]","[16.78613408853251, 35.26102532253718, 38.747737010823904, 31.07454740522269, 19.299259210161622]","[5.145717862252704, 7.173382211590047, 8.863575157626581, 10.039855574857095, 10.479946687876447]","[24.176152800498897, 46.334094546235804, 24.545206199103212, 18.99642993188424, 38.2138128347405]","[6.190598490571798, 7.721113511627699, 8.75463716448456, 10.516718280205188, 10.989748019358679]",,
12,"[21.62823727921454, 25.218629708991934, 19.470350617772954, 16.924239516275765, 23.0360254516917]","[4.799802142992817, 6.731757396578346, 8.499386883654696, 9.868741295435589, 11.328188113932454]","[16.06023744894481, 16.37271555715846, 17.306020955768332, 17.64035410753521, 18.038892806613113]","[4.798349653221985, 6.4208244093932265, 8.442749029044732, 9.978158082421983, 11.18064401550062]","[41.45083943607232, 41.70052635450909, 22.259766463051744, 38.417332530400564, 50.513810875460464]","[5.671910013010198, 7.426083136386835, 8.198474031049525, 9.82328091456155, 11.270120147162862]","[16.350772342452267, 18.18709517501293, 18.382767137958663, 13.704605908278575, 13.210186799087339]","[6.455539631682225, 7.381634777852968, 8.768479732558983, 10.171860932287055, 11.424531239037409]","[14.067656848009019, 14.395691174190532, 14.250568251532245, 26.305927234506925, 29.250246212448666]","[4.900455580762215, 6.309182363029916, 7.818099034503419, 9.713001969724932, 10.953364309770253]","[28.48195158392892, 22.786893461039064, 21.134251911511207, 22.571082846365915, 26.179765320254685]","[8.175315456965922, 9.336864800279463, 10.722700798994241, 11.751072898400743, 13.14900332835264]",,
13,"[15.418236710344054, 19.430570091812264, 12.506670795666594, 18.286774079101985, 27.30979119512995]","[4.177858216141072, 5.965452080962092, 7.554793303629919, 9.027185279321738, 10.643325682133405]","[18.629805385209032, 18.368567070774294, 18.51555392235499, 18.87209535526083, 19.329328688177387]","[4.688780882719136, 6.582360023660589, 8.822104556273514, 10.419214325769682, 11.614534234570652]","[20.94922682277409, 15.139769022548947, 20.318107297263875, 15.808737278938741, 9.29630646224789]","[5.2208445552789104, 6.738786192723838, 8.298102760841376, 9.502434838805282, 10.465464854768655]","[13.162190807673008, 11.797262158127293, 13.305965887324897, 11.090201387842272, 19.671553733436372]","[6.319778645541291, 7.471369149836335, 8.84987897884494, 10.111694836997707, 11.66104203575607]","[37.02401073344066, 33.79586313785038, 18.096443332029818, 9.221664785923966, 23.216467296955454]","[4.404812626705197, 6.313198145175332, 7.848827633390293, 9.804061031699375, 10.641389069775958]","[21.5693376962069, 25.2543614496809, 20.070770304525322, 21.892101474990984, 20.580838382114212]","[7.694899228061088, 9.613639759507969, 11.23655466091204, 13.647148376329344, 14.391196080710236]",,
14,"[7.286719015776133, 6.195566740211203, 10.976858885116002, 12.389554108860366, 16.565873933779386]","[4.330242343917677, 6.451732889379989, 7.999588996763234, 9.7952945398002, 11.845864907285288]","[9.956735717763198, 11.27719823327834, 12.726852953504327, 13.604701293073676, 14.393177127689999]","[4.390820075280736, 6.104542419591767, 7.919259742743394, 9.336897427333538, 10.410311834652017]","[4.879548136326206, 12.508453048113989, 12.70999403675538, 18.355719518429616, 14.423093491183256]","[4.515081277019327, 6.400980153533169, 8.056148452467099, 9.384289904323674, 10.323626314902828]","[23.108444767290656, 22.941648808176634, 21.447544893925297, 14.73985853918213, 11.63968474500557]","[7.690213203712787, 8.350795231311386, 10.037081248409608, 11.61293960576843, 13.028458952314912]","[14.028541782882806, 19.410237787434077, 9.74360159566752, 9.423044591741498, 12.15466258160245]","[4.479023210561717, 6.258919760660935, 7.774686764867286, 9.392752284968973, 10.52393041933422]","[16.28946727706267, 17.690953207670987, 16.333735122068134, 16.76595884758886, 16.905784913562993]","[6.871474983676131, 8.18191502198342, 9.71460291628805, 10.929673777751818, 11.649469833739893]",,
15,"[26.84069199131563, 22.284005343740894, 18.42775195054157, 15.513363498160244, 9.726764559862017]","[4.1473398385747835, 6.184892695958225, 7.682053027033793, 9.078629175008265, 10.693417947386996]","[9.500789270887154, 11.742990445680446, 13.983931794468962, 14.916401146968369, 15.693792244217452]","[4.912270022239092, 6.716811348043307, 8.680171990768027, 10.361233277925667, 11.53327197701529]","[37.184438531150995, 29.235916105003856, 17.412490902087175, 9.019579913116257, 18.898601957739697]","[5.378307455833529, 7.186147103280015, 8.303334108245469, 9.376912556980747, 10.68420942386474]","[11.617822985736009, 12.008133176222453, 11.74295166689214, 13.146980750728238, 12.465327157616372]","[6.092889263821914, 7.201750362588723, 8.34239656493223, 9.738980142470737, 10.84234226599849]","[8.869997957307195, 14.869559029062332, 8.088986833991774, 8.913444082373587, 17.62027685801095]","[4.766478346552267, 6.7582220373775375, 8.004698739209319, 10.044011259899733, 11.245854684227535]","[17.716700495828988, 17.32283840401786, 17.61884603368761, 26.171318879786593, 20.602367338701747]","[6.265192705402563, 8.030740108697048, 9.738146940942464, 11.359874095180144, 12.315433098542446]",,
16,"[4.08841125661179, 7.712548831579706, 10.100746348707034, 13.236441706621838, 15.567577634181424]","[4.2950715007239575, 6.312613424495635, 7.905164952066142, 9.222869155797763, 10.910396311287133]","[6.851155210128088, 7.080236860376468, 12.009841049331445, 13.208314551320562, 15.063872079193988]","[4.20678384976455, 5.435825883690677, 6.719781272005906, 7.690742968179484, 8.71894562298461]","[5.415815988983868, 6.751317508031557, 8.603998057202947, 8.820779069514126, 12.140193371349955]","[4.165203054348186, 6.49351327615372, 7.924413016057998, 9.010216273034564, 10.344378576664417]","[24.21488029926392, 22.170384450078437, 11.697789445537692, 14.176649899765021, 25.1216582532792]","[8.329305532441504, 8.555797516230488, 9.12866367638963, 10.458088399784272, 11.918421801480205]","[11.799551093393223, 13.91053796242816, 7.312049049324565, 9.519231163093316, 18.31514742654411]","[5.093133191246632, 6.285170419486303, 7.956072640908932, 9.793036873875455, 11.238739595707417]","[14.84395011880843, 15.61106304239002, 19.897256199555446, 18.079618319777374, 17.21530363592665]","[6.181622007014774, 7.521660765162176, 9.43829201556123, 11.085734265293775, 12.106249703340644]",,
17,"[5.964182139347701, 6.602666097659807, 7.561426667390308, 11.095843363053781, 13.804047937297295]","[4.19305815667486, 6.438661814313744, 8.117827186581579, 9.529768817235865, 11.020667861546936]","[63.92348880805644, 53.432451116607595, 59.43166089398929, 54.23256580678538, 55.269602995029985]","[7.28139312398573, 7.0663379625483165, 8.528795699547263, 9.272439262274565, 10.239528843768218]","[4.387562984422066, 6.950572566616661, 10.656139346163139, 7.551889298683545, 24.545637974107244]","[4.142662199066045, 6.404930726414948, 7.809004331106335, 8.82173114597881, 10.195546522713153]","[12.36880914853839, 8.486978201829398, 9.6733048972831, 15.35363882780684, 18.009125273973773]","[7.281436577496554, 7.521138917998144, 8.743144984506852, 10.271261551679228, 11.340312046919829]","[25.422779403306357, 14.332385327117883, 16.607401634606273, 9.7197409680775, 12.55340130638504]","[5.287600796976061, 6.595215995583626, 8.227618124403786, 10.03965691426436, 12.046359382916018]","[16.62593921140122, 19.421835494731315, 31.680441907257155, 33.32005987325386, 34.97430012406452]","[7.025745696198188, 7.8702031556833445, 9.181740549884163, 10.748263865820318, 12.039934051194114]",,
18,"[4.548502639640654, 11.303556233464276, 15.520143039297164, 7.992430573925481, 10.60169521371161]","[4.181972061135107, 6.3678249697973435, 8.120675341510841, 9.330290993225045, 10.548575475924766]","[51.66468454938824, 52.00805835260193, 56.52318666832492, 52.270429283489186, 51.382863880268914]","[7.1295130078595035, 8.658746513900342, 9.201794910728582, 9.899025764820914, 10.676605074583318]","[26.122182083317604, 34.76673301694707, 41.04727854772289, 30.734163899277295, 37.57216280355167]","[4.312244675357601, 6.505850264705483, 8.20102660751236, 8.83369111019371, 10.005536426669716]","[11.300229331124727, 16.997393392660985, 13.843039317459363, 9.223183893053232, 10.585698388144845]","[6.378153115404617, 7.754134314910955, 9.027689143778632, 10.379227115002992, 11.548485880447993]","[5.025141964754836, 12.578934484130336, 21.36480549491582, 15.280792400645726, 9.101658622929323]","[4.727738100044316, 7.220501442367549, 9.29293731449609, 10.94452598908124, 12.101647929558897]","[19.811601052516934, 16.887851693505095, 16.71049841325825, 17.7919237437105, 17.264435169394268]","[5.85560270010388, 7.396129667369299, 9.081665871900098, 10.910984843809189, 12.13480255411019]",,
19,"[6.453743249769177, 10.535714656525535, 8.625367451386994, 11.8410269937908, 17.394884833038418]","[4.397533299248139, 6.562746750500463, 7.997858379066772, 9.323415490265603, 10.672725189578157]","[36.12697157161732, 38.59192048410302, 35.086173154163035, 38.03424454402787, 40.7304370064249]","[5.029831551139756, 6.669239664863451, 8.149595056842774, 9.483674349603868, 10.8954516233338]","[18.14865921577537, 34.236778111661756, 34.656720486669016, 20.413737371441098, 25.104698870818048]","[4.308197653625323, 6.772827140028465, 8.46975550801438, 9.14875267437017, 10.175673895835649]","[7.782078581757762, 9.591174490823137, 9.847304370276397, 9.18254620791049, 15.050633073937062]","[6.954355122108826, 8.063120602533111, 9.157219074632566, 10.51915679166128, 11.591233052000472]","[11.30499514429054, 6.7265448054445995, 8.26779472933661, 10.575064137926237, 9.419697462644995]","[5.609564052292463, 7.404721781531043, 8.958759249665132, 10.562027120264593, 12.145615004789253]","[19.735386128948843, 19.391736814604947, 20.487628451067664, 20.72331354223952, 22.073535287177794]","[6.214305784252045, 8.063683672668407, 8.939317882720296, 9.912091597044267, 11.190414472397421]",,
