,LSTM Train MAPE,LSTM Test MAPE,ED-LSTM Train MAPE,ED-LSTM Test MAPE,BD-LSTM Train MAPE,BD-LSTM Test MAPE,CNN Train MAPE,CNN Test MAPE,Covn-LSTM Train MAPE,Covn-LSTM Test MAPE,Transformer Train MAPE,Transformer Test MAPE,,
20,"[6.373255145298586, 5.792114466977427, 10.154581939904766, 9.918927499773782, 8.90042662381497]","[4.301635400480178, 6.3035723967807655, 7.962963797318593, 9.48613468685293, 10.775013917305106]","[38.06723881965011, 39.49398661654012, 41.10739909697648, 39.77583626938219, 40.25301137047251]","[4.987122078395099, 6.590441687490074, 8.221916025782019, 9.560815052520608, 10.803422614228008]","[13.455825755301841, 12.281763519404084, 24.485383501245728, 16.171164603473347, 8.706569853609539]","[4.204430720708307, 6.397106860828601, 7.963754949948003, 9.058239504962879, 10.166619502794008]","[8.6814679423293, 14.78789054388768, 9.300147456196816, 14.057738907658917, 10.752749563285825]","[6.352004854080269, 7.768267390314916, 9.22211639918904, 10.920985355186168, 11.900637775322297]","[9.474313758711702, 6.223055323148858, 13.691159326387977, 10.963646305700598, 12.246562996386585]","[5.849070777492036, 7.796049904761496, 9.936664662174497, 12.239384365174534, 13.663865319230654]","[37.38029962559474, 46.89255397350361, 49.95430366531492, 22.562203648564637, 21.623920689673852]","[5.923258863082224, 7.390804769726439, 8.695944298102345, 8.682825640383832, 10.007194147659387]",,
21,"[11.58765434418573, 5.4068526494260425, 8.71000337256227, 18.454565409288854, 15.399782421941637]","[4.453188672470758, 6.427302605591188, 8.062943401416698, 9.443828552954091, 10.7624233530924]","[12.228469609929913, 7.419528837941823, 7.449825578525669, 8.308814357736228, 9.181397779272846]","[4.60439365975985, 6.133440122396005, 7.691339306027365, 9.079019264079427, 10.401071414224328]","[6.027509308553443, 14.366921214038314, 37.423932069389295, 18.959789860444907, 10.304581220010023]","[4.222070267561729, 6.279596555785563, 7.935031414348032, 8.736121175773109, 9.940588300173873]","[5.987434998828505, 8.211085416035061, 9.571809065919908, 10.557759304148245, 10.201585442973563]","[6.708722892899878, 7.860411566021913, 9.769263288275146, 10.769412315010179, 11.726638272303145]","[12.429837223281629, 13.358322307623311, 19.14421931415143, 22.975153555845534, 20.91331308900475]","[4.514879418355888, 7.11890879003971, 9.096936006970534, 11.31889252537121, 11.986471580714273]","[88.80902734762782, 71.44750974305886, 73.16953084058217, 23.76381604242238, 56.298870426250616]","[6.037899337592356, 6.872717856027469, 9.44420534211977, 12.511976400702471, 10.016969532049774]",,
22,"[10.732753099386287, 10.036290967626666, 10.859704347164715, 15.775159512003196, 20.631278636686908]","[4.568637938648794, 6.572516671477508, 8.13650354000777, 9.580572018944494, 10.888848873491453]","[7.640325204142265, 8.214162297073448, 8.9282832152403, 9.560691610526154, 10.250886847950252]","[5.746106898974947, 6.385179677810905, 7.8874354966407765, 9.38392425223903, 10.851842252504186]","[48.499696977033864, 213.82807793944804, 245.80845238963343, 233.2171986470927, 254.87132429384803]","[5.927842165153607, 17.841595233189295, 21.087793016274613, 20.61963826519671, 23.106852862943754]","[7.153281995768217, 10.681122223959228, 19.628804619443496, 25.787397794263207, 36.20738067068333]","[7.644252189055126, 7.971372603195974, 9.72650055324331, 11.477808828660404, 13.47958731732342]","[9.100933994565478, 7.418371055173026, 9.468831625113166, 18.1428533369309, 28.3699311383529]","[4.647457400125028, 6.941118321129353, 8.556504394878512, 10.613288826586961, 12.15332777965436]","[34.765696309649485, 96.0857455236125, 41.617834300500434, 23.981422631886282, 42.8405307197888]","[6.952760255034425, 12.828595116947126, 11.499186233181144, 12.064201907783985, 13.067138884976265]",,
23,"[5.551934703137019, 10.816251569322354, 12.71821826102919, 18.250367937531806, 20.69675476658786]","[4.533582131390009, 6.538296936531256, 8.117346390886041, 9.639773745975369, 10.869512176454991]","[12.914498137575691, 9.328032038206205, 10.391666707972263, 11.24225500215245, 12.008142657236505]","[4.48291132481509, 6.198868595333148, 7.627939131676675, 8.856719676847861, 9.973968574089175]","[26.554301559019784, 16.339454432616215, 24.479198853135962, 30.255148905720652, 34.0276829344691]","[4.0383852380729435, 5.7480028113129675, 7.480284711692804, 9.160544629420656, 9.247458033241259]","[7.70357280161381, 11.24805683804763, 19.455139235663452, 9.058728207907885, 16.790143221078687]","[6.409147883932924, 7.813801886728755, 9.276554326013036, 10.628040695816903, 11.984745412937633]","[7.607418411648161, 8.598670542933574, 15.720251431711873, 14.89547025633178, 10.120273205164535]","[4.597123952854931, 6.834525751209604, 8.400642372185711, 10.32326536334165, 11.673730157364643]","[37.86810427491495, 25.675550304486517, 22.862211013240717, 23.443028478113266, 22.652908099581182]","[6.130283255896765, 8.841923063289748, 10.250188341319951, 11.207914548168649, 12.705453766703394]",,
24,"[10.814436170399683, 18.9851930524308, 12.019423718853865, 13.620075750084522, 24.288881672125346]","[4.757361639723115, 6.860470515167007, 8.347397807018485, 9.849795021192042, 11.169952572277483]","[66.33998706667761, 67.96046266046446, 67.44183820781518, 67.57646741839308, 67.87491944021443]","[6.783292586865783, 7.593603940100853, 9.197784229797175, 10.62382991424586, 11.823805534884912]","[11.126016383395145, 17.418790383821086, 24.652045712912816, 25.443530000235846, 9.947119525575664]","[3.8890273171118177, 5.437084541496297, 6.8725784971998385, 8.064284956052155, 9.555803817832937]","[8.125966907632689, 20.748919747063578, 21.891175678512646, 9.272060554100843, 15.127882881384458]","[6.564853800014986, 7.852256650100732, 9.388873248796967, 10.362434545218246, 11.588241301192529]","[4.757913581735523, 13.435480396688723, 8.218550236259329, 19.809147032735574, 15.983196776648025]","[4.544998867609738, 6.836458392129353, 8.441440557202144, 10.520772679001071, 11.87159836498602]","[50.720730574403575, 69.3266071859342, 58.40703362403923, 35.935896960444936, 34.545920283828735]","[6.154964586519126, 7.693493218540342, 9.269365035544018, 9.99075518650225, 11.013498649838485]",,
25,"[21.038431710799852, 10.716957408027781, 15.345587797450117, 17.491674062459268, 19.409449411612258]","[5.40795922989638, 7.117489351986639, 8.580240160998729, 10.195860008912225, 11.44765261809847]","[9.983116839924747, 11.021779126165672, 12.895706096656223, 13.707563846979722, 14.52577341408806]","[4.217449529018248, 6.138675083732958, 8.180298925989309, 9.7246241297242, 10.883010768215879]","[14.980263023101555, 19.352010469364235, 30.37869361958705, 16.137413181786687, 13.534509304622922]","[3.874026404990971, 5.561698814988382, 7.471495345352432, 8.423113181262732, 9.380289277024758]","[21.325231136208743, 21.605624344741827, 19.568146331660454, 25.4514593162739, 13.687475861983614]","[7.514009529634266, 8.700853105207026, 9.861840381934995, 11.010648527802674, 11.713908205307147]","[5.360268384229064, 8.441273163297538, 8.540961287521268, 12.025824027175492, 20.378046405677257]","[4.619892646678774, 6.894973992282844, 8.830005184584598, 11.04071257755468, 12.846061947931195]","[16.484365997319035, 16.615934520038415, 21.031138787118266, 24.435134689577318, 21.029643437950195]","[5.280984520241525, 6.758154904500836, 9.271986191248883, 11.246883484950933, 12.009854869704496]",,
26,"[17.31200120545121, 17.881844653691733, 18.97997979282356, 22.368008870266543, 18.841275054542965]","[4.76164454744548, 6.753789027949804, 8.276846832234156, 9.926314844539679, 11.126053336813788]","[19.10725968062583, 20.773416402615123, 22.79148003024582, 23.55062789202368, 24.269596781073812]","[4.251682308833751, 6.108600352232569, 8.07869051658537, 9.622016717169274, 10.800611649138702]","[14.82656662312264, 15.62297030053577, 8.314778123860275, 18.57681002880792, 9.405431772932236]","[4.283646541716269, 5.513488036764746, 6.947520999657099, 8.131740087972283, 9.411185893328451]","[20.870050962002036, 12.766579042652811, 11.853573527202014, 14.380006616368798, 10.82295094703249]","[7.12198336655062, 8.337776892158987, 9.583226897123751, 11.179862890794867, 11.96773980181307]","[6.566902548512375, 6.6490877049461465, 8.922265072288376, 7.94004780765485, 12.645330046447123]","[4.59104566767574, 6.834551515398102, 8.497160691522582, 10.608233540478695, 12.141240469452706]","[17.54560589285379, 20.577688769409484, 27.57920187916897, 48.655147256852416, 37.53853096116978]","[5.4063046874040595, 6.9314724880073495, 8.798038810694688, 10.777355390639567, 11.72785845270623]",,
27,"[4.510992801012064, 6.421246720931438, 7.417955899620711, 15.618118249135108, 18.179237941934637]","[5.000805276643269, 7.1032990586639935, 8.479512247414949, 10.177097827584523, 11.423627159057846]","[43.8248679085686, 43.62452338661251, 42.67343312600523, 42.769833189259174, 42.97728732943698]","[6.114168658610731, 7.624016794588502, 9.3960390866039, 10.788066640738501, 11.945046798204844]","[30.04104294655611, 41.97415971739648, 33.51609903494498, 32.61376345686699, 36.61112869214713]","[4.559168197895555, 6.976403795744873, 8.215821631399947, 9.600461275371059, 10.729453449645927]","[14.580215279624365, 9.063721373118945, 8.769828708175693, 12.251802329292177, 17.357551409304754]","[6.7011894923719995, 7.946815336967421, 9.188678737467827, 10.689722725193482, 11.862154088034176]","[12.006571707150465, 11.614844502125777, 16.81006001044121, 10.083615431789818, 9.846471537670698]","[4.704909556773405, 6.808912398612203, 8.379619627064685, 10.44296357326024, 12.136438555046755]","[28.986158846753202, 43.79623749722666, 57.18186105840039, 47.134319286395694, 24.28360501526962]","[6.738993316240774, 8.782613998174519, 10.88699215385325, 12.466110925956349, 13.652802212781326]",,
28,"[7.666312399135212, 5.8158772760878215, 7.286141781836912, 10.526465279387526, 9.256108503604054]","[4.801860597585042, 6.805062238949014, 8.320190319300046, 10.032553789815136, 11.069893309057592]","[28.465436945019523, 29.36976151815514, 31.236884242001917, 31.97217745100729, 32.68908254931365]","[4.548756850232967, 6.487677904517357, 8.420423672323604, 9.86342552914452, 10.982270075662246]","[20.65039202146485, 22.39670738012546, 31.554662243844305, 30.380855156374547, 35.557228644812696]","[4.173785235514321, 5.642951396442041, 7.077053913170415, 8.218642052281847, 9.410331158231184]","[7.630340220769924, 13.305775726811705, 9.61887816715907, 14.431889839112586, 12.124791971703829]","[6.63723111506844, 7.7237388361942925, 8.927043336671991, 10.35923424007347, 11.429435205101017]","[6.004699419028496, 19.348016238810413, 11.830056963103704, 8.137481143677697, 17.36452854172809]","[5.118000570525898, 6.951206323922326, 8.556553065631563, 10.650997218151076, 12.769358566831663]","[34.19811991226117, 27.407839640432226, 36.862030198651595, 32.16423906523905, 25.090266948013173]","[6.0345583481460014, 6.92988612762448, 8.357459210710273, 9.58479608247328, 10.620253113451987]",,
29,"[6.531013780665303, 5.278190516921811, 9.98642562987615, 10.59627051132005, 11.334155734315637]","[4.93687480285417, 6.852831695825993, 8.351641409630913, 10.110813126996836, 11.24175355489743]","[11.119030558873469, 10.495294105704197, 10.223932399152554, 10.748409748248687, 11.320974310158745]","[4.430196837405913, 6.438416339425945, 8.386125718567685, 9.816230540057914, 11.009923217791505]","[5.941398414239351, 6.333433616987339, 15.139612821421808, 8.588859430699657, 31.949327039555076]","[4.116190526237042, 5.6999395183848724, 7.601691339756836, 8.827088228357152, 9.488541596933437]","[18.551694460354902, 25.114041867535914, 25.77244495740731, 22.22152402985384, 29.42345209386734]","[6.596394760522678, 7.8033792130716195, 8.755054346283618, 10.206331200465407, 11.336963178532091]","[5.045049020175532, 8.521958345760234, 9.259234972900355, 17.708174683093453, 15.777246955823967]","[4.73018617448406, 6.790575558644655, 8.852770726481513, 11.061762624095582, 12.39458367455978]","[27.194815281097046, 24.890164860109564, 22.86854014369433, 28.14657343300222, 34.84881754619031]","[5.873138258216309, 7.4471817067673305, 9.192716419353685, 10.635525536523776, 11.813743938030042]",,
