,LSTM Train MINMAX RMSE,LSTM Test MINMAX RMSE,ED-LSTM Train MINMAX RMSE,ED-LSTM Test MINMAX RMSE,BD-LSTM Train MINMAX RMSE,BD-LSTM Test MINMAX RMSE,CNN Train MINMAX RMSE,CNN Test MINMAX RMSE,Covn-LSTM Train MINMAX RMSE,Covn-LSTM Test MINMAX RMSE,Transformer Train MINMAX RMSE,Transformer Test MINMAX RMSE
0,"[0.016901189489217962, 0.02491540201538593, 0.029545213179741472, 0.03401314850241348, 0.038168334880864914]","[0.02957526239652469, 0.03933655892569905, 0.045939607334876405, 0.051008778068304006, 0.057957507593977484]","[0.01923720206152901, 0.02541330765608067, 0.029131104733509373, 0.03302532974749965, 0.0364050928345097]","[0.02996817602434875, 0.03710636461282045, 0.042601277282787085, 0.04711313760143236, 0.05302893909669221]","[0.016686305430476344, 0.02521977444460436, 0.028915186781062942, 0.03258453240562024, 0.03537542114688862]","[0.02543220731617523, 0.03630183599763228, 0.041601964158372494, 0.04543245954365407, 0.05253885498952397]","[0.024840232213307282, 0.023707547948130604, 0.025519899063238746, 0.028004914713328707, 0.03335372261708463]","[0.04198254964485017, 0.052796835028518584, 0.05885858816651876, 0.06794839991733785, 0.07833761003617802]","[0.0228193117804555, 0.021720127437186643, 0.022419654042850966, 0.02505336625502322, 0.027124496731581127]","[0.036619362091134484, 0.05149437931491639, 0.06232644918988417, 0.06733512770856208, 0.08147866484643533]","[0.03353079978800332, 0.030849484959676588, 0.03202030051680462, 0.02929542730150995, 0.03202453208021643]","[0.08505373749267156, 0.08337616777594506, 0.09757434972714692, 0.09495165945344929, 0.10214826181112277]"
1,"[0.02025590722631488, 0.026076193472202688, 0.03140823153196815, 0.03249533573123571, 0.0344937171782976]","[0.04103897697858196, 0.04815706627695256, 0.05741789202740352, 0.062426135753954476, 0.07087917629293936]","[0.017057395498054052, 0.02482218353328556, 0.029321932499245, 0.032892229406886256, 0.03620472375184005]","[0.029478803517686787, 0.03798682699347683, 0.04449394466058475, 0.04811858321037329, 0.05388321986835552]","[0.01564747504260908, 0.023652692693129702, 0.02883921722513297, 0.03265429676155317, 0.03507377897114018]","[0.024838574883555384, 0.0338976644137938, 0.04224836703264039, 0.046587543622297854, 0.05638893944176116]","[0.028363609040709066, 0.024655601113962755, 0.02490078643602119, 0.025967285746800878, 0.028322808081301363]","[0.04206725230967112, 0.05275047965689853, 0.06592474901606779, 0.06936936797579553, 0.07719371793795801]","[0.02197426390032215, 0.026071714772112974, 0.022124517781111356, 0.02521230627450548, 0.027162223734871854]","[0.047929347156171066, 0.06691509436444233, 0.07800481627430646, 0.08557321053493329, 0.09899118441775576]","[0.03183180838038095, 0.034274698472806675, 0.022978293076966687, 0.026215832907441602, 0.033777003507196895]","[0.07658855902018674, 0.08383723669943106, 0.06907973146298953, 0.06962395058445046, 0.08574115730056661]"
2,"[0.01990488167689041, 0.025321315697498185, 0.02533952722419154, 0.027033444076541024, 0.029026096135032764]","[0.039022258367651184, 0.04863232510227494, 0.05925771715104589, 0.06823454034214438, 0.07682778240973935]","[0.01950255596287173, 0.02673091472189457, 0.03205878589275413, 0.03518075152036894, 0.03827721587841104]","[0.03398418258235886, 0.0437999941113224, 0.051451210439368726, 0.054330252408585904, 0.05946091999981141]","[0.015691504830735076, 0.023819750642428465, 0.029156601154497832, 0.03341223895078599, 0.034564698927284386]","[0.026034243737305753, 0.0349743795844654, 0.04454394079510619, 0.04877700912875359, 0.060195614341030684]","[0.02206233273728672, 0.020095369617914836, 0.022873707157875893, 0.026092372033146058, 0.028629458313493415]","[0.04012559861608052, 0.050064895684055706, 0.06055053353794666, 0.06993884443020396, 0.07926402435962451]","[0.02263126664171499, 0.02136676596861939, 0.01969217768637061, 0.02244435435702133, 0.025551037125074012]","[0.034372675271674875, 0.048096209630548725, 0.053403867950508846, 0.06284189112818715, 0.07531156015984211]","[0.033241491307705394, 0.03978828478074155, 0.04048875343600154, 0.02876338682180526, 0.029324519594761508]","[0.08953138127468095, 0.09684947851024565, 0.09459863396798633, 0.07945796747960869, 0.07520094630842271]"
3,"[0.021031616396035166, 0.028194070740516945, 0.028406960340339626, 0.026326318823008017, 0.028447617935899117]","[0.03635686020384736, 0.04992695063196928, 0.06823049999516168, 0.08544833156705313, 0.0973007858404474]","[0.019522038558357355, 0.02326636657558777, 0.0278261672768003, 0.03080496446562436, 0.03403995205763384]","[0.04230791903175767, 0.05356230398911862, 0.06183790989998871, 0.06464751972874014, 0.06887999556295904]","[0.01569077125411862, 0.02405846411893397, 0.029270046034636593, 0.03296330211487615, 0.03430098988884542]","[0.027028946167351187, 0.03604732616908247, 0.046399435841433134, 0.05077963316789598, 0.06327801432717974]","[0.020717068204180504, 0.018531366082782514, 0.020622053663912787, 0.024071674978295595, 0.026284109034592246]","[0.03609992936983838, 0.047382855781268766, 0.06532676494044934, 0.07250332729266351, 0.084657897504508]","[0.019800348846773518, 0.02339697836257516, 0.020682497619611696, 0.02320291300428495, 0.026923768177308367]","[0.03463715344248228, 0.05247867428372335, 0.07017800376742972, 0.0888144696017041, 0.10095866095955514]","[0.037175796486588995, 0.03372430031935616, 0.029162188090456852, 0.02149907002140851, 0.02592026868325656]","[0.09134389193255292, 0.08214950629210815, 0.08236903381249155, 0.08142391472562709, 0.08500105555261091]"
4,"[0.019431686683724844, 0.02601708173103093, 0.022084081925023317, 0.024789362010254327, 0.02895360064691911]","[0.03238710991516828, 0.04273943022486454, 0.05741761976072213, 0.08026750021240127, 0.08828685417269101]","[0.020420735260057717, 0.02024554792334424, 0.02317900257213187, 0.026429315794896498, 0.02970530308607055]","[0.05017582972583135, 0.0574266292015082, 0.06470940127133828, 0.06901472146596846, 0.07310452088850876]","[0.01623710038971766, 0.024729505882859455, 0.03019275653676846, 0.03491480293234868, 0.035918480901896574]","[0.028525984578051396, 0.03730352679757203, 0.04824621866994303, 0.0524736473009744, 0.06601832540902172]","[0.026422179318734983, 0.01810494415430056, 0.020811309073134727, 0.022497338530346113, 0.024794443360343716]","[0.037373460048417, 0.04584862382517612, 0.0771385494562312, 0.07343804345075283, 0.08413640842911736]","[0.014939392841774727, 0.024622330088133276, 0.018227670598470292, 0.019136490930901848, 0.022246852729420303]","[0.02921773289928993, 0.05262511645781535, 0.07336219691269556, 0.08469152770684964, 0.0993366175302181]","[0.03024348591924181, 0.028762286214353002, 0.021115590315650894, 0.02306695374521842, 0.02891549757077274]","[0.07501014208776656, 0.07277218764576722, 0.06274932563791794, 0.06454327237682202, 0.07244463734600395]"
5,"[0.017683208722694382, 0.017905350200536428, 0.01865994061391558, 0.0222288234334892, 0.026249049269421808]","[0.029586455251869377, 0.03473856013108929, 0.044763393449258046, 0.06272765890481258, 0.08004881038492223]","[0.022459095618297335, 0.019905209834518774, 0.02236134145209132, 0.02539706974416143, 0.028624002734958635]","[0.046366837495341505, 0.059627809581878896, 0.06479323506842302, 0.0688008847628969, 0.07278048662558012]","[0.016393463503955066, 0.024890035050754565, 0.03035559782854069, 0.03351734127531298, 0.034567121132347445]","[0.029388729950482126, 0.03783769455167346, 0.049054469306950725, 0.053804212001343395, 0.06791729610691541]","[0.02474666219467555, 0.02097496267524806, 0.024852147141985952, 0.02693297818084625, 0.02974067872010778]","[0.03650532667898609, 0.045278306022406095, 0.06132534708502393, 0.05801659806130594, 0.0647702423619488]","[0.01518746007632482, 0.024317334833017762, 0.018043753750259017, 0.019264797634527084, 0.021298330558874933]","[0.030280554747229505, 0.051706444830326825, 0.08663125230295882, 0.11431444081762548, 0.11997147445517257]","[0.03290563029868962, 0.024642909048089953, 0.020440715231016555, 0.022584777620654587, 0.029335523573369725]","[0.07774403099731715, 0.06310917906961629, 0.06401815733178046, 0.07848017007894034, 0.08777709190401582]"
6,"[0.013581193393948745, 0.015127499533392874, 0.01731286469029347, 0.020706612759218826, 0.027688309349874346]","[0.024838537720923905, 0.03629609843608125, 0.042561469759165124, 0.05908280552124568, 0.07961548045755905]","[0.020834075709022456, 0.02052258263866088, 0.02209351991472391, 0.02476461277787126, 0.0280544842063698]","[0.03212354142678091, 0.05358852608181354, 0.06503946308967375, 0.07055765229435625, 0.07533490990123494]","[0.016703469094755313, 0.025314199269527302, 0.031244915190064903, 0.03364772634823716, 0.03450207877107735]","[0.030425993335981037, 0.03803288830419765, 0.04995182736591354, 0.05476331797796314, 0.06917932020637364]","[0.020627205589927203, 0.017111552273907177, 0.019316150017471254, 0.021114629603492183, 0.02356661787456702]","[0.036048762957631264, 0.05091664513833484, 0.0706572195167838, 0.06713266434486616, 0.07656479024474469]","[0.013926246066689187, 0.021621424477641153, 0.016626182813436845, 0.018972079505548495, 0.02022910837978602]","[0.03215471443555879, 0.0491731180076819, 0.08251751151407125, 0.10612671036926091, 0.11061846520761266]","[0.030384316806104865, 0.023184828355405362, 0.019810590202046847, 0.021730188505616817, 0.028031446095795772]","[0.08005125934780077, 0.07371693423014862, 0.06551176578520752, 0.07429020329861001, 0.08407239884648568]"
7,"[0.015805813374749827, 0.016874737969106816, 0.01731884601083909, 0.020128788931209084, 0.024294587395923092]","[0.02790583709365018, 0.03308471789256074, 0.053792685601910126, 0.07747207430243326, 0.09233347625793852]","[0.01786672380239152, 0.019332584829973513, 0.01945506852630784, 0.02249688244055138, 0.02643808672951907]","[0.027213289464004434, 0.04025970339930733, 0.051622139979612104, 0.058333752108185165, 0.06419594636166502]","[0.01686828993641814, 0.02605496187828577, 0.03214492563858044, 0.03383901914682461, 0.034419810881987555]","[0.030528580510897133, 0.03758366733021607, 0.049559125421835895, 0.055146802265849615, 0.07021303946343332]","[0.023186448189860015, 0.023096610355937745, 0.03020358183393052, 0.03701522984403282, 0.04609090587004033]","[0.039089219320692085, 0.06223460473033358, 0.09630016230625327, 0.10710737378033337, 0.10429382474171409]","[0.013533340003691309, 0.020890586425726877, 0.01719060941513116, 0.01874158140786916, 0.019551049339842558]","[0.034641509056908965, 0.05022974351939013, 0.07894467463040991, 0.10563532773159814, 0.11496447508053471]","[0.031326311933564346, 0.021925288120319325, 0.019649638812079123, 0.021057678201706932, 0.02539119972567325]","[0.08007219713202222, 0.07140226546501736, 0.07659010732953184, 0.09445615276480991, 0.09803945921258143]"
8,"[0.014008679662169862, 0.015912406631653452, 0.01812291926312886, 0.019322839203595257, 0.022799433732687807]","[0.03616703091474438, 0.04117050845283711, 0.05994124062943292, 0.09578192932884881, 0.10450419074379494]","[0.020779089976302567, 0.019563760878672495, 0.018240525968799128, 0.021241578502280166, 0.02535911567674957]","[0.027128643253833348, 0.041665905278771155, 0.056903208403616394, 0.06749861755486816, 0.07456773185186104]","[0.01674334505698494, 0.025867242108055532, 0.030733527891228157, 0.032832100905527385, 0.034043640490249]","[0.029198146466351577, 0.036629320142623975, 0.04851961533273582, 0.053361725667404845, 0.0679422512219567]","[0.022302865398032518, 0.01848764616281292, 0.022346071825578906, 0.026075387776005557, 0.02860464332127104]","[0.0367884140395842, 0.05464600929859293, 0.08790898323832667, 0.09150843039184947, 0.10201305181090269]","[0.011315892856933947, 0.017384369985242943, 0.016120624046244737, 0.018042355561510376, 0.019666779077046954]","[0.032059085927582366, 0.047475990231261256, 0.06440886373465812, 0.08197871098316858, 0.09513602238809868]","[0.03528447034514704, 0.033692625685288705, 0.030070204159639763, 0.033575169721238175, 0.034970788690893324]","[0.07832074054295958, 0.08023429186439571, 0.08330460991384558, 0.08945154551809832, 0.09616890818730693]"
9,"[0.011523714214880637, 0.01671636953129248, 0.017421611296266168, 0.02135171977366324, 0.024990185958049315]","[0.03578769608334965, 0.04797962485898931, 0.060424908109648866, 0.09136467627717847, 0.09839307892559199]","[0.02064152695829419, 0.021008081087547044, 0.019086023118671858, 0.021901333755898856, 0.02605111297391211]","[0.030841818746408768, 0.04705622456291176, 0.06848265239242077, 0.0835909009022688, 0.09291320319343273]","[0.018570217464027605, 0.028848098188564177, 0.0294311396853984, 0.03172610176486649, 0.03359214326140294]","[0.0322376793846408, 0.042112386165456664, 0.053643557532550526, 0.05804823782724495, 0.07084281136378626]","[0.017987620963267493, 0.017172336363937304, 0.019450741919362257, 0.021875042288399562, 0.023348114143467553]","[0.03535552835882018, 0.043239801758658394, 0.06691569379433653, 0.07461580648534442, 0.0869336419572757]","[0.011268605502256435, 0.0150805709867903, 0.015416825656163383, 0.017944341500652404, 0.020649399492195086]","[0.031868298911795837, 0.04382158565930152, 0.05761429157320292, 0.08997953102361941, 0.10003767003081633]","[0.03176599209004015, 0.0375251755667274, 0.030421017833774582, 0.027611991446318637, 0.027239069402675203]","[0.0703024439602884, 0.0806803923100533, 0.09060511807610352, 0.09150900865813898, 0.09705239576794612]"
