,LSTM Train MINMAX RMSE,LSTM Test MINMAX RMSE,ED-LSTM Train MINMAX RMSE,ED-LSTM Test MINMAX RMSE,BD-LSTM Train MINMAX RMSE,BD-LSTM Test MINMAX RMSE,CNN Train MINMAX RMSE,CNN Test MINMAX RMSE,Covn-LSTM Train MINMAX RMSE,Covn-LSTM Test MINMAX RMSE,Transformer Train MINMAX RMSE,Transformer Test MINMAX RMSE
10,"[0.014294747402388501, 0.014585688731030305, 0.01681743632852377, 0.019715378365464293, 0.023697574028184322]","[0.04336430550351189, 0.05413413070128946, 0.06182404147754556, 0.08493717323291004, 0.09163604182204571]","[0.017415798922393724, 0.019839400976140693, 0.017619765605351983, 0.019794961653162545, 0.023711275550060477]","[0.028038174133110688, 0.043445263277264445, 0.06679826180220941, 0.08716877277747834, 0.09879641348835101]","[0.019944445920434123, 0.027037649781812525, 0.026041257147852007, 0.027773174274347404, 0.0310586537737435]","[0.038854961454072856, 0.05101854530636154, 0.06387849449447869, 0.07037482058671901, 0.08012312220350053]","[0.01677253376170426, 0.016317110477925327, 0.017759212192302025, 0.018717822715590415, 0.019874651768627197]","[0.036131377190031844, 0.04365061726318175, 0.06691621981720443, 0.06989020151692388, 0.0816452621156115]","[0.01015875252098319, 0.013613679154857687, 0.014854367337444857, 0.01696654532568691, 0.017820552599645476]","[0.029711982448604787, 0.039925151705575056, 0.05483550444603318, 0.08454956001885582, 0.09414631503747922]","[0.027106702617048475, 0.029559631608828817, 0.02170826272877933, 0.023806209962474463, 0.027113737760072046]","[0.061675339067813306, 0.07175318424527481, 0.08345367216528177, 0.09376228930151546, 0.08800090615984607]"
11,"[0.012307101409748672, 0.014691479106840955, 0.015743770702805516, 0.018165251372963733, 0.02069782529669736]","[0.035341461657593304, 0.041776505219738684, 0.05554970181142883, 0.07821001215384386, 0.08316838250813431]","[0.015140190328703217, 0.019692526153770776, 0.018785585436799326, 0.020584630712876043, 0.023692682989711746]","[0.029883838489547048, 0.045545769911989366, 0.07014085342761923, 0.09208993573873803, 0.1037077806539724]","[0.023467978504890206, 0.026656182296773887, 0.024211083839645577, 0.025442916618997665, 0.0302579151096442]","[0.04671230930791148, 0.05373485744301484, 0.06848357727745076, 0.08048774655547594, 0.08392042006423893]","[0.01812992132410439, 0.016704906968963384, 0.020800761836447842, 0.01865971831404717, 0.019607287863485413]","[0.03560020920756775, 0.04493318477303548, 0.061340728972369384, 0.06590054970835633, 0.07592064772880783]","[0.010506384292451005, 0.012979835421938162, 0.015048709490598895, 0.017378646721149374, 0.01831427983712553]","[0.029931059550739395, 0.037232533278872146, 0.05013149792724825, 0.07776957387714419, 0.08664586713956976]","[0.028818430258269835, 0.02802174317201716, 0.024403187093445782, 0.02292001476843607, 0.025150414929779628]","[0.0677284942426487, 0.08046302699931193, 0.0874626916910658, 0.08813340314390522, 0.09294923780960407]"
12,"[0.010563586464332175, 0.013426527127424127, 0.01623904722808306, 0.017230447436638235, 0.019322004620376167]","[0.03298550782999107, 0.04987616641913941, 0.05789228331842829, 0.08266289252273289, 0.09344600961736896]","[0.012774449696433583, 0.01911262318897286, 0.017040904753690803, 0.019708690243880354, 0.024169165670781218]","[0.032576357659663935, 0.05310645863910094, 0.0743608502321764, 0.0910254467761025, 0.09647579031889572]","[0.022048825125722406, 0.025042438938625972, 0.022502569171391325, 0.024891684833240488, 0.028483603609180893]","[0.04588683940280589, 0.050813491412755346, 0.06751763327280695, 0.08170978157089082, 0.08134405324787518]","[0.019066012026000317, 0.016206388617188483, 0.019316831155845236, 0.018941458774933948, 0.020334559139635354]","[0.035928506160988825, 0.042915879806160524, 0.060589616102502165, 0.06477337851051396, 0.07732133838104333]","[0.011574478005014857, 0.014707866259163623, 0.014643894628762465, 0.016445394768444553, 0.017800752335833274]","[0.030743569791863535, 0.042898692929246744, 0.055025811009856665, 0.0738664618104676, 0.08514068783928498]","[0.024468893667485968, 0.02483533251614529, 0.02511187898716921, 0.02240102699752289, 0.02597851411425139]","[0.07071312365752397, 0.06799109493278775, 0.07358669306675791, 0.08917632430814906, 0.09763069520426787]"
13,"[0.010365427678820798, 0.012937180614917679, 0.015319811790382484, 0.016952341514999653, 0.018494123522702795]","[0.040945041875284534, 0.05075036259531531, 0.0653613198140507, 0.0951536173862294, 0.0880811772758624]","[0.011781494065579651, 0.015879791443931607, 0.01644451264744467, 0.01835431101004929, 0.02203262821861244]","[0.028341294879444572, 0.04709193430162017, 0.08605018451450343, 0.09582087887578108, 0.10034131854428283]","[0.02129821900760734, 0.026556519446498526, 0.022110617295214463, 0.024430160441422665, 0.02807225581168272]","[0.041768804675653984, 0.04991391121240767, 0.06872015271450901, 0.08219209586711529, 0.08392566302894812]","[0.016774373040546717, 0.01685238395089193, 0.017777251407085012, 0.019089281981066124, 0.018819084287741292]","[0.03598857498479486, 0.04326263404162841, 0.058707649010536156, 0.06783955989013594, 0.07828989962163568]","[0.009616329874511645, 0.01221591742612502, 0.013584330446159202, 0.016313801687901485, 0.016991869966681835]","[0.031108312605440547, 0.0399588161197485, 0.05711063565227777, 0.07350971371580281, 0.0837708349712434]","[0.022201433337515022, 0.019369764261323145, 0.019697162448881388, 0.021164392433302807, 0.024923660712845935]","[0.0656704542953294, 0.061371256128804896, 0.06585824808504344, 0.07818739430795757, 0.08581285976930011]"
14,"[0.010720755015643601, 0.015619062462104207, 0.017258731266988743, 0.02164291595705731, 0.02876799049043766]","[0.039289784285835586, 0.044282154169700244, 0.06361447292657584, 0.09333527540883405, 0.08120720440811942]","[0.013650505777674243, 0.020264778455697918, 0.01981316261929686, 0.021919710235240558, 0.025966030998611913]","[0.03081237524675547, 0.04200765335774973, 0.0708648038377628, 0.09412319211085429, 0.099566479357071]","[0.019061529013087213, 0.02726796912668877, 0.02147322450750506, 0.023508428414881138, 0.027073274335645936]","[0.03682596250566489, 0.046172144322164564, 0.06671548210405584, 0.08376417051851301, 0.09033175403635132]","[0.015574521003937464, 0.01708777526361856, 0.018572320820925296, 0.020489463312662923, 0.020871788285735]","[0.03728007517782708, 0.04158506805943915, 0.0551897156480118, 0.06199303895358664, 0.07025970755223757]","[0.009854839217865438, 0.013114828516467164, 0.013569799180148895, 0.015341722066624291, 0.0203480314340713]","[0.031974165391895674, 0.04141665948632199, 0.05416568658791866, 0.07553591148756084, 0.088408894438219]","[0.018525261985169753, 0.016636427319674723, 0.017372773436875537, 0.019979910899605692, 0.02389481659599794]","[0.06592197773638431, 0.06702920400586511, 0.06262552696450305, 0.07471845217159662, 0.08775460489509972]"
15,"[0.009974962170915274, 0.011725462946229191, 0.014083426829203468, 0.015591401672491482, 0.017628417997907944]","[0.042389267469972236, 0.05500075093096447, 0.07428560019054598, 0.08727948386048044, 0.09919815206823289]","[0.013669087283083293, 0.017057329785129468, 0.017279217117835297, 0.02014060275716127, 0.022575517344589964]","[0.02756596613080107, 0.04121264689729738, 0.0644494011971117, 0.09436214095123803, 0.1143256836324308]","[0.015289889450472082, 0.022128233088593966, 0.02081684110162385, 0.022225683314000818, 0.025498789485425763]","[0.03218869348325623, 0.03863482592355992, 0.0526356826160683, 0.06828001482235399, 0.08551829692963346]","[0.0152409834017493, 0.01610521250364403, 0.016866811914575994, 0.018879460325374738, 0.01871681023694109]","[0.03924263453108462, 0.0426481498732339, 0.05394328345347052, 0.06284263924611669, 0.07211997604853974]","[0.010281124597633801, 0.012530951485023017, 0.014501462319043413, 0.01694630996347595, 0.02191759263479829]","[0.035002587742195834, 0.03985620707641998, 0.05811027735827093, 0.06910234244378165, 0.08710110235371496]","[0.021196467394790766, 0.016190924947306472, 0.01767456890564631, 0.01990742735965991, 0.023667099554424708]","[0.057343362089270586, 0.05792246823242684, 0.06828068807101755, 0.07820050618607459, 0.0878133472995302]"
16,"[0.01041501256374765, 0.011405777839793466, 0.013422844694993863, 0.015467637559968776, 0.01805911164528559]","[0.042258735768293906, 0.06544305433143435, 0.07791567285146259, 0.0878712414658787, 0.08290967966751835]","[0.020167147861351015, 0.024984823093031495, 0.029366615568451465, 0.033226416263764685, 0.036594901656377694]","[0.031618428366123184, 0.036958768173391325, 0.04329378322143409, 0.04790127940597917, 0.05376827896637379]","[0.014364642457175211, 0.02021860641730759, 0.0186091592791444, 0.021272474673283567, 0.024481395701515786]","[0.03105722644466215, 0.0389290376795942, 0.048060274709157504, 0.06284763701314584, 0.07856472926009794]","[0.015209698148238948, 0.0158543481707732, 0.016746667410804855, 0.017566432490253574, 0.018992428954465207]","[0.040122226610477374, 0.043518805709454024, 0.054618493873728635, 0.080185536826263, 0.09196192400645624]","[0.010068124156661735, 0.01164651656115189, 0.01291705470009698, 0.014670949102903806, 0.018100449415936352]","[0.03645117586122237, 0.04124945634936395, 0.05481251418495129, 0.07033372053965864, 0.07502523073135071]","[0.0270012593575256, 0.018061970623189434, 0.019181625443110844, 0.019832848898938105, 0.023324917818196834]","[0.07400838226908864, 0.06475454977483998, 0.0703556915604118, 0.08138262800978384, 0.09688958200388131]"
17,"[0.009222650194934456, 0.01155967037062426, 0.0131384625085424, 0.01517692329802726, 0.016237833326958367]","[0.04019111866904213, 0.056629665692601916, 0.07918469797807502, 0.08518979195245088, 0.09652630145709039]","[0.016965178712330976, 0.0248764268206091, 0.029171002507144918, 0.03299461610041867, 0.03615312820045154]","[0.02982325028255914, 0.03932505105889315, 0.045456264764767, 0.04971003600845227, 0.05529031586772349]","[0.014196308259980686, 0.02071738174687184, 0.01784211764055706, 0.020764282793161712, 0.02393854392915556]","[0.030152980933961605, 0.039149395087641856, 0.04779543786395877, 0.06019718702390047, 0.07014000508892275]","[0.01552343996840706, 0.016291820231224326, 0.017613719247931255, 0.022017416684932914, 0.025545465865683476]","[0.03945989330424734, 0.0446315036308011, 0.05320810925437671, 0.06999958191989678, 0.08739985580971527]","[0.010026244017535511, 0.013058750216458857, 0.015167951056487907, 0.01714353578099747, 0.022505972384527017]","[0.0354688923347186, 0.04599015237773871, 0.05912114106534484, 0.08051459680744422, 0.0816626461107052]","[0.030641105996698788, 0.034232920849470994, 0.02328613966602218, 0.02056239722537273, 0.023929671278639524]","[0.08007297915804944, 0.07011539654790183, 0.07074990563835837, 0.08000570532830142, 0.09074778928544852]"
18,"[0.008355068891094528, 0.010324589543882665, 0.012633233769136836, 0.01377949011394121, 0.01517238048426227]","[0.04003615817309837, 0.054964813992014944, 0.06792232119992427, 0.07686992516351826, 0.0923249014941026]","[0.019133560510854266, 0.02645259188655059, 0.030570398413777875, 0.03416587644974847, 0.03717298985583953]","[0.04006039007304759, 0.051128331998443785, 0.05850067079640801, 0.062407231000771723, 0.06697558365220238]","[0.013804490737203638, 0.019228010864931398, 0.017408106645330865, 0.020514119302202614, 0.023532206215917208]","[0.03050848096473173, 0.039414486689602096, 0.04772304854118821, 0.05952126824169389, 0.06787668881642026]","[0.013722588557146191, 0.0158721027110454, 0.01733115979408093, 0.021330845910503653, 0.025661900839990887]","[0.04160195381807825, 0.04457501865249686, 0.054902434734944806, 0.10870010264092186, 0.12627332117387996]","[0.010389278412231771, 0.011013876310766665, 0.012592991851150119, 0.013093216808169706, 0.014849715748551713]","[0.03649148549876493, 0.04547178851605092, 0.05676309853903744, 0.08140109403838772, 0.08303829885090641]","[0.02534111984753323, 0.016479567099598826, 0.01770831051096384, 0.019846747481602214, 0.0235066295048767]","[0.07635071229844517, 0.0599768723718124, 0.06506472934049913, 0.0755324965587978, 0.09040307320541695]"
19,"[0.01017947642548878, 0.011520923918285603, 0.012998809337498876, 0.01421784579569685, 0.015564549728226141]","[0.04701866709014633, 0.055340021232042035, 0.07859281992243157, 0.0760866946610475, 0.09535062399686875]","[0.02543771435581852, 0.029445277533735617, 0.029130968952578624, 0.03161258728125518, 0.03417074888500867]","[0.050580857480280315, 0.05825392370546855, 0.059947177081579366, 0.06559429338954058, 0.07111130290823096]","[0.01386724806841038, 0.02007916659409053, 0.01785151215492866, 0.020343985309266576, 0.02320610560734019]","[0.02969708654850746, 0.03917230291215699, 0.04831573047752699, 0.05698994032012607, 0.065628391146063]","[0.015125143523583611, 0.016847637259761274, 0.017878694476448263, 0.021645126199029745, 0.026128484963512763]","[0.04031619633960043, 0.04566877373453844, 0.05528907894232939, 0.15128557287974922, 0.1768805899697467]","[0.012403536137292753, 0.01206544665624296, 0.013871323958768509, 0.01654830834239356, 0.019644846186122084]","[0.038080171232081676, 0.04526477678238327, 0.056897805313575814, 0.07694815567745004, 0.08328295799799737]","[0.029704330756454688, 0.02931637645308623, 0.025528594427922813, 0.024796766768649486, 0.0321160916735679]","[0.08419713460571691, 0.06651953776692711, 0.0668118674902065, 0.06501973870318184, 0.07667446111979818]"
20,"[0.008361762709152837, 0.010343737097005075, 0.012791534471895807, 0.0159470180408969, 0.016861330235866806]","[0.03945796901054788, 0.048286000097803546, 0.058538851529070866, 0.07131619879781169, 0.0773097306574648]","[0.025866197496781516, 0.03039454604128523, 0.028046035854547388, 0.029722354973952116, 0.030750457593409324]","[0.0494831322421213, 0.059502886702625914, 0.06532948485976772, 0.07289797640572201, 0.07956858153518348]","[0.016019246991426664, 0.019905099737790057, 0.018899781902713464, 0.021917982265843624, 0.025209878356664665]","[0.03667382851002268, 0.04286403328502019, 0.05062661579452562, 0.05988295689880887, 0.06623879508581007]","[0.013921339214901813, 0.01542319509383567, 0.017194487002809483, 0.021039426806030655, 0.024858022676578318]","[0.04072899588957845, 0.046221519424950085, 0.05919208624752545, 0.143633837802898, 0.17176920211460572]","[0.009421879484310424, 0.011918676259575595, 0.012857468216841599, 0.01687782518116885, 0.02127051375230495]","[0.035883728295863365, 0.048349460844768884, 0.0603227385516916, 0.08674920421811964, 0.08955076121474868]","[0.03449441569111474, 0.03473104045562204, 0.03262688362942549, 0.028606829029831464, 0.02994900482879485]","[0.08366979830276572, 0.08835938235861807, 0.09536492995878422, 0.09755860451175719, 0.09945670898338985]"
21,"[0.008401854735252567, 0.0099512743632963, 0.011593239533291964, 0.012783013806710288, 0.013916390746195002]","[0.0465728355185963, 0.051151384287331327, 0.06386940475586576, 0.07921111684018044, 0.0959782045555796]","[0.022865455893892984, 0.028288299942648757, 0.02548512460746493, 0.026505505092196083, 0.028783889121822306]","[0.04455431441550512, 0.05753674507280458, 0.06625427872510778, 0.07509118007662827, 0.08455250836815516]","[0.012901389750506453, 0.01594046742377118, 0.016620089963957765, 0.019673983674661815, 0.022580972477374783]","[0.03401366251049635, 0.04218107323423407, 0.04911443257896766, 0.05617110482115204, 0.06252024145019212]","[0.013478273740143378, 0.015324300180425883, 0.017960760991444228, 0.021093360900127697, 0.024812913339583895]","[0.04102338839632324, 0.046833296806279984, 0.05910747912764674, 0.1534402883334959, 0.18363427069763533]","[0.009039349909145181, 0.01216437902632268, 0.01430388250277295, 0.013227879315784046, 0.014273086621104268]","[0.03486370095809264, 0.047245154077428186, 0.05916371847730754, 0.07697281056996962, 0.09037990944137686]","[0.0358989186120348, 0.03164941279811315, 0.03262593132230058, 0.03203438431762011, 0.033606461772262806]","[0.06865140483963063, 0.07567514001275243, 0.08738724851511707, 0.09657414833453537, 0.09906968838609301]"
