,LSTM Train MINMAX RMSE,LSTM Test MINMAX RMSE,ED-LSTM Train MINMAX RMSE,ED-LSTM Test MINMAX RMSE,BD-LSTM Train MINMAX RMSE,BD-LSTM Test MINMAX RMSE,CNN Train MINMAX RMSE,CNN Test MINMAX RMSE,Conv-LSTM Train MINMAX RMSE,Conv-LSTM Test MINMAX RMSE,Transformer Train MINMAX RMSE,Transformer Test MINMAX RMSE
0,"[0.01774951022476833, 0.024858355456588467, 0.029463773387739582, 0.0329531233549216, 0.036793902754685026]","[0.05405507193526506, 0.051673659452211106, 0.060945086321346174, 0.06559672425585922, 0.0719751851146135]","[0.016196631071232277, 0.022699830246756328, 0.027746208131109566, 0.03180121606643444, 0.03478342758834784]","[0.053151601567969615, 0.05659602754313588, 0.06092312701979443, 0.06565972516872062, 0.07004126903469288]","[0.032940148392458825, 0.037378055649183825, 0.04080438945388375, 0.0417451795840795, 0.04752631550066317]","[0.05035490786342014, 0.05557849223727633, 0.06375214687960695, 0.06114453560599669, 0.06746921011785867]","[0.030609123955349954, 0.03116470345667254, 0.040186024513394626, 0.03449353344278189, 0.038155261542887384]","[0.0521528977621272, 0.04481514663342284, 0.07909975720942532, 0.08637711537828868, 0.196167430285027]","[0.03463441384690252, 0.03572378952182738, 0.044018894341541756, 0.043537905939443976, 0.04823767667318354]","[0.8209505561990658, 0.049443837123387305, 0.25200593322585263, 0.7844876633723147, 0.0554813823731836]","[0.0892823369592035, 0.08879220747320792, 0.07140115205154751, 0.08874524468065847, 0.09227067005375535]","[0.14550401336001914, 0.13133575247512547, 0.10553735999867897, 0.12166543661268203, 0.13009432816952954]"
1,"[0.023412402132940276, 0.029856555716155732, 0.03428007937627462, 0.03637149157536278, 0.040743678360174194]","[0.1053067309433115, 0.09780896677907244, 0.10519639806502863, 0.11042681071002045, 0.11315129179464896]","[0.016661456953272157, 0.023064847859897115, 0.02805634570358549, 0.03207909238426174, 0.035076885108279936]","[0.07169875982029018, 0.07312091431464066, 0.0766584919060489, 0.0800086662176349, 0.08336537061776428]","[0.03059786907314065, 0.03401916517067573, 0.042211453120218304, 0.03714851746251101, 0.04341720159649645]","[0.05053376940232576, 0.055428792148778175, 0.06470146533699356, 0.05971602253479609, 0.06380043873776693]","[0.036248960323465154, 0.037352460145460537, 0.0429620325191182, 0.0396795109990782, 0.04302393087085779]","[0.19785546430354473, 0.05237185836323866, 0.07203325188001776, 0.2882243972280756, 0.26180576221002255]","[0.022184140749415847, 0.024842861952843066, 0.03553443527252905, 0.04341190843098249, 0.04127989746790606]","[0.871447637020763, 0.04708333835969689, 0.16031861783586482, 0.8900981795162768, 0.10295007626376883]","[0.03327350517120342, 0.08389942315577842, 0.04215121427549223, 0.04544446518633362, 0.04697059787906698]","[0.240968236661658, 0.2510191471973019, 0.2404148498410488, 0.24207982797409666, 0.24050608520428698]"
2,"[0.023367290336097406, 0.02977073647787274, 0.03439248110158316, 0.03635012179878065, 0.04067661800490929]","[0.12076269966761753, 0.11114864541417982, 0.11952377844806378, 0.1252120302710757, 0.12689955841153636]","[0.016718682117447998, 0.023119085079312384, 0.028097130688439994, 0.03211540915347348, 0.03511445931011228]","[0.08098108737807169, 0.08115123094652754, 0.08463121222863049, 0.08720980175100508, 0.09018273768148938]","[0.02556282973726443, 0.029651407070247535, 0.03824460652337989, 0.034511883928273375, 0.039647686008451935]","[0.05022657689072247, 0.05510283927571195, 0.06659232060435787, 0.05922534956359098, 0.06207189863735593]","[0.03565038622320381, 0.03885008779504739, 0.04397705691625801, 0.04218494787550081, 0.046685376750738944]","[0.2527779022553228, 0.05703552327456432, 0.09859779485497637, 0.349433110032662, 0.33440450187273374]","[0.015366034874788883, 0.028348237852687374, 0.04014975100575852, 0.04615927623561275, 0.055349059264428034]","[0.9004376455932217, 0.15624016767542595, 0.6731314691101493, 0.9091832307232762, 0.7725647856929045]","[0.06305591377567671, 0.06776976608018383, 0.06925954508063922, 0.08123839413118666, 0.08523108525506431]","[0.34134239696157576, 0.34046049314555615, 0.3412141560196912, 0.3488210742034435, 0.34766209190126734]"
3,"[0.02356994467124228, 0.029884828931387827, 0.03467357921198594, 0.03656506859677663, 0.04084700452258356]","[0.13310298971325993, 0.124216434687488, 0.13299860946432665, 0.137224130116846, 0.1396369143719772]","[0.016802800498028417, 0.02318651969832144, 0.02815322960945084, 0.03216447754575481, 0.03516571080719846]","[0.08786578084539977, 0.08823145044633175, 0.09101470881138012, 0.09321181278741061, 0.09586818708316805]","[0.02224547979811708, 0.026953296666621038, 0.03488338267995921, 0.03312377115744973, 0.037408852001400233]","[0.04981906203956024, 0.05443383528340372, 0.06888597722049215, 0.05954103021866932, 0.06133099007360326]","[0.03552177690121359, 0.03911974160789991, 0.047143107169398235, 0.04325051778036895, 0.049329771212544844]","[0.17331831209931686, 0.06651252542762982, 0.08445981940936427, 0.35732311776856046, 0.3062726507806599]","[0.02060953131042123, 0.02741249603495224, 0.037577101024710166, 0.044405584582293274, 0.047943537380899556]","[0.9173019723594636, 0.21192479659229935, 0.7169990698387968, 0.9073485219380166, 0.6304985134448253]","[0.13893467955943387, 0.13896023895778292, 0.13898493488345975, 0.13900856407905332, 0.1390326813173349]","[0.5345926251585097, 0.5874270142994306, 0.3960766268979376, 0.26648735535575635, 0.2763309199096582]"
4,"[0.024069226697346766, 0.03021793517821872, 0.03517403046360285, 0.037034469587071565, 0.04123831008863594]","[0.14421560624197025, 0.13775385301229234, 0.1464125789022301, 0.1492995997074645, 0.15225553557132007]","[0.01692119025567157, 0.023255515070406366, 0.028225240206864493, 0.03222247685350689, 0.03522815145345885]","[0.09209838279758469, 0.09548457377735478, 0.09577769688790878, 0.0984569329076399, 0.10061350648032309]","[0.020067210607442296, 0.025275172189182488, 0.03265443851445024, 0.03222902158253581, 0.03602828607763078]","[0.05010723085248838, 0.05432530079085176, 0.07152476498388786, 0.060222490013752177, 0.06116927120446499]","[0.03523853868782103, 0.038058390767051364, 0.03792724476569039, 0.045782114948603896, 0.044918606023608525]","[0.23614187605668677, 0.17625539460046166, 0.08116305039792096, 0.2628927146082983, 0.2364242770506309]","[0.02306393407196934, 0.031712701131564464, 0.038334875039846804, 0.04351068500232742, 0.04814839181373819]","[0.9111951435640194, 0.35338964601987605, 0.7157341640319724, 0.900152404609923, 0.527423650211847]","[0.1389347357819237, 0.13896026407476653, 0.13898495748313863, 0.13900855527685863, 0.13903268968536434]","[0.13046817663078936, 0.11303008583597322, 0.12325864572113242, 0.11626570517109375, 0.11849678913537613]"
5,"[0.024713022082296733, 0.030730134851799883, 0.03582516315531201, 0.03772998380322525, 0.04182975190179806]","[0.1531547754502627, 0.1489534756231652, 0.15722937150652244, 0.1598534993439062, 0.16309515086586282]","[0.017070419974554673, 0.02334316072363467, 0.028316682714541207, 0.032296474549581115, 0.03530874551354846]","[0.09612038727343268, 0.10306455635335819, 0.10034911542675062, 0.10395533341148679, 0.1054159798761321]","[0.01833334886876582, 0.023904088266621215, 0.030837261084549723, 0.031544939091051195, 0.034982460432636975]","[0.050169440791165885, 0.05398820510111415, 0.07354500620109662, 0.0606439865509493, 0.060928993264064486]","[0.037720436306255524, 0.04054455205311782, 0.043320155113256924, 0.04390593587609445, 0.04681949623208086]","[0.3090166128355657, 0.3130344056862077, 0.08652098344208842, 0.2799535900306914, 0.27139033050593137]","[0.019735278496038112, 0.028037797405824478, 0.03438183844539764, 0.03962615782332721, 0.044711736389630954]","[0.8980269388732357, 0.3620563964393268, 0.4767402873434229, 0.89083095054957, 0.6725510744479802]","[0.1389346130882142, 0.04585038067293058, 0.06731032516243028, 0.1390084943327556, 0.05886358782331085]","[0.13927575958084326, 0.13833731786564263, 0.13866095051974836, 0.13041173855373012, 0.1354060842127911]"
6,"[0.025270911943377154, 0.03118148668178492, 0.036364832889653455, 0.03842825836167356, 0.04246048520751087]","[0.16051429692178765, 0.15827483952324747, 0.1651744007366024, 0.16898217642731714, 0.17218052040302098]","[0.01721963636083903, 0.0234451679309055, 0.02841136999689529, 0.03237855976676288, 0.03539564540787015]","[0.10036256405608568, 0.10941043362445854, 0.10480987725148755, 0.10909088033824647, 0.10996013160189047]","[0.01720356576417671, 0.023073271942766233, 0.029689479651837, 0.03110964746591184, 0.034340424552642475]","[0.0506951929425274, 0.05413506589284023, 0.07493572090128876, 0.06131649220028028, 0.06098348587185835]","[0.03684065777404716, 0.039752121761603046, 0.042250127772679634, 0.04356968490878487, 0.04610937487803725]","[0.2833166976748444, 0.34891151921041214, 0.080933668393733, 0.2935339105172744, 0.2936945997396]","[0.016914359119906672, 0.024127900011578385, 0.029934147467388872, 0.035103404955487846, 0.03982388597238701]","[0.8673905085412444, 0.1494690588009783, 0.0717496570281805, 0.8620117179736932, 0.40440788178523074]","[0.15698304519961612, 0.8329775170054292, 0.15614237815396276, 0.15738974645065235, 0.15414909907301602]","[0.34698592363327707, 0.7717880554268955, 0.3448203249423586, 0.34407020413614203, 0.34139725737938814]"
7,"[0.025819641365231707, 0.03130661411356863, 0.03654634794699637, 0.03915136291123911, 0.04317854715698001]","[0.16703808003705464, 0.1667383908833827, 0.17148999599608336, 0.17513038012973786, 0.17974752065490932]","[0.017302529784816667, 0.023503720634744464, 0.028461476636041858, 0.03242270351716604, 0.035441772115603266]","[0.10471519611953282, 0.11471174979001499, 0.10929968935269907, 0.11387559979886723, 0.11434242803219308]","[0.016359643285098865, 0.02247843812592901, 0.028907228734930512, 0.030850177532711753, 0.033932597094843614]","[0.05109281553916309, 0.05413579967512972, 0.07613589239103734, 0.062010524241219264, 0.06113756897973323]","[0.043766651881355804, 0.04699340352203676, 0.048135672859255886, 0.053871792155917, 0.05527703772177433]","[0.205601124546686, 0.4156747344992211, 0.08428597667795872, 0.3172122830154559, 0.34522501358402374]","[0.022134089117536362, 0.03018118373735123, 0.03570813918906622, 0.039900151909758645, 0.04287230072795988]","[0.8458742325815484, 0.08192943939692822, 0.05818092574511889, 0.6922699697195879, 0.3005803670973375]","[0.05841344077638429, 0.06089390602120046, 0.06362850877722755, 0.06999732376150762, 0.06736813356439754]","[0.5368309805564309, 0.5198885298056862, 0.585423316217599, 0.6274777380753537, 0.5245394217044517]"
8,"[0.02596909464535784, 0.03142002318429127, 0.0367158219775573, 0.03956475459483683, 0.04350942821861718]","[0.1727283785418798, 0.17361199507445108, 0.17680377752205798, 0.17707456345072853, 0.18407037093653117]","[0.01740274549923166, 0.023582092684451474, 0.028525387452161176, 0.032481385796735256, 0.03550277717448998]","[0.10981914791866461, 0.1201876351033076, 0.1143403319877472, 0.11907469635464965, 0.11920193847840306]","[0.015745560279027102, 0.02204877143272217, 0.0282892261155255, 0.030652555085750384, 0.03361767828205649]","[0.05144814334643794, 0.054316655777825316, 0.07726452677982347, 0.06273259777325657, 0.061277462866111555]","[0.034198553040971386, 0.03762616674019934, 0.04014390927850345, 0.043183683626951214, 0.046027943647473916]","[0.09736986669968728, 0.3643759911057816, 0.08529162822327759, 0.2778981390190787, 0.36991405073047834]","[0.02491090504444624, 0.028133074674792168, 0.031151978345750373, 0.03302933183410844, 0.03433028016460008]","[0.8508316977314032, 0.08238044706657749, 0.05630797026893456, 0.4620554861263279, 0.3132284551538459]","[0.049898790975930245, 0.052436058213186074, 0.0552636481683544, 0.05789657071280829, 0.060234926625336464]","[0.2674387086911052, 0.26379134294293693, 0.26645784068281636, 0.26466678008751215, 0.26247517328656883]"
9,"[0.025488973793732744, 0.03135261189561579, 0.036733532098361825, 0.03954582258527678, 0.04367314194280854]","[0.17333493998679425, 0.17639874139231582, 0.1779140139291117, 0.1787502408353859, 0.1857225795547271]","[0.01747336488904002, 0.023640861152440122, 0.028571124118918004, 0.032523951431148695, 0.03554627755838525]","[0.11484997046458889, 0.12529042963757317, 0.11933875261840952, 0.12395687626838219, 0.12391287613614659]","[0.015324478006746859, 0.02175184114140579, 0.027825967255522513, 0.03048559736128407, 0.03336754552723365]","[0.05177120916507989, 0.05444243238754186, 0.07817278356950656, 0.06323903796356657, 0.06132124865303491]","[0.034729034771949684, 0.03873985442514588, 0.04207635880095708, 0.045779900104770885, 0.04943863511267787]","[0.086843731774986, 0.39220985177139134, 0.0881027295651014, 0.2518147368679676, 0.3794275577563787]","[0.03421415607132827, 0.04138893838978531, 0.05144002364123601, 0.05587588158818603, 0.05866715952416239]","[0.8808114530043127, 0.055328898227185244, 0.06058786551927308, 0.4122157019643774, 0.2639558830808819]","[0.13893480325891855, 0.13896033472989416, 0.13898504655712077, 0.13900865090942222, 0.13903276584620622]","[0.16943190311779455, 0.16989400396700777, 0.7756999528038832, 0.7795162378363535, 0.7639679279451553]"
