,LSTM Train MINMAX RMSE,LSTM Test MINMAX RMSE,ED-LSTM Train MINMAX RMSE,ED-LSTM Test MINMAX RMSE,BD-LSTM Train MINMAX RMSE,BD-LSTM Test MINMAX RMSE,CNN Train MINMAX RMSE,CNN Test MINMAX RMSE,Conv-LSTM Train MINMAX RMSE,Conv-LSTM Test MINMAX RMSE,Transformer Train MINMAX RMSE,Transformer Test MINMAX RMSE
10,"[0.025105316242880076, 0.031331361583895434, 0.03682133086911977, 0.03961918234863434, 0.043937600060861226]","[0.17415936496659737, 0.17740124754441858, 0.17891962376582332, 0.1811268962383389, 0.18785518670680765]","[0.017568585240181473, 0.023727736188108334, 0.028637937668834698, 0.03258738281707718, 0.03561138520317615]","[0.12045841750473017, 0.13065140481520252, 0.12458450494737947, 0.12911838707488366, 0.12888886370205468]","[0.015011651073586664, 0.02152957133920132, 0.027469574857573727, 0.030376939721406242, 0.033201973114096874]","[0.05196047406236884, 0.05451322754277021, 0.07899893923537903, 0.06364333691563016, 0.061346353305588346]","[0.030088439302704845, 0.035266301900659686, 0.039716939413975874, 0.0445289351289872, 0.04994393636713085]","[0.0686941587446446, 0.3604511004835881, 0.0867633599411734, 0.21126659194391673, 0.3825518693552259]","[0.01801789462799637, 0.02317032365111188, 0.031131562467342132, 0.036733021233122394, 0.041820520617125295]","[0.6796961854849558, 0.05121901699157327, 0.06137227894010674, 0.2071832075363846, 0.2449034876171955]","[0.13893479040369008, 0.13896034149107217, 0.138985049974619, 0.13900865640966303, 0.1390327767474071]","[0.2749631472648411, 0.16989415134529337, 0.7506559546550348, 0.1707613719363236, 0.17117618260391027]"
11,"[0.024475454741536437, 0.03134332835499291, 0.03676670769516618, 0.039417421033679456, 0.043845916729452684]","[0.17472275492594963, 0.17839467747900478, 0.18004057753780892, 0.18330422134295024, 0.18990815013604725]","[0.0176067816217437, 0.023776655536714725, 0.0286700225329354, 0.03262026516411003, 0.03564413750702373]","[0.1264943102336486, 0.13643147574399705, 0.1302638274624489, 0.13469094967480036, 0.13430344908873593]","[0.014760536145220604, 0.02135946341377557, 0.027203242821752387, 0.03028968587241354, 0.03310280957051873]","[0.051841342940835713, 0.05447627613071549, 0.0797720829413527, 0.06394354364431587, 0.061388311754395374]","[0.03063494184112611, 0.03653007265984607, 0.04084057292569586, 0.04573436365565136, 0.05097121292020516]","[0.2120060837652874, 0.42418075364514163, 0.09009564861025061, 0.15532133253129696, 0.321993008126694]","[0.017949278279329964, 0.025085219114660405, 0.03306551321810252, 0.03998270746504653, 0.04424128601496819]","[0.21145123902927213, 0.053520458725280315, 0.07086671442639098, 0.18497828377169956, 0.28262679295685883]","[0.13893481332256, 0.13896034438658256, 0.13898505619659612, 0.1390086593303169, 0.13903278013744352]","[0.16943210177265583, 0.16989426775097022, 0.17035549377027082, 0.17076137296188584, 0.1711762252267946]"
12,"[0.02357159303525735, 0.03082335497131355, 0.036301985898383564, 0.039058692836027704, 0.0435801557658984]","[0.17464689467763894, 0.17901170196764282, 0.18082470420664254, 0.18514203865301504, 0.19174396444988778]","[0.017678110062532826, 0.023855646330167575, 0.028729907862447474, 0.03267823917920978, 0.03570365001920199]","[0.133205387402881, 0.14275437162793478, 0.13642727450461714, 0.14073307967297996, 0.14020457731245325]","[0.01460148152936456, 0.02123314766833435, 0.02699546222551575, 0.030221601654811976, 0.03301700384042398]","[0.05150347617046288, 0.05419187251475153, 0.0798904513273296, 0.06392000970657662, 0.061188709430709844]","[0.031212481463426492, 0.03558542209155416, 0.03982431656180507, 0.0434080183612738, 0.047744803612876634]","[0.30606752844474605, 0.5967253145173395, 0.11117669519821087, 0.30483363939013614, 0.3590705074563066]","[0.03612499848252146, 0.038368653170827945, 0.03668550259483862, 0.04638221252467786, 0.04743607384950705]","[0.0327841463562947, 0.10024993233394366, 0.04911595542332972, 0.5229457573683954, 0.8943165561192674]","[0.1389348152189396, 0.13896034506491575, 0.13898505770730815, 0.13900866047271093, 0.13903277928081714]","[0.16943212649289513, 0.16989427915145058, 0.17035549886577264, 0.1707613799300969, 0.17117619592515496]"
13,"[0.02291335826931496, 0.030504869479902174, 0.03612541486508263, 0.03894700077377259, 0.04361852578887464]","[0.17604165220153128, 0.18080079718683434, 0.18280076904681244, 0.1881258817332851, 0.19430684833858744]","[0.017725518766738294, 0.023926221445005235, 0.028779947220517636, 0.032727773271031185, 0.03575417474263881]","[0.14111903583511604, 0.14936366201978413, 0.14344772576267611, 0.1473666195863853, 0.14687120225616448]","[0.014472973203280086, 0.02114278032805494, 0.026847409114746985, 0.030192514296790346, 0.03297754501607505]","[0.05097968041799202, 0.05392091018221124, 0.07992602813107193, 0.06408671511912424, 0.06120419738830437]","[0.04188205363485573, 0.044531355840790425, 0.04662231903623507, 0.048573201154653176, 0.05081735289636464]","[0.4676934053046521, 0.665165556936725, 0.15004498440017583, 0.3592067889773763, 0.39458997069146307]","[0.029820088221749842, 0.03484556545558286, 0.030579707721562693, 0.04424737300565573, 0.04382517007547414]","[0.0282877045049464, 0.08840364416505973, 0.05749182278996128, 0.3668994678104075, 0.8915423777392444]","[0.13893481516933973, 0.1389603456037014, 0.13898505762852262, 0.13900865933019155, 0.13903278102821337]","[0.16943212589484322, 0.16989429077341217, 0.1703555003221404, 0.17076135345884336, 0.17117622720687023]"
14,"[0.021989973425682735, 0.029945779934405985, 0.03557274077963267, 0.038516641678156945, 0.04318987897497024]","[0.17540862353651238, 0.18108740764430584, 0.18322824627361456, 0.18965760683149113, 0.195904375203051]","[0.017738111107915813, 0.023969352486692727, 0.028808593002965267, 0.0327560839105617, 0.03578399087311359]","[0.1486785519045151, 0.1557152204136746, 0.15009470705651273, 0.15353889591075795, 0.15302515725689134]","[0.014383536854855074, 0.02109141922301124, 0.026766206176108993, 0.03018724236785873, 0.03296465083700383]","[0.05003845294054996, 0.053475760087628485, 0.07925431156959592, 0.06371591775926058, 0.06096525250305675]","[0.04265407377853257, 0.045166448421967625, 0.04711959326093277, 0.04896070099899697, 0.05112042170038251]","[0.3948037796361337, 0.6237486728753892, 0.15529989574591033, 0.3385726059724687, 0.38762051895446464]","[0.02206756963100631, 0.029472785986475004, 0.03090189094812854, 0.041828935720982716, 0.04121254056865283]","[0.02664146125111658, 0.28607986478366687, 0.32536216917126354, 0.3377378848001091, 0.8991480593866467]","[0.13893481471612906, 0.13896034599175655, 0.13898505801127825, 0.1390086605659514, 0.1390327807745486]","[0.16943211419917212, 0.16989430217463777, 0.17035550292796067, 0.1707613793052317, 0.17117621806728697]"
15,"[0.021098738757611663, 0.02935448537566906, 0.03505265714904596, 0.03812243333771895, 0.042811887269126284]","[0.1743461749005012, 0.1807711742534988, 0.18316597044832525, 0.19065091968936015, 0.19701533353636633]","[0.017756387573249325, 0.02402362575151613, 0.028846634103888578, 0.03279289752729591, 0.035822794944834556]","[0.15673298910366035, 0.16093263950606493, 0.15700200831396216, 0.15925703041554204, 0.1590514709296811]","[0.014322691259552349, 0.02105171902482739, 0.026712027438817607, 0.030198161316803872, 0.03295340589062175]","[0.04880781862223498, 0.05285759513997438, 0.0776617802398002, 0.06307827512965844, 0.06063342789917955]","[0.03400815183065485, 0.03729906456951767, 0.03979349754789722, 0.04205854924367768, 0.04466115565597524]","[0.3621190053057157, 0.6087138929392157, 0.15636214287942773, 0.3523736059097283, 0.3909419940027502]","[0.020735299994601688, 0.030196922176285824, 0.03488951931072774, 0.04775064408668715, 0.04742688019926911]","[0.028153113731194924, 0.3761657621760802, 0.4671093346560831, 0.42708942331516575, 0.9054132684196327]","[0.1389348146214871, 0.1389603445589079, 0.13898505752273047, 0.1390086602371575, 0.13903278101450603]","[0.16943211670887226, 0.1698942763827362, 0.1703554944587887, 0.1707613754939409, 0.1711762263646003]"
16,"[0.020398382600456427, 0.028945624692635494, 0.03470161985827324, 0.03788513256381128, 0.04254343840723846]","[0.17389881982492486, 0.18108918902485718, 0.1836386447917773, 0.19223987385583052, 0.19844012443680328]","[0.017831742228407117, 0.024120735150236737, 0.0289251240420711, 0.032864575139011226, 0.03589869219722032]","[0.16373886750169858, 0.16649360058272308, 0.16280369139110082, 0.16470721223728643, 0.16449789127413705]","[0.014257571116076933, 0.02100995226516972, 0.026674940496096537, 0.030240442622911756, 0.032985485808990966]","[0.04677433779110259, 0.05178516540350679, 0.07468285425912333, 0.061795590711830835, 0.06017473508894511]","[0.03597029433270236, 0.03903848274124175, 0.04138313833016558, 0.0435275418319744, 0.04601039399185037]","[0.35127265398040763, 0.6005949795660512, 0.15901508102999662, 0.34026191162498926, 0.38182646300439893]","[0.024861385752788394, 0.02812975667313202, 0.02794483955562319, 0.03730862751163201, 0.03876122796458571]","[0.030821462991134082, 0.5394169783989758, 0.494780919597142, 0.5697133221633951, 0.8989842711766964]","[0.1389348151835887, 0.1389603462017056, 0.1389850579646986, 0.13900866050227717, 0.1390327806075211]","[0.16943212433809568, 0.16989430229467853, 0.17035549834938896, 0.1707613794285009, 0.17117621967283264]"
17,"[0.019679284549271387, 0.028513043719987346, 0.03436320927910622, 0.03767339710963695, 0.04229051913020499]","[0.17215690210285167, 0.1802492558364644, 0.18310781036672494, 0.19291571327555118, 0.19915655961708878]","[0.017918429035147496, 0.02421764068594719, 0.029006185888926297, 0.03293643717960769, 0.035975268521778195]","[0.17032531561133946, 0.17073599886715946, 0.16807182441465823, 0.16950134266702938, 0.16942281531771647]","[0.014230705089968725, 0.021010302669397615, 0.02667604022997318, 0.03031747766697756, 0.03302032836154542]","[0.04522609779933329, 0.051142426813233756, 0.07143887407399067, 0.06074399492832206, 0.059924754140936794]","[0.03615302587773417, 0.03921571963942578, 0.04154561537210278, 0.04367171934309815, 0.04614187205390684]","[0.3376291607892536, 0.5841364055375308, 0.15865933179125383, 0.3334607272158225, 0.37623858207895405]","[0.023686625283265504, 0.03198524515363297, 0.038325453781006096, 0.04595282248074264, 0.05071535744072713]","[0.03203265990137098, 0.6483890822320063, 0.5972760459040937, 0.630872008724099, 0.9088947798037752]","[0.1389348152015785, 0.13896034609373653, 0.13898505800604052, 0.13900866014782398, 0.13903278123990198]","[0.16943212212814168, 0.16989430276773201, 0.17035550195495852, 0.17076136992716673, 0.1711762262356988]"
18,"[0.019207543088833757, 0.02823389469254806, 0.03414814689987801, 0.037620559540080194, 0.04214621981213014]","[0.1713622867360743, 0.18017524941925692, 0.18321200882432018, 0.1940090588303706, 0.20047283894661824]","[0.017990455611277437, 0.024297857989767285, 0.029074607946195194, 0.0329951462277955, 0.03603743237549024]","[0.17531032117338624, 0.1744359605351547, 0.17239783915451942, 0.17317531201294487, 0.17315482551213313]","[0.0142180407546819, 0.02102881814739552, 0.026695020896646673, 0.030407225370672336, 0.03307202698338378]","[0.04365790110139449, 0.05049327495304742, 0.06787725941534219, 0.05943216293649192, 0.05973480211838953]","[0.03743048181006297, 0.040367458032835084, 0.042623551556030266, 0.04468522098150837, 0.047080714645995114]","[0.3406943868914815, 0.5910604516339971, 0.1614224985379186, 0.3219394629564371, 0.37972032833627983]","[0.01850697973682057, 0.028454230603522736, 0.0378985441646583, 0.04421587143301947, 0.05124784538550633]","[0.033173064018970654, 0.6359197797656656, 0.6029512848091325, 0.6303261809778087, 0.9122722895619265]","[0.13893481518141673, 0.13896034632903329, 0.13898505778654602, 0.13900866025928307, 0.13903278095729196]","[0.1694321244715001, 0.16989430479782885, 0.17035549872617267, 0.1707613687118903, 0.17117622489742135]"
19,"[0.01848831566802516, 0.027687726613571058, 0.03362786768868312, 0.03730407467333696, 0.04163263971286526]","[0.16848027557803474, 0.17807930867088032, 0.1812114895051626, 0.19149127066084978, 0.19948292303010792]","[0.01789532334070558, 0.02423188305019309, 0.02902097819074359, 0.032938821506621516, 0.03598110879446414]","[0.17936956854058395, 0.17714824324961598, 0.1757015655142844, 0.1761513034349266, 0.17616043676203486]","[0.014247217481496136, 0.021076655015595584, 0.02673821164401492, 0.03050382367441733, 0.03313753400818409]","[0.04200061612139373, 0.04971805494522459, 0.06431163351019029, 0.05795298880746865, 0.05954096549677579]","[0.02734820792369619, 0.032530267246732664, 0.032282558874219436, 0.04401790529195549, 0.03706257274577286]","[0.04953097963167804, 0.04529836793650384, 0.06770463948842942, 0.7683358241705107, 0.23176116561568258]","[0.019170876827808558, 0.02860747623132404, 0.038377401416694434, 0.042618231932069824, 0.04956076796714278]","[0.03487000625155678, 0.7126714864070866, 0.726535758000724, 0.6369154068819314, 0.9142647206864623]","[0.13893481523485016, 0.1389603457808475, 0.138985057773261, 0.13900865930090425, 0.1390327807909984]","[0.16943212596396617, 0.16989429877739978, 0.17035550010115835, 0.17076135212919308, 0.1711762178538382]"
20,"[0.017970272951756804, 0.027305538742996155, 0.03336800247068456, 0.03717399537378772, 0.041363044370036677]","[0.16623919477166788, 0.1764385418773204, 0.17982739641624604, 0.18962046623331716, 0.19750986290498368]","[0.018206397595435728, 0.02452785729783487, 0.029269652490185313, 0.03316209707570928, 0.036205962122555585]","[0.1793772667127682, 0.17756071562792067, 0.17636069531404716, 0.17672362657471677, 0.17676428301472555]","[0.014343733082682966, 0.021178008897302755, 0.026827662281327356, 0.030626708763672853, 0.03323714292727866]","[0.040206186271435074, 0.04885254481056957, 0.06057327692606858, 0.05640482406375289, 0.0593916118505143]","[0.03642417050066459, 0.049723808354418426, 0.04193743447090544, 0.04768474216368419, 0.03834366086419893]","[0.04538151614652025, 0.11328682973824049, 0.7980238955052895, 0.8624864860352147, 0.7705437492441679]","[0.01938525755168187, 0.028460408495067764, 0.0356814205647494, 0.04277642357401659, 0.04831501571956969]","[0.039128132333123594, 0.7530495598792236, 0.7335704261128156, 0.6693656397440908, 0.9159264925704648]","[0.1389348150861645, 0.1389603459787585, 0.13898505789572396, 0.1390086600699982, 0.13903278107680905]","[0.16943212120615733, 0.16989430527838004, 0.17035550255562495, 0.17076136794260874, 0.17117622628976925]"
21,"[0.01756166395106214, 0.026992143446139035, 0.033143489528902836, 0.0370970601575684, 0.04109287912820198]","[0.16427921935159456, 0.17499075135804806, 0.17856836733431686, 0.1882940325333589, 0.1954123937739683]","[0.018354962411222583, 0.024649109971004352, 0.02938107929361127, 0.03325288268051118, 0.03628838312032167]","[0.17770246382417465, 0.17663733448880145, 0.17635059634384212, 0.17622872949285207, 0.17636965006614885]","[0.031211616780346476, 0.03553982393442733, 0.039051247679521284, 0.04334342212375494, 0.04742336289493099]","[0.05341638785745208, 0.05878897137442553, 0.060282318700806886, 0.06680093904949852, 0.06720716423006153]","[0.0375440962684141, 0.054225603154567, 0.055921238597030444, 0.06041950731233942, 0.05529626737000039]","[0.03251580220424275, 0.04595669014100314, 0.08015364716898297, 0.8875884310784146, 0.8334497071894352]","[0.019989603993635228, 0.029074211849784665, 0.037594232917826605, 0.04395319202752648, 0.048397233071986366]","[0.04345764300646131, 0.732353074425416, 0.7737571012892388, 0.6627788305224434, 0.9203181990555231]","[0.13893481478604305, 0.13896034620740427, 0.13898505590947013, 0.13900866057690586, 0.1390327807133695]","[0.16943211503371453, 0.16989430424585153, 0.17035545915186223, 0.1707613800913818, 0.17117621921264328]"
