,LSTM Train MINMAX RMSE,LSTM Test MINMAX RMSE,ED-LSTM Train MINMAX RMSE,ED-LSTM Test MINMAX RMSE,BD-LSTM Train MINMAX RMSE,BD-LSTM Test MINMAX RMSE,CNN Train MINMAX RMSE,CNN Test MINMAX RMSE,Conv-LSTM Train MINMAX RMSE,Conv-LSTM Test MINMAX RMSE,Transformer Train MINMAX RMSE,Transformer Test MINMAX RMSE
0,"[0.026112935873123782, 0.03515450281324269, 0.03633659696844638, 0.03870269576981527, 0.043070806367778464]","[0.09922362220770081, 0.11004601730091812, 0.11197447817288114, 0.11070611826899422, 0.10391451789564012]","[0.024609855363398058, 0.029437657147854398, 0.03335859117511993, 0.03638900805462752, 0.03944265490829428]","[0.0653968916775705, 0.06821755248424456, 0.07233998400241008, 0.07642653233109208, 0.07953364642939477]","[0.039700282704446775, 0.04119728933920157, 0.04760005699975878, 0.048553187337566354, 0.05214238553314967]","[0.057344971995673566, 0.05556518988166729, 0.06409972683454762, 0.07058635477976306, 0.07218379590930468]","[0.08541895075133028, 0.07670062998004491, 0.09737912015697893, 0.10102328962569644, 0.1034884412972268]","[0.915590514936951, 0.054635697992874876, 0.7576804092669452, 0.06865047077963887, 0.06423155530967815]","[0.03831435031174212, 0.046633038722005034, 0.0636473471611855, 0.07567313249310964, 0.08067085864524964]","[0.07821234340756712, 0.061769391709583094, 0.09769675828202652, 0.08598738898381333, 0.8227217488061485]","[0.08191866931134095, 0.07610003936564, 0.10377670449707756, 0.09666321321429946, 0.08688279657436418]","[0.14062469474543132, 0.13408819366864153, 0.13957401932952726, 0.1521887536862982, 0.13788161596866846]"
1,"[0.025441184638459593, 0.031037474962834523, 0.034804156002825444, 0.03790635284037084, 0.04095155469209691]","[0.11626498182897141, 0.12897890999340986, 0.13093773337408296, 0.12903333422728805, 0.1196769068325218]","[0.022710515237083687, 0.028305247109747203, 0.03241881983493604, 0.03565120313808649, 0.03882766841965232]","[0.08234794522330756, 0.08216568008009668, 0.08565185472158031, 0.08852572259788195, 0.09099404687410872]","[0.031676363313128425, 0.030548512504445745, 0.03681263214949655, 0.037501010935832656, 0.04136153932432328]","[0.06356799625456121, 0.05386624650063482, 0.06215960481891493, 0.06723384016845577, 0.06985072241173591]","[0.06484389192447312, 0.0700232373961157, 0.06291056057793004, 0.06524584484067716, 0.06273856232141774]","[0.8999956176427613, 0.06505238716480821, 0.8152040438127576, 0.08569165163275232, 0.07767028668896298]","[0.03365559243270253, 0.04339773113690236, 0.05919919635247267, 0.07157397637094225, 0.07373951218617708]","[0.04042968922815276, 0.06900631851875191, 0.06103682712854137, 0.072290362288032, 0.06235265180595599]","[0.0740753250713154, 0.08068316274068507, 0.0870499094706789, 0.08662732069995661, 0.09197793369970694]","[0.3246617979492103, 0.33083645363039876, 0.33560142160947076, 0.3325844557411531, 0.33533456394667005]"
2,"[0.025344927599290926, 0.030802080139997953, 0.034596067203657974, 0.037758931383810604, 0.04084895680544019]","[0.12867343350447585, 0.14278737867861893, 0.14473769722040067, 0.14176505374084902, 0.13174111880356223]","[0.021749130693006248, 0.027891258118531805, 0.031879680009647915, 0.03520368599474344, 0.0384076926867053]","[0.09146469201739509, 0.09008588699309221, 0.09332245634556517, 0.09557600953817562, 0.09776330078876995]","[0.026226699262451667, 0.028137690688246, 0.03284681115370578, 0.03433052052417781, 0.03770173793461541]","[0.06525331469850792, 0.05631739007548981, 0.06315742487122714, 0.06734337246571999, 0.07120690437078256]","[0.045442496554872286, 0.056321608403551805, 0.05727615986537362, 0.0619805353413352, 0.06644594434840363]","[0.9062404794074428, 0.08024586235675257, 0.433676330883038, 0.15597161157144265, 0.10427006464907754]","[0.019769115768075093, 0.03582784248074508, 0.06488439570165086, 0.0536135784527959, 0.07775409160936524]","[0.08655541089589865, 0.05389999436439521, 0.06560180267553944, 0.05375935789595065, 0.07113728062776194]","[0.07294123323815023, 0.07709598369499703, 0.0815731285318721, 0.09029649226486612, 0.10622694386695608]","[0.32641604616304676, 0.3316335464053614, 0.3369900427711578, 0.34040062507047575, 0.35637806635490205]"
3,"[0.025264064123785585, 0.03085634981214239, 0.03464600087152717, 0.037705655106067285, 0.0408971238490953]","[0.14181457002148054, 0.15513075909075386, 0.15838752191713587, 0.15330631999264974, 0.14506583924759392]","[0.02148853925873861, 0.028291928360481697, 0.031797757540378765, 0.03522684811698152, 0.03839350663721598]","[0.09801507180081216, 0.09808721897800901, 0.10035426926667343, 0.10235795214996489, 0.10430078058710834]","[0.023998755671445746, 0.026814863996052256, 0.03132300532785137, 0.033495808984733054, 0.03660849487593107]","[0.06768911821340498, 0.05955160041190301, 0.06464245331605276, 0.06822281809767403, 0.07363156173040802]","[0.0450060601706114, 0.05376027776851141, 0.05270468901264894, 0.05772323534521401, 0.06118026836447054]","[0.8599866855425563, 0.2533154554179489, 0.19369652250601258, 0.2520061578057672, 0.12462129275245236]","[0.019541870422778086, 0.035879351057275015, 0.0457850267682088, 0.05210504771133364, 0.04862481845874245]","[0.07158899572966104, 0.0901292656571164, 0.06516904183102391, 0.07044535004894759, 0.7773972970524532]","[0.07212727956479037, 0.08397054363521084, 0.09416703633151895, 0.10059338943655421, 0.10496778849925233]","[0.32217892892102945, 0.3378066938393356, 0.34520235715858133, 0.32382112668805146, 0.3053098091069428]"
4,"[0.026259372975892946, 0.031704897617266616, 0.03552321110245349, 0.03828163301373455, 0.041719954398230875]","[0.15646524580948537, 0.16611791432894032, 0.17129265060114343, 0.16363055025276116, 0.15864208799765045]","[0.021082642516900632, 0.02834897287126674, 0.031566303990412686, 0.035024560345886836, 0.038195112010219245]","[0.10446701757072455, 0.10670535454301959, 0.1074464835383369, 0.10940250025420377, 0.11107077832993854]","[0.023177219866879126, 0.02592157498284698, 0.030771873484645277, 0.03282530168497706, 0.035676120587460135]","[0.07032371887614935, 0.06249109225814653, 0.06618750031673852, 0.06949707750655902, 0.07584709495340726]","[0.04490295914256202, 0.053563875204504424, 0.051662481220693446, 0.05573560233133506, 0.05750183941025823]","[0.8451437485860115, 0.41951373739436654, 0.22572349757932247, 0.32381843286817813, 0.1400899817687928]","[0.01798066098997165, 0.03322533623346558, 0.048168601475211695, 0.05256483693132139, 0.04678017520227768]","[0.0870718082983043, 0.06305223934162704, 0.0977439555341056, 0.09764639249267007, 0.07936011403183263]","[0.06325580435446888, 0.07039713210110865, 0.08062623603953531, 0.08066800268471298, 0.08359112294970932]","[0.3179228934341416, 0.32363422819977006, 0.3400763861132028, 0.3136855740153983, 0.2845907093453195]"
5,"[0.02752681024584453, 0.032801357962248597, 0.03662114470365948, 0.039255871023075074, 0.04255264851492448]","[0.16714774241533223, 0.17261458677491162, 0.1790030715262023, 0.17124346543029598, 0.16758800748751962]","[0.020952167255565736, 0.02866138264786599, 0.03153999924808311, 0.03509948282281757, 0.03820663999176068]","[0.11174353792630214, 0.11471506578061111, 0.11452066330517036, 0.11646514318768135, 0.11784989730583788]","[0.021841245251620352, 0.02528253171710195, 0.029749527389975754, 0.03243914641419502, 0.03516283819367606]","[0.07259382710299836, 0.06547188719388333, 0.06772394658983148, 0.0706319592499962, 0.07812968521079879]","[0.044090712840445724, 0.049690244006610894, 0.05247377187727665, 0.05684571215473729, 0.06047180200986291]","[0.7554178563768758, 0.6766730889069811, 0.2930705397227718, 0.507769815326386, 0.35028343617023694]","[0.023790474886039286, 0.04237863175741286, 0.06041390270827621, 0.06948448947979202, 0.08495126726817195]","[0.7268589006094162, 0.05128630124880101, 0.8287350471606475, 0.06610136082538126, 0.06626031775372805]","[0.06972320718776202, 0.0837729651134409, 0.08815747203735151, 0.09690640557072941, 0.09172220804556266]","[0.32381932457010937, 0.3305086027427958, 0.3378252783571956, 0.31299819410932694, 0.29079006748292197]"
6,"[0.02847393308920658, 0.033485815357435375, 0.037463208735928774, 0.040065805451184155, 0.043122204174286305]","[0.174711439695167, 0.17755365709303048, 0.1843487725134577, 0.1777270954402713, 0.17529738618101542]","[0.020771921348887064, 0.02835725842434271, 0.03142653640659556, 0.034976065212597655, 0.03811165644606778]","[0.11975554198123113, 0.12206990800486091, 0.12173100399635946, 0.12356752353148229, 0.12470276640487067]","[0.02170809663284678, 0.02510752556640928, 0.029612790932503394, 0.03248168598958571, 0.03537762125081152]","[0.0748304793674219, 0.06814290044997574, 0.06925095703881565, 0.0717678610874267, 0.08045048982507903]","[0.042194671780791344, 0.053297692576452046, 0.053031270228673405, 0.05947761807919655, 0.063293160498299]","[0.7013543995464422, 0.7051018230258138, 0.3829354108999832, 0.6039332636461632, 0.4665653348626794]","[0.020337882126796047, 0.03193821405877209, 0.04636396445909333, 0.047699858577469154, 0.05664381511636673]","[0.8980857864213762, 0.0786232525489636, 0.057070530490516025, 0.07312793123494377, 0.07345314074884746]","[0.07226290030143337, 0.08405788411211038, 0.10554290831863476, 0.09931805143721055, 0.09884787246792942]","[0.3330117385980039, 0.33995447124261047, 0.33460388310564887, 0.30971030058914345, 0.3031351250849317]"
7,"[0.029595004356216197, 0.03434524089291982, 0.038584583197491175, 0.04111169660448664, 0.04408915538705126]","[0.18208933272780045, 0.18324139524236663, 0.19104363500616642, 0.18533885285125884, 0.18392035340450477]","[0.02084405008223783, 0.028807071202248742, 0.03152216168208402, 0.035165873173815004, 0.03820642454161127]","[0.128867067446278, 0.13000493783620568, 0.1297258750024056, 0.13138497831559912, 0.13229007721981192]","[0.022154193742730012, 0.02488806350437341, 0.029243229915546405, 0.03203650441698066, 0.034898911097105904]","[0.0762479211860945, 0.0702864747662138, 0.07034939837841248, 0.07254205826751464, 0.08208211664838873]","[0.04776891804671453, 0.05886861674198945, 0.05802917585192185, 0.06394857466402794, 0.06671660039374813]","[0.7128769427040912, 0.7051416165450552, 0.3893710306022999, 0.6221965326832108, 0.5012267782542126]","[0.0247653186102762, 0.031580843962692506, 0.03669664645668661, 0.039089359567201686, 0.04638110264175612]","[0.04530289726497036, 0.0668049959223262, 0.15800815757145428, 0.059783387481225664, 0.11364037456308737]","[0.07086215790015528, 0.08742052799383357, 0.09782821707273058, 0.0931845018638421, 0.08948054924626105]","[0.33597203456236574, 0.3370412955261305, 0.3367858546700819, 0.3203394244085144, 0.324438835813964]"
8,"[0.03027126641968088, 0.03493258643728257, 0.03949788565979208, 0.04190898211709953, 0.044940848096609205]","[0.1887650021013444, 0.18861408122908513, 0.19818981822369322, 0.1934227417363665, 0.192519724333735]","[0.020757161457563466, 0.028100384592073997, 0.031415199428748125, 0.03498576259114033, 0.03809459333312478]","[0.1374330951831103, 0.13855691674752169, 0.1378192080085135, 0.13939930009056387, 0.14006756797340866]","[0.022282661686946054, 0.024820623264101862, 0.02927386423029467, 0.03199951752845596, 0.03480832628736936]","[0.07768545183313022, 0.07220912822570985, 0.07130378109836336, 0.07315924610780625, 0.08357519740884484]","[0.04162740224823017, 0.0500748933578731, 0.0551994093240036, 0.06193633274537047, 0.06710582302654386]","[0.6907279688135619, 0.6737948140541665, 0.4307293136524036, 0.6412709333814328, 0.5362984472225987]","[0.030382430285846442, 0.047355956487927564, 0.06738619789083422, 0.08632872852070694, 0.08615632903091258]","[0.0434225558363713, 0.08237966247371101, 0.43897820558859935, 0.0663555180750905, 0.06792640883824665]","[0.0718892325484415, 0.08342133597564864, 0.08082738815911213, 0.0823754655877325, 0.07931736282375376]","[0.3203532847136833, 0.3161989467522039, 0.30685620935456775, 0.2862926847830142, 0.281893461090444]"
9,"[0.03036356138043888, 0.03515298011690431, 0.039995933212150635, 0.042382329113620935, 0.04553786493786357]","[0.19486442634958548, 0.19367063287496863, 0.20523278385736757, 0.20199195198412936, 0.20100868028248317]","[0.02085911373915956, 0.02843118372562857, 0.03155649313959699, 0.03512686731828015, 0.03821392784026113]","[0.146154522656621, 0.14645063263415187, 0.14554824814512532, 0.1469742549281997, 0.1474449297100936]","[0.021909348731425256, 0.02499721935867241, 0.029036136361360945, 0.03190163102815701, 0.034738865828752026]","[0.07911415183607613, 0.07387800216123337, 0.072171016979929, 0.0737931417581839, 0.08467118042069408]","[0.044051923108391414, 0.05691246855632983, 0.06183377923455236, 0.06592703572066953, 0.07069284004642944]","[0.6517182348703106, 0.6903692353611872, 0.5852991538980625, 0.6791180221487528, 0.6116407581672553]","[0.021276025017449986, 0.033562343388911633, 0.0406820577448255, 0.05151067688007897, 0.060675835481841224]","[0.06701789656534439, 0.08262637728511404, 0.12020133623336116, 0.10077690080385994, 0.09269608859433756]","[0.028302671306711748, 0.0434012341709519, 0.046151588499243126, 0.05065530150233561, 0.053899042531087064]","[0.2502158403882006, 0.2439973832164749, 0.24065704681699235, 0.22082224005058826, 0.2084839851825339]"
