,LSTM Train MINMAX RMSE,LSTM Test MINMAX RMSE,ED-LSTM Train MINMAX RMSE,ED-LSTM Test MINMAX RMSE,BD-LSTM Train MINMAX RMSE,BD-LSTM Test MINMAX RMSE,CNN Train MINMAX RMSE,CNN Test MINMAX RMSE,Conv-LSTM Train MINMAX RMSE,Conv-LSTM Test MINMAX RMSE,Transformer Train MINMAX RMSE,Transformer Test MINMAX RMSE
10,"[0.030093184561889526, 0.03511200757032832, 0.040282059289988015, 0.042662345310324104, 0.04593976993228609]","[0.19956815320501795, 0.19771987875999422, 0.21062149544784897, 0.2091668910352965, 0.20807603251348505]","[0.020965266519240234, 0.028338803978918862, 0.031636004642862155, 0.035189650000863465, 0.038270806904510304]","[0.15530830846925453, 0.155527886454482, 0.1543089080450187, 0.1556376822934533, 0.15589864019135255]","[0.022014169644412995, 0.02490663199021974, 0.028660219039293455, 0.031780744961113945, 0.03460012833045837]","[0.08059396578538787, 0.07534548870821751, 0.0727993276430288, 0.07446445164363338, 0.08560048772764803]","[0.06083466879653643, 0.06052058327726178, 0.06365240046789611, 0.06480503473828289, 0.06695930933149377]","[0.8042901500890969, 0.6425033358753828, 0.7421486652863568, 0.7460683390498087, 0.7003872032303539]","[0.022013645436262917, 0.03031472887854169, 0.03732622743730848, 0.041886730641852415, 0.04798671632726799]","[0.08082988523618836, 0.09730176377891234, 0.05000176827137589, 0.6336661365774378, 0.8716136607437528]","[0.020571865918936744, 0.0322441918949043, 0.03560555160115613, 0.03915677557098195, 0.03879835508881962]","[0.2279201435273647, 0.2490735172544352, 0.2409993618116439, 0.21491581920049654, 0.1996935069147607]"
11,"[0.02953216233427188, 0.03483849808091755, 0.0403223898514847, 0.042810345487814316, 0.0461387142861653]","[0.20101103939323314, 0.19896942688547395, 0.2126106598041576, 0.2105027823267697, 0.21195850445794565]","[0.021286172887441952, 0.028506246016565186, 0.0318546961381371, 0.03537357880201597, 0.03844388883605551]","[0.16495555839272294, 0.1655023590639684, 0.16367732782012798, 0.16489170935436076, 0.16494377815279349]","[0.022816632742019283, 0.025203631503408347, 0.028694160139235817, 0.031675140425802564, 0.03451950492331362]","[0.08143649475026349, 0.07671994421305664, 0.07347223842597454, 0.0748141605068435, 0.08623264456559139]","[0.058779196470132994, 0.06021724486333387, 0.061940201161768606, 0.06324970588578271, 0.06563153732529285]","[0.8221251928216726, 0.6179910750143949, 0.7855865606493044, 0.7617308439947381, 0.7136994614741327]","[0.02377873663833122, 0.02940301809470229, 0.030027935991076164, 0.038331441019958425, 0.04121640162316243]","[0.04977957472909764, 0.041971698077737686, 0.05094905194369885, 0.06577504655787814, 0.08060798436882802]","[0.02110688650104788, 0.030725839074673973, 0.04140837096240036, 0.03942989010092972, 0.03598645064668269]","[0.2158871241295057, 0.21447421961472324, 0.2618464394525758, 0.21710573552164822, 0.22065064103102952]"
12,"[0.02901557774069874, 0.034671112912861936, 0.04043323629499497, 0.0430157282171986, 0.04635385410486572]","[0.20226803561056722, 0.2002481244224694, 0.21151669827159303, 0.2091146749039121, 0.21082384772863114]","[0.021691326355748282, 0.028477617217328742, 0.03205514458919792, 0.03552089663526535, 0.03859567218418042]","[0.17349819476069256, 0.17645030365311973, 0.1735886311297583, 0.1747680531792941, 0.174608795304647]","[0.023424686332285533, 0.025399124984546623, 0.028915778842022156, 0.03183407577635474, 0.034537417931344815]","[0.08184821702662451, 0.0774344484480326, 0.07379652086577526, 0.07502009225189597, 0.08658141576639486]","[0.054750403859347534, 0.053333784273290254, 0.05959338996625715, 0.06155620436762412, 0.06541491143906272]","[0.8312971544766631, 0.619328732834722, 0.7939647883006021, 0.7689847741589856, 0.7209754960982454]","[0.030334873107583957, 0.03569196342572453, 0.031541805901724514, 0.038055986640333696, 0.03858792117409277]","[0.04314852261679428, 0.046930074198539354, 0.05589145514248717, 0.06631234157056332, 0.07923464877667603]","[0.016326311586016454, 0.02336983478629539, 0.024506996779118873, 0.023416878106454073, 0.025625474374890395]","[0.1597587022942566, 0.16156379716183797, 0.1979322338699821, 0.20696981635459674, 0.24865983106594877]"
13,"[0.028299287868500504, 0.034219110954389745, 0.0402222475713941, 0.042915763620788666, 0.04634108564032076]","[0.1988404433262109, 0.1995540527908413, 0.2082441421047738, 0.20627781504481243, 0.20851110719364152]","[0.02252648491498388, 0.02894005098849194, 0.032515847642385395, 0.035917640642725256, 0.038979222422588784]","[0.18383341489089733, 0.18682440174341833, 0.18304534507994916, 0.18401821507507568, 0.18366170980364477]","[0.023233888374126294, 0.02515035969533212, 0.028785853470207384, 0.03175442880552226, 0.03454280090533905]","[0.08175225702582735, 0.07775147450350946, 0.07379945406436225, 0.07482256966491772, 0.08647789154560237]","[0.0573292204907718, 0.05634270673027804, 0.06337205778700512, 0.06615303532820736, 0.07060418341407491]","[0.8371873938337255, 0.6481610136078898, 0.7949468447488904, 0.7774062161908548, 0.727332943939744]","[0.021234484677929575, 0.025263913372425673, 0.023727629075429486, 0.028339186595844414, 0.030806243140850505]","[0.03701202231972416, 0.6867260412493227, 0.05011196273437614, 0.055769582756638306, 0.06940576280183854]","[0.021082008722453884, 0.026785200020571154, 0.031127134060815673, 0.02861302741237168, 0.028377172999359893]","[0.18681591242295273, 0.20047305094531837, 0.2543776181847342, 0.2855982028975025, 0.2786213678631242]"
14,"[0.027546748145284326, 0.033820980744359914, 0.04001532517185257, 0.04285101543956403, 0.04633952755047253]","[0.19465206425076878, 0.19690502789574077, 0.20520051217107757, 0.20374796371714451, 0.2064876954386528]","[0.023867335356715536, 0.02957713613732308, 0.033203600967907226, 0.03650143126585982, 0.0395548214068538]","[0.1992789842931855, 0.2004961910837164, 0.1967858192321324, 0.19732613781590627, 0.196826353849126]","[0.023526408163396805, 0.025363785921976356, 0.028734983910142706, 0.031812053708433825, 0.03470064633283115]","[0.0811621170501438, 0.07768746214667978, 0.0733634163044215, 0.07426821471695788, 0.08569008498266213]","[0.055696065547104164, 0.0551854684314374, 0.0626291744532562, 0.066105855343097, 0.07097978167968753]","[0.8511647241710041, 0.6807175967568682, 0.8067420553138669, 0.7862633592393106, 0.7366784669887195]","[0.015023881290429256, 0.02056394352008191, 0.023008593327460376, 0.03060504415054802, 0.03446847320755719]","[0.13132067519715118, 0.08653624944777864, 0.7671059327232941, 0.21540236256944412, 0.066623439241047]","[0.022225181860532146, 0.029468065950124904, 0.04109276480022477, 0.03206454610418945, 0.028517574078685312]","[0.20789633653206036, 0.2236814942832151, 0.2411144926882123, 0.23960885282035613, 0.23386663803843183]"
15,"[0.02701170223079985, 0.03356913334177227, 0.03986140483344002, 0.0428014522299861, 0.04634643609184064]","[0.1912501149036059, 0.1938192015533092, 0.2027314914423184, 0.201738492410652, 0.20499481363738065]","[0.025278347157426703, 0.03040389208781416, 0.03400099939186228, 0.03720984612479458, 0.04022902664364467]","[0.21191885060024032, 0.21290532834103146, 0.2092906590434899, 0.20951371321899576, 0.20892905254488045]","[0.023229173022347786, 0.02545663897985277, 0.028913601233046926, 0.03189687354421137, 0.03483288487120806]","[0.07949791489245348, 0.07687879771899746, 0.07264709560326002, 0.07325704241938336, 0.08412141868510245]","[0.04728209218368923, 0.04832484788316748, 0.05762802773328902, 0.06342439716778614, 0.07086757857138198]","[0.8499963476467604, 0.6941104270930061, 0.8078123795573506, 0.7879801296153774, 0.738545736675484]","[0.02334528997452747, 0.029285377439970357, 0.024026015474824716, 0.0304439805513994, 0.03280577600005779]","[0.19891178792656725, 0.20180386142560064, 0.22094870146868112, 0.7290899984784192, 0.771005777789749]","[0.021785151562583812, 0.02825002873334364, 0.03065179558818489, 0.03621189127700549, 0.03494280685849848]","[0.22169439511658892, 0.24928338954331614, 0.2267541346731929, 0.2293012084290122, 0.18976012284128366]"
16,"[0.026423012534857848, 0.03317048011442546, 0.03971603085533298, 0.042800589065589756, 0.04641190754801654]","[0.18737634608199177, 0.19006357208225472, 0.199168892888114, 0.1984870518155096, 0.2022591322313777]","[0.026589010199407796, 0.03106699431177061, 0.034713237478506014, 0.03782833686741796, 0.04083000201509232]","[0.22241225428430958, 0.22139139021503013, 0.2186027540306126, 0.21840257686349884, 0.21776711798376527]","[0.022917505007332094, 0.025608958693141257, 0.02922896493685453, 0.03223210857509783, 0.035156058741308026]","[0.07636147925573217, 0.07483803292667572, 0.07102978556126145, 0.07165556713569317, 0.08133226470974045]","[0.049791154468287684, 0.052437524624985354, 0.060584358998048385, 0.06679740575078723, 0.07399299712371281]","[0.8442493404392756, 0.722240396003841, 0.812793856694572, 0.7939768745801423, 0.7442645725691839]","[0.02342322547716828, 0.025066661037264876, 0.022068883968047643, 0.03368815141138587, 0.03796138164621816]","[0.24186755317644362, 0.09433840796970351, 0.11395098309835591, 0.8898317423498532, 0.05972526318280651]","[0.034352166762906595, 0.04891580899699881, 0.06357303079408458, 0.07070793832122371, 0.06617257065796617]","[0.24446245553900608, 0.2683189020933956, 0.2508580268610979, 0.22948062414496123, 0.23184200176264258]"
17,"[0.0258182124086511, 0.03284076437719819, 0.03953726233079488, 0.04272258310185037, 0.04640087631861066]","[0.18450733393193783, 0.18749583735365738, 0.1965833318353438, 0.195980148333701, 0.20028959206115346]","[0.028134541270295584, 0.0321105560458262, 0.03572989392799427, 0.03874462674477694, 0.04170119872650484]","[0.2309503315028671, 0.227704058728064, 0.22563766611354177, 0.22516336125284944, 0.22448884765566035]","[0.021947183489483893, 0.025623197814472875, 0.0293572993175646, 0.032423174504300926, 0.03543521221476149]","[0.07206311909816328, 0.07190193418791344, 0.06885978367496388, 0.06954987473811906, 0.07797391983064167]","[0.05181376937948915, 0.05478517461768896, 0.059864148776715746, 0.06485051979035852, 0.07231191926446245]","[0.8380311926528203, 0.7605671102814845, 0.8047035555663081, 0.7978442373701471, 0.7526815776268564]","[0.013948264588961099, 0.021006941104657575, 0.022542249316095025, 0.02810621577998788, 0.03301885426079395]","[0.10505701660812228, 0.7459509200973627, 0.5535440563809985, 0.07138563669201312, 0.09978157555359758]","[0.07349986309446342, 0.06728253486450649, 0.07176078363366327, 0.07770539438701383, 0.08358015876577908]","[0.2808646923899933, 0.3114080235641871, 0.28182929637937354, 0.30355702339739393, 0.27759997281446036]"
18,"[0.02534256807154082, 0.03259496261820836, 0.0393852692619777, 0.0427249976378897, 0.04647331674440577]","[0.18046610241720543, 0.18361871205273692, 0.1927840144931282, 0.19262102947773665, 0.19743179367148475]","[0.02902799898309249, 0.03273770611220161, 0.036343475625493914, 0.039295769860043184, 0.04222089346275377]","[0.23602770279848864, 0.2319475037505645, 0.23025925103981007, 0.2296624747497706, 0.22897080139286033]","[0.021584284379265507, 0.02578394052703746, 0.029505941410283672, 0.03261989667234738, 0.03589165547098253]","[0.06636762792397995, 0.06768961265708175, 0.06586288650770533, 0.06688463145849553, 0.07355686101891228]","[0.044701726828524975, 0.04968308123803946, 0.0582300590369965, 0.06656500918674588, 0.07506619367565164]","[0.8397470327348323, 0.7570063585154814, 0.8053542035857917, 0.7913104735855874, 0.7488454351876509]","[0.014538654340627625, 0.02070054409286303, 0.021775640852694653, 0.028830952118032875, 0.035141349888364884]","[0.3804396278325959, 0.3047371420495128, 0.13245073172194316, 0.09353789367195757, 0.45453394280345266]","[0.026569170906519685, 0.03030122154323182, 0.037836605882484865, 0.03758747917004563, 0.038045014423661226]","[0.22946568687399935, 0.19210025210829423, 0.21097088554513857, 0.18864872489231466, 0.1834847411256094]"
19,"[0.025208824149256338, 0.03263197408901223, 0.039666663845660435, 0.0431014199571949, 0.04692365848007641]","[0.17847267024276178, 0.1817424064097586, 0.1913739044738364, 0.19146461216168525, 0.1968020873536295]","[0.02983686295025895, 0.03335829925388151, 0.03694359566737995, 0.039840490345739804, 0.04273183900531673]","[0.24034841293449372, 0.2356685468417925, 0.2343669123006882, 0.23369097915103815, 0.23299134745267158]","[0.020778579166811667, 0.025750927379244577, 0.029712592907039877, 0.032828127475543464, 0.03620324493278193]","[0.060259659885810765, 0.06274694437815656, 0.062260223695325176, 0.06396549218683466, 0.06889144586000291]","[0.051601928835674146, 0.056959652429087314, 0.0641150574480259, 0.07143136150335816, 0.07860194865170365]","[0.8295682076209566, 0.7745629143866113, 0.7964557472926975, 0.7963838782141298, 0.751810739111198]","[0.016034630032614156, 0.024144697085671428, 0.03424352624917705, 0.03873229364436421, 0.04373791728667724]","[0.9070051375746014, 0.046000309305637706, 0.05226481203891457, 0.9299971931113664, 0.06126740869421598]","[0.027736128861532913, 0.03153927700938191, 0.04741287307200074, 0.04652155148446726, 0.04202373511484084]","[0.21498873868693621, 0.22537780218034273, 0.20975863366943864, 0.1955120302904278, 0.19485576403152194]"
20,"[0.024351899963534155, 0.03210846651818907, 0.039258378643600655, 0.0428185654658074, 0.04675545321019167]","[0.1751831920188477, 0.17868441867196275, 0.18796250688624674, 0.1880957187752704, 0.19392253537330928]","[0.03072036943732361, 0.03410473144059716, 0.03764354539229293, 0.04048087855680213, 0.043327606289785506]","[0.2426763225159568, 0.23788034672476285, 0.2369058059397073, 0.2361990576259389, 0.2355114776908889]","[0.020737960935983294, 0.025994310690399456, 0.030051385853380547, 0.03325210667012575, 0.03668592496277411]","[0.05372597187444128, 0.057061423687505046, 0.05806823366037178, 0.060748719680561614, 0.06449945457813323]","[0.05012694024995569, 0.055180608807957755, 0.06140734473906598, 0.06798638536816366, 0.07443868414194496]","[0.8310167382392256, 0.7779574977170312, 0.7980722895808692, 0.7964378952983013, 0.751744358266256]","[0.021743410466467404, 0.03427968401000468, 0.04521927851421842, 0.05321229078646386, 0.06136779827573318]","[0.05447498526204899, 0.15307135564004637, 0.29835371736726235, 0.1289631967427027, 0.0787667442790359]","[0.02312798916815372, 0.023836010119315663, 0.03428985253049487, 0.03847259369476335, 0.03157622394690965]","[0.2342160502246616, 0.23112504762689226, 0.22010715103756145, 0.22334081089944025, 0.22114900540483753]"
21,"[0.024107584290881005, 0.03205702231461207, 0.039308084498382787, 0.0429834844242245, 0.046993796993149026]","[0.17247732007987943, 0.176089059814666, 0.1854417148039624, 0.18584110052111127, 0.19207980313931786]","[0.03133266023414777, 0.03466632393117819, 0.038167898258437916, 0.040962813238140036, 0.043777520063383764]","[0.2433975884942726, 0.23900062619782347, 0.2382796882699458, 0.2375609546408749, 0.23689144791222116]","[0.02057916339131739, 0.026096236025438195, 0.03027287103629914, 0.03351663551071787, 0.03696376980660217]","[0.04811846178220476, 0.051918198684267614, 0.05423618834999372, 0.05792480547686743, 0.06116310294842553]","[0.04991031103327067, 0.055252984936508126, 0.06130882094207715, 0.06763062879663513, 0.07378569315706086]","[0.8289582557820381, 0.7824469335556191, 0.7915977462215253, 0.7948630517180961, 0.7556801055981786]","[0.029296720221422275, 0.037106158278648035, 0.04508268449812459, 0.04892933037740832, 0.053250435902955265]","[0.12028431758433537, 0.15817903711711756, 0.13440371422790126, 0.0837322565699318, 0.08521709627533912]","[0.028897412696089128, 0.024636851739917292, 0.035639364999624196, 0.025810552204467742, 0.029094639383260255]","[0.1371667851634204, 0.2850850160675917, 0.2881485867383037, 0.1594057034512556, 0.23415199704931589]"
