,LSTM Train MINMAX RMSE,LSTM Test MINMAX RMSE,ED-LSTM Train MINMAX RMSE,ED-LSTM Test MINMAX RMSE,BD-LSTM Train MINMAX RMSE,BD-LSTM Test MINMAX RMSE,CNN Train MINMAX RMSE,CNN Test MINMAX RMSE,Conv-LSTM Train MINMAX RMSE,Conv-LSTM Test MINMAX RMSE,Transformer Train MINMAX RMSE,Transformer Test MINMAX RMSE
10,"[81.06357167204914, 42.65355337537719, 48.53677080146372, 30.717534532219553, 16.890058145026682]","[13.113464362951206, 11.637977500229562, 13.449108655592592, 13.954430415243992, 15.658230028855758]","[180.32207768323372, 110.02599380642172, 113.9801055247428, 114.74460901347186, 111.06912804708394]","[19.5575857391864, 17.21367678736922, 22.266741959331107, 20.442395882944766, 21.385308196182446]","[315.82084247452997, 562.5365128428035, 580.410459998126, 697.9330733200741, 1140.0615058657904]","[31.101232138942624, 53.477318025694146, 55.65860579708433, 65.48386858622767, 104.37236758587957]","[76.0073726794509, 48.22927239376787, 42.60353491112801, 30.784549275185796, 39.525396181497804]","[19.154512725310703, 21.803340181779625, 16.633781250927743, 21.18051556323146, 25.49307789545157]","[44.68040160257975, 65.0033052183872, 35.36551899913294, 19.048260097366185, 40.44526831172466]","[31.179745045016265, 12.443730625044806, 16.142543783309257, 35.81030297849521, 45.78596692051269]","[361.40622437462866, 418.67958731882425, 425.3688767881471, 428.97465495879044, 440.26714289954964]","[60.709883088176475, 55.06285619327569, 54.443959345130864, 54.14394025075532, 53.095969469167805]"
11,"[156.51692019536455, 105.97097370844612, 56.26483885707636, 45.452335559564816, 36.21768294755644]","[22.892843547992662, 19.483159214597283, 16.449370291782362, 16.965755949188072, 17.398597974884286]","[272.99871687768103, 240.01662078994573, 271.6867216703138, 260.3770053132241, 268.6010492765914]","[31.550261465286766, 26.19329284987586, 26.22298408533989, 27.098896989802558, 27.457016022123188]","[148.363664810134, 161.7731675719038, 144.74564058818743, 115.04013799922801, 42.29785591649403]","[15.89982763067457, 19.46353515197234, 20.12457464613087, 18.22528307417045, 12.456961249380434]","[31.01482512004306, 21.017215918092322, 40.99210735825508, 10.557163229632986, 16.00000607297269]","[16.69206754416825, 21.50293982057024, 16.99009813875785, 20.45199408978341, 23.410661321405538]","[8.170088302916916, 11.487863006309034, 10.449106436579807, 18.89923930184306, 11.122923889265943]","[17.97497341283829, 18.05645544956737, 19.549831622456633, 40.788723459533095, 61.14633292874893]","[306.7729569101771, 330.2483257632538, 321.0039936896101, 312.59336227011954, 309.3495800556025]","[66.17251027390411, 63.84676053975489, 64.80670914742286, 65.69438823161211, 66.06506063711734]"
12,"[57.554287294762915, 67.11981809837991, 67.3092002047323, 80.39243698790585, 70.48687217632038]","[14.776308171369939, 16.881051933802578, 18.02550052043843, 20.36157716569462, 20.609050241015485]","[325.8094699619178, 242.37683782889002, 241.02294729295917, 243.98621661313004, 238.7430152069605]","[33.952434288071615, 29.65054563390941, 34.276130824008234, 32.69693453132465, 33.28181549948312]","[446.48912250211055, 576.7155153708769, 619.5544302276851, 646.4830107965577, 1975.690769623679]","[42.955480230202795, 54.67963789844449, 59.217746970280814, 60.76724902938765, 179.95113351063858]","[27.59982852447209, 14.980581424180869, 31.92267822045866, 60.719735118928774, 48.7404609570091]","[20.077599159745724, 24.843601305788727, 20.25221394741446, 26.982807697313977, 27.665541585051145]","[39.39666185231492, 31.78953547770314, 25.26142767615439, 50.11330071923702, 42.602908293144516]","[8.328354462887603, 18.512857431957663, 14.255534625097887, 23.29161728924169, 29.117240101665793]","[335.90843835384715, 329.2038859067279, 334.1009420829237, 327.13494054115085, 313.6087172660037]","[63.25171560571151, 63.951177661133116, 63.49837969757438, 64.23948394416699, 65.63800542744326]"
13,"[93.45157519018571, 97.96362456171381, 86.81035326835469, 96.80877510224687, 79.7046779448699]","[15.430258544280488, 17.1918833142497, 17.81815519989154, 18.838033928539435, 18.66293399023259]","[147.5692759861206, 133.41151715046712, 158.70557957453235, 150.06579528224123, 157.4180747578429]","[20.571381426026885, 17.46103575688463, 17.24643715136557, 18.169721200913223, 18.69781780744149]","[33.5388627350862, 47.96344253108152, 245.35795061771512, 328.57012903502823, 445.3848636869597]","[6.015442223336201, 7.736499794775566, 29.347562502009012, 37.538944150388126, 48.33913918522351]","[26.946026203435792, 19.75583666957064, 19.972625637313644, 20.46829534227472, 31.14848880882101]","[20.74180802694105, 25.365052771266043, 20.871759466652097, 25.21314032983149, 28.04224517271534]","[81.30902411651523, 69.93213652763572, 111.46940853154317, 50.65410744368523, 51.03310908316683]","[13.541993355270613, 22.15141090288178, 19.63270524344312, 22.064063881906407, 30.36092617015037]","[321.21263178068824, 346.3413279274944, 370.0376712203788, 379.89646306050804, 374.1539083864966]","[64.72126496861588, 62.241313193496225, 59.92197858620647, 58.99458019444926, 59.615490819215154]"
14,"[12.273191247147668, 51.234772554367126, 40.9943265452079, 33.69256336026012, 10.254520755015019]","[10.922953771244662, 15.321075352764236, 15.905862077932065, 16.741316394359224, 16.624439140497223]","[29.656724768996877, 19.200424331005188, 45.356161509376406, 36.87188628348451, 44.02452658427879]","[10.200105213373803, 9.38302343773371, 10.987239839559736, 11.463737571060863, 12.260489724708378]","[24.303061437246747, 95.7236866975046, 32.07014985712321, 70.77390353446559, 35.66879608640563]","[6.246892899311623, 13.786842485885442, 8.978490047703042, 14.584151403350818, 9.007316089225005]","[27.05971930107581, 14.592458228207411, 21.653572811459153, 22.029018605396523, 14.386794344362098]","[19.02033229878134, 24.524232395234648, 19.969084963084466, 24.301804916183837, 26.31513322456966]","[130.18497425333905, 175.7676084508244, 153.7669156475861, 154.9412431043277, 155.00477693407595]","[15.079693668212682, 29.00193862133344, 26.60725521099202, 26.62455809125835, 38.311434009266655]","[175.96355568907194, 183.01413963268024, 198.1172778355796, 221.20801195334332, 231.64954775292094]","[79.56626315180728, 78.85651385971026, 77.32091917665707, 74.98063514073253, 73.94778936567398]"
15,"[83.3435309087521, 50.01727627598247, 58.02799355369016, 75.3739668231997, 131.21634455149282]","[17.46723462516715, 15.837586072559715, 17.742769096267473, 20.350535157507938, 26.045619051126078]","[121.89136831431031, 101.71770826598862, 129.47284325721742, 122.1611817819232, 128.41263182051185]","[18.260125633608222, 14.995830058888265, 15.300268083759066, 16.11210315311612, 16.761568588936335]","[25.728668633192413, 85.17913922254999, 166.5573395465173, 52.7100656196202, 158.9503253794832]","[6.323275424167707, 10.60908664023158, 19.01588397229203, 9.758983688036656, 16.122663343182655]","[444.15977268393385, 355.6887900268351, 352.5198215151644, 215.00244907812095, 198.51781021264563]","[58.46684785072901, 57.77923078243522, 54.58558720129542, 49.17190684058596, 48.37349664855657]","[66.89660981763225, 61.648175948998805, 45.525154403779304, 56.22246908529508, 63.100237263760725]","[11.280803189099501, 20.69947768106924, 21.306311843476866, 20.23202679856546, 32.26621003178897]","[421.25240516127667, 451.18243960971716, 445.27156796734107, 433.4483475431226, 394.99346975883776]","[54.77355655144456, 51.877439519742744, 52.49289337573645, 53.705017477932024, 57.55396623923309]"
16,"[47.54965540711982, 21.18372485753655, 34.71730165384611, 29.585419686743514, 32.44629545198981]","[12.744402050806814, 12.872464074220286, 15.230494840783448, 15.851663892500245, 17.185545680280214]","[95.08969879269522, 87.86878765865139, 108.04584320543749, 104.40621946207276, 109.10560542802318]","[16.008424856016006, 13.95301585403827, 13.923176199332682, 14.900043326479814, 15.543191774378451]","[88.66312247000295, 78.34601799421252, 48.79289415899768, 9.204979930948383, 58.82418926345713]","[12.187358943119216, 12.966210086152202, 9.604539454418164, 10.103951772768033, 14.329398768733487]","[43.692915225107846, 42.158880668964485, 38.734849463440376, 24.183105392376543, 29.087887516414735]","[20.74120700620377, 26.068198157132322, 21.736372559610587, 25.092652126070536, 25.792168734565244]","[287.67617877229355, 390.33215247187513, 139.55078949681405, 304.14722046379757, 238.1384290431844]","[33.1814570127767, 52.50544283557442, 30.53523996321776, 44.01777412096425, 48.3341656153921]","[390.6846026684683, 404.85473655910596, 381.3296188015082, 383.80984543090057, 386.5533325574103]","[57.80090753668629, 56.4306677006248, 58.80147281743543, 58.606829373336154, 58.38809245306415]"
17,"[92.52026930995318, 77.13149007792643, 90.38889703556856, 81.98868221753035, 92.60235169266163]","[18.36843315797448, 18.116386794659284, 20.312597431002683, 20.696361699711392, 22.57755736351058]","[309.7705934832111, 240.49828648822032, 241.59789688766762, 239.11769070665355, 237.07429923478207]","[33.69562969079351, 30.332350567420978, 34.024774520075326, 33.038692033147996, 33.33860740398234]","[27.905014996943784, 39.16021390398255, 69.04737150064602, 61.19340560078713, 37.48116869480569]","[5.318940029604163, 6.917808641870144, 10.97027977559868, 10.13785286501616, 8.886841085838995]","[20.76965066051606, 20.758222500475814, 20.54889698690121, 21.03706146163808, 43.99582885751989]","[17.98796131955969, 23.371452819787045, 19.339074343796874, 24.04156001291975, 27.43380512902396]","[9.661219162811054, 10.404810923231809, 66.77695559689498, 38.82232228471288, 55.14266445400791]","[11.783441964607151, 22.79775000531415, 25.880981407869974, 22.074371896046742, 35.142727430935196]","[443.58433469736303, 431.9380141869428, 452.2592399788267, 470.73185133103425, 474.632931383942]","[52.57645285611997, 53.75371337292434, 51.81843220146659, 50.09698024761416, 49.78526246660135]"
18,"[46.49703263217248, 45.5094376193956, 54.20081121706809, 74.87341561260054, 97.4479974778035]","[12.973631824336588, 14.39951306865096, 16.373117871487494, 19.275747242485576, 21.95183930128326]","[20.47660421875953, 29.09333844149904, 45.33963916253721, 44.688700546662005, 48.04592165384622]","[9.753357401938205, 10.159603069286694, 11.470430574897133, 12.153883924624049, 12.888084287372473]","[5.122257666392558, 48.08311215789501, 13.112513579690955, 101.41003815951638, 31.853426498448567]","[4.657171255924488, 9.529473090809356, 9.657823139220127, 17.039612223081313, 11.530270922183389]","[53.863386673876626, 25.851750585128386, 23.567691438063836, 19.299978981795864, 50.75317697612003]","[19.133888237061303, 23.59489977626835, 19.366554128385832, 23.455667969782546, 26.787462452416626]","[58.79053230323829, 14.023510794628692, 113.41131155529331, 56.83817796523076, 93.62594726442754]","[11.7985350802434, 21.24262940272952, 30.459934356465933, 22.596513721899708, 38.25479442122767]","[489.19126407200474, 495.46042047320793, 504.0031509100307, 499.8975831502378, 509.6665512886058]","[48.18832839370638, 47.637844271530945, 46.88789322885819, 47.33272600237039, 46.49749677969785]"
19,"[39.71984448791317, 38.99758346068257, 32.42143502868282, 64.38633325567771, 38.43800224221462]","[13.210748159043087, 14.629624591695872, 16.087472782891393, 19.26373620229329, 18.338966847923174]","[64.90241456019449, 33.63177241640084, 42.10314627104304, 38.99651021661417, 37.98504908170408]","[18.033202769880603, 17.230803948431326, 20.734367812369033, 20.2142861086399, 20.56415457438596]","[63.0779297409542, 28.404662126002993, 8.422448104070686, 26.467196032057434, 35.150513482029496]","[7.664832238665598, 6.337406087265614, 9.00295451749568, 8.92602176919012, 8.801250705997083]","[7.307222257571238, 18.84777566414155, 10.151106532962357, 19.831017879621243, 23.785257814817978]","[14.942093879217156, 12.120665799930851, 17.08997119083684, 28.59917117583311, 19.71286269069574]","[21.43653604438045, 17.945189009463334, 33.85002439002719, 35.011150071347046, 23.488836710023673]","[9.987362500758968, 22.033099912696688, 26.77670757614628, 22.994288176856838, 36.95877397692085]","[277.9301897109096, 289.4774954802875, 299.38550684276663, 275.38291424487454, 265.93207093010614]","[69.09104426491206, 67.94543440136013, 66.97887907272641, 69.44978613517402, 70.45248551719729]"
20,"[51.19373004436378, 52.2113971886721, 55.184080802055334, 56.57636343539993, 61.190016471897]","[14.171959762772074, 16.01566571620779, 17.72459095033964, 18.65735694737823, 19.900842370217198]","[90.78223465339477, 93.38194547362501, 103.70679060140677, 104.05560330573917, 106.8198920490719]","[15.217704357167397, 14.70762470611104, 14.593535122188642, 15.483897618284983, 16.150294301021386]","[34.002703646580315, 26.264556717999106, 42.02506950702335, 92.20923159250171, 92.14285004559487]","[7.190271031091587, 6.097838969334753, 8.864557967161964, 11.20946568441421, 10.454510691443145]","[178.77792701845328, 108.66924888513782, 141.07100686653118, 156.67971804912298, 179.27965155309434]","[25.591593876249796, 25.067809475552288, 32.264906314500635, 41.14528915894461, 43.222742088702695]","[16.289477212069688, 18.683569002546243, 10.23448740047016, 13.309421575416877, 28.358173195301497]","[12.105232619776753, 23.31942308518668, 27.27710941106365, 23.208128764675408, 38.42650364578659]","[294.42324749643996, 270.2136133490028, 263.23672477043107, 234.28574344166208, 240.2908055620157]","[67.41804971348918, 69.90408248551797, 70.647295898307, 73.64129910270265, 73.06568212238618]"
21,"[107.57680066630815, 110.80691925921941, 55.68818839127114, 25.430918240009316, 13.201473145313708]","[19.081289434351998, 20.568655985419003, 17.251963765902577, 16.938555538338726, 17.831265196960775]","[131.4726362484154, 114.90300349074325, 105.93583621284264, 106.82907614255717, 105.08225893611574]","[19.968872101836098, 20.106726898613157, 21.60821318341746, 21.607344707675846, 21.813274713828307]","[1231.784987833778, 201.83028846309927, 317.677881519999, 286.9012459762759, 741.3147748383424]","[117.31006876990793, 23.928647522250625, 36.35730535970763, 33.965510231758046, 76.25557736402631]","[7.230384558466573, 35.04333411220358, 18.226603152690608, 20.833743923860474, 63.70946065399708]","[10.64604809389104, 16.143323900183937, 20.19705290289531, 32.89163738674817, 35.756163175910594]","[61.9333576937413, 60.174984448268155, 47.322496878359246, 62.874597678168186, 79.36151863581193]","[13.27196180362381, 23.904951003446303, 29.057868776834727, 22.73182100298913, 38.985328427554876]","[448.15887084189717, 447.9094569924603, 454.6316149070697, 425.6132957438233, 401.13458224390246]","[52.13282100870148, 52.19353058776909, 51.58952010579617, 54.47546693159821, 56.94753587170987]"
22,"[462.55095990164665, 527.9827843666244, 562.6635453541988, 598.4831842700901, 968.6474161685036]","[51.05487992766579, 57.926099304069545, 61.87686045394889, 65.5748396996313, 99.0696508065353]","[133.70895002491028, 131.38732314634592, 140.92310717518427, 139.40932543697392, 141.16121850362737]","[19.055967038381446, 18.359657386246287, 18.58112981070889, 19.106156023012222, 19.645355773472964]","[174.7381197901497, 7.421721770908824, 273.7162683744044, 313.67080481050226, 447.4467301499994]","[19.932501330745854, 7.082814863830671, 31.63976008688924, 36.49356629652319, 48.92097556931702]","[64.01508159113706, 124.75272078733882, 140.211069837398, 121.1461443479509, 154.06105461762286]","[14.879802667031875, 24.23544982779177, 30.737855220718018, 41.16627244890457, 44.1940901072892]","[156.87634468958188, 174.52201599633705, 194.04832590797153, 188.41003809831045, 216.67217815027345]","[21.765142977262936, 34.551108647417664, 41.55549096800304, 33.93141878904475, 52.255882701709226]","[395.17659487437913, 405.1958198074865, 391.50311515210745, 385.4362684214345, 395.452743806706]","[57.355607249315014, 56.396889465348046, 57.793234568987806, 58.4457391881389, 57.50860490196183]"
23,"[31.296007255679253, 22.720241186789146, 8.426338037038326, 68.23183609032404, 133.8301629085487]","[13.504522862359483, 14.551271532892754, 15.588204573287879, 19.69938899113712, 25.630207276123844]","[5.406830751258939, 12.677005417108568, 20.685196020561435, 17.84984704843709, 18.806046772290326]","[9.67548999700448, 10.890085235851284, 12.067271832919719, 12.830649228226557, 13.571217396214163]","[207.6567927767995, 303.6396441376271, 39.96064567897377, 308.26873544351304, 50.137125127012624]","[20.15113143537332, 28.972561518961687, 7.7236093557090495, 28.792790033776868, 8.656126120669821]","[91.46755613586058, 82.0585381547844, 177.6786009763391, 309.91336619293224, 260.4036581082268]","[16.590600313583867, 20.749111337627895, 34.94610051976811, 56.4480552314907, 54.22779129328417]","[24.079200250420875, 16.346686950469522, 19.57365724779801, 30.71327244022635, 57.11985649440996]","[11.105881154819253, 23.098611242018414, 26.266932865642428, 22.771019185674913, 39.05159121635698]","[479.60183306242135, 473.9334219992377, 473.8190058905808, 487.0234412142132, 528.1450996873011]","[49.102626135986604, 49.683005892021804, 49.74060380756946, 48.54252786615365, 44.84268943751611]"
