,LSTM Train MINMAX RMSE,LSTM Test MINMAX RMSE,ED-LSTM Train MINMAX RMSE,ED-LSTM Test MINMAX RMSE,BD-LSTM Train MINMAX RMSE,BD-LSTM Test MINMAX RMSE,CNN Train MINMAX RMSE,CNN Test MINMAX RMSE,Conv-LSTM Train MINMAX RMSE,Conv-LSTM Test MINMAX RMSE,Transformer Train MINMAX RMSE,Transformer Test MINMAX RMSE
0,"[115.2462247080627, 220.39719849569997, 122.74350323002406, 441.0177767157563, 186.8481043474161]","[53.40303032973024, 51.28228977199504, 62.48723471275726, 94.8988839566226, 76.38784564438055]","[67.12954927636041, 139.60147511470802, 154.35584186960884, 165.0754974228383, 177.16480532169794]","[32.104092426718324, 42.413450811664774, 41.01842730093841, 41.074127681440835, 41.529896644080345]","[264.0039923586184, 90.77838808099531, 106.74589492957452, 19.6262343470631, 203.34323637997142]","[27.54037164078804, 13.050223422289584, 16.295956165919723, 9.39324884944471, 26.59477634420538]","[9.457135485566669, 36.76895512372536, 30.143447524434976, 88.1663579550537, 72.40133765366924]","[16.294625749089246, 15.11104838698833, 19.424980740313792, 24.293242521060442, 26.587357488710346]","[37.77983978303708, 33.546204778759474, 18.020652272154095, 35.46255228209163, 40.476183635640616]","[24.387784342867125, 17.0781972278129, 22.16291277491406, 26.62229297269495, 16.37331394928973]","[25.368764648654974, 1073.50738653797, 1346.3261434465255, 847.095587540272, 366.36190300899835]","[30.09419949637971, 131.53700832439802, 157.5489601761827, 112.34362134212057, 39.4752686008689]"
1,"[554.4348750335024, 490.3636252013889, 182.54308857276285, 438.80148425937585, 159.44910430261953]","[51.75847641352681, 45.36173031816072, 18.412507091770756, 40.58886880461641, 16.56428435223693]","[371.4719114227801, 414.2181674006142, 403.2980898609484, 413.3643749161352, 409.96105018188854]","[34.82750353305346, 53.99560068645707, 49.11770919765869, 50.751279599066216, 50.28595413299588]","[111.36660216162682, 295.3254257205812, 295.0027472688051, 25.576957596429562, 189.70795031803462]","[13.787186000401974, 31.45636573202054, 33.17797291379798, 9.658412907392009, 18.231177453553297]","[34.08762828005033, 39.75711860485308, 48.02702490850293, 39.60306194296025, 33.27444174246076]","[17.72968130087419, 17.71356605661693, 18.645181334386606, 22.97147111297298, 22.28754892985318]","[109.87406298036278, 99.73627967126168, 198.77218337776256, 246.69518581225432, 191.59531286032538]","[34.55693877638784, 21.075635374385758, 34.59656132169036, 51.21102852211994, 34.12545208995652]","[271.9664868594816, 1729.8746767694374, 2067.4625341384326, 958.736647676689, 246.58094785328552]","[111.54829105661972, 110.08967524887778, 141.7684564947934, 43.30470322514048, 61.01774520287214]"
2,"[299.2712442170479, 234.04941110688662, 85.91891837187376, 96.04484169073294, 58.17189945023167]","[35.92008349948802, 30.694770465707983, 17.862278053896567, 12.525098794281645, 12.086368527745044]","[223.19323038460078, 236.66777001705847, 219.1660686370764, 227.6333469661254, 219.32187446454128]","[16.970223614865798, 37.59165708814745, 31.01045874967077, 33.33780767782194, 32.45402765986274]","[206.318030206493, 107.05489062289517, 39.35278744120577, 33.2820796907819, 102.68109639393192]","[21.906196456095067, 11.572947222033768, 10.308405613831283, 7.852692372652506, 17.439901603003065]","[26.938659745697326, 19.819557818650313, 28.680475090364187, 13.971734193708455, 41.37459551295508]","[18.601250141182202, 16.15317416671137, 18.42770107729504, 22.425823113521098, 23.76533189903437]","[39.63948174445921, 28.59796540060508, 10.496412874940686, 13.669415498923708, 24.186347543834856]","[33.47312935957013, 21.274284762787108, 26.174111309657157, 41.758507504849824, 29.384183138197933]","[327.4598613695258, 571.731319034231, 636.1405865539369, 75.4757473418588, 899.5943779230427]","[63.006483696982215, 83.2637234458422, 90.79874122478842, 24.982774355389594, 111.15357719972738]"
3,"[410.45496614812527, 369.1290015259141, 482.65017825708424, 330.36372226874613, 318.87663848064886]","[46.29927392158729, 43.285404288137066, 54.71493426611106, 42.07507211369767, 41.94432533523986]","[1355.941514215052, 1356.213858865971, 1293.4328475744244, 1318.7883716389251, 1304.4044831155804]","[119.30948829942886, 139.8792597746166, 129.19896924089042, 133.0984918918155, 131.548093752349]","[192.65892618596658, 745.6264909234897, 2706.18561630983, 3765.6346952280032, 2805.929123388667]","[20.804199614927445, 69.17816721113867, 248.2746010989744, 344.5246549441451, 255.44167481049885]","[17.708739351266257, 18.963622427401443, 10.115522186302648, 76.53825656539468, 22.29439830388962]","[14.979257278000613, 16.118985501933693, 17.593468464233677, 24.69677071938585, 24.182877219068903]","[11.632812522916964, 14.777297960409562, 28.287528283846246, 53.54847993300078, 70.15586247801743]","[39.50866629500591, 20.51163263051288, 27.16495060311248, 44.89127689210335, 28.474999139595276]","[314.9543837999295, 611.0682716695162, 400.4767013913363, 469.4797933536523, 575.2089983415797]","[119.80766354902757, 147.06294416006648, 56.90464416234137, 50.21566040539906, 40.85088471507149]"
4,"[89.55042776887034, 81.50486707154104, 43.61244805059972, 40.45486622807235, 79.53504661775897]","[11.610928762616302, 18.51592587022706, 16.593000139986287, 17.45949117343707, 13.532728564620413]","[41.80020735855541, 61.614304837017954, 58.670189038435474, 59.91601140566188, 63.39332814825865]","[13.519637709714551, 8.75558138224716, 9.018090621694792, 9.889215450885882, 10.548283931971381]","[206.8892320307891, 95.90302802578438, 226.05660775671132, 159.10464988156497, 81.90277164862262]","[20.763094519344737, 10.94824804433147, 26.747892928834393, 21.301531757762124, 15.343860626553868]","[169.4970743874587, 215.3787576348964, 209.71556538531044, 256.991676004762, 192.32740180037072]","[26.54669998095345, 33.0813990325784, 36.20793326783872, 33.88422667552479, 33.930240789672254]","[44.58682150789236, 31.295616887130688, 52.47080908982083, 52.8388791449243, 71.3203681234604]","[47.3274603070599, 22.079835412323835, 27.461398663378507, 45.31330372654558, 28.013525310393707]","[889.3109769242067, 906.4982142359636, 1361.3912529494564, 1058.165629906329, 122.8487628363041]","[172.740101144947, 174.27102652764094, 216.05613985596855, 188.0534560768982, 102.09554043846931]"
5,"[12.219517385613358, 66.50951474882852, 69.4401577091629, 13.694501404432016, 21.787236118120116]","[8.92877601089423, 11.420251045632513, 12.98768063633049, 14.030962340153682, 14.001150581769018]","[22.45609357642538, 69.96690450115184, 76.65743335666114, 75.23845700972103, 77.30336419435058]","[9.561759329454997, 8.859409782929136, 9.56417523913151, 10.383305954160079, 10.997638053542698]","[538.5989264181286, 51.25533366874679, 69.09457720253044, 139.8223371387157, 104.4416037989042]","[50.78806845986854, 9.443202413797357, 9.478288413561629, 19.78700261832919, 17.496426753679618]","[23.475839278946093, 23.45601068374395, 31.15867721081945, 53.425617005775194, 45.725814020034946]","[16.87170354362789, 19.428163881340158, 16.20521096634004, 22.489181326604974, 22.068730532842633]","[19.11654623504639, 23.2730213660053, 39.182942309481845, 60.24743400393847, 59.64371225482141]","[46.138833283381395, 25.46158833654692, 26.58430455546027, 48.57682203668642, 30.54149484446035]","[218.29921628540188, 576.3967991672571, 207.4563639788269, 509.17404396225106, 380.5204514565839]","[75.17742385701926, 143.84393670076173, 109.87159625984621, 137.59497989697854, 58.96669780316349]"
6,"[99.90345802814915, 80.13712421294625, 35.52897373130246, 54.741431081471504, 92.55864606867797]","[13.438611262613062, 12.38658517009915, 12.035583198133104, 12.783009803312497, 15.454829157111721]","[108.21200993506619, 13.260295816992121, 35.406050665176494, 28.607375489152826, 30.50470525172147]","[11.319263988666728, 8.9337686841463, 14.767458558366952, 12.973350833801888, 14.282496041703801]","[244.84029344427705, 10.03633082765203, 51.863442227292644, 145.0279287797086, 41.862232750211895]","[24.316545691782757, 5.9274651380807555, 11.461416668905066, 20.259536580121523, 12.154676064537076]","[28.568621111660114, 44.50280438073498, 19.961524664839736, 65.72145596529391, 40.60653454417225]","[16.616605426857088, 20.44713557975861, 14.648966474444716, 23.66887688003033, 22.959812490767984]","[19.01110717943127, 20.222015611140435, 33.21887110456651, 44.63866221432698, 56.70286090034462]","[44.533121205011604, 21.702196928458598, 21.017626006731916, 45.74336548019296, 33.06982392170375]","[248.20562961234126, 357.9438832315606, 296.7092232542312, 786.8119062102443, 700.8301637629978]","[113.36242141674182, 124.13357962937684, 116.93686574464068, 161.78602492187565, 154.8385313808337]"
7,"[76.73123182477931, 36.80611928478455, 45.62195170996193, 25.59790136727714, 10.182585178861888]","[16.080876681824876, 13.857678709542995, 15.925081921923113, 15.434332383994992, 15.3382007961585]","[281.21405077228536, 266.7802955302038, 292.4766573947199, 283.94775918098816, 288.9316905075176]","[32.340367329257326, 27.864934103877253, 27.12703888368811, 28.29842719103604, 28.2908499200054]","[64.1689072740003, 115.53742131073047, 10.580803186344454, 137.93670421370214, 187.09944069985715]","[9.424159436490642, 12.718447227745209, 8.72186049226485, 14.927040843880027, 18.532177910201007]","[55.47550607364249, 44.59033497872384, 29.97938901859833, 27.187701200313747, 12.029467623906951]","[21.896806225963424, 20.74319815760008, 15.171845994955232, 23.58493084790448, 23.639136540924127]","[74.0622402272794, 54.654201408401335, 34.27611508819454, 16.283569759886557, 20.022815212261612]","[45.69260969883565, 17.04900850598434, 11.104863425972033, 38.746776006770986, 31.850362369102243]","[60.33542979314556, 146.02122089636802, 93.00174693535091, 55.49592916375775, 96.79388193977456]","[92.17748404785125, 103.96743987023918, 99.25929450779293, 95.10985322487142, 99.42068104500844]"
8,"[208.5504189176631, 265.0335161304206, 368.17702136411043, 506.7372844973922, 603.899226353737]","[24.183939798454098, 29.641039930530443, 39.62409852622735, 51.83384688311031, 61.008230967647435]","[77.75036586353157, 117.8580049214855, 130.75437015566644, 125.6520903515229, 130.54002586262706]","[14.076446225512726, 15.01397925428732, 13.57548596174573, 15.070064115645012, 15.27568742917139]","[321.4361252585269, 28.33106898977854, 425.4229076025646, 266.7350337464476, 185.42298199689415]","[31.32357439208535, 7.805188580394303, 45.24449868234734, 31.393990589009206, 24.372041959014954]","[26.52563270279577, 22.568385041456317, 19.466773258741878, 32.90396254990074, 50.68298420941007]","[16.677448742658246, 21.476192524765647, 15.450341278149002, 21.595272448158433, 24.302276162197607]","[32.995824036588864, 35.7899609266425, 67.17161794789965, 92.51994183688777, 96.42860906286312]","[47.01709251342719, 16.854041436359466, 15.327537147468739, 44.18469492981299, 40.14388945671164]","[421.59014876056665, 108.31864211135205, 168.80925977741208, 90.71403932522641, 669.9550396551917]","[54.237601383942305, 86.09591312089289, 79.95030400258206, 88.28252573951107, 34.13905052761603]"
9,"[209.10572848538487, 181.3893701281132, 282.3242748829892, 228.79053241389173, 205.44867034426102]","[28.20486454522444, 26.750815621729984, 36.95956140741624, 33.20824430989816, 31.944257070817127]","[394.8611249453206, 392.8428272673893, 393.38900144684595, 394.82697044167236, 396.78173254341044]","[42.74391815218806, 39.93057891374363, 36.739045553037954, 38.92650795304073, 38.51945093151974]","[18.88329820743001, 349.7048810381206, 139.63865302914184, 105.12745203153318, 9.969331078154067]","[5.047194577209346, 36.4779005737361, 19.332932604923684, 17.133234321807073, 9.797501429217592]","[6.988768042605299, 28.463775612489762, 38.28978775399454, 28.65278669146863, 39.32897035101423]","[15.123651051548368, 21.088464937788988, 16.3446905078937, 21.496899182514756, 24.861382049459138]","[27.545413863363606, 47.235957269996085, 62.804722673819334, 66.88477466861605, 57.52063409887897]","[42.96631489040755, 10.021252997858443, 10.472040167960667, 43.86880285192873, 40.06377186515429]","[198.29226277075708, 224.005714381263, 247.50301304811785, 279.70020808853866, 69.48342567696591]","[77.25392029921879, 74.63000626589958, 72.25336246137559, 69.01073018364796, 91.23470357349228]"
