,LSTM Train MAPE,LSTM Test MAPE,ED-LSTM Train MAPE,ED-LSTM Test MAPE,BD-LSTM Train MAPE,BD-LSTM Test MAPE,CNN Train MAPE,CNN Test MAPE,Covn-LSTM Single Train MAPE,Covn-LSTM Test MAPE,Transformer Train MAPE,Transformer Test MAPE,
0,"[27.8736406787381, 370.5948486991928, 60.46395908902553, 583.6889345790058, 172.03600053105595]","[8.35842238868232, 32.94233216632455, 12.23132070522322, 61.73512614777105, 24.503925463582924]","[241.50052957451123, 363.0408846252757, 371.1412229712716, 393.5578644528917, 401.6515898464757]","[23.647074998068824, 40.080672749390004, 38.879442316736494, 40.63675555638687, 41.214065339952796]","[351.1106918735499, 58.21942171322494, 188.9704074490783, 94.1028801361021, 98.27899339975436]","[35.56440618066839, 9.185919814942798, 24.999455246175245, 12.1408244758123, 12.281833836947296]","[31.27496486665014, 21.537640575779648, 43.048186880040596, 28.857163625159725, 32.28120340287587]","[82.41213956723504, 81.54076327498277, 80.16903266077942, 75.87735064413526, 73.72094825647602]","[50.09793962096136, 35.86319341562974, 36.247762900701346, 37.42297026585622, 16.1357530800859]","[78.81519667475504, 87.12159699737413, 67.23495420071329, 126.79614596707908, 119.57031309230284]","[1510.5409732079588, 175.94779156291614, 2890.9672753750647, 3853.9130697740566, 122.74388773200772]","[194.57999697931035, 71.4830796326974, 320.9185113333202, 408.1723820381201, 66.79105087468943]",
1,"[50.51801110987512, 375.544053899918, 115.22993465836167, 152.2232499721729, 16.06399915151597]","[12.516258761516571, 40.02336274087282, 19.027197284322416, 23.841811155760645, 12.194300127903496]","[652.6293371919331, 1027.4080272934184, 930.0335641826858, 959.6781188619227, 949.8652633455818]","[72.85204424818808, 95.59202178500684, 88.86659205462306, 91.45506182583796, 90.77400413996124]","[147.18657728480565, 68.68022223415264, 149.07413119629953, 76.6375063386965, 275.29868101063005]","[14.853088198876256, 21.126869705446865, 23.59715859840092, 8.932418828264156, 29.868852818525454]","[72.2420200968199, 116.26810076308604, 95.52715722611454, 102.08880278886478, 82.3670989336621]","[123.6691389152965, 168.3005016492056, 143.7968425454951, 142.76027421177676, 151.97187116543503]","[20.111239003181996, 29.226499444089782, 22.006380779216048, 17.678519893526797, 26.55851173102593]","[49.308202128235365, 66.29604577350665, 31.575488111926596, 57.558911695899305, 45.19366433483875]","[1274.0369668812668, 521.1090201167383, 918.7590552543384, 906.8037768054944, 143.14415256919318]","[143.50416800021154, 64.86984119427261, 113.19083126384241, 108.8249064191696, 38.90319992916258]",
2,"[175.96256581538142, 349.36398214758236, 177.79097815101068, 179.4370808947787, 304.47634107137776]","[21.592500944055327, 37.26980031588827, 22.308886344280324, 22.40138881569332, 32.76102279505545]","[62.71266685313264, 252.76339163266024, 207.65536875095088, 225.14378140982015, 207.77667756105856]","[18.430021117616818, 24.926720995136545, 22.2871412943835, 23.99125600053332, 22.789711357988672]","[336.87258762230175, 56.05355099525874, 269.3668192408368, 546.5233006918, 732.6188763467659]","[30.01437340619103, 8.657021394088058, 23.92340376128566, 52.54921590830961, 67.01873363797587]","[51.27482141066078, 106.83537352968548, 83.4698301522167, 118.10036493273867, 160.30206540357045]","[219.24985549369694, 245.36504598101482, 307.6765826671023, 324.6230101709235, 376.678285950732]","[49.79628651297755, 43.63243998724554, 15.029184461675953, 16.70688675701883, 18.671207117623876]","[53.14528562604409, 67.17249807172517, 30.99228259477535, 56.86688429489738, 48.69803872169468]","[2320.555489392228, 1510.424022982216, 1848.4019403235202, 1335.9472555168493, 136.53417407672833]","[244.94688366801336, 174.9267755003511, 209.9913443232453, 160.839292448614, 25.68819627355517]",
3,"[27.4184067021171, 41.41390927219251, 57.3039271579987, 73.48469423807632, 47.877744944695884]","[9.431307293505116, 11.412505163532018, 12.944430950977642, 14.2657414752294, 16.2970173991]","[88.11353152589393, 111.19173224116128, 73.74275589273897, 80.84834559243129, 88.09349711435664]","[6.880519123754819, 15.990310348837625, 14.111158409111743, 14.834752301731442, 15.937520469865765]","[407.1915523303924, 109.80936104417485, 659.061137197142, 289.08993906036665, 206.513252478175]","[42.365726940985525, 14.45422501607913, 66.06890533682014, 25.949995073488672, 23.930556647063124]","[39.533941576725354, 25.247986101421567, 60.391122469023585, 61.567922870758466, 56.83079582230772]","[300.03712216804337, 353.9548076676296, 432.2944733876911, 486.418413623881, 540.1855578976154]","[62.96176304193426, 115.1020950461645, 29.83386445455484, 17.088544699854598, 88.00832903992558]","[45.82080058291356, 70.39981043699726, 23.11592509983679, 50.510191903433345, 55.68287688356993]","[439.09430936217655, 376.6597067025658, 653.2935538953703, 87.46254666344531, 19.381121833883924]","[74.55420319617994, 77.15706101085894, 98.32054235139194, 48.81597127260287, 34.271807613177536]",
4,"[206.29375036852662, 189.0437487061514, 356.40747190324686, 146.3723334331358, 167.0491961476414]","[25.43573943674375, 26.02210267976689, 41.55797542875145, 23.78858685979381, 24.528215419371868]","[254.20628195012873, 345.8815467167589, 315.19937818569804, 328.0529620528207, 321.17110368752355]","[29.39199887234706, 38.32996676727798, 30.419831472805814, 33.684825566005394, 32.69208803645684]","[340.61485514086206, 134.27369037407772, 159.47243990152796, 453.08312258643105, 390.1965182202975]","[33.649521278887974, 17.68111070698948, 16.80582666043392, 42.194672788899766, 43.90653468829618]","[164.9698537838747, 194.1493350372596, 245.9480137255312, 199.5784869860849, 205.50729975388734]","[331.2888643867371, 356.76740238840455, 483.0244630047952, 573.2314692920512, 620.0161606444007]","[19.0151739560854, 25.111966609013948, 14.074459699129838, 20.468758917173755, 15.633759886546866]","[33.324352312942125, 60.62462246419995, 26.71644047798217, 57.23472056045213, 55.569066883713006]","[412.3129381718572, 693.6284363572903, 112.28009476462142, 353.13145075608475, 350.3141077588156]","[40.93466345822265, 99.78963988378801, 41.420161613982124, 68.14159754886148, 37.46958554930249]",
5,"[103.85285155644976, 113.08063864932762, 59.1310464805764, 63.86470367795971, 52.06125029353568]","[16.55200647299641, 18.799742937262014, 15.674710792155889, 16.86548946451227, 16.13227737126853]","[317.9572303913659, 349.41872073518886, 331.34657363092185, 340.5110493250667, 335.3697844783654]","[34.75048268460256, 41.479796938534115, 32.355770240076524, 36.3033483782411, 35.058428967361884]","[215.67441395454958, 67.77455369887853, 78.81794704679591, 198.29433526158567, 191.45082708373693]","[27.377940109507392, 8.142116138824566, 17.03346071370355, 24.72539617125334, 31.179873568835802]","[333.1148645994109, 391.0767075598377, 324.238102830867, 253.69860997185975, 274.21692188648194]","[344.53348412095124, 374.7750926102169, 509.175383647139, 648.5210089025946, 712.7024445070912]","[31.804503764289944, 63.99651642236259, 56.09736162990933, 38.362189247704876, 32.92155207077068]","[39.65333224767666, 53.831203584293, 22.821457566605076, 49.53763670792606, 48.93441252795884]","[187.58916479011793, 349.0464841852314, 423.9032335525014, 762.4686949705518, 111.09133832912337]","[54.33380285766227, 70.3057767968966, 76.91778160393096, 108.58202854561745, 52.21175802463832]",
6,"[83.30179640439866, 13.753616775308043, 32.078031814743845, 72.79841718446515, 25.470360242361057]","[16.761913430748873, 12.848165936075453, 15.075922029943841, 16.781224020154287, 15.139880060701799]","[296.8412055457046, 254.38622240858834, 233.88200268983144, 243.48621032397511, 241.82265113564432]","[32.289447580241685, 25.810590793331166, 32.75925084264131, 30.463545834319255, 31.883439793829403]","[79.9477831728925, 108.52674545622463, 208.57951340454224, 208.2743830478904, 80.81914333494227]","[15.72394937852946, 12.026904512325594, 21.567688893729425, 27.481136925075344, 15.413029674630934]","[19.482856160773856, 41.27092112357581, 34.729755377157325, 39.54880410165036, 41.14330475939711]","[297.08213023051786, 296.0428944813731, 505.66997373587, 636.6485476231524, 741.5632638439479]","[40.63987591517443, 12.141008789558336, 12.806684909400138, 35.30506676746053, 33.6103534822778]","[37.81792015031906, 52.42629462141268, 20.440675145422606, 45.27738591474916, 42.564532619982664]","[556.7758122186664, 170.37906106250696, 220.80284569489734, 347.93597007412757, 172.76647282170953]","[49.09920361859429, 52.74319419178478, 31.223723025739826, 70.86858045842973, 33.66255253841712]",
7,"[197.99513520831653, 180.84888943103948, 158.23569828067156, 158.37621725133314, 144.62967249972846]","[27.395653431412164, 25.860376823525204, 24.550920719024052, 24.01474640513343, 23.36776289850722]","[51.41221767074905, 32.589722448678145, 67.20861797169371, 54.453893805589935, 56.83932876267512]","[10.879933975293238, 14.32902649393529, 10.846060378551066, 13.103317208330804, 12.821276374780627]","[75.94811272557008, 205.97114466613027, 176.76424581499853, 233.07479319926827, 202.00511375578785]","[10.940978795590492, 20.70551457976664, 25.86095610332605, 29.920098607984986, 29.009759242061563]","[51.03907586929341, 58.65618748285042, 42.01831157497116, 31.835787743945005, 30.218318277622068]","[330.5301276657983, 285.1816091525615, 517.0935778352439, 639.6896503321534, 750.5297020807271]","[25.194341422953787, 30.55871736942385, 64.76661185211572, 57.68117133232191, 46.37262453515394]","[78.20605560592145, 133.18935155730796, 132.09949027309239, 155.56064079246886, 211.241658994233]","[226.2280330363429, 1360.7860426095665, 208.87441567947383, 845.4622569490248, 441.44011469502186]","[34.43345198194754, 116.7975790237771, 35.387309108578975, 68.68768767928059, 40.79733544930685]",
8,"[37.494224878969824, 86.1175211823442, 19.40239442154951, 17.431357472804653, 37.23498023067954]","[14.120590188156212, 18.837684308776375, 15.308532734350216, 15.839689905875748, 16.590786577753477]","[178.73561996732283, 162.2787853839017, 133.11051441878882, 146.8207070806618, 145.58326484990246]","[22.739805386356373, 18.96174929482244, 24.83089582893656, 22.64405419306846, 24.338957900940084]","[17.099672672327358, 31.274837212565266, 353.79642686679347, 188.63737444980976, 137.98797064295755]","[7.716356276869567, 8.132513355512001, 36.789514404394055, 22.725828525635393, 15.97608112338372]","[23.715036185800308, 15.130753419994598, 67.79458681958528, 54.34651597618419, 61.36029593783287]","[338.5820348955983, 283.9879618885493, 543.3999033672931, 660.8709169169574, 782.861798734725]","[19.702619803602875, 22.982426927411577, 14.455063408239843, 100.684676633182, 148.54629840858465]","[94.86527479677463, 134.93828425360098, 148.81949856828948, 127.79070257542142, 222.6019357425391]","[450.1269788887569, 1165.1774792209742, 407.06224144862864, 632.3051902330634, 33.84291723617114]","[102.38674066399508, 162.83602973753247, 96.22145412715953, 118.14888030573924, 65.99864035240807]",
9,"[80.6540934591757, 63.92779790265383, 60.739160396618075, 75.88414350062855, 90.40676972868049]","[17.33658282527465, 16.835448421484482, 17.870155547926675, 20.3420199513804, 21.596102909038397]","[261.6980885400617, 223.6769170496243, 201.69544738907885, 212.84776912262, 213.2237897281483]","[29.335771159566015, 23.933974787510245, 30.207464549539292, 27.777628736140503, 29.60647099793676]","[144.50804125742093, 48.73930371523779, 373.2272368529627, 46.34864296672627, 85.37858523352563]","[22.66537101866719, 9.209833495525928, 41.05534132298083, 11.889751880730744, 13.701644995264997]","[27.134099072761842, 26.657942203783065, 47.76906948454293, 70.72423395529607, 92.41360746471064]","[337.5469279910676, 292.6169092550991, 584.3539634531073, 659.3705927176251, 802.6640529987278]","[22.100293073727972, 25.90401968912876, 24.78142744998968, 77.18052277909678, 49.52939560777624]","[127.66265546809328, 297.18391690571696, 213.12558842043745, 176.1709237594949, 306.5219745441018]","[209.1441883910185, 285.9378636608437, 118.87455474756055, 208.00027158152355, 27.936501111818007]","[76.49818884249582, 78.59275910840165, 68.77080752979214, 76.63260429611721, 64.10815860600285]",
