,LSTM Train MAPE,LSTM Test MAPE,ED-LSTM Train MAPE,ED-LSTM Test MAPE,BD-LSTM Train MAPE,BD-LSTM Test MAPE,CNN Train MAPE,CNN Test MAPE,Covn-LSTM Single Train MAPE,Covn-LSTM Test MAPE,Transformer Train MAPE,Transformer Test MAPE,
10,"[48.666365605217344, 77.15491411160934, 56.38231608805042, 19.21100010086202, 23.97019859095499]","[15.458105402599076, 18.607591127511274, 18.19285461138064, 17.25021248023062, 17.779664787004307]","[15.659913784336258, 11.83891899145961, 26.898402864178685, 18.284353277748213, 17.70190269411889]","[9.030220798647568, 11.809681420535892, 12.150241646966247, 12.18619201076232, 13.010192168086352]","[74.16740963222517, 64.2190025259352, 230.3250775155711, 135.90895104256143, 338.032421765751]","[17.684231839613744, 9.449997777606997, 37.03232093091659, 17.427662775249402, 41.772054831411396]","[49.84735701509228, 65.0058894690185, 68.88184266283055, 73.77861509506329, 84.39792867559063]","[443.78457245521463, 287.0080483658127, 635.0731059879785, 734.9203891999653, 866.186839417029]","[43.211879641283566, 9.93835832542859, 9.229070808627638, 11.349947239668568, 45.17700206300681]","[189.64666380038938, 464.6404408895426, 167.57944796532763, 210.1905196511085, 221.56880525916006]","[298.82981142473807, 127.94519186662792, 86.94568215259373, 139.51630172853717, 377.3034578157598]","[89.13025710582897, 73.93255631668133, 69.94175438029642, 52.997047791446846, 105.73898932128962]",
11,"[57.07636852659802, 73.30762379672517, 105.15924911474963, 109.07699310433631, 110.50348213249303]","[15.479214909703842, 17.594645826585694, 21.5591508038389, 21.21041593289347, 21.984766686744315]","[82.6873494767225, 44.84540267854956, 89.83847299801899, 72.0187168139974, 73.92592291800815]","[14.282665901129985, 15.077629443261012, 13.52132471567826, 15.178103191463183, 14.930861191127187]","[78.09490477665943, 304.3281508263164, 174.9506589267195, 106.45478919967147, 173.73002290525352]","[10.224009064963168, 33.23389025260213, 25.65467967796144, 13.832301979654735, 18.683027857126486]","[44.98691424179858, 19.38094080872107, 94.05622189930891, 31.526999801018583, 32.082265363016624]","[420.13624287910244, 336.95982299529595, 646.226850866328, 766.042531578328, 905.9297116094212]","[28.15352100242981, 70.52861488713347, 126.19757836786857, 147.34984556455362, 137.75204268511746]","[201.81880078864037, 663.7135513182191, 130.01548941015494, 290.683465625413, 167.84152871085809]","[31.672466507959165, 142.44426738072477, 18.319012235459557, 333.89675431174567, 177.14401938813484]","[56.901597083244035, 42.57577761400321, 64.54964333216617, 42.16393738418871, 60.315825359237685]",
12,"[46.331341716540756, 76.74496879765479, 97.06954053726153, 93.26828807274825, 23.363695447371626]","[15.501136598894357, 18.31819651169243, 20.977028122660045, 22.373372399373288, 17.93227809744363]","[394.45327397269483, 322.94471563711755, 365.24636133372775, 350.50960221723744, 350.4196401036947]","[42.21377975249865, 38.89106178387981, 36.936372805969235, 38.51680116656569, 37.70944346746795]","[221.0474775154408, 244.21755824704036, 203.36901605645795, 217.27493496717264, 56.241948635701846]","[26.27101752812032, 26.832919118426258, 22.713670181781488, 24.788411046159162, 12.370870051680665]","[28.54321708237586, 25.68287315796046, 40.26189811977813, 32.77006228292921, 34.72198716690623]","[369.6179407942269, 357.0634483075734, 620.4126429923521, 775.6637356523366, 923.8571963214545]","[113.9834760443429, 18.429294307988204, 47.14482957609933, 12.63205099810378, 42.18137171354655]","[208.42763061287127, 702.0796066459053, 115.81369723949024, 266.20806596872, 151.26210336245913]","[74.51367400721574, 44.353724150471194, 17.243949336632486, 333.36903090204504, 280.105412737701]","[44.5513674526538, 60.423177847171715, 59.33024666618272, 95.02288710023149, 55.46309419344323]",
13,"[224.99796044246656, 226.06662066927962, 256.16926640723403, 270.2483595288686, 284.4356358385001]","[29.76112296716592, 30.66652094896679, 34.8494490859073, 35.38593680550679, 36.68234400149705]","[478.7800854791687, 371.0722038216855, 373.5785494202275, 376.7847842496902, 380.0396789080268]","[51.89144847406213, 41.67777235551268, 47.919710117823215, 46.09327145246079, 47.3952319292758]","[116.42157023901841, 88.38795461590448, 30.986162884882557, 55.81866405329655, 114.49318540328734]","[20.1621942125486, 16.881726853295785, 11.215657244919393, 11.029216670378403, 23.16840499452218]","[20.39692746356661, 57.24253279467544, 36.659811315769346, 51.441834485600026, 54.909724691535]","[316.04191002761, 381.4917683690778, 600.1209409736688, 778.6348878924858, 928.5920985806771]","[12.08533575840851, 41.09952638028495, 166.2439156477643, 137.60514891749278, 127.30760787590467]","[219.60541888331298, 647.1698263032509, 124.50704319303327, 266.9142135321449, 209.62671080966265]","[277.15630939900296, 379.13699370698794, 61.24620113234468, 41.58581954139422, 70.59259492412446]","[75.01043421056237, 31.842519854151284, 58.84810555209772, 66.00164770499359, 65.70717821852523]",
14,"[57.98318227653835, 21.45553529692604, 30.234592529480185, 36.661846801917264, 30.629544604902527]","[14.993909478316361, 14.77377260324428, 16.973146925895712, 17.746550324674555, 18.44529478566923]","[106.53647237220036, 110.51792122582779, 130.44752178103238, 119.48040981525898, 119.76543922057405]","[19.505594739902474, 20.507472235102487, 18.830591029684395, 19.721569129311835, 19.752189194662304]","[27.975965026425044, 104.62403897461073, 107.32283750619554, 145.04252987197142, 76.1910273361342]","[11.557367993388825, 17.24598024660015, 18.743662797662235, 21.79360946962688, 13.270268215017381]","[66.10078980924689, 16.61763688003641, 31.61725922957136, 30.13117629133567, 27.344458935899997]","[281.02828901786853, 421.8063670296014, 580.4769219985468, 773.4222699487168, 927.1057320999608]","[96.6835566155358, 96.3838664605728, 147.1226763894449, 134.167155822094, 135.86414763625362]","[251.95201338522278, 359.44523710080483, 179.66071010196353, 133.33150264787326, 340.7795017482099]","[605.4438344858639, 417.62616346956196, 88.66847604483075, 34.895155989892245, 249.0460225075832]","[111.30384742993404, 93.95262263230723, 67.82174663731485, 59.47687359229461, 85.5538288081228]",
15,"[125.02982478729687, 132.7209203996743, 90.9055200906499, 77.96250764536704, 71.70693205669139]","[22.990117595786376, 23.62553209088074, 20.989780960334905, 21.791223673706337, 22.673633102090733]","[464.69300648874616, 391.86093337758007, 384.99022505330606, 392.7778872648526, 393.8004993683858]","[51.01225719182091, 45.037502808808355, 48.580003160440015, 48.262740767684974, 48.85730518341339]","[102.21796550266846, 339.4373733770636, 163.8092152936049, 303.0610028274114, 18.553267359642085]","[18.64605672063387, 37.91750750321129, 22.061804203073375, 29.87030472862187, 14.106569424948233]","[17.092309552510645, 61.435992358281844, 73.13355232781619, 109.59897161668499, 83.65582414676766]","[265.448525160764, 448.67878736373103, 573.787826356647, 777.8631443599514, 925.4786732976748]","[8.98330564860491, 54.89933426325755, 52.49495087671241, 15.487127680737563, 15.540113110858991]","[245.23723809425334, 412.95017080250307, 221.52290792299362, 171.9217254935576, 426.77168698313625]","[488.625113435608, 219.4906490612309, 248.12787458299067, 318.08212171381416, 593.4394337662789]","[87.8524966007802, 65.27389985788103, 68.19135704605755, 74.01938896094688, 100.12493635556518]",
16,"[27.914757795965368, 23.64474387032355, 15.345624357003132, 19.219121605763707, 18.837848959718148]","[14.62947402555413, 14.938063671167553, 16.56065498209483, 18.06669992529978, 19.35585616122838]","[61.97062138682586, 52.84474985480229, 74.10022295688373, 64.18405790158822, 64.24184121189785]","[16.96949368658168, 16.163146536894054, 16.419958283711107, 16.912314057812985, 17.4100098139541]","[174.10754470295808, 89.69271277038737, 26.969058763776584, 29.948207195618558, 142.13861921621773]","[24.063855862611458, 14.120573232525729, 9.93719030101101, 11.615530106113944, 16.54624751377566]","[85.5607160767861, 78.12408990199931, 78.23975258032885, 91.62850733470566, 108.5551265818849]","[253.4471034199394, 456.20064367580585, 552.0280182009236, 745.9700830602449, 892.0852421460079]","[57.19469200698065, 46.96570189471858, 11.40214237262842, 13.954120241720569, 12.464747965798429]","[319.29246669667657, 396.34809881350634, 145.5846824925942, 122.62642722645813, 330.6793555800377]","[309.1405651434068, 27.72741437521511, 134.46773828864923, 319.374311973479, 480.0432914976857]","[41.28484195635293, 66.92750683280798, 57.050791445940085, 48.642977733222175, 42.25285835872355]",
17,"[44.31362082732319, 38.871879288331215, 32.524594316601416, 14.149698718518305, 11.906928788072788]","[13.867967116716324, 14.469098570205727, 16.346067261956986, 17.698036613189746, 18.6097725512545]","[20.68493757894548, 22.755249157014703, 37.92781441202104, 30.303131361844304, 29.84917821290501]","[15.215123026257334, 15.175999608653193, 15.861100188055193, 16.4756193788708, 17.092165655821802]","[27.908857961222918, 97.08747202348296, 82.43211562384057, 74.43469713889937, 43.39655539713679]","[10.826793087860597, 14.59476147147874, 12.96346662023404, 13.991275160573247, 16.679525829666616]","[36.29355500719071, 35.46857551953581, 34.45363710222914, 42.186567425508365, 55.34937415134672]","[223.2345451106607, 476.20578721541636, 545.7581926770933, 757.7766752734173, 899.9709235659955]","[134.82867418147626, 137.88238766306193, 107.66745466974447, 140.74046684718226, 155.2084643675215]","[219.72946029436966, 328.7189616637037, 241.6785768592903, 176.4387958353151, 494.9094506180049]","[138.47379177550494, 433.93377624622025, 179.6149905670974, 124.11849789511025, 62.97491955026926]","[41.57803841256779, 33.98323117492684, 67.22639277765093, 41.814008893540134, 47.02505592635657]",
18,"[19.138570932089287, 26.609567907826285, 76.7404101473457, 53.118967264843356, 30.718218244522806]","[13.229355596737246, 15.312034471392746, 21.084381735324964, 19.385215694737838, 18.968638873710773]","[37.9373292047014, 19.306091650403904, 12.70658396585071, 19.613715023635685, 22.035800492318]","[15.184719977290564, 15.681781193134894, 16.81498221759743, 17.639508820831335, 18.34734173704519]","[264.73354159681253, 114.39504358321244, 12.48636908484601, 17.5217422806514, 199.7152432194897]","[28.90908044171121, 16.283057880021495, 9.300207767398206, 9.773007842252236, 29.377382253918956]","[77.11986443291188, 67.64941870612581, 56.25218720346843, 25.69881942135629, 28.373224019155995]","[255.28212222261573, 518.0272617279882, 565.793266311202, 789.4200277492425, 902.9371696153005]","[18.719606116351397, 19.963288940204304, 13.577360936005197, 13.19125432707628, 14.444302802168032]","[175.04830693623455, 337.14541329463583, 273.8821713036637, 148.3078260533117, 563.642449087535]","[65.87859222757541, 158.06920180590797, 37.57518076705625, 382.21455349305813, 88.68050604466859]","[67.85111459923213, 75.56991179370104, 66.3237270753416, 97.88387710502245, 72.35336569160829]",
19,"[13.997884850833325, 22.968286052522004, 41.3249007825959, 49.0442932708442, 37.195212066035246]","[14.144873124880325, 16.052140154025583, 20.18907549653461, 20.91908195412475, 20.1427770046153]","[36.30769017753108, 27.031215210840237, 18.538873102845905, 26.10770764434992, 28.812680346546426]","[16.103567986986683, 17.275288578112686, 17.9468088317762, 18.867006497813755, 19.536420759689303]","[24.711079421446577, 96.37560935077532, 113.23756691950292, 113.03469583613696, 47.438245982692585]","[10.253886255752121, 12.433564992659976, 12.640107814698556, 12.224175283985565, 12.896556159212707]","[89.22026464641426, 85.86712398692676, 66.63316939856885, 63.350073123502995, 40.51042561928972]","[220.50582246777867, 497.8095072886673, 539.4246607824359, 774.4780129930417, 892.1231550576701]","[39.298418082426096, 22.10008786136459, 26.4572496614041, 16.44588603843351, 27.87678007570279]","[113.61689412969692, 201.66048225617956, 127.01198629909256, 122.80089835521215, 265.5791419366315]","[332.82296430118, 248.13366477121716, 482.9184028336015, 141.62302401885793, 50.97140381202523]","[91.81208612741383, 85.14063681945223, 108.85364000855581, 77.11439120897967, 72.01339722822831]",
20,"[86.47908223326353, 72.24351835651024, 92.54119337843525, 116.15005014410454, 112.50538454889278]","[16.42067110381389, 17.22896101467403, 21.385207586000472, 23.195179897419475, 23.0001881059055]","[139.6503892081283, 119.68419249678546, 112.226732921734, 119.94869490332465, 122.75816069469133]","[23.689738295184963, 24.14161362177238, 24.40969362782829, 25.206863557611708, 25.73890722664765]","[23.99076652382837, 9.727051040517889, 36.41855364500506, 21.178071997033793, 44.35029127362063]","[10.08407720583965, 8.110424419684401, 9.04463526351634, 10.242218776612404, 16.518883419512665]","[34.596589179784466, 21.276284973144318, 24.708957421313155, 25.250707817540125, 27.928119080784448]","[221.73591394435465, 509.18960852601236, 543.1281360714771, 784.5243460985677, 899.2720088509241]","[17.730741604705035, 50.631923686286825, 81.5736853768615, 105.98656798803752, 142.66061358544374]","[166.19492367855514, 268.9547396290723, 84.28956956020467, 195.79414556327296, 216.29916339988645]","[133.01957284765635, 132.59306498394224, 140.7080214640969, 178.58260266076346, 496.44161284215437]","[51.74792221124659, 52.964565281720496, 56.904639438982485, 55.19088469718497, 39.542129357440345]",
21,"[12.635512113122093, 18.00729186638875, 15.445614850134612, 16.94756784586321, 45.16641003150311]","[12.76580806454701, 14.59636840561331, 16.602928830310614, 18.254570327566764, 21.61611118560737]","[30.008071196320174, 40.885149909273025, 49.08093146587242, 41.983463885587035, 39.89144281252058]","[16.266091921997287, 16.31308631019803, 17.27561198759082, 17.70580474400869, 18.268683116871138]","[60.14243139300852, 101.31235188938037, 181.16299103015567, 184.94268543456735, 33.83330160913096]","[8.537974894675061, 17.55906623531144, 25.19722121025776, 26.94269754526844, 16.323020682263106]","[37.03618353235912, 68.55508015618625, 108.59562217180216, 96.76155876147028, 71.97454011450428]","[249.8157685935589, 502.8905241343171, 550.4925177725826, 767.1273134197611, 860.4733529564239]","[32.21093888456529, 8.83293377297005, 29.94364976029286, 26.526406537445595, 28.575484150224202]","[271.1963855811356, 248.30346019917044, 145.8087956142306, 367.10834299723774, 420.6251784507991]","[46.710355708602506, 81.4430068641596, 58.893726714014505, 75.54642160508237, 41.14340123827433]","[57.397645492578405, 68.07178764083827, 71.97028441430876, 77.92412554260775, 66.82027544597848]",
22,"[70.77931397928603, 79.06974245669302, 64.12177488025506, 55.06678050648321, 31.811829487368154]","[18.468816138424195, 19.298458936940364, 18.9452320630933, 19.836086741529897, 19.54077636178236]","[91.69474394832392, 73.40213008215926, 67.41080939137422, 76.00773001690044, 79.48287577287691]","[18.85482772909497, 19.913115168253437, 20.01107718550765, 21.009983148827125, 21.653809474846476]","[61.67234255029426, 148.8104238719396, 163.8555343486368, 62.419239305904576, 108.06883042171125]","[8.816059452410625, 16.07222266424768, 17.288820560818767, 10.25022586722866, 14.474610525565623]","[56.47362595487999, 75.2202984536938, 58.510233085318276, 80.32092579201401, 63.86451115737386]","[265.0157437513546, 519.4681353679002, 554.5628719732936, 740.802245923867, 855.9673811959904]","[15.020508699550739, 18.5290141234222, 46.478973993657085, 54.245527142788966, 122.69325415496108]","[275.7934673914918, 164.97994059159362, 175.99449198865616, 382.99380446814376, 466.67199378858396]","[19.557417289070187, 19.36308023721218, 74.0510870067984, 41.691018403955795, 66.24540796094247]","[57.30493822951148, 57.875420142490555, 59.805554951081334, 63.86743393608923, 73.08248774434539]",
23,"[129.52956996480148, 104.67773712316242, 83.06817579410884, 100.30892486327132, 90.77682959808764]","[20.57482193315589, 20.666443910091846, 21.43083340912095, 22.856797548267124, 21.652545752386654]","[36.12272241562683, 48.42754776813408, 54.37282625721621, 47.07972513822198, 44.77978889307876]","[16.789112854557704, 16.777662874926406, 17.754094969840132, 18.113711497735384, 18.64432785083499]","[41.909920532177125, 42.74596852167952, 25.80729280967482, 11.431748759960074, 51.696154824116924]","[8.599037673699627, 8.986160267983244, 9.560211131040687, 11.832057215588893, 16.745760014536888]","[56.63536868004433, 36.75740085363933, 25.860314961261956, 29.81375235257419, 28.292668164020814]","[253.1032967366221, 509.5216963082158, 546.2363830772515, 734.132862418828, 846.3326302172927]","[20.143761238345242, 23.47162922724413, 33.005294131599044, 21.642622651864034, 42.51128385742485]","[282.12591809684096, 187.46701626425758, 183.44228190469184, 422.70782041247446, 521.956611034164]","[23.899768240474263, 104.26732908253832, 120.59948553778142, 20.689532953882996, 57.025973180608446]","[61.215359212982314, 72.59226021152588, 57.57479565721626, 67.11895519374355, 74.28550823987612]",
