,LSTM Train MINMAX RMSE,LSTM Test MINMAX RMSE,ED LSTM Train MINMAX RMSE,ED LSTM Test MINMAX RMSE,BD LSTM Train MINMAX RMSE,BD LSTM Test MINMAX RMSE,CNN Train MINMAX RMSE,CNN Test MINMAX RMSE,Covn-LSTM Train MINMAX RMSE,Covn-LSTM Test MINMAX RMSE,Transformer Train MINMAX RMSE,Transformer Test MINMAX RMSE
0,"[0.02170746630915218, 0.026371850612181134, 0.030840218434550756, 0.0341960478131254, 0.038066953414596295]","[0.02628689277689414, 0.03172170890656847, 0.036776234082904806, 0.040982230026085524, 0.04526646770507458]","[0.021159013270588965, 0.02489449346642771, 0.027928979946482673, 0.030452152665991765, 0.03294373674125955]","[0.02520577096299097, 0.02981967107095989, 0.03407126879375607, 0.037896161995916076, 0.041555339340010114]","[0.016902870609314904, 0.024493839504500497, 0.02880366157854163, 0.031185789495294856, 0.03658775958109518]","[0.021250486455430807, 0.02910396026452359, 0.03466692274004124, 0.03843178992510923, 0.04401994114451638]","[0.02269556448937457, 0.02689952558846429, 0.02978215761763398, 0.03306107746652378, 0.033971588869134255]","[0.034286570146073905, 0.035529715998406486, 0.04217857259775297, 0.048865674638722684, 0.052514594204921536]","[0.015460616438883952, 0.022117754747547083, 0.026005433176660587, 0.03139673642344837, 0.033095017544332986]","[0.027365648421604258, 0.03456815314130324, 0.0351409940803244, 0.0396443960871548, 0.04151963761545302]","[0.026446422473233814, 0.029515762270068028, 0.03429156591853019, 0.03447968019464326, 0.04039394427593057]","[0.04417831498198335, 0.046739536768660425, 0.05211797614156922, 0.05095726544264049, 0.055644857876051015]"
1,"[0.016107701931398426, 0.022087678727531482, 0.027303615369698695, 0.030535469839015783, 0.03460503839248956]","[0.021543122301496676, 0.027733201408569965, 0.033666974083648216, 0.037807720159512434, 0.04248789337039741]","[0.01823877335565702, 0.022428324975253502, 0.025857603553863767, 0.02838091246401063, 0.030932466410075153]","[0.02299217194374358, 0.027864538707845072, 0.03238747294367061, 0.036204746010474124, 0.03999500319127715]","[0.015273074195234337, 0.02178701150655883, 0.02624309067215084, 0.029631108432156942, 0.033481948604356035]","[0.020126794980679208, 0.027577179542008907, 0.03326381379975565, 0.037642435894009084, 0.042605572370895274]","[0.023023353649937902, 0.02567325574543367, 0.02448082287936444, 0.023648845840260033, 0.024719714701233002]","[0.03588169434753753, 0.043146668277768946, 0.04317034292094367, 0.04929538887320587, 0.05068771997875908]","[0.015583943570167073, 0.023854776306129873, 0.028947172693447716, 0.02741103959131611, 0.030029957725801304]","[0.0284795650024656, 0.03502489792893943, 0.03605540192440715, 0.03692390580145133, 0.03875238344204425]","[0.04198314459796521, 0.03698381312509671, 0.03531690317115526, 0.043476089212984376, 0.041570266660814884]","[0.051640409411501775, 0.05005948677563176, 0.05199433385421264, 0.059312538706145015, 0.06337789606146847]"
2,"[0.01479025432773594, 0.021129919177211874, 0.026666086363191628, 0.029763155173086486, 0.03410644048599289]","[0.020754108865877103, 0.02732944437472087, 0.033613726768032134, 0.03752250272965895, 0.04254778687016002]","[0.01615037186968839, 0.022126453611920085, 0.02579136542272329, 0.028103154969892227, 0.030614687929878776]","[0.02158493944133039, 0.027802677426095452, 0.03238733679002446, 0.03593430915081487, 0.039736100488325286]","[0.01462428115540089, 0.0213322306044372, 0.02624030805646653, 0.030005693733913062, 0.03345710988832534]","[0.019766466155127827, 0.027411323192126608, 0.033594398430975954, 0.038300142080940715, 0.04309320283632478]","[0.026897195617302493, 0.03141160025253572, 0.028213332310068905, 0.02540835556865778, 0.023754192162461937]","[0.03738846912647938, 0.04518929538646033, 0.04480975080422278, 0.05109735268574555, 0.053214669908349804]","[0.01598457045963691, 0.025683930053680793, 0.030711125296516817, 0.029876801359126997, 0.03063794982748978]","[0.030184092193503115, 0.038475884352459126, 0.03514592380912483, 0.03691672194701985, 0.03991152008934019]","[0.021676809030001118, 0.02774364544952921, 0.031218055984222115, 0.027930228354558807, 0.028458143360962057]","[0.03646288160535393, 0.040166644347967115, 0.04417150180058076, 0.04750113167884048, 0.052440589029555555]"
3,"[0.01501145072719045, 0.02173163157917274, 0.026645873195535835, 0.029750133294582967, 0.033799833452380995]","[0.021314057554573305, 0.0283416559308097, 0.03407391274419502, 0.03797535828623138, 0.04277742154999242]","[0.021067766759677153, 0.0246204130640149, 0.0279843928621372, 0.03056739792558887, 0.03311766854010306]","[0.025062201882226392, 0.029637924314384195, 0.03410551594300169, 0.03796212702692024, 0.041640517678834685]","[0.014440929856591908, 0.021351327412647367, 0.026460240747381663, 0.030461190453032104, 0.03394069951944391]","[0.019776132866297483, 0.027660596109272403, 0.03419816143058682, 0.039119325299367486, 0.04403199793880495]","[0.02812327795104921, 0.032307170906588224, 0.029233286805288555, 0.02359474615905971, 0.022306719203203484]","[0.04030024265363778, 0.04821265896203182, 0.04981598159004486, 0.054479102731345895, 0.059217427970332574]","[0.017842109404734352, 0.029010498771102237, 0.032461068233987804, 0.03257760381732257, 0.03415650909806119]","[0.03498445569492481, 0.04477840537642047, 0.043084026675656396, 0.04398470705707576, 0.0529376132762761]","[0.015254103551839501, 0.01708139522107795, 0.018964379131913886, 0.020284338023584952, 0.02083774484590336]","[0.03140964677265939, 0.0367436769326168, 0.04269573950797929, 0.05226642384667732, 0.05533155097859464]"
4,"[0.01777301715367398, 0.02551044694316117, 0.031021040052418535, 0.03414124903761073, 0.038557817810383185]","[0.02548545695600667, 0.03338982197358547, 0.03940652985662508, 0.04318879735929396, 0.04811274850648032]","[0.017750617662858372, 0.02355642126450522, 0.028503145891075894, 0.030283200270784183, 0.03258525923038884]","[0.024386669352161248, 0.03034284201880272, 0.03551084100563649, 0.03829503768929466, 0.041723482752147406]","[0.014231465899568349, 0.021013521467459346, 0.026366616591803702, 0.030466650392158047, 0.03386487530203808]","[0.019875236865478763, 0.02765755746092885, 0.034801947072899506, 0.03983878894590987, 0.04490874246098526]","[0.029204147415995696, 0.02995558397765393, 0.02627938622288622, 0.022690320967314413, 0.02118286334155722]","[0.04062492908026071, 0.04475683506105386, 0.049580276249626735, 0.052081388373212564, 0.05753761882672257]","[0.028223202130889802, 0.030351534375618928, 0.029229698628002135, 0.02967878615375231, 0.030418692956545205]","[0.043609145726666056, 0.04460583662340298, 0.05151683432400513, 0.05692098973409038, 0.06964642112878175]","[0.013919182120459304, 0.01523198300070878, 0.016144385677411832, 0.015126820314166118, 0.015983016792525503]","[0.03735415747666109, 0.040131411382310314, 0.043113028242267745, 0.04608924527125633, 0.0511501115628301]"
5,"[0.017514438774678787, 0.024400491773128474, 0.029716673201328363, 0.033100257936465274, 0.03721276019665487]","[0.0281534818833948, 0.03488309630219613, 0.04037405923351801, 0.04433393138922281, 0.04903243068907483]","[0.019389123839926116, 0.025348995886708487, 0.030786555164133464, 0.032386505187164044, 0.03451305150967154]","[0.028279611390436474, 0.0342911311362594, 0.039709799454566916, 0.04195433251759996, 0.04495413432762104]","[0.014308092882739074, 0.021176703550766923, 0.02685235417379686, 0.031097268667055998, 0.03465797278462635]","[0.02015696730107824, 0.028228906579852345, 0.03609995964118962, 0.04134483663675034, 0.04677934925442735]","[0.034146094446663736, 0.037342861950643146, 0.03634894975270871, 0.027497888730303954, 0.022740887921235624]","[0.04693041295671811, 0.05623768643327139, 0.06158657541217968, 0.06563204772097384, 0.07399351356135792]","[0.02009431689160075, 0.02659891965937332, 0.025588507353387455, 0.025229655020130404, 0.02532219191791169]","[0.04005917805038992, 0.038294039530139275, 0.04325973698872169, 0.048180439025632446, 0.06880468122164739]","[0.018690911320000933, 0.02217506269925987, 0.017866010615628203, 0.01682737306498313, 0.016746589718388348]","[0.04259622084755247, 0.04212582768217643, 0.04119842952858128, 0.04457945565320822, 0.05100923920622832]"
6,"[0.01980124727118249, 0.026494854821432465, 0.03197187835175878, 0.03503242189634918, 0.038488382559316636]","[0.03111640209919146, 0.03669476209718226, 0.0427835667323206, 0.04591625730520899, 0.04886852717622974]","[0.025291761060678795, 0.031478502574364756, 0.03669949241007031, 0.03806144186462885, 0.03988155046208575]","[0.04053479415562295, 0.04585046181940894, 0.05050974388818559, 0.05186962228140928, 0.05399567961769617]","[0.014259310083181249, 0.02127003097758047, 0.027373825588989077, 0.03165073985213847, 0.0352601341309747]","[0.020249957564823888, 0.02879932566133848, 0.037747937110496725, 0.043159625388939124, 0.049016630055657304]","[0.02732055042297884, 0.029789304836905194, 0.028401929611335804, 0.02306833545559565, 0.01986510979758721]","[0.04246717472144298, 0.051121903008826707, 0.05617147525780116, 0.06169537010301673, 0.07224592955640133]","[0.013845584866345401, 0.02308662447843754, 0.02617481374121465, 0.024050908162256933, 0.025898953991552932]","[0.034848061800836154, 0.036524068427024464, 0.04309723846681729, 0.05221060717932579, 0.08166766672474536]","[0.012179256115862012, 0.013481359155631204, 0.013344410735921198, 0.01429363151029093, 0.015455567900915177]","[0.03148076727102796, 0.03620434762807332, 0.045056217979610284, 0.048860438184763065, 0.049760306596067276]"
7,"[0.02116968527886901, 0.02335120984921903, 0.02861583914360388, 0.029828263792263613, 0.029789838268097234]","[0.0314855300101663, 0.03457046512582302, 0.03867754902634004, 0.04089067771560568, 0.04178993213176693]","[0.021936542483513562, 0.028121979123343216, 0.03328710803378873, 0.03505420378272787, 0.03692478832399332]","[0.035124245180198604, 0.04064183133629736, 0.045542986831198035, 0.04725473845671887, 0.049532425710846636]","[0.01465370516723678, 0.021844048771683167, 0.02839964688677467, 0.03267132565961471, 0.03544686458187793]","[0.020936643629541368, 0.030210336425291917, 0.04035867612693703, 0.04589799712627165, 0.051350927465148896]","[0.02592754592660286, 0.030202850948277567, 0.02702011470940201, 0.02256536263825266, 0.01953845019999018]","[0.04180047839290458, 0.048656272150073863, 0.05592760427839313, 0.05934662966473315, 0.06602254307314251]","[0.015364868076661068, 0.025844981095294168, 0.026661394856170764, 0.02469374072628114, 0.026441733853405636]","[0.04284465534945699, 0.0417756836127335, 0.049027414420920304, 0.06553522394338036, 0.12116741955221619]","[0.010821782511994565, 0.01241125462762222, 0.014855180734558073, 0.016132720047088364, 0.016657044778739336]","[0.03226865862875362, 0.03737127798557349, 0.0420560868895626, 0.0425029768424145, 0.044276796887579066]"
8,"[0.023796636682233765, 0.02505668100605373, 0.025976073822384628, 0.025937582441601204, 0.02569340188772391]","[0.03425433343471605, 0.038364716440107145, 0.03871469630668433, 0.037661021052287226, 0.03818074933290288]","[0.020327170965441444, 0.025774971284628443, 0.03027189180035398, 0.03217154793149961, 0.034117742624353874]","[0.03321209330666178, 0.03824534569344395, 0.04275977449754636, 0.04440030002282785, 0.04653893364462468]","[0.015170722386074802, 0.022766008034601454, 0.030192347914368964, 0.03470098248087689, 0.034369056046242935]","[0.02225747726310679, 0.032703582140899835, 0.04496158919347438, 0.050228985596391065, 0.053758391483003355]","[0.02188115804331304, 0.027943763849357317, 0.024063323290944696, 0.021413387327494687, 0.019145410614397663]","[0.03888664254166048, 0.045401293780174774, 0.05238586413945453, 0.05776580012915772, 0.06314116533991163]","[0.01575898763029143, 0.02363954380521349, 0.028691771855676357, 0.028306357096877423, 0.030656021160488253]","[0.04987245791966286, 0.044526447067497026, 0.0548582511184368, 0.07750309513542394, 0.14571763538731353]","[0.009827876847754751, 0.011642620076051125, 0.011777774533230615, 0.013540988008675356, 0.014828753937864465]","[0.03106908279796231, 0.03631012171536261, 0.041208488188485395, 0.04785634941695796, 0.05329851300004558]"
9,"[0.024253953640292, 0.026940928591975374, 0.02736544160191559, 0.026732233407978173, 0.026359617511250672]","[0.03603876737834023, 0.04178787007276417, 0.039308101156991786, 0.03831286716688449, 0.03915969244136916]","[0.025098805263948296, 0.028425791418462413, 0.03306652482759925, 0.03475824277194212, 0.036435623532073864]","[0.03621129398850855, 0.037345676211494594, 0.041227106985263905, 0.04209281418710081, 0.04374904096246923]","[0.015655302154605994, 0.024103861247328405, 0.03039919168342083, 0.03233650367194944, 0.030005900584410137]","[0.023746597928245874, 0.03635628221261183, 0.04737987151232114, 0.05136677154006441, 0.0562304570417585]","[0.023946469502261827, 0.03172811366031253, 0.025464251183290716, 0.021534583159484696, 0.019388938430458254]","[0.03956164659370569, 0.0453404172872485, 0.053041900767124395, 0.057124120200479744, 0.05962186190438714]","[0.011138539425987307, 0.018122518430096705, 0.024044921153690668, 0.027831112041799864, 0.030097487064228504]","[0.0519847462241268, 0.044702373860158545, 0.05353808973693893, 0.11063647964986975, 0.16567781945925467]","[0.009466702207619823, 0.010295905144351436, 0.01075504028549369, 0.011928860814746225, 0.012915036447908718]","[0.03556187078682182, 0.039187612325894135, 0.04607293566784749, 0.047632442158616305, 0.046191135642887036]"
