,LSTM Train MINMAX RMSE,LSTM Test MINMAX RMSE,ED LSTM Train MINMAX RMSE,ED LSTM Test MINMAX RMSE,BD LSTM Train MINMAX RMSE,BD LSTM Test MINMAX RMSE,CNN Train MINMAX RMSE,CNN Test MINMAX RMSE,Covn-LSTM Train MINMAX RMSE,Covn-LSTM Test MINMAX RMSE,Transformer Train MINMAX RMSE,Transformer Test MINMAX RMSE
10,"[0.02192596400924379, 0.02728802426814602, 0.028420056994339943, 0.02925793967887361, 0.028987244268963822]","[0.033988558593021974, 0.040289317153138195, 0.039998078855176866, 0.04099026523862766, 0.04322511243007262]","[0.02818457516195688, 0.028588073494831615, 0.03239575923755685, 0.03395835084249143, 0.0355424424695236]","[0.03749095378628428, 0.03392178853704702, 0.03671831785839746, 0.03744177135337562, 0.03902081803027278]","[0.016049848166923633, 0.024992913326438895, 0.027110426297033346, 0.028560190928599405, 0.026419782904739775]","[0.025416613544152845, 0.04012734561424298, 0.04874404418696447, 0.053383714679269396, 0.05827202177277178]","[0.020643107184516587, 0.028314614625477713, 0.023789272162387676, 0.020218691378969197, 0.01869008684235043]","[0.04142451281484596, 0.04873880162499163, 0.055629485827445, 0.059788567702887575, 0.0625420158639331]","[0.010106489419466371, 0.014300854024337959, 0.021104389850025974, 0.025495649622361397, 0.027212790934371244]","[0.05894706993360994, 0.049948145387760254, 0.05164226868166718, 0.08347557998543285, 0.15733796140994097]","[0.03400760487783496, 0.034386927254280185, 0.02941617889192875, 0.01760756283954762, 0.01570482204244686]","[0.05282066575871974, 0.05388595547485647, 0.05704285649986064, 0.0596517071293109, 0.05866454390816574]"
11,"[0.022626254722275963, 0.02959405591020528, 0.030318293360351786, 0.0314497329688311, 0.031942137654592924]","[0.03575714015469607, 0.04054695688285156, 0.04018264197923054, 0.04118801939969446, 0.04378074176510683]","[0.029259674270429893, 0.028787343621173033, 0.03154527025156431, 0.03290966989305083, 0.03436479246001295]","[0.038972482094078005, 0.03374932692036281, 0.03529264040563367, 0.035930335818486, 0.03722371912211214]","[0.016554694537592556, 0.026342757989340528, 0.024104713397208048, 0.02529734844682263, 0.024119911344795044]","[0.027318935800709564, 0.041366821308372305, 0.05003829084524586, 0.05515184408364735, 0.060434465913285586]","[0.021669308851724245, 0.028661690700348127, 0.024350186991649814, 0.020774288328821795, 0.01874695342171162]","[0.04306855694596084, 0.04939505570537535, 0.055059662245803505, 0.06005259146380706, 0.06215799174672295]","[0.00978358189978227, 0.011966621327519904, 0.020153456267432153, 0.019228167305096567, 0.017442558262256967]","[0.06115302385371853, 0.049646493646005395, 0.06308743085043753, 0.10959616060731238, 0.21084609870019622]","[0.011333110409803384, 0.011492734242916356, 0.012583196319742845, 0.015695744667510274, 0.014728988310514265]","[0.041058623808737454, 0.04583974689986249, 0.04849871144222284, 0.05008551238180135, 0.04849099007149609]"
12,"[0.025642820061867282, 0.03156561786614474, 0.03269118740726344, 0.03391921525157168, 0.033654933147828234]","[0.040115273261425194, 0.04348585609968174, 0.044440047193080104, 0.045244341045647486, 0.04713924105158049]","[0.022677284642125588, 0.0264466061291171, 0.028355603826650505, 0.029769590395476792, 0.03133063707110065]","[0.03526482575126339, 0.03400415344519422, 0.03404068475563339, 0.03450538057456087, 0.03564363713503388]","[0.01710232012550548, 0.024483197060139118, 0.022131412457328515, 0.022756039006860688, 0.022802506525963207]","[0.028991448924938674, 0.04178784441732419, 0.05168535011513978, 0.05769403558271696, 0.06448686337872989]","[0.022643547826687004, 0.02863587499661926, 0.027421239428584522, 0.02176833176300528, 0.019284410947122913]","[0.04378018617935227, 0.0533637083967054, 0.060586831247484256, 0.06232298043045438, 0.0628911338836149]","[0.009759380081555727, 0.012053454072046808, 0.015953597603179104, 0.01554775955853609, 0.015361097407940042]","[0.06764635886707976, 0.048739969459246815, 0.1172694666251458, 0.16941225772212623, 0.28168227801179235]","[0.011005793038244626, 0.010239000267146709, 0.01174781908899876, 0.012655067097093412, 0.012827755721661673]","[0.03835231807304966, 0.042763364106500015, 0.04454922790227121, 0.04801215507049253, 0.04898462083019354]"
13,"[0.02055400369260008, 0.027585716437957902, 0.028495051138851236, 0.028797610303493627, 0.02780702579900216]","[0.033018155855022435, 0.037262113388783165, 0.038568093967401906, 0.03882908359543197, 0.03985164216451763]","[0.022368890518423844, 0.03084119856664836, 0.03179904180872135, 0.033061823791102805, 0.03423645369449564]","[0.031790735881558035, 0.039896990632575964, 0.039637490151124534, 0.04074118582652034, 0.041856672289550034]","[0.01837057790676139, 0.022843350724538757, 0.020998158603653935, 0.0216297126582489, 0.022402456725226665]","[0.03148599513543779, 0.04214776075348015, 0.05198867977205604, 0.058228748824788866, 0.06388508916005455]","[0.029816118669382927, 0.03226832714969469, 0.033026692882917624, 0.026682758980632576, 0.02266114522694653]","[0.0484599625797321, 0.057553591974735606, 0.06566085025202147, 0.06777071195913484, 0.06947613802281695]","[0.010010315459993842, 0.010888804185274126, 0.013133327629556893, 0.015179027404437273, 0.01776660483536343]","[0.06855159853437007, 0.04896990748971903, 0.08840292379588977, 0.1503398193046492, 0.26638976580381574]","[0.008984305239832412, 0.010224774705647685, 0.011161810419581236, 0.011926288515970065, 0.0121327909276152]","[0.031557842334023936, 0.0360892836982107, 0.042091187826947575, 0.05098462879878769, 0.05234786846243566]"
14,"[0.016515624156977517, 0.026165279951094658, 0.0301493874948798, 0.030076362141668807, 0.029936756540846224]","[0.030850160533407906, 0.037229403652730766, 0.03914481388921096, 0.04135417364154786, 0.04363079429503505]","[0.018201626667636046, 0.029957330364290016, 0.02963816074285598, 0.031115966827596177, 0.03245150316488811]","[0.025711235070222865, 0.04148670991224122, 0.04222707069040881, 0.0462124167618613, 0.04961697079619451]","[0.019172091637876105, 0.022792807003526927, 0.02095041966444766, 0.021611744785414555, 0.02219471555801402]","[0.03388264463718275, 0.04304786273292894, 0.05315758287426085, 0.059793993931593556, 0.0653657129445833]","[0.02119680033771558, 0.023673042592180418, 0.02477170880836928, 0.023255749428035113, 0.021343291445946648]","[0.044055172841682894, 0.05167216417153873, 0.05908415431662799, 0.06529407596641283, 0.0680435932303899]","[0.011042946573562912, 0.012922206681131837, 0.016449614571999043, 0.014913904722411959, 0.015212825493094984]","[0.05844156317491415, 0.045423351687595155, 0.133031507687318, 0.16942168695468274, 0.279909177528865]","[0.010168472609347303, 0.009751793666734461, 0.00988878060831526, 0.010432901710854385, 0.01097001801054726]","[0.034174830656473414, 0.037796813905091896, 0.04146642769063845, 0.043100373003689324, 0.04683244058528916]"
15,"[0.01731652762442533, 0.025957864266648506, 0.03402858930256192, 0.03094418201483226, 0.028192407837384442]","[0.028212660906944978, 0.03390441331244394, 0.03750772318887363, 0.040847115695084805, 0.04258017973756858]","[0.01435773549388834, 0.0281211883386232, 0.028039090908046564, 0.029338349999245207, 0.030748398461951577]","[0.0226778224635275, 0.03849607274691595, 0.036537376294341437, 0.038154063587018484, 0.040217756958589534]","[0.018804591891849534, 0.023000266876411515, 0.020659118300059773, 0.021607974964796724, 0.022078449962963105]","[0.0331208036384684, 0.0418843628718066, 0.05084401273497538, 0.05668726150563457, 0.060839237681674076]","[0.01603558642520736, 0.017599764582809752, 0.018716314376391385, 0.01761866988061976, 0.01757843917867561]","[0.04071713249288989, 0.04888023394817106, 0.05510231972532866, 0.05786616851488078, 0.06086863046376155]","[0.009445551840952695, 0.010375145439155952, 0.012896260607861476, 0.013529753024613766, 0.014992433871295613]","[0.06083710349118432, 0.04699573592780368, 0.1123973460969851, 0.15499642386691373, 0.25161692146390163]","[0.008599432134690008, 0.008981695227598112, 0.009451630314361963, 0.010032096032857337, 0.010055657326800763]","[0.03421693023786995, 0.03694877587082015, 0.042065490660243406, 0.04969591738560024, 0.04682254152076922]"
16,"[0.015124847703529903, 0.023292370195038395, 0.030504536919614772, 0.02828388127529643, 0.024920879782674755]","[0.027843748514114107, 0.03441614022872425, 0.03804789429845798, 0.04107693110662618, 0.04472616356473347]","[0.014247642952276013, 0.026766930660263748, 0.027742614953809953, 0.028509597729951056, 0.029838176868512176]","[0.02265861005440302, 0.037874190798366826, 0.03845482625027767, 0.04129557802775045, 0.044930018316843755]","[0.018493305875721684, 0.023466659697975754, 0.02108292963393558, 0.021929832818559133, 0.021971084691385995]","[0.03265073310205824, 0.041318283746663576, 0.049753328320295255, 0.05452353003470626, 0.05815437919116693]","[0.020914233382815575, 0.023820888530786528, 0.025359236097706024, 0.021918818582044704, 0.019643360082159483]","[0.04671066579859772, 0.05364117971241557, 0.05977823770700974, 0.06760509849197258, 0.06674943237294893]","[0.011193807261025129, 0.012690471076038498, 0.015269241118095763, 0.013419269296675264, 0.014033121031782022]","[0.055482998296830635, 0.04647630132138098, 0.11120640366141707, 0.14532116593762615, 0.2249841743134166]","[0.009635389042612469, 0.010474997578922786, 0.01015673274189614, 0.01226340406865313, 0.012614858604979797]","[0.03631240471220686, 0.038434828567761155, 0.04242333889303659, 0.04870917037899939, 0.05855931242058262]"
17,"[0.012896717121714193, 0.019046017610507997, 0.025446468624859966, 0.03299357545814085, 0.024736619378198245]","[0.024424093248453002, 0.0297965905505597, 0.035085334270410204, 0.04206752726118654, 0.047921618350233466]","[0.012298031995285383, 0.018314453230396325, 0.024347823943870965, 0.025428570497232482, 0.027277797979505178]","[0.023225934857129163, 0.030904256133569872, 0.03463929671219602, 0.038810615075356075, 0.04265866330917463]","[0.018733453145320857, 0.023744679403275733, 0.021020405292580525, 0.02213737002868762, 0.02224181381136623]","[0.032040705716834934, 0.04053294192185483, 0.04868830010697322, 0.052037837607308436, 0.05602757241765452]","[0.02248274522602993, 0.026605235318881114, 0.027787878526534596, 0.027393361930594898, 0.024325703588712576]","[0.04240888582602168, 0.051380260474998225, 0.05603349393840067, 0.06607066224777092, 0.06676807515385949]","[0.01142035035613148, 0.01072272052489692, 0.014813886737604687, 0.013075810778192039, 0.013741087350546013]","[0.0544832064019638, 0.04849976871265396, 0.09217674583266042, 0.13453267943141134, 0.18958785097864828]","[0.008624939272190676, 0.009266256805111454, 0.009223777994495103, 0.010879529831902556, 0.01013250292298647]","[0.035680970855836776, 0.03890727774879595, 0.041663747867331125, 0.05201214662721608, 0.05157867611672213]"
18,"[0.01172560757410865, 0.01567511525233635, 0.020777619071362916, 0.025535488260295173, 0.02214121010105449]","[0.027192997174339394, 0.03375850744307131, 0.0417607533642385, 0.04217832837374993, 0.04164718941737897]","[0.013627001010236086, 0.01853349599410881, 0.023477300679958273, 0.02443853475924922, 0.026388306545026347]","[0.027064491507420796, 0.035489955708128094, 0.038106369544807145, 0.0418720548601202, 0.0451710712258494]","[0.01994778938437588, 0.02484201199114399, 0.021894587668037403, 0.02259426367632888, 0.02192736487251135]","[0.03246692955412896, 0.04076702214424927, 0.04898716820904408, 0.0516933042548561, 0.05542174752256579]","[0.016863543363229604, 0.019208558741875426, 0.019880489545939097, 0.019259410805165345, 0.017904610828711687]","[0.043004272373180656, 0.05112689776629202, 0.05695045764322707, 0.06335944473421233, 0.06287477222757384]","[0.010228934591805842, 0.010242822262544405, 0.014732125693698878, 0.019152725751762717, 0.01923120164348488]","[0.05440506377596708, 0.051007143513601846, 0.09283499997982537, 0.13072902154451557, 0.18226442728978764]","[0.008464097997525106, 0.017025060910969492, 0.01087845299618835, 0.00945987770785364, 0.010301155670162564]","[0.041859986617965424, 0.049626462914432186, 0.050112586833771094, 0.04447095928358589, 0.04703752357913697]"
19,"[0.009740138149483296, 0.01235303594671671, 0.014188158379305545, 0.016533516679010974, 0.017898283988005963]","[0.02771557886789435, 0.03346143208370293, 0.04131805920617271, 0.03993605804788078, 0.040421383143581416]","[0.011802478369282334, 0.013778217781976137, 0.015211630612473052, 0.016931514939721146, 0.01882992789648838]","[0.022387724854353634, 0.03146815819279584, 0.03594867995986332, 0.040914959916276084, 0.04416929456453305]","[0.01781987622167704, 0.023502859669261057, 0.021128734471979722, 0.0213414979114522, 0.021475345062532118]","[0.03150905162320583, 0.03997644299290829, 0.0470861176595567, 0.04926528729593086, 0.0529173141494692]","[0.019784089569094516, 0.022895566602322736, 0.022086773337786293, 0.021337675556117316, 0.020504020286442663]","[0.03838141598367012, 0.04426416252824367, 0.05207505525692524, 0.0574266229050429, 0.05990644814973804]","[0.010812231781034028, 0.009724579965433508, 0.016620587602411765, 0.011750463749052732, 0.012722012646939628]","[0.05106052046480738, 0.05398065249604796, 0.09076649786401438, 0.11700089910266098, 0.17167271860579622]","[0.02157489280665977, 0.027398388182202204, 0.03237938889531493, 0.028421055322711726, 0.02234249417097564]","[0.02974515771084845, 0.03609582510495313, 0.041196650956180865, 0.044107271523027194, 0.044302587629325575]"
20,"[0.010630106864645762, 0.011124481677424674, 0.012921733053026964, 0.014805434275312043, 0.01619600612340987]","[0.029661037727698313, 0.04028599792203584, 0.04352933810353418, 0.03940939676278957, 0.03891051217012703]","[0.011924833217636717, 0.013128980430155774, 0.014573556658390982, 0.016246012798102356, 0.01836956578344869]","[0.023602341179196032, 0.03526536286338952, 0.04129388548248238, 0.041423771145623504, 0.04251569009114706]","[0.017097088736528064, 0.023496297844724776, 0.02122494329893883, 0.02103197550209134, 0.021260737653369405]","[0.030036673202415896, 0.03759292081555355, 0.045446463230720845, 0.04792503118973696, 0.05167705792610145]","[0.016392363603147036, 0.017871268537023168, 0.017359662689425945, 0.01773694263259566, 0.017253593594621308]","[0.04141445712274061, 0.04753196629583966, 0.05348515955232001, 0.05647551352176316, 0.05973637291711747]","[0.00867042187786897, 0.010811065306384801, 0.011168707007515792, 0.012501147222491198, 0.012590760112880774]","[0.052163537459637484, 0.05370450721415923, 0.10290982302853315, 0.10645026582084642, 0.15372432518043008]","[0.012525845595800751, 0.012269612338982635, 0.011435753130050725, 0.013308077469550473, 0.01882477064167083]","[0.047198442165391506, 0.04570644346454426, 0.04838988648876404, 0.05850654689175159, 0.05643810232667783]"
21,"[0.009770202490024995, 0.010897727169043425, 0.012624328028135868, 0.014596734537344669, 0.016010288703755603]","[0.032138119191581695, 0.043023590355823434, 0.048104442323262664, 0.04319200698223172, 0.04601173242711795]","[0.011137160247787731, 0.012623680445520159, 0.014446084024513719, 0.017074207680028472, 0.020263740056592653]","[0.02429304747723079, 0.03357845195526235, 0.03809619188693408, 0.03972285964724847, 0.03867497003520212]","[0.018053772400150145, 0.023873196925586697, 0.02772419613804715, 0.03138978395732348, 0.03516941816712207]","[0.022341083705674794, 0.028871413254052194, 0.033396788570460856, 0.038295688367987774, 0.04289852788700616]","[0.014427047543231352, 0.016275809492857403, 0.0163053335430241, 0.017096773141846627, 0.01702434744327732]","[0.03963286521947362, 0.04549473275604987, 0.05198517529887347, 0.053102205522467666, 0.05708366524663551]","[0.011947951373963893, 0.009870719792375268, 0.011760927271176632, 0.013051718543569134, 0.012504675394390305]","[0.052153544568393745, 0.05128423195262042, 0.0668981043588629, 0.08924178650460365, 0.1419375821529988]","[0.008062373568849953, 0.008544081951728854, 0.008957408111310928, 0.009961975156941142, 0.010474460216510165]","[0.035650185218297235, 0.03436242373133826, 0.03808372866719836, 0.048765681354602144, 0.04874538387788698]"
