,LSTM Train MAPE,LSTM Test MAPE,ED-LSTM Train MAPE,ED-LSTM Test MAPE,BD-LSTM Train MAPE,BD-LSTM Test MAPE,CNN Train MAPE,CNN Test MAPE,Covn-LSTM Single Train MAPE,Covn-LSTM Test MAPE,Transformer Train MAPE,Transformer Test MAPE
10,"[33.436663255410224, 24.156361213755574, 27.097813857413232, 24.224119895467727, 26.30585981935521]","[6.559187379094082, 7.014268825321864, 8.475200791816196, 9.202777018625467, 10.001901658371045]","[5.561732681301997, 7.694778545541481, 8.08244003052355, 8.694369037248805, 9.232181986871337]","[4.031974388628652, 5.315540687279176, 6.025540183625282, 6.728223610402346, 7.325628249004169]","[9.910804872786688, 7.861679188197254, 6.601065980182548, 14.716105326565085, 16.07369939903169]","[3.3793558859529247, 4.288156529741329, 5.815974351795848, 7.408449445429617, 8.152935753514477]","[15.640870131733694, 19.604489404127104, 12.883097017544392, 11.149555976905852, 12.703966673259043]","[10.174535921099473, 11.758137851401301, 12.520184184331306, 13.104825954757734, 13.545026048903052]","[5.71021521401484, 5.2726140255410785, 9.618224769512866, 11.91858502298501, 9.014733547565239]","[16.19405147394452, 13.034665528662273, 12.893146898400776, 16.429607930734548, 21.314485710042977]","[24.087063166535064, 21.138114360263422, 19.376066117707637, 13.902449403471598, 14.258185889453406]","[10.46043271620212, 11.166351651106423, 12.069060039602714, 13.154978732694417, 13.738944286611929]"
11,"[7.285566650379895, 14.136712605702806, 7.428125981120338, 11.482624477911429, 7.987728626818279]","[3.729181109757915, 5.456175935672087, 6.737201272477725, 7.905361387251414, 9.006369184328326]","[27.166475613281406, 25.17058518101602, 26.048203624970046, 26.427662135873348, 26.763804973926337]","[5.45273896933727, 6.729958771274429, 7.504880347400503, 8.237107735957828, 8.846004214308614]","[8.184253388402682, 5.318691042365951, 21.020143695855715, 8.60014861925996, 8.582822299282993]","[3.2977650777412637, 4.578098971786947, 5.927872834994225, 6.758292683626927, 7.599752861364251]","[7.911191758357908, 8.651584893159606, 10.096048237380506, 10.040453417347624, 13.218687163407264]","[9.788196001524268, 10.677018257278132, 12.160316045739325, 12.764813609003403, 13.62336750861094]","[13.39512667236423, 9.310098988739586, 8.531142574654591, 8.2643194841782, 7.648829775496988]","[16.547001274951228, 12.469218058917528, 14.463721616828689, 18.27442907043621, 25.765542107450486]","[23.627459563623425, 15.412049382149748, 10.127304503299774, 10.525825043291324, 10.33627894041779]","[11.222181203409935, 12.079007210840878, 12.845232173721282, 13.822274106316296, 14.560035990891516]"
12,"[10.040052744963077, 17.296977272745384, 14.872380685613626, 13.107231894082316, 11.514496723451408]","[4.605861078842315, 6.447985282948919, 7.767199699434337, 8.911386431515647, 9.600822139264151]","[12.385134121386193, 10.506040498966215, 11.425795144602692, 11.897532932221369, 12.320496715469341]","[4.534775840122922, 5.450879896997255, 6.384325290768015, 7.138094581162988, 7.79232887217076]","[6.909629239373419, 5.298008802102928, 6.314227427519836, 13.305951398784607, 16.65436478937064]","[3.1905099163130126, 4.565456873631858, 5.943599963881256, 6.949256929625816, 7.906962125996701]","[17.482352864021447, 18.087471206269097, 12.1657890501553, 13.916192284572345, 11.963607263800407]","[10.5151533212564, 11.430813943354327, 12.42148651477379, 13.070380145386363, 14.077731284907918]","[7.513630516559807, 6.324817031989767, 11.202154900099885, 8.632057704584122, 7.269536676260308]","[17.625621118100977, 11.595379837682698, 19.172073095352324, 24.31743499034389, 35.31982403253403]","[7.543600605646028, 9.729601870890136, 7.904130462732255, 8.936375363457874, 9.72151601985273]","[9.707146543433478, 10.757490534294638, 11.470529750908701, 12.086419281132974, 12.948750373891842]"
13,"[18.77144021670852, 14.625680076883828, 9.267154539123913, 7.931949272867989, 8.287391067340497]","[4.656169050491397, 5.5263858124263034, 6.539921250334111, 7.533667583699809, 8.240222625841588]","[6.079148227031127, 7.385803133298344, 7.733819294708115, 8.410633294808028, 9.003552826780703]","[4.084508660497361, 5.819429221012617, 6.9516228970659215, 7.843176761943346, 8.549326956716042]","[40.08061411362841, 35.039021634304746, 35.280877441338944, 38.54813983554728, 25.048835005552032]","[6.648313452071253, 6.164126046478347, 7.3716795000619975, 7.8359795780032995, 8.148077248736794]","[8.85235386431045, 9.434476112175947, 11.9783059849983, 13.678147792117414, 16.738780821160425]","[10.478885245231627, 11.132718999679595, 12.75199361200466, 13.015380821649947, 14.303308032975922]","[12.280005433097857, 9.634545097862546, 9.3917313240215, 10.658415225018738, 11.327317888097316]","[17.331865777698077, 11.780864230400724, 15.902412777313184, 22.253902766879296, 32.28139678818972]","[7.59185137028891, 7.88363406664276, 11.102448410861207, 20.44973677992879, 15.888898689748132]","[8.33298071070346, 9.24253903116426, 10.122894049326007, 11.127207798434416, 12.343369070961993]"
14,"[7.195500066699033, 6.288361909061968, 9.303042318904563, 7.851266083978888, 9.519374762527153]","[3.95285946664845, 5.247473029630044, 6.902403934518846, 8.129253114844165, 8.693334195171092]","[9.084846056925455, 9.43101629919451, 10.32975745023943, 10.735995990225977, 11.15089012845599]","[5.085244803675876, 6.750451778553038, 8.375499677030705, 9.463160720157545, 10.326498131542118]","[4.763133231142932, 17.086422927787755, 16.80640350691047, 15.004857957896423, 16.879000041013605]","[3.297481404402485, 4.934022230926573, 6.547452215352596, 7.441567365535947, 8.061027400765045]","[14.793507219393746, 13.28400776407051, 11.763520024922908, 13.24550160974175, 11.321083770789238]","[11.092511857381538, 12.334710148371562, 13.179551108025194, 13.37074061546645, 14.188511672485781]","[10.390164922551612, 4.785146128422162, 6.3054832172390105, 6.250895125191648, 7.735859118230194]","[14.963129756425117, 10.812801735809083, 18.882704738543577, 23.847697575850237, 34.03807942518135]","[10.059921806572461, 9.881906913503057, 9.171651951402083, 9.48865342029223, 11.526491016565009]","[9.430089282800894, 10.224492638912036, 10.97889872867525, 12.042634039421829, 12.771176154457764]"
15,"[8.74572741568472, 9.434023481542745, 8.281940046370238, 7.641976903806393, 7.989751760339174]","[4.252353570218437, 5.469865473631595, 6.558502555633227, 7.622738078090503, 8.167356796174618]","[22.54354452065907, 22.43584734645887, 23.07693727175959, 23.313014558381056, 23.55588195854949]","[5.972578271600158, 6.547620791403254, 7.785502943865252, 8.666538911317327, 9.432533336544498]","[15.432457959524454, 6.1551152064915, 6.498676745568643, 9.038860663355655, 9.818564168402629]","[3.8297987972546563, 5.162551464861497, 6.301607250548061, 7.953401010941184, 8.401399111864922]","[14.156925855110764, 16.926665148018454, 14.644047674326366, 14.025417190775864, 13.077634605756888]","[12.038511377980235, 13.208163423819228, 14.555355724197291, 15.164099217316295, 16.253173817397943]","[5.095263015789128, 7.174210580214346, 5.92468608823275, 5.982327341082686, 6.8210297414154075]","[15.793692527746453, 10.963777156237969, 16.429565995533252, 21.468482478339435, 29.49886962521334]","[14.269335362187624, 20.061734874216157, 15.99811192511051, 21.23420524804108, 20.000042955670967]","[8.849456215079863, 9.769857903926884, 11.00220631116677, 11.900414565222555, 12.921830280477629]"
16,"[12.144216628963697, 10.113165055295845, 6.850302650937165, 7.079196765395871, 12.488231388693356]","[4.826465355026719, 5.8789739321619185, 6.8417751591818305, 7.809692621385123, 8.612181740578187]","[22.840161393331734, 22.922954784989347, 23.429982481823483, 23.684396161171342, 23.936252916080935]","[5.106809481321896, 6.146111132091214, 7.607435564543696, 8.690324603574123, 9.590799884687689]","[14.162470168198283, 19.350007465984394, 22.561897262627458, 17.674859671699743, 22.44355337491956]","[3.832715674186989, 4.988011926951314, 6.761485794789365, 7.123781688653406, 8.209946652606757]","[9.667479317667848, 10.874766064559902, 10.203442866412258, 9.688995282243845, 11.54656057742289]","[10.934747963588233, 12.211265454395951, 13.84599616070188, 13.350130519591158, 14.396384168012572]","[14.847251455525331, 13.19883616795413, 16.89693254077946, 15.469847847723656, 13.73191573518007]","[16.809905626725165, 12.11345220095567, 17.506068997385178, 21.731201483203417, 28.77634381844829]","[12.856431635349857, 9.038316209260437, 10.308152417061898, 12.651284235390625, 10.762392335141671]","[9.943555688376478, 10.58869943531051, 11.591423264151477, 12.58796150252722, 13.709186772548085]"
17,"[7.221935148062032, 7.138710930871199, 7.748003971728551, 7.6337192214059195, 8.480901277872057]","[3.999696119337188, 5.087675175996404, 6.324992179752295, 7.2797797211702555, 7.734792772503764]","[10.493117730905317, 11.420923092962276, 11.939317401733831, 12.540402362552461, 13.07663637594132]","[3.9289070979928247, 5.397507027530254, 6.6612551644652225, 7.7074982939686665, 8.491627919907836]","[4.58186460603002, 22.898976948604595, 25.428205245008524, 23.730069669085037, 22.145912792705673]","[3.705199980006156, 7.207268797407361, 8.069873465758445, 9.96186306688886, 10.015353725040582]","[20.7400994071921, 23.96395856272072, 23.04036853642979, 29.13404601171004, 25.14585217833032]","[10.639589060278741, 11.54957007078863, 13.167169090076566, 13.355649134006448, 14.054196556784937]","[4.444518728332469, 5.387466134634238, 5.60762333755035, 7.712983888562016, 7.888927475924036]","[15.158165749854769, 11.646690440883187, 15.988827469171646, 21.179604549772318, 25.37119114952325]","[12.394437924425777, 8.335055143722652, 9.309090578708583, 9.385271466125486, 9.166977517007412]","[9.483780297847664, 10.445121707373014, 11.611227808661885, 12.446976535414786, 13.320821768767019]"
18,"[13.390731045034485, 10.155283088385366, 15.725229198366883, 11.130150263507128, 8.173229185565704]","[5.778081088413804, 6.702214710044496, 8.280131909203007, 8.723902631101224, 8.874917696697466]","[6.169856887754302, 6.5546917506731, 7.208586695274355, 7.794252296552247, 8.311258090330055]","[4.071943128768445, 5.391279445888544, 6.623895856619128, 7.692979241908844, 8.4565966673664]","[29.07212927328485, 16.33445995895211, 8.185483418928078, 8.16861583179773, 9.036077850008601]","[5.882751445552776, 6.102103717627042, 6.3065526798013165, 7.50529280137905, 8.563988237469143]","[10.281103901172967, 11.007814296098713, 10.856302120117324, 9.740447283503824, 10.189693785242511]","[12.51376698440174, 12.551185711319974, 14.325611954712288, 14.234657506078188, 14.697440342866397]","[6.62828519852257, 4.553087930064326, 7.825622941779871, 5.669692685848164, 13.345967437822818]","[14.42715742008549, 11.248537940143507, 16.082340668615533, 20.7348261024944, 24.961211849504753]","[28.64851283642941, 23.108605130105403, 16.696556805586685, 22.459243153476415, 22.636181596184937]","[9.069918354699034, 9.787502117159452, 10.73585035567883, 11.573279389871773, 12.738200867695927]"
19,"[13.327974152030983, 11.040048065746033, 11.963189155667562, 8.783184934705218, 8.74381071658175]","[5.101465493625763, 6.10342561865267, 7.021948275758973, 7.81998218595758, 9.27360128699241]","[6.98144063395654, 7.8548253070682446, 8.511752350489887, 9.14900447069215, 9.742631238669787]","[4.040877831452915, 5.506555361705414, 6.548305027812685, 7.531570289400828, 8.238865578041011]","[4.27150299381941, 6.348527303421648, 7.195945578749059, 9.773421319254263, 16.708232470056537]","[3.4515940077773135, 4.927216028427359, 6.165187513401752, 7.3968243645140594, 8.325209852425711]","[22.40859295225328, 18.654754336726615, 15.821934880900907, 17.830141201538105, 18.00949997104326]","[10.089131575012143, 11.302456414230573, 12.423346766133253, 13.008988344113497, 13.790645604944546]","[7.880173964544279, 10.98893497348529, 14.118506018278746, 5.678604459485889, 6.442668122663138]","[13.923268515148676, 11.511364009149192, 16.47312124615316, 19.99597250357093, 23.697757072906835]","[17.717501694524913, 18.874263818353036, 17.856664013137888, 18.270491674194254, 19.400990334832873]","[8.35388229688632, 9.14764369123245, 9.799606466598778, 10.30127019198521, 10.795690125973358]"
20,"[8.27151910442431, 7.233896722355909, 11.71531366922217, 15.717230923716066, 14.245431382218523]","[5.944246493837485, 7.316501119075422, 8.145731660160761, 8.417544275457898, 9.031878029744963]","[5.835027122994596, 6.419854504953055, 7.097474262880292, 7.739446556354984, 8.357526324210719]","[4.399697191267203, 5.514014071054115, 6.441809315166271, 7.255568871335026, 7.879334624718126]","[4.825833653303359, 14.203259285494898, 7.215396393342771, 10.184231971236276, 12.595636533847223]","[3.728281717177516, 5.6760324742508415, 6.063660492973643, 7.198219019907093, 8.251595305807568]","[14.531654768824383, 11.877969250952495, 11.959141746682397, 10.838276244219726, 11.576456548437749]","[11.572637307001186, 11.937260571430034, 13.513674396468847, 13.902754373199583, 14.664977520774647]","[6.570588031229753, 6.024056054809184, 6.881053021706462, 6.520035965874111, 7.448540884609682]","[14.400679750561595, 12.691521559002794, 17.34935439136161, 19.401527970539075, 22.40687406692969]","[11.198217188921081, 11.618411312041431, 8.899968422924989, 10.594866451138063, 16.158719028442412]","[8.318383359528905, 9.14446805536375, 10.276151092597335, 10.607954736322462, 11.297504143590746]"
21,"[5.76814091250986, 6.638284889417109, 8.401545295014698, 7.455666594060552, 8.329125272160086]","[6.64303018553983, 8.342821017984045, 9.745344523463636, 9.527797167762339, 10.318164941704014]","[15.288074806173485, 15.683659383967466, 15.772765062731503, 15.956196674362468, 16.12847145215073]","[5.235991125182744, 6.337605899757998, 7.200989821183709, 7.94221368214184, 8.419959771373273]","[10.988878664420668, 15.644719703762986, 37.3759146304706, 34.10293832981145, 25.562976944522646]","[4.105484909270751, 4.824031737688646, 6.896681057968074, 7.400989194663486, 7.478051744467937]","[8.2856462312028, 9.642990309042277, 10.06433239423878, 11.67980308620568, 12.312438971143429]","[11.145702023619044, 12.20302077979819, 13.787077680939744, 14.312328703496968, 15.029943158694708]","[6.580491174357767, 5.07256246357506, 5.599259053117883, 5.774270073961183, 8.491164349915191]","[15.45966847358898, 13.90941112244347, 17.08174842011089, 19.40604001627771, 22.45140733905345]","[8.407013208776528, 8.881369769164683, 9.974933225548522, 11.319251933110793, 8.621788109024985]","[9.758240939771799, 10.716125099656226, 11.97753324185707, 12.76596922308077, 13.685164255817947]"
22,"[14.408824631841192, 10.690499182425677, 10.467456764712766, 12.578894104362117, 12.027557646732665]","[6.584841645938676, 8.542883761618159, 9.652819678387786, 10.369762842057483, 11.155962389094661]","[6.301237427142387, 6.642255163110884, 7.338422126609832, 7.977377230200133, 8.61518784573482]","[5.176528080502737, 5.88765262560759, 6.652955549282953, 7.195582596653276, 7.670493559590683]","[47.27886544139721, 48.03007595068042, 34.79889995089074, 7.503151238752437, 41.04764195895784]","[7.598480053801253, 7.958333636744816, 7.056612248778153, 5.974756114155975, 8.79638194880537]","[10.539333842251263, 9.842340438887302, 8.590939432735267, 11.642177547267266, 12.74993342573153]","[10.658398133844281, 11.771583234664861, 13.140822949817155, 14.051671538240058, 14.505950338022652]","[5.3052860128792725, 10.34549862313712, 8.104068359976946, 9.134813562469441, 7.873654813994676]","[14.74704862199498, 13.761997421412683, 15.506879991152752, 17.010588116023296, 19.598788978724137]","[79.83314901023057, 122.24058612103788, 68.80801837656061, 46.60056027390267, 38.80795869668578]","[12.389064219136547, 19.459469990703397, 11.954529091497598, 10.458550197681978, 10.10659936211589]"
23,"[7.0515197429547944, 6.847008007620128, 11.770691588462222, 7.632136135915987, 9.517985721926173]","[6.5702056587519975, 8.253284776615624, 10.221365661893413, 10.330184705407138, 10.765300973428328]","[7.477988638859724, 7.92981932322098, 8.89418288697836, 9.777273126965575, 10.592948946073511]","[5.149647176276006, 6.003236438082705, 6.835291726791865, 7.458710262004624, 7.91472165384473]","[16.955089010984086, 32.597507247878085, 26.908528064000002, 20.515758889366513, 56.3283066339697]","[3.6871860376582912, 5.836177072268376, 6.102078743544838, 6.549703954796095, 10.619101252916845]","[22.91100534049043, 27.21982714285543, 28.101832467097804, 30.887823795764614, 32.05998133825096]","[11.443816230843954, 12.832227183809131, 14.381421797128176, 15.753408632378488, 16.80940740126324]","[4.414239895597521, 4.460738968622917, 12.012061358388507, 6.024029342419605, 6.490974003600623]","[15.015994071488178, 13.817393923305, 14.274438482951417, 15.281401533890019, 18.1557089716099]","[57.370239779192346, 35.96817837132947, 35.20451210321175, 50.428936416834546, 110.8413682241001]","[8.821876851333203, 9.918499695087068, 10.79776852236082, 10.18675261309802, 12.700832837047086]"
