,LSTM Train MAPE,LSTM Test MAPE,ED-LSTM Train MAPE,ED-LSTM Test MAPE,BD-LSTM Train MAPE,BD-LSTM Test MAPE,CNN Train MAPE,CNN Test MAPE,Covn-LSTM Single Train MAPE,Covn-LSTM Test MAPE,Transformer Train MAPE,Transformer Test MAPE
0,"[7.5132025436086405, 28.89435577767715, 35.68587430680797, 35.921594715932756, 15.744120978892203]","[3.6358754452183804, 5.289124452057477, 6.752683255538269, 7.513433324975825, 6.787365974838991]","[24.317303179252157, 24.686167860547695, 24.579951544225064, 25.500745757421186, 25.49605422125315]","[4.403110954912007, 5.126774191952302, 5.815475671975293, 6.465109341423352, 7.026184357979368]","[17.173220661070083, 21.91103948655195, 13.397374808220993, 11.435149607405638, 14.5378206310023]","[3.7178719259460613, 5.076599683023411, 5.480095952520476, 6.328847525716987, 7.061604582608708]","[9.163010923731447, 11.225575007262481, 11.715739635450117, 17.230489477587216, 13.242589458408242]","[6.051238178091397, 6.673604615653003, 8.214005380874575, 7.731587243588434, 8.069622277373636]","[10.813701457323413, 11.574340922116598, 11.680603000903467, 12.257018260385188, 13.087030466380323]","[6.780978550611596, 9.501652202801411, 7.9505807757982465, 7.907160317797215, 8.665372834682493]","[20.66201658561875, 29.774249354517305, 25.83528925456769, 22.100989516696774, 47.99937855660718]","[11.995078534081365, 10.063683648106316, 11.36380522581611, 11.238950974340192, 10.80176552793541]"
1,"[12.667936400034776, 5.587814572436357, 16.677946395491304, 7.133608174900006, 12.517684145387795]","[3.31399352353177, 4.331875027129616, 5.339801986719824, 5.863991493839941, 6.51536110890421]","[22.169653010594814, 21.33862982142947, 18.406479322777898, 18.34970071376751, 18.314359665427553]","[4.243172647270253, 5.2230508746781075, 5.809179307986834, 6.541376096277643, 7.182207206093551]","[30.492970347341036, 22.93372007676617, 6.431438518542963, 12.288715146144149, 23.283933305181854]","[5.596737474525035, 5.930744168420246, 5.436839615613061, 6.04306882206251, 7.94428989146842]","[19.944105576591088, 19.134595270709507, 10.361908515589501, 16.66838502385292, 21.28790704637526]","[6.455606967035296, 7.270997914409401, 7.818270931805367, 7.635112081547016, 8.269101916079743]","[7.709239667556303, 6.925932181719875, 8.340418104314855, 8.373392330990987, 9.697100669232098]","[6.429629901240329, 8.634278757388214, 8.45400366350936, 9.699047690973943, 10.500114904373504]","[18.211676847192635, 24.68381567439275, 20.987311658439793, 25.033901008908238, 25.64275344410533]","[13.538287132236862, 16.54492911697192, 15.69539110613444, 14.66903155176015, 19.337466015964882]"
2,"[16.37951549825523, 13.103574445270732, 20.686090236897993, 18.76310299931086, 11.344894224783264]","[5.414214827344096, 6.033053579348327, 7.425289217402413, 7.54323302378406, 7.426622269426463]","[28.309264976429134, 32.62181765887211, 31.05277152178213, 34.82624198035662, 34.6160515111118]","[4.44842150272947, 5.6513001280499005, 6.222246315228704, 6.970510978302364, 7.462060494819754]","[9.592588138621526, 5.197851475278776, 12.709996357946762, 9.82004851739325, 15.069834591954567]","[3.4798579743133837, 4.278897410543102, 5.310747844301556, 6.098965244547337, 6.994261826616675]","[7.968329450620597, 10.767250917978458, 9.245734807269312, 10.367183579512199, 12.422856026914983]","[6.818321300228507, 7.97288144568874, 8.797096704197168, 9.441919097985949, 9.945433779135422]","[6.937660534945262, 7.5454485539087885, 9.873498649131264, 8.053567485439562, 9.801377760932214]","[6.830201631837229, 8.30071872326334, 8.904960174076, 8.691355637127094, 10.82237238954454]","[11.616098174313667, 29.7398764415535, 17.39824830305349, 38.6776828881759, 20.676381483419284]","[11.772553487825803, 15.051751757058177, 14.510255527473378, 12.945079083296203, 14.062395522532995]"
3,"[24.653938150788292, 24.152431865341338, 15.46197512009416, 16.028856842061685, 16.695709373064176]","[3.8729324366075306, 4.7660093189139, 5.868311250816398, 6.361436781326506, 6.934124529784555]","[5.666961497172007, 21.907786698778906, 23.09912437811009, 24.531042238898518, 25.470342718783424]","[3.5332186562444634, 5.262301263395101, 5.975098957475056, 6.660228637846751, 7.250413009154729]","[14.722691359683532, 19.145787260479636, 17.064537065356507, 20.072189582493895, 18.79717134143832]","[3.6973662806958676, 4.87721964973334, 5.903008105219672, 6.84908290911718, 7.679437330734018]","[11.793928784565104, 9.756357649279277, 10.583469102550634, 10.60861777770486, 11.323716979341025]","[7.955682413767329, 8.346038417675004, 9.241672694183773, 10.247760736922327, 10.58196482842742]","[7.167382115065152, 6.636364475217898, 11.351794514952571, 7.981471467825653, 10.828867423786825]","[7.463936881292802, 9.149047600513763, 11.255722581467788, 11.232314402100853, 14.061211507831983]","[31.374801375146887, 19.238950708669496, 13.112030974977085, 14.962319272970381, 13.535051938429563]","[7.82355850281614, 8.902931088300273, 9.846369879135688, 10.451525374093253, 10.350337055723042]"
4,"[19.66224881301178, 14.469407858491087, 13.90700076432292, 13.67223999145956, 9.846222596488582]","[3.9644546973283097, 4.741776427817742, 5.448394180704618, 6.3134141226188225, 6.638737827648039]","[24.254461307731106, 27.947485962657716, 27.712352453945215, 32.10140543887809, 31.139445546624735]","[4.240543168519748, 5.174303795122538, 6.139237816194551, 6.860531073590424, 7.322645040477814]","[23.80303975653763, 5.794689314060719, 5.8720670025753945, 7.758425935793928, 8.214522971652679]","[4.9431937321164385, 4.354813760807023, 5.146064020194085, 6.0234880105685775, 6.687603570089375]","[14.515837914761082, 19.42987004841653, 23.707680178282086, 15.337192937285717, 23.776454078769053]","[9.589490951508328, 10.275609061207309, 11.948124672551762, 12.49688121233464, 12.478279515144902]","[7.582273858139223, 9.053289229934974, 7.926450327916792, 17.252504711066425, 8.224589875411278]","[6.530470002041389, 7.384125301307602, 13.253200126007178, 15.440864126872123, 17.177586666986556]","[12.143150834791495, 20.12643067169905, 23.167175748353202, 17.293838927121683, 14.14905851230414]","[8.633291650121928, 9.601892402458194, 10.637163556179782, 10.816323384275208, 11.346727802706516]"
5,"[30.396044876761074, 31.24183219943857, 29.18452374895483, 44.26652354370743, 31.405103642562505]","[4.82024786845517, 5.339038389807574, 6.020758746662128, 7.60507192452103, 7.427443386557305]","[17.04824364887685, 17.841865881479688, 19.732607914063138, 16.63632104371829, 18.090363123862055]","[4.48212755761548, 5.564897932267437, 6.0567821259489385, 6.626387897312136, 7.353907804584662]","[4.360019008984183, 7.0016282368068605, 6.382480611553533, 25.746660837118547, 44.86592415629319]","[3.0430968091984685, 4.336549672221654, 5.506576892517027, 7.616823867295702, 9.744525389493363]","[15.541660743938943, 8.327317824324757, 10.239645218337762, 12.482961926922833, 14.695636696255843]","[9.698360494153482, 10.015850007225332, 11.308043826286172, 12.162731068961982, 12.365211910923653]","[8.809905437088416, 5.384624748509929, 6.686907198934748, 11.457914860070245, 12.17499089617314]","[8.923029037212924, 7.397850521715251, 11.19655199557661, 13.627665188618899, 16.924628125598094]","[13.29070482300001, 10.203273272372511, 15.329219799378363, 21.06209240238457, 15.769132546141169]","[8.313337032075623, 8.874363656045634, 9.907757328506191, 10.809515382037734, 11.848619161304752]"
6,"[22.915168842948454, 12.430950823707827, 17.99734356885644, 7.8904583959515024, 11.814399938912047]","[5.486009794815152, 5.361840932389123, 5.953718492700914, 5.962452113672524, 6.797369080908442]","[5.771698747402044, 7.129289390900828, 6.999797380423196, 9.30282647814725, 9.34381749489002]","[3.3807073596691253, 4.280242785225674, 5.1725656551461645, 5.858367932445089, 6.47009733521421]","[20.26581388275233, 10.308205214501722, 21.78818407427556, 30.987721267751052, 18.951770181436068]","[3.7949859755582667, 4.4489649478085616, 7.027115081720507, 8.469175955538939, 7.886888030193457]","[12.566357309404863, 11.52466672092775, 12.786687036506713, 16.903330167669512, 13.546019821564917]","[10.023425386115429, 10.856267168819208, 11.856263250665986, 13.460235627293955, 12.667986986266886]","[18.456479853201515, 12.33767058222725, 6.881749208029773, 8.412777363293355, 14.652651727271612]","[9.095153394159333, 7.534343906580723, 11.786920820774546, 14.3527573200392, 18.596798159518578]","[16.524275088565428, 17.382372304649866, 12.843710455883087, 14.547565687790499, 23.23720755663194]","[9.232469451264834, 11.114585598882751, 10.68302641472834, 10.746908358189437, 11.385661205355659]"
7,"[6.06797820915265, 15.714642083968542, 16.584506369102424, 11.375560143495319, 21.154498170064855]","[3.7673796786153124, 5.3788530530554945, 6.156000646671299, 6.930550971534105, 8.013369873519133]","[17.13596672099168, 13.36065761086516, 13.664799840846767, 15.480625953924937, 15.650605332004764]","[3.4620913489656466, 4.437021819105883, 5.22243743657544, 5.906040780331521, 6.5022028834869365]","[4.950977949315784, 6.602713180553879, 15.932139554203175, 13.939343493920262, 13.342538842977556]","[3.238106543795084, 4.533881302552254, 5.488179597492065, 6.279056891887609, 7.180599978002378]","[8.035658814985519, 11.859906734905747, 8.86487105468526, 10.666752136261405, 11.170022087777706]","[8.65942202628224, 9.899475018746676, 10.852210727650954, 11.909071156771912, 11.732899095923848]","[13.019304447835514, 5.722647551312725, 7.7831808701822265, 11.902981482290809, 7.739349335779042]","[10.214630895670354, 8.97120036464021, 13.731295396240325, 16.684867280141983, 21.110069989675353]","[24.827818463255426, 33.211471493570855, 27.863195973502503, 22.867411975284146, 17.543025832313205]","[8.746220660120821, 9.742102373749098, 10.357104490619568, 10.74682299632518, 11.229747474388024]"
8,"[27.301070592445996, 13.38045020692309, 12.416043887927803, 10.518713799445687, 10.267282525624633]","[6.374151048551909, 5.938459414150986, 6.60603342262121, 7.372947060412736, 8.069274914364302]","[6.927101125083094, 10.276775381725418, 10.543478121327098, 11.575284942195777, 12.037342235665829]","[3.5124656036159037, 4.4268736007116, 5.147100283764995, 5.817627471815426, 6.404452119953969]","[11.931227534546974, 10.075336554018552, 21.628635005742137, 13.80008083039236, 16.74294757711096]","[3.6212035883222145, 4.794876201745081, 6.752114026188442, 6.926054253637743, 7.802658404199052]","[19.20180476425498, 14.375247233083513, 11.404574279757657, 11.339426151747126, 10.644041201223867]","[8.206593455664152, 9.472105429400381, 10.907159181110439, 12.21906251838108, 12.56677162266314]","[5.872763388496078, 6.885436231756673, 9.552331291577028, 7.555425838669421, 7.988990776202358]","[11.354816699688982, 9.826281188899026, 13.260823996849473, 15.870035727874992, 20.534389800931805]","[8.007792866650645, 8.052695245654538, 8.825667275307662, 16.16345407958184, 14.70872668569264]","[8.611725512404513, 9.42275667707096, 10.322763019838813, 11.069542243482251, 12.228764684364691]"
9,"[15.748098398112875, 13.275206510359652, 7.640084758695685, 8.918623959353523, 9.368924460439148]","[4.67113528583637, 5.809476838392533, 6.635669121367332, 7.433866596979276, 8.330615832499491]","[13.114285844764051, 8.02781692600197, 8.919297775301553, 9.480061400008713, 10.097224102960773]","[4.173339097574487, 4.7784747121468705, 5.594827385000793, 6.2273898409122435, 6.780953810022377]","[16.683460812432322, 6.018261523100588, 15.066790174867808, 7.914207535939351, 8.647395768544671]","[3.6127388895506694, 4.945185330168003, 6.974276315702429, 7.163289528084124, 7.741657864192529]","[9.527095477440884, 16.224658500964086, 8.925326024296051, 9.88735117527667, 12.63328207661738]","[8.406959107113561, 10.217978403987276, 11.210430336365487, 11.914656698693173, 11.905638469058799]","[6.755522984508606, 10.42412717628958, 11.406336472064472, 12.738048275818903, 10.571547866300739]","[12.410542410116644, 9.878893493776697, 12.70667547282544, 17.031689538707244, 21.352700364159645]","[14.058854044444843, 8.826230748076162, 15.093470852095153, 17.97605475418518, 21.365733813277664]","[9.07299455678872, 9.98653332549406, 10.917862429815791, 11.61437252935951, 12.596637372714428]"
