,LSTM Train MAPE,LSTM Test MAPE,ED-LSTM Train MAPE,ED-LSTM Test MAPE,BD-LSTM Train MAPE,BD-LSTM Test MAPE,CNN Train MAPE,CNN Test MAPE,Covn-LSTM Single Train MAPE,Covn-LSTM Test MAPE,Transformer Train MAPE,Transformer Test MAPE
0,"[4.441173341900095, 11.60983228265957, 22.013156312141298, 8.041771359589502, 14.859012906705143]","[3.546446140252893, 5.0262209637499335, 6.407589206981197, 5.986162293000028, 6.674583822431419]","[49.43766178256095, 78.05427777218445, 76.09685072820824, 77.78901191676539, 77.63233513522388]","[8.215134694870205, 11.550826175422278, 11.71824360778361, 12.168818606048672, 12.372191351546034]","[62.252391530718555, 87.60117105729354, 47.71613714835936, 13.466762737267251, 8.370610374933603]","[9.50320551987431, 13.206022518379495, 8.79276519016334, 6.497598455382576, 6.657035196000141]","[11.239141693288314, 9.1741525675241, 9.960672534734687, 12.680575176654877, 12.330117618785948]","[5.119884353849787, 5.648075261968899, 6.286088230929758, 7.055433212017327, 8.179003253649103]","[10.795923673439212, 12.063303300967538, 9.722144895421641, 10.307343190964211, 11.594225079537617]","[3.2090307820752133, 4.509814859157571, 5.279954762739511, 6.0689035555546935, 6.769725042871189]","[14.903406436099816, 23.868182425514195, 66.1780634217065, 69.99777740064593, 28.348578923554847]","[11.700105054999776, 12.955341633488493, 16.056696037678766, 17.154165503072285, 12.168901358001362]"
1,"[52.62453188266147, 53.695963692814075, 57.861871676994014, 27.05856780663242, 34.55219006464091]","[7.422004317601546, 7.949829093875653, 9.042884138501167, 6.649909837901759, 7.7573059611891235]","[78.66524021054687, 91.81356932039859, 86.06809665148086, 83.91325007921684, 85.02086262484033]","[11.468221752728034, 13.505482872708988, 13.623757979342631, 13.804934181400725, 14.42528319656893]","[93.14197546005136, 111.49026391626438, 90.5273485030644, 86.33475995415992, 82.67993641872926]","[13.628610025098267, 16.40013978770685, 13.958023369691725, 13.76908756075538, 13.35885734620571]","[13.082414762329094, 20.626636719607326, 13.05684381886539, 28.358756197546963, 12.637282588234411]","[5.020110826825953, 5.837442778929751, 6.669565581396182, 7.846715047114106, 8.284924934230762]","[14.81773251429368, 13.232450226485545, 14.150023811204344, 14.268283329654489, 14.498892766261573]","[4.408386245891119, 5.022708475341813, 6.259344430396782, 6.359258464224853, 7.2780319452688955]","[103.14532519164341, 67.63016978733003, 94.75428481551407, 80.42350775884746, 96.3212327466952]","[16.27785351544591, 13.051468812359953, 17.34147864234049, 15.637738516126465, 15.316204341049989]"
2,"[13.31487640608314, 16.038808218642806, 31.515347570186968, 37.14830974257727, 31.33041685114112]","[3.282917257995251, 4.618379618535494, 6.791154286894802, 7.538424822556706, 7.797058128144557]","[26.54196625449049, 21.35847935174228, 24.23241587459784, 28.10662980967489, 27.11606374616573]","[4.628477866141216, 5.1622313531874395, 5.971490996942926, 6.785686698618074, 7.204252580606848]","[8.520367505177985, 32.899731458867564, 52.38451576320594, 6.798627651556838, 10.240815419737782]","[2.9929842465543253, 6.426950683576339, 9.106166256524386, 5.72137325145801, 6.612394959250918]","[16.84834048159216, 22.817043495261096, 29.714604458521084, 39.54506905025003, 21.0541397359888]","[5.0187906058870455, 5.857959130710149, 7.202329260657299, 8.176064076857807, 8.567576991940328]","[12.481532253164541, 15.99923825039808, 12.267416420124398, 17.239146790742648, 25.08864871291923]","[3.9640244744314415, 5.196856038364908, 6.461589459061644, 6.790394390809083, 8.490224930640379]","[37.723041826869, 30.92354147849813, 27.020376900931392, 29.86821887864245, 21.10131818544848]","[6.083689407883906, 6.501195970045849, 11.907163811865757, 8.606946494589208, 10.193914832993158]"
3,"[26.345752998951188, 5.402808319157944, 6.366108674145424, 10.168980974695938, 15.816528674782257]","[5.1780419186224655, 3.968055785132887, 4.98146815138615, 5.670727263628842, 6.601116432327227]","[37.973840146381505, 45.86917481254953, 43.103293790526195, 47.23378705148237, 46.026398202771816]","[5.66917269762792, 7.315106003363871, 7.559008444256032, 8.259019874076401, 8.524517581739183]","[33.40520407333996, 19.82576833299095, 15.362955557799635, 7.469650480455699, 15.957772612389471]","[5.440892970150569, 4.9041626414581, 5.365839012972075, 5.676975910303855, 6.92279081720286]","[10.604568178977711, 6.809721197143906, 7.041202336395076, 8.377516719426541, 10.111498205299077]","[5.094445719360423, 5.837163455432966, 6.3634067902858815, 6.99997868943625, 8.154769561626244]","[9.103801303772228, 7.451384789595253, 9.167914405964531, 12.22689968175987, 12.25272139002497]","[3.441738293606073, 4.7344704002098315, 5.736713542345566, 6.384453492957403, 7.249033208171657]","[30.991029637269847, 27.146897535997184, 27.884848560334575, 26.3907114673979, 29.860896270322918]","[5.409373409557616, 6.237915375250487, 6.672561087712879, 7.905907935285465, 8.696697782335736]"
4,"[89.7402293424235, 89.02468496941263, 95.00842608586908, 69.34384097034403, 60.15222991687399]","[12.582927824642127, 13.297830695476689, 14.472021324601577, 11.247890919082671, 10.50696504399063]","[13.159244791868712, 10.378126117233244, 14.613126367197141, 10.728170067110723, 12.589398380271701]","[4.337668835124154, 4.898563065415718, 5.768130468929362, 6.260470937090545, 7.062452761754151]","[17.543258890246, 28.138981589424468, 16.049838750592784, 17.853008686513785, 32.31137943076792]","[3.841505669297037, 5.430722078973319, 5.360274828002704, 6.138707051729174, 8.05885859061927]","[23.74126208189311, 29.77296137700848, 27.583005867985367, 30.737339335159643, 19.029055635263234]","[7.918634538230855, 9.527300337495987, 9.10181557063629, 9.568897226235256, 10.426734446492008]","[10.41593881333991, 10.960512522960437, 9.790462959636693, 12.19066349416625, 11.39836046403382]","[3.6083131504524997, 4.954076699549933, 6.386549152074301, 6.618090745543419, 7.515584879519478]","[19.94042811078149, 16.45836861265379, 16.642092133618302, 26.143435284813933, 21.362571308530953]","[7.371306696434633, 7.023326877358857, 7.932733893582309, 8.315857933292731, 9.337055964751565]"
5,"[23.945394824746273, 15.768366461229533, 31.80132072349257, 29.912913333346737, 24.525106455974807]","[6.33975998359644, 6.085359049134024, 7.600315206987503, 8.044397782224493, 8.04926393863892]","[59.35941826389768, 62.35937174071662, 59.69835030803693, 64.29187278489027, 62.78240228230471]","[7.408988561255117, 8.049938834326905, 8.66587719057918, 9.332288855753097, 9.521725500681203]","[9.163190460211542, 23.037365943871496, 19.779223966511267, 28.980127440282853, 29.022423579148963]","[3.011236358417384, 5.408422155226489, 5.6888520550533395, 7.124693452405544, 7.559355044705425]","[20.707323490181047, 15.53480960942681, 16.65482486578405, 16.566683902169547, 14.28038873728362]","[8.641578973425126, 9.293849244816446, 9.703096817964033, 10.429116156184522, 11.100086620707037]","[9.375131592009952, 11.696994998651348, 13.764997178710686, 9.68281737972175, 12.628583357321189]","[4.599138844202396, 6.096147662249061, 6.70713433338801, 7.020310962195604, 7.687063901036918]","[31.933791259743206, 41.15200960625429, 40.72944255428689, 17.705381235354356, 32.40846569730943]","[6.691681071423278, 7.77246113258931, 8.360741186737394, 7.340306922536061, 8.887357502449804]"
6,"[23.894508832707746, 14.75597872289039, 7.473053729748992, 7.970056341257635, 13.05430058369706]","[3.7791223805810645, 4.917030112112422, 6.362764233868394, 7.175703902945988, 7.026125856486831]","[4.749977679218952, 10.550678788904957, 6.883943531879007, 11.452886135033365, 10.504495237450135]","[3.1979789055279255, 4.016191767777327, 4.8616061297314666, 5.6379435043995025, 6.344577878390561]","[4.664139500668771, 12.94491208091156, 5.4180811013354, 6.2297695619903966, 7.237523907021476]","[2.7117904463909817, 4.223782342082793, 4.849248377178877, 5.660901906385101, 6.547136728972477]","[14.94531497793013, 13.19433175001519, 8.88386837678015, 8.58126003491262, 14.8074781341627]","[5.639424932691839, 6.022742041956364, 6.757370701371979, 7.6562871835935145, 8.370827761607538]","[5.672571821495185, 10.239711600957957, 8.006363855895376, 7.005160641693468, 11.791012023251591]","[3.7806972740909375, 4.792885972251756, 5.470986365482291, 6.553924255743447, 7.101328136756549]","[11.310098975492048, 10.047288007776736, 9.065982332264646, 19.82428823020726, 12.115819132118895]","[5.442021919364889, 6.27795925707059, 5.930529786135688, 6.702000419485743, 7.2155748917451925]"
7,"[24.94550397788667, 26.72307604246256, 10.498679253492151, 8.265443101106454, 12.244363375159905]","[4.22910813109808, 5.241266521366691, 5.015752269615673, 5.725088754730497, 6.737240827438475]","[9.064665005646122, 12.090508299073369, 11.53558119620512, 8.838770029293151, 10.6283435921817]","[3.297644361430004, 4.731864401754437, 5.196517711155255, 5.775999009505842, 6.5651331691424115]","[3.1880933062950025, 6.5370962407523905, 27.092259060346656, 19.730301769420734, 42.0522851524291]","[2.8651616497429067, 4.1212789504528216, 6.746104608183128, 6.563631926673828, 9.07834097391738]","[17.777268085655347, 13.747434729275062, 15.769166143590352, 20.662492053377857, 18.52070696814783]","[7.927195852012934, 7.9389590608340335, 9.298588312584311, 9.625316931051124, 9.953339624960064]","[7.5030231947030295, 11.140223809205404, 12.199687758760033, 8.992889007936983, 12.972250566279062]","[3.2840831632348717, 4.392620301886226, 5.373439088051176, 5.954880859500591, 6.9370066881144234]","[28.97992543146149, 15.335216554959969, 21.46536619014564, 15.403711074582867, 23.76565731682329]","[4.936135390798203, 5.69236495282451, 6.54682416442501, 7.305885690307921, 7.669100391679192]"
8,"[5.31933305768278, 10.247731851408732, 11.49798233060235, 20.637324650923304, 12.676306903120208]","[3.3026938258115077, 4.961950619373557, 5.652656547858319, 6.978413472386509, 7.016181510111203]","[24.028964873730743, 25.994020653466382, 24.015729714223973, 27.258262950055972, 26.254832760420516]","[3.4774919118767755, 4.4396203916604025, 5.318123944745564, 6.113366757895116, 6.674304091421229]","[8.228589079546698, 30.624440271972354, 28.087781671896867, 26.68250685913635, 19.57828332561659]","[3.14111550272837, 6.3550846233024245, 6.653934619531389, 7.011728052770934, 7.04216470289509]","[8.160532804281651, 6.644165138720935, 8.849676784594578, 9.423356434594538, 10.656252217417586]","[5.648593878235529, 6.753482092218864, 8.139817410324442, 8.871850025679386, 9.283568620293217]","[17.38361758535038, 17.75387348752193, 19.23332343877797, 17.077697309190526, 17.459618174288543]","[5.133700382582273, 5.488666117713042, 6.031948218433765, 6.609214731964995, 7.429256882376559]","[18.96051265200005, 9.801900388313122, 23.58386225539295, 12.368040225152994, 19.74971669196767]","[5.10729029790815, 5.239697690624014, 7.813984057835986, 7.915181248282647, 8.881813020136024]"
9,"[8.661264078382782, 11.062250033419685, 12.902120690954646, 11.18205041203814, 16.15448116580919]","[2.978086515884238, 4.172464200696992, 5.093816493798648, 5.808396576250476, 6.549515696841818]","[3.16583357870084, 8.600474756462479, 6.547229762718701, 8.901279757600976, 8.85492534708364]","[2.854159110082299, 3.9762800006692753, 4.858401394629089, 5.643637222697398, 6.362895747629871]","[19.673728946724786, 20.66047513708978, 16.554507719957698, 40.20412268932392, 43.09843597293608]","[3.3392934983465334, 4.337353272482389, 5.0684031827455716, 7.287080139637609, 8.338319372918823]","[9.094165545713254, 8.412916397628974, 8.703765515959118, 7.225811472594078, 10.310573717487339]","[6.635950790971494, 7.389605100798937, 8.59150101675544, 9.090186284582494, 9.649371175032988]","[8.193850997518869, 7.908155999390363, 10.970626460733566, 12.839448788194385, 10.260102283544391]","[3.510783600927848, 4.711180983538746, 5.614341751676104, 6.456178805290329, 7.326177617180594]","[26.786850807921425, 25.523259342950038, 32.94386052069347, 27.79344192667149, 38.367748762598424]","[11.492250580614034, 11.99475340317591, 12.557248177372484, 11.596913818053189, 12.72392771302269]"
