,LSTM Train MAPE,LSTM Test MAPE,ED-LSTM Train MAPE,ED-LSTM Test MAPE,BD-LSTM Train MAPE,BD-LSTM Test MAPE,CNN Train MAPE,CNN Test MAPE,Covn-LSTM Single Train MAPE,Covn-LSTM Test MAPE,Transformer Train MAPE,Transformer Test MAPE
10,"[40.10355949895706, 38.53619758266683, 30.703895199776817, 37.933881683876, 36.8753467630861]","[6.723956813640491, 7.220230710754076, 7.140127159054104, 8.351740900828446, 9.119581523494684]","[9.00546052708678, 13.545925767197545, 14.01824014615309, 13.335581983218697, 14.115542045020923]","[4.047793106062363, 5.7980744592377, 6.1889366256140725, 6.823377657935241, 7.55430767202169]","[11.037604062960519, 13.803262376533363, 10.538307304999499, 25.65028089966183, 18.756443493333787]","[3.571219857061595, 4.698113307821907, 5.200119215641145, 6.989636841739127, 6.96159250159179]","[20.85882011018319, 10.63526154114258, 8.281518747533006, 16.95241496930976, 12.283279459992064]","[6.133480982844507, 6.053455307527212, 7.061641980807362, 7.729858892409476, 8.559463481894186]","[8.07980890737177, 7.7142132638927885, 12.229842219147448, 13.0613640187088, 14.611207135735418]","[3.8629484996841517, 4.823546727198962, 5.9420535719661185, 6.501114888425436, 7.631474672492369]","[10.108583550227845, 16.468798152102956, 10.869483387558798, 23.931064617186667, 14.799348068396023]","[4.5868441739263295, 6.251793684916447, 6.456063551713344, 7.842532008453332, 8.026373259601838]"
11,"[21.83250347070175, 14.323460754870867, 22.078348789282266, 22.074435518981105, 24.57311506300289]","[3.7753566067733253, 4.285127221207594, 5.550690197835097, 6.258341103420061, 6.977913666071872]","[23.066584273861586, 24.501954521749987, 24.620235021601236, 24.513168562825808, 24.887622624127946]","[5.812192049738176, 7.273518521574861, 7.620989062595676, 8.239641432003513, 8.861294748256135]","[20.942108594407486, 19.72143281371116, 7.269415902490748, 16.497837197984836, 14.765715011457244]","[4.394984017738201, 5.116505709098186, 4.941390535739122, 6.1666605757410595, 6.718428606237453]","[9.565685853073127, 14.925049225194694, 15.878367346863055, 13.738413250058434, 8.833071851157333]","[5.66301405061486, 6.313801491599334, 7.225789815057137, 7.84356956546224, 8.805012541057017]","[12.95115642101335, 9.815589146477075, 9.849361248697413, 12.132765121669555, 9.791900590095528]","[3.4751667198245273, 5.134438199913494, 6.09178715659333, 7.155426135567161, 8.136155570345602]","[53.9549623198743, 70.45628382945762, 60.816674403611025, 49.0953020308536, 44.04102800619372]","[10.566142822506059, 12.497677553475937, 11.44474704462879, 10.557169712652637, 10.501720974475468]"
12,"[4.077612328187112, 4.645825225468447, 6.716859545823303, 6.274868682712796, 10.329760156534709]","[3.162509117656296, 4.156739682658796, 5.1971371876725545, 5.905587135613007, 6.647224090865225]","[10.557497169702227, 9.740994136746922, 9.471911253489054, 9.976400425946121, 10.427352182604753]","[4.262391662407089, 5.634964622855486, 6.130159413891877, 6.833187900773671, 7.5168035750734035]","[10.9667687443346, 29.505811206914316, 33.37260339755688, 34.80640453930138, 46.66826019483229]","[2.9975481874379506, 5.4273685835410435, 6.4074345181531145, 7.140580283826719, 8.917051465041384]","[17.75872904889542, 10.648290931064723, 13.879081952276175, 13.756324102186479, 12.80438999972924]","[5.779554458365185, 6.169865422535372, 7.373516883687057, 7.965351610312865, 8.656156812522335]","[18.720087332645196, 10.30459671884036, 6.9836621856352945, 15.847958888718845, 13.101564607146098]","[3.806931536542143, 4.576203697627794, 5.302734703341506, 6.895246998545207, 7.229216893337992]","[9.246331505541885, 8.50761655692722, 6.983994463385552, 8.025046999255963, 8.27344535515012]","[4.643837728221023, 5.318344729493271, 5.976011604893853, 6.630417951563758, 7.406478067204465]"
13,"[24.49718154868934, 21.024481866889747, 34.58381118974548, 24.06007357619981, 20.598359859055073]","[4.103209058095894, 4.752295115809449, 6.467263088057981, 6.375561411877087, 6.810413517460626]","[42.02369498831133, 39.64429286404697, 39.5664808527177, 39.85276045494041, 40.066250405570024]","[7.481640632502935, 8.60564127150916, 9.033537058340169, 9.635743554994228, 10.208288641127385]","[37.642737401919746, 44.03284828293217, 39.636835292012755, 40.46217586324303, 34.92129497339689]","[6.840485991332653, 8.14542096709301, 8.124979766504108, 8.758372227628069, 8.474502345190201]","[14.66437432227224, 24.82586742319875, 21.23024271961719, 22.854379500392277, 18.780440540257178]","[8.955805793113502, 10.600380856931844, 10.459906129370108, 10.995394589954929, 12.357824092609032]","[18.27334854280352, 14.368128074801023, 11.888606439379835, 14.813481073566706, 18.106243169710886]","[3.997168016573073, 5.020528216667429, 5.633571004399252, 6.792604270618605, 7.537466039770216]","[20.6756063365417, 26.001846522007277, 34.21801605046753, 29.46686541307198, 30.68096680894093]","[5.774874719013303, 6.161286069711121, 6.857330764191808, 7.315567546719339, 7.826997685397869]"
14,"[20.718342016608915, 17.06917117408036, 28.548415721053587, 29.5185855964127, 26.818493054059463]","[4.789746463496512, 5.156683672710377, 7.289184372514206, 7.8973053460423746, 8.39480998783891]","[4.684453717966159, 6.840044927504595, 7.993541554641448, 8.677206746551269, 9.301975816551318]","[2.886589667302891, 4.163144575474246, 5.06973546662263, 5.8191934705526425, 6.524086808310583]","[9.53548157426848, 6.398296104374398, 7.085510816044412, 8.66291798077754, 13.826489719580282]","[2.912575293724142, 3.970883298749107, 5.117834250379923, 5.613836050753557, 6.502730931229579]","[9.568855023916125, 9.342565270783847, 7.5500002096980365, 9.300972125229674, 9.447216338397416]","[8.666368803585584, 9.532756827112776, 10.55565442911755, 11.267190900896393, 12.009099569469468]","[3.792984463448432, 5.022016692056827, 9.74766623252993, 10.001805908281458, 8.977433457087171]","[3.6673488529719087, 5.2619959983840054, 6.483935271312105, 7.119385424385709, 7.981361485995466]","[18.46635106096635, 16.06860937933877, 13.076256698953706, 12.62814670813492, 12.864825489066492]","[5.544875866443382, 5.601954348211712, 6.075711743599886, 6.564476298278804, 7.178949099208122]"
15,"[15.875197641240824, 6.699141461348318, 5.230063918803642, 11.183959548862017, 10.70950774921773]","[3.8411589504785457, 4.070253376114428, 4.988785518724103, 5.958920449854603, 6.597285109832115]","[9.570037719804656, 8.73266849895237, 8.756874769491201, 9.391329250945468, 9.947919362138627]","[3.1582852876601244, 4.201668285525221, 5.12583917546331, 5.867942506822709, 6.584226518737724]","[5.636916188581209, 7.230475390366436, 15.177524229937129, 18.410180152285424, 18.268641920914238]","[3.3323830865636457, 4.541144704700831, 5.836826807165588, 6.5909130071866775, 7.104343292031566]","[5.946728691468428, 5.831509012242216, 6.633027804795335, 8.123209945633025, 7.979343731862489]","[5.697513506081819, 6.566547670000439, 7.695056010764382, 8.671845617872847, 9.54114487634997]","[17.572661347836398, 16.050372098135455, 13.6401909811481, 11.755051154691563, 11.165501512993725]","[4.807187027875799, 5.138568824606722, 5.676031954665148, 6.284251058223968, 7.023960013173045]","[78.10000343123595, 180.95087893288166, 140.71994768316526, 76.27259750307988, 85.09805074917394]","[14.146005883841855, 27.316072336193248, 22.72559122472779, 14.659911359359493, 15.399053703675323]"
16,"[15.17886665477876, 8.617000626751329, 6.683512535714777, 10.770929665874698, 16.837916122242813]","[3.3375120773386087, 4.075208876400955, 5.082121149253241, 6.1006854407313025, 7.141296027831457]","[17.93634302131869, 17.070562386868062, 16.962936604049606, 17.406380369524076, 17.737842641986585]","[4.502509544897454, 5.5305509310299, 6.222596521211372, 6.918870855596072, 7.625922851106439]","[16.62503884075812, 12.017246386764908, 18.127979144858898, 19.36755481521576, 19.604882152535783]","[3.204497897584236, 3.9744912523173053, 5.14030552747922, 5.894556596211816, 6.644611400726356]","[18.58829916339911, 23.001667410793594, 20.56801947084824, 21.648507536420723, 16.572512673461635]","[6.745199305019733, 7.6072027602639025, 8.957311984870271, 10.211424884242774, 10.530875540088182]","[5.554369226371282, 5.539714318744844, 5.869635130280618, 6.360884354333692, 7.661398341016936]","[3.2513119225015576, 4.449310781875094, 5.388203192291467, 6.154343990543919, 7.004311631010553]","[24.001800280607135, 12.527623883674458, 17.024243065649205, 16.271945533170634, 25.353437065980362]","[7.227255248991645, 5.84625742637788, 7.303560402923582, 8.573006693908932, 9.675882664378872]"
17,"[4.954432155326088, 12.660539254766064, 9.5115408877722, 10.172613816330683, 7.797105133194802]","[3.311390680816918, 5.018471849371621, 5.477540782800618, 6.193324663851666, 6.840084822179906]","[26.185213851124512, 28.551413964676918, 29.29326216714903, 29.553845019630533, 29.79903329512258]","[5.195439334804184, 5.943165611703557, 6.650447450617046, 7.154970845039371, 7.6414840642965]","[3.036803585696611, 4.84250448692312, 15.63270336642207, 22.910970783175156, 29.74067711592357]","[2.741472964210055, 3.8136070054585636, 5.1445610639048915, 6.286588973606946, 7.434903351500022]","[4.75716779068268, 8.189808411402435, 6.631178235307522, 7.073432885236334, 7.714206091902271]","[4.840733916767729, 5.6500480666970265, 6.842623248312332, 7.742614711069544, 8.66359693490309]","[4.604230370158991, 4.596445454263456, 6.995664103116477, 7.89300866266776, 7.5832707593304445]","[3.10702831605556, 4.4358363035171475, 5.986139227429524, 6.795795230035273, 7.543697745755779]","[32.23536983117011, 22.197953466199742, 27.457066932459362, 61.15392830295823, 37.651134475155]","[5.913155034870222, 8.290376339956653, 9.802209669530972, 12.828879545999058, 8.77789221265078]"
18,"[4.093267433678889, 15.81996327335653, 19.56247299618819, 13.403689144521499, 8.915545379932325]","[3.145647122366572, 5.188156448038089, 5.897370240725997, 6.2564330762766645, 6.755181698176667]","[7.672239309653777, 7.811710277391998, 8.066479473734708, 8.687353452103046, 9.241153753919514]","[3.3179462471754793, 4.421057753819486, 5.302285682279534, 6.037023244570153, 6.779876403423563]","[3.4335157407215844, 17.141669688823203, 13.8908702091727, 15.820765529667238, 23.597065305870203]","[2.695365424091436, 4.385435711350241, 5.107047264430934, 5.911339689705364, 7.095388445660032]","[11.305848740196717, 14.418227530748668, 15.29570070778333, 15.953639687704094, 14.986314193178918]","[6.817829346783865, 7.683578878344266, 8.815258075702086, 9.603981849284017, 10.591328553750797]","[5.107381371792622, 4.888970165968049, 8.388201512711428, 8.226927292071855, 12.773315703200247]","[3.263764604001103, 4.8526398536868305, 6.408459254624427, 7.045322173802673, 8.039021882468122]","[48.42180876526753, 55.62433586151862, 47.29901540007291, 30.86360559559875, 15.089084308746267]","[14.906677899162075, 16.248315313422733, 14.166185761785991, 13.576089975699816, 12.677908311636097]"
19,"[16.731831778621356, 22.74070812146713, 14.349564831422374, 7.305042976426737, 8.767226335374996]","[3.4092375594932953, 4.826961104569972, 5.2463322350965615, 5.969559523768315, 6.812543277240978]","[7.042098685721015, 7.040209999813377, 7.4088653691374144, 8.053233300394732, 8.662861313177249]","[3.156898074434723, 4.279930752739593, 5.200152477350029, 5.930764920424317, 6.629102533126894]","[18.22859351516497, 17.627003122681405, 28.305032777107304, 15.842277343276187, 12.574044625293562]","[3.340959879027995, 4.189533578080078, 5.729708612644084, 5.75848673697865, 6.426660774690106]","[11.593989355612415, 9.369781611730064, 12.633823071024572, 16.507321006915028, 9.491451227795029]","[5.561967920890975, 6.1249069682047494, 7.515202458276214, 8.678113885457599, 8.980931707606143]","[10.016531462414509, 9.086718042639326, 8.637518163505788, 9.181164490512034, 10.430989196072634]","[6.328714627296807, 6.704687961980301, 7.160467542360971, 8.103049068156686, 8.660349822886305]","[30.832843715939255, 27.35116048674608, 28.717153072737528, 27.963323827821206, 28.989783453248858]","[8.192583207145486, 9.840612805039248, 10.831157242944519, 11.587770584500236, 12.124855091212952]"
20,"[30.871038573318938, 18.094277870689883, 24.359212684610892, 29.04078990309425, 27.441290295930127]","[5.556528745981992, 5.056096063743897, 6.180046320440563, 7.119922958765752, 7.791927131474212]","[4.650910884322497, 5.586172354579035, 6.603916557822275, 7.349055465149711, 8.035469795231991]","[2.9838245063650364, 4.235309801229302, 5.1488122790723745, 5.858357579374956, 6.499896368540431]","[7.010496259028446, 5.781038271370327, 5.718441411342006, 8.640671014159341, 8.112551116034789]","[2.8209886993314837, 3.9243897245166046, 4.8610811401555125, 5.639162427843523, 6.41374988470864]","[18.096440285492875, 17.864098032362595, 19.351728548561585, 13.601372069211742, 11.409002051941487]","[5.995090873581674, 6.4894547868280705, 7.40202996379825, 7.835824197151174, 8.45499351147871]","[7.890417119783821, 7.622380710370787, 11.151223180342223, 12.779009962208132, 8.037158903917849]","[3.3816454424808335, 4.772997294893468, 5.734597693918343, 6.634696078085753, 7.521920741457351]","[16.242549759306822, 10.837541089969193, 14.157233062087288, 28.854008331550478, 27.27630858911889]","[4.600829999030149, 5.4219802111779725, 6.207231032866097, 9.265971413570698, 9.243330905371817]"
21,"[9.630939062742248, 5.3386949926314715, 7.76689221456502, 14.389029605394288, 9.043080256182616]","[3.1401550522343156, 4.270434552125843, 5.290753522651896, 6.517322512200886, 6.945653165594846]","[4.684524954173942, 5.217932926152895, 6.256692531762359, 7.038031804317506, 7.746043455256067]","[3.031272346475965, 4.303590699341307, 5.2333173683850935, 5.938084236979665, 6.577765509837627]","[8.452817313709048, 4.887736708988187, 5.236702212914566, 10.888206085232582, 19.722313194831678]","[3.0389198139940223, 3.8171851379045734, 4.8414345596668245, 5.846572777764142, 7.0848474357742734]","[24.10038224068713, 16.99559997590712, 25.151143579331396, 27.254764500351357, 25.97256055537836]","[7.664549422591829, 7.727755785665007, 9.011538427811358, 9.146848409868383, 10.309574657743124]","[8.686467949013672, 5.403414741585918, 5.940456581538165, 6.644007324351748, 7.701413954637723]","[3.500864541784339, 4.736535608654942, 5.753601732180166, 6.667683385435508, 7.496220226108792]","[7.553192716282976, 7.799303493035546, 16.837204146239475, 10.413157737278615, 23.551155048644425]","[5.881654351660099, 6.5756048318382, 7.897640276240176, 9.4693343136125, 11.174032003093775]"
22,"[12.261290862561609, 9.319912081125453, 7.016602792703807, 9.260485603860293, 8.93159236043061]","[3.503672587402983, 4.513175893063852, 5.404669237432196, 6.39324199537668, 7.022341909390279]","[20.32301995668575, 20.761527889546915, 21.633388938529176, 22.0927708832182, 22.47750067586198]","[4.2405016859841, 5.431031479252194, 6.206157315974884, 6.766891704011939, 7.329199408044003]","[9.813590967032551, 8.895366070350272, 14.863737770184585, 6.037724099076298, 7.795040237351504]","[2.986418932007629, 3.9426517756523403, 5.231776561399487, 5.64495803857162, 6.485607078600392]","[5.058441469366548, 8.385364674443945, 9.938794174441306, 9.893453902423643, 7.742677524845444]","[6.935957930356958, 7.229896574986043, 8.136359081253076, 9.038945932238644, 9.723929647688792]","[17.823095167839078, 11.31276497499994, 14.86488955557575, 11.71236698246344, 11.96475818356128]","[4.225186585248565, 4.666001229265746, 5.823696553717722, 6.380562937523826, 7.143901089077674]","[17.753275685537613, 15.720403482093486, 19.64422604036522, 23.1000903451511, 15.60302308689526]","[5.948204952765942, 6.613645989499625, 7.786472405404951, 7.714629455162853, 9.027200700286912]"
23,"[22.134005350631774, 17.73481480274626, 14.969035354574192, 20.707445595047318, 13.581996711445138]","[3.876648855439936, 4.522822735592069, 5.4764602018783055, 6.636660861156747, 7.0409424360754285]","[4.087021514279337, 6.0181411903743, 6.411159736331334, 7.0131727806942195, 7.6617444377646375]","[3.181325036897072, 4.563783948206926, 5.442105565832167, 6.126660040492166, 6.728836742910002]","[17.462873322738062, 13.448293093983013, 6.37791992117773, 10.968189509597506, 11.882021924944116]","[3.480055858949091, 4.147344295130321, 4.939832546746364, 5.739122784667969, 6.544398714373938]","[11.34108566028242, 13.469463293789538, 14.329444154095103, 17.51194385798706, 23.194573661444235]","[8.403379357194556, 8.81388884003653, 9.69072603202367, 10.481091159427367, 11.778186989936266]","[8.11506879706259, 5.917109974722049, 10.236121955989002, 13.604343649096437, 9.96241849207571]","[3.5736176475071444, 4.912135241902777, 6.01410704801581, 7.1009595326594805, 7.966638491351687]","[15.100932880173248, 22.894747223969986, 10.372353447547814, 29.2849457209837, 10.109480701763095]","[6.004177945827975, 6.5779706593460325, 7.257156564600822, 7.952120557638269, 9.099008537787402]"
