,LSTM Train MINMAX RMSE,LSTM Test MINMAX RMSE,ED-LSTM Train MINMAX RMSE,ED-LSTM Test MINMAX RMSE,BD-LSTM Train MINMAX RMSE,BD-LSTM Test MINMAX RMSE,CNN Train MINMAX RMSE,CNN Test MINMAX RMSE,Conv-LSTM Train MINMAX RMSE,Conv-LSTM  Test MINMAX RMSE,Transformer Train MINMAX RMSE,Transformer  Test MINMAX RMSE
10,"[0.021600439696962504, 0.025812682085202474, 0.02369925531329089, 0.032983881170078805, 0.03260507355052825]","[0.02789713263066647, 0.03506942557814862, 0.03491600362376111, 0.05024443978328399, 0.0504905349201868]","[0.02461326034942706, 0.03063841656799638, 0.03297214598697414, 0.035367124530448865, 0.03822875295083146]","[0.029159789958943107, 0.043382232898262575, 0.04367608206396069, 0.04474968176080484, 0.046044759590726805]","[0.019246971559815685, 0.028992552523945784, 0.035315623655207996, 0.03968505774195969, 0.04604524922691439]","[0.026589170820736023, 0.038073899745602865, 0.046510356825908636, 0.051757991929623104, 0.06166232315911808]","[0.02700311083877719, 0.02641001660857786, 0.026449624327232135, 0.028320494383695372, 0.032202111066642086]","[0.04112899442681797, 0.04293692014618018, 0.04440430802119786, 0.05033792875547804, 0.05912599466530706]","[0.016315525905140994, 0.01439022426339093, 0.017385640062207497, 0.02135568871679959, 0.02258035026233227]","[0.045748301026960474, 0.04519489385162892, 0.058297758856963415, 0.08099411016641363, 0.10209388236573314]","[0.014220501018907995, 0.017182371465251433, 0.020724156699343372, 0.020616249953649864, 0.022610825358011157]","[0.029921550076231124, 0.035493692301925193, 0.04456722683248274, 0.05520015018450249, 0.047150310231731746]"
11,"[0.013385452762563126, 0.020534068000643887, 0.020972903389306647, 0.0257964465404737, 0.028736755640065198]","[0.02569481043689755, 0.02955980653647331, 0.03444420987569135, 0.04673450887949008, 0.047448477048576174]","[0.020934222205645225, 0.035920639870208416, 0.03683765024713484, 0.03663282549815949, 0.038589874913676755]","[0.024385009566862098, 0.03603597738482044, 0.04461279273601958, 0.044583284441540416, 0.0450013016708853]","[0.01996528098289947, 0.029422216155408316, 0.03477966657842286, 0.039618545435209, 0.04673186119872379]","[0.027600864235855872, 0.04004573708018157, 0.049155226353118475, 0.05594867118865889, 0.06425737191072667]","[0.026824229202066844, 0.02555473632122281, 0.026459016861131623, 0.0281753052929934, 0.03298941142740659]","[0.04202465394396639, 0.043019844127316756, 0.044812482564147604, 0.051746299237287866, 0.06146324633407663]","[0.01047171231711754, 0.013985110505157581, 0.016962180163113513, 0.02103080606776409, 0.021464226085130027]","[0.04107061159704274, 0.04838673949624054, 0.061436633587990695, 0.08267992136861257, 0.10308013758029866]","[0.016920999376378643, 0.019280687731741367, 0.02229116503629735, 0.023952376134471813, 0.025856849652570527]","[0.03165670810083847, 0.03259694287881242, 0.03797806570021543, 0.04852870497529243, 0.0573124136216372]"
12,"[0.013091521676700014, 0.018751928301720053, 0.023297544364741365, 0.023419960228563165, 0.02698823541817016]","[0.021835652899848693, 0.02776871015852218, 0.0365611757848493, 0.046738409074794596, 0.04489453229376869]","[0.016201424286268015, 0.01714738886561132, 0.022996204808423973, 0.03596655393072545, 0.03788731309516171]","[0.0221098841882715, 0.02973898246177762, 0.03316910521790727, 0.04406716437327406, 0.044470556397335895]","[0.019573095244421444, 0.029652160609952734, 0.03334722147511066, 0.03817907292579194, 0.04505643856322601]","[0.02853211984723953, 0.04128269275186, 0.05011075698969638, 0.05349091691611268, 0.06137009746573148]","[0.026988386272417928, 0.02555739921635679, 0.026223128218537395, 0.02817300600234576, 0.03240029331781466]","[0.03805823948282438, 0.0393413593463041, 0.04068963038845973, 0.047584343727908006, 0.05700744109641596]","[0.012000247767709195, 0.015084243822397626, 0.017123358684676196, 0.02121514787237535, 0.02384390718653378]","[0.03491830915177011, 0.04115600447201588, 0.05129233221196589, 0.07153712538289186, 0.09301402039695132]","[0.012523066668260478, 0.015250348627015301, 0.017742729690815157, 0.019272298523375878, 0.021180890558401562]","[0.02529284839725218, 0.02945241515625912, 0.03451944450398261, 0.051450662897093866, 0.05175502274760835]"
13,"[0.012156780716844126, 0.015593235639734603, 0.01948813742649194, 0.02267038475966882, 0.025631203120421525]","[0.023532080921803186, 0.030027791161301165, 0.04027901552419597, 0.047670859253524794, 0.044747199370384176]","[0.01346215411612615, 0.0170274639120739, 0.021383928138482385, 0.03376823771001214, 0.035521476994620486]","[0.022218270024447394, 0.030733494431627185, 0.0324731526547002, 0.0435375788734504, 0.044430648685201315]","[0.01952315755011054, 0.029604493557196066, 0.03238573298045435, 0.03690406724354108, 0.04376394364303464]","[0.029608132825699143, 0.04274020242243922, 0.049355399607839134, 0.05121031602055686, 0.059375979325863464]","[0.029343712343843174, 0.02787034549286165, 0.027255951756366237, 0.028512390301222733, 0.0335185574843032]","[0.04203676980983724, 0.045172402648459155, 0.0462781991976827, 0.05407421533642796, 0.06484366717465095]","[0.011309781552327897, 0.013843133719658635, 0.017443046241972234, 0.01876881898532103, 0.021763864473929362]","[0.03665338877680226, 0.05127172238974099, 0.06565799788810135, 0.0864365234194546, 0.10368636923905204]","[0.013271401462900604, 0.015069828057191486, 0.01784852314942874, 0.019434776127828363, 0.021500524730892166]","[0.02401496777691298, 0.028789652563744727, 0.036542121337826944, 0.05061267504065936, 0.04895905197024014]"
14,"[0.012450698282252358, 0.015450875154736924, 0.0192104455756221, 0.022548753484127902, 0.024877876034677608]","[0.023841597139056654, 0.030558926270783646, 0.03448226657359504, 0.04066120242640905, 0.04331806860560367]","[0.012940871697317977, 0.01649493036411713, 0.020580904548439444, 0.03349523535115793, 0.03536132389755807]","[0.022107162276205856, 0.032687183196375265, 0.03312614743960573, 0.04412548094183715, 0.04459201653978288]","[0.019019615987261235, 0.02902828247373542, 0.03123126893306832, 0.03556835892946907, 0.042538123917625424]","[0.030440240299447644, 0.044953218974114716, 0.04773579665508725, 0.04894208798341849, 0.057105287147590104]","[0.02533458609604649, 0.024743323110652294, 0.02639137804024888, 0.02822775024515869, 0.03327947533109606]","[0.03814078982994405, 0.042041680019605836, 0.04387609675608468, 0.05195449417624478, 0.06286173945696842]","[0.009972520413856333, 0.013887884159256516, 0.015668210235679714, 0.0191742549555281, 0.02124586839818805]","[0.03243245900114346, 0.05192234268930906, 0.06675086736190049, 0.0832725659536744, 0.0998057739695971]","[0.011518679881661742, 0.015205586229999395, 0.01836374858305415, 0.020808851463207725, 0.02292302465220878]","[0.023733371997604995, 0.028393786633090595, 0.034289460250543524, 0.047321387114338705, 0.049123568908252396]"
15,"[0.011828079638205017, 0.015944777697473614, 0.02090076068206523, 0.022025281339875556, 0.02571913548547846]","[0.023660271519010012, 0.03031459527440354, 0.03424602767896457, 0.03896685255047866, 0.04397672642266836]","[0.012951318004547288, 0.016473750295830022, 0.020358529244629404, 0.025870267654955453, 0.0329835376857923]","[0.023624886433906735, 0.029222125889591822, 0.03469225126585224, 0.04357242392873274, 0.04941372835130844]","[0.0182787705654636, 0.027746998553078564, 0.02971243075085303, 0.033721232792482146, 0.04075966562786801]","[0.029535560136163985, 0.042961590079240775, 0.04583383102520298, 0.046357660523920534, 0.05498220373862926]","[0.029046205384994625, 0.027832257792624906, 0.02907943194921955, 0.030579018620021388, 0.03657100267970685]","[0.036633668181527954, 0.043016675243685465, 0.04314295004370739, 0.05072950722958774, 0.06262030545615206]","[0.01026440003858355, 0.01286019116373305, 0.01663806115327259, 0.01772801488137922, 0.02095942580829062]","[0.03154816593266863, 0.04770835746063739, 0.06365670345513312, 0.07976393366240982, 0.09504282551565331]","[0.015245032798854094, 0.018293357694547777, 0.02203310742819601, 0.025655584850078038, 0.03013614550856033]","[0.028385396467561136, 0.03212559900404351, 0.039023667762097404, 0.04944431629915595, 0.050482761012082655]"
16,"[0.011294395052105093, 0.015388212608379722, 0.020236909361832745, 0.021416329847857865, 0.025564212212607306]","[0.023822769477732795, 0.03229863166754899, 0.03417023801679565, 0.04002665884654548, 0.04351691064438433]","[0.01321427226973018, 0.01637886427683186, 0.022517421059243734, 0.025199535698139285, 0.027323033743560123]","[0.02416413212649181, 0.029992643150716734, 0.03722399317276913, 0.04027493101659971, 0.04310124939550162]","[0.018980733564458747, 0.02793353956049151, 0.029501305157355787, 0.0334255765723608, 0.040463087859536534]","[0.03178879787698885, 0.04329805219047763, 0.04532007873493026, 0.04536414194395551, 0.05393054088564888]","[0.027129115439220284, 0.02637144544005545, 0.02677052314992822, 0.028517246092872196, 0.03410516242328944]","[0.033048544893013336, 0.040188045883139005, 0.03972706967330414, 0.04770575733555164, 0.06078167403869946]","[0.011476809239117392, 0.015727163480010947, 0.016112559805456093, 0.01748871763405941, 0.020593891392007856]","[0.02920996972956409, 0.04783711970689981, 0.061008732985377505, 0.07527562028119618, 0.0908611748350266]","[0.06162492264656549, 0.0664968714692527, 0.07146491451876479, 0.07728075196070704, 0.08196098036446056]","[0.06654947130258367, 0.07171479245179681, 0.07636875036892825, 0.08217528590843781, 0.08671573426771048]"
17,"[0.010770851080033592, 0.01495220524878246, 0.01802569697887412, 0.02303515715154083, 0.024237295748502512]","[0.02709199863594681, 0.030951180514019457, 0.03812868887565504, 0.04147424260181197, 0.04471534337971494]","[0.017291214836852146, 0.016198892142912067, 0.02002558944126206, 0.022767245979378826, 0.025412810661633936]","[0.022857555643374515, 0.03792261911437581, 0.037333657459504586, 0.038941960834073065, 0.04404839638461777]","[0.018589790093218057, 0.02683936579554777, 0.02842796573727187, 0.03219361226403777, 0.03879487585758607]","[0.03367228156015191, 0.04152268614752484, 0.04378692343968554, 0.043404402600277156, 0.051663712815300265]","[0.030952785432799015, 0.028051964494561432, 0.027433581773914067, 0.02869743666293968, 0.03361104242843912]","[0.037165697026231743, 0.04165020716302768, 0.04198965907450962, 0.049441698659301134, 0.05350461156275211]","[0.010196207805246571, 0.01239584432326509, 0.014331166208722445, 0.016862748711444244, 0.019404675494868382]","[0.028982617272918478, 0.044654174393421925, 0.05948435337125906, 0.07343124252256075, 0.08776202882557449]","[0.0171768296546053, 0.02670963740267061, 0.024451308908012757, 0.027032976413644678, 0.026771604194412723]","[0.029452513686353914, 0.0451407717437217, 0.04384806699159876, 0.04620022913040159, 0.04904988803091705]"
18,"[0.011143707063445609, 0.01531036911485638, 0.018539618451104214, 0.02001397837339027, 0.023018998530792024]","[0.02673220467247515, 0.03243678365374969, 0.035674650472102706, 0.041251261201087436, 0.04537215602616033]","[0.011614775735157625, 0.015617782149269769, 0.023827779766244804, 0.022556679573003446, 0.025081082467925883]","[0.02356226236315976, 0.030947874456293687, 0.035816951462473434, 0.040054763328984305, 0.043064307874892696]","[0.018076707050294176, 0.02583679426481637, 0.02707202715574366, 0.03055324568176833, 0.036953069130477835]","[0.03203756538037645, 0.038557683128708276, 0.04213415527495255, 0.041298389308520256, 0.04929124460298427]","[0.028689200876000073, 0.02683701166924914, 0.026235936703910796, 0.027889046537510443, 0.032194890859825756]","[0.037211938963274405, 0.04011735229167079, 0.03992943053947523, 0.04257571231868376, 0.04595982405371966]","[0.009886360595228932, 0.012652880028357157, 0.014812680546869794, 0.019407201260504492, 0.0202575113227913]","[0.0297887022082304, 0.04012292122758756, 0.05490211062796826, 0.06347465276912789, 0.07910173737048797]","[0.03028292173208183, 0.01989515121613274, 0.020333397657823583, 0.02684018261004511, 0.036448923401964775]","[0.03574998338230501, 0.032183212007516324, 0.03578851772599779, 0.0499431069304125, 0.05779303246452556]"
19,"[0.00993382371174884, 0.014104369522519406, 0.017284124057942503, 0.0203042791768983, 0.021889406341341514]","[0.025985459104561622, 0.031865705321016034, 0.03568204410516314, 0.04387496141420247, 0.04445301688048196]","[0.011811312191334862, 0.0156932771845044, 0.019099689192853358, 0.02187218210877064, 0.024819321253246072]","[0.023145396086548253, 0.03487304893805582, 0.03932351110504073, 0.04013693812958083, 0.04416382908783118]","[0.018554491533655484, 0.025590568129669023, 0.02630559172128428, 0.029217289239244205, 0.03479451382736727]","[0.030557563459653717, 0.037067389132376456, 0.04099160804659774, 0.039749855485247454, 0.04752414293463521]","[0.03044549106227565, 0.026613481668309857, 0.0261941468456143, 0.027551718975888498, 0.03291083567679733]","[0.03668369467570238, 0.03858115630106315, 0.04206882266962205, 0.049405833290238274, 0.05322322987458037]","[0.01048035446881793, 0.012187465615168794, 0.014370802849827426, 0.016837380766517408, 0.01870997519855144]","[0.029127089156896394, 0.03765413537735832, 0.05100883036241088, 0.05309262877789837, 0.06741947145311064]","[0.012925153450959742, 0.016680708481141414, 0.018807895549410668, 0.020932461537095156, 0.022741116106252648]","[0.027584270499673366, 0.03429384290084967, 0.04118786704736068, 0.050437291651397834, 0.051008103040001224]"
