,LSTM Train MAPE,LSTM Test MAPE,ED-LSTM Train MAPE,ED-LSTM Test MAPE,BD-LSTM Train MAPE,BD-LSTM Test MAPE,CNN Train MAPE,CNN Test MAPE,Conv-LSTM Train MAPE,Conv-LSTM Test MAPE,Transformer Train MAPE,Transformer Test MAPE
10,"[179.28549063507074, 173.7682086063611, 145.1600894611117, 218.7671592846625, 200.00071126363918]","[15.15619298957157, 16.84264004093427, 18.445442308334815, 18.810367370676413, 19.64560664708296]","[127.39275587405368, 151.4007682579821, 149.97958372534333, 152.23378338321365, 153.30291703062403]","[10.556364346888317, 14.107062841864051, 16.365425695975993, 17.656582320843068, 18.553625463239893]","[23.189615865447703, 66.4320492002752, 243.84278157409415, 214.80400890118102, 163.28548813182255]","[6.471395553239641, 10.895135122429053, 15.786416539045161, 15.58264648666391, 17.999940611136243]","[40.746174105183094, 63.796461330869356, 27.9796250390168, 48.572529577685685, 33.35291781214564]","[37.55511953145872, 77.21851511423195, 31.61691507889825, 20.94284812520074, 24.435831614280108]","[36.198205415271, 38.66690923554998, 178.3267356471994, 153.4487708610142, 240.15576195359927]","[81.61419857748074, 75.14963143150023, 167.7889650680703, 272.2836115960568, 269.21120901646447]","[27.113651327248473, 70.4609919263021, 26.42747513521894, 26.83268940140138, 73.13500720924809]","[24.257501643257452, 25.9806563798208, 26.266572593176658, 26.942129013798937, 27.240509900539706]"
11,"[223.8884182231481, 170.44403733386218, 158.73813756782474, 176.73554396220916, 210.80009167457007]","[12.049158751386269, 14.10184052981501, 16.32594120286334, 16.999532102832006, 18.441366493119983]","[191.21471777809884, 210.904358252638, 209.899592658929, 210.04047381473495, 209.82062772242264]","[11.406405873028042, 15.07787600038408, 17.270485752472197, 18.477048705976987, 19.2919643113894]","[62.05623993717189, 71.44530413786347, 49.41927804319962, 17.13471544645614, 109.61694300294324]","[7.227319847023223, 12.555551445285538, 15.599025666419287, 16.048767653515807, 19.816495682192414]","[36.58951098845786, 34.01012513700004, 31.168601665288637, 88.00830710703325, 124.90884461660552]","[36.609554795522094, 76.46082887590995, 33.26557924858955, 20.805469999211486, 23.749671502204883]","[30.09944128716094, 35.333817192681025, 55.09175861788956, 39.17086127656429, 54.64937585162769]","[87.11100103498092, 75.03674122182123, 180.64144417265572, 306.311740432431, 320.4992523850803]","[120.33493006371747, 145.69768665963062, 44.63154473054784, 74.50300490051174, 166.52974215577274]","[25.923322765587177, 32.58360282801962, 28.725028736611247, 28.74209735831422, 29.20897036541325]"
12,"[77.75052301441072, 38.14732055228256, 55.54024387950055, 51.281215838207586, 44.90719345977009]","[12.250943176212212, 14.626177053693729, 16.872585066386712, 18.614712271837018, 19.786586904382265]","[79.63867191222865, 93.30355268201038, 93.45469789229097, 93.84572146895361, 94.04229803306539]","[10.71477118234719, 14.951394333061701, 16.912346999435428, 18.097613830523006, 18.927199138350602]","[16.11979871889718, 200.11038878298754, 106.03369517382207, 36.33631945939838, 49.50914499170841]","[7.784771189490767, 15.251125223929323, 18.372459338298206, 19.41717905603075, 22.904235026265052]","[36.11461234085493, 35.856923910287605, 90.25256180934825, 72.61701697333571, 151.2608637344996]","[50.65524666317843, 57.79012205292292, 45.36783713940476, 32.330632421662074, 32.46811644854906]","[32.69459830931312, 42.46119005348365, 38.11229648688562, 36.84820908345039, 78.39570925474499]","[98.03394920356227, 89.56239208993459, 207.94600053968065, 356.3232541619382, 393.9617189629097]","[63.848357703044734, 168.84466678685476, 39.062550995320144, 25.374478157968426, 53.16156017976789]","[24.76696749024891, 31.42317331963217, 26.013496480232774, 26.09550669964794, 26.24915933803817]"
13,"[31.9349288607495, 42.009831274772175, 14.009356983265297, 86.42328120016717, 23.528767392396148]","[12.312662646768223, 14.884970250756528, 16.89220455314305, 17.585049909529964, 18.79046382318929]","[65.08084553374684, 75.85474652821232, 76.32123013687682, 76.81325020011363, 77.10271101802837]","[11.33767002394077, 15.821071525269609, 17.670043094360985, 18.858005008825614, 19.704375514086554]","[9.180161194359608, 27.79854959639551, 26.052034501986633, 89.44947179432909, 160.39241109051977]","[9.300346364406085, 16.193622869253204, 21.69443126305904, 24.102802086259334, 28.636363346556276]","[56.1444190324222, 100.75966286099305, 157.44168825983806, 146.04620444802973, 151.60112729541981]","[49.75849169858181, 58.15941758724347, 47.54794068881936, 32.51523314935222, 32.99128439912927]","[35.34541673357342, 78.18384423727532, 54.684447157878814, 31.627988315415983, 56.24809274154071]","[133.51682028483233, 97.21785045442427, 196.4092461468999, 353.03892854816365, 437.05636268325543]","[30.82990840120301, 72.02168080202944, 57.09337635553339, 29.697792294392837, 28.898244748571727]","[26.762402816673596, 25.144689262149072, 26.299248322153947, 27.44525548941652, 27.88886929790185]"
14,"[103.19518201505191, 123.9460056667792, 95.96725015044336, 161.38760842975094, 187.2216629149085]","[13.09734689761865, 15.753483275698002, 17.662591556600116, 18.520957838707766, 18.90196523782737]","[18.01190921523289, 16.477954488162446, 17.655654623413135, 18.71334345430623, 19.670826351841356]","[16.18035804171539, 20.093908294269234, 21.710925601795324, 22.77923486340239, 23.604170834897758]","[145.56939091029412, 213.2288008211258, 258.63015077384046, 233.28054102962136, 314.7038598076512]","[10.822792828586266, 20.10990577338215, 27.81854911056235, 29.751412467933452, 34.78798251306023]","[41.187497012517014, 38.186025200771915, 24.52082682361084, 38.871245760632824, 53.346782090182586]","[49.455250350802494, 57.853284321700585, 48.441928718891006, 32.90137957421157, 33.22159937715479]","[57.21946228916147, 30.028290048245587, 33.04449886199523, 32.506605035132104, 39.36123465335291]","[105.09896682577468, 68.39374371572634, 131.03127219469556, 221.77748620461472, 294.3728355880307]","[42.8782110259639, 141.2835469794705, 71.9142351327108, 117.92402457129658, 161.5289188893304]","[30.291284764544596, 27.91893324390439, 31.757133460542764, 31.414054580928237, 31.817594061615022]"
15,"[20.444637635822346, 49.79733504399847, 14.890848640029333, 15.831362119225496, 40.49039585800382]","[13.227499818136861, 16.837094859941168, 19.191654839750083, 20.68842742056041, 20.6200616602544]","[56.013224412916074, 65.34375661450379, 66.05516018391448, 66.61427163361992, 66.9483920542724]","[17.764484327423897, 21.978648661602207, 23.60320474723257, 24.647510494820875, 25.432891744032855]","[123.69314426234975, 213.19115296361346, 304.8729722828186, 420.6027656432566, 381.7888838592438]","[11.29081217220696, 20.26492883628496, 27.01305559856711, 30.417137331012306, 33.4365864956742]","[39.74200527115154, 45.84911296084664, 57.5678208765889, 113.59508631937511, 91.64326519976164]","[48.98556705766562, 57.60624142156705, 47.32528229622275, 31.991555438348364, 32.684426426564]","[49.7078677910409, 41.38641234572618, 36.136319646582066, 97.20087204068994, 47.41388334558411]","[105.00623472141663, 83.50546349632472, 105.17117220172196, 195.8806220828766, 262.64521845520346]","[40.35557417356056, 57.825370622599, 59.104366693563584, 44.418887002225866, 54.19919653793812]","[30.769377456013626, 34.34518694268463, 32.64704110554313, 33.43998427045965, 32.27036697185982]"
16,"[137.93187622760334, 121.87411700171526, 123.76784061683782, 152.67350391804416, 203.1024097731497]","[14.261441718856837, 17.922338283985873, 19.0899572954049, 18.16253529488273, 18.34366521815417]","[139.68584847412347, 150.39175218919786, 151.0604505656846, 151.34716795387763, 151.34425859247798]","[24.298354064369832, 28.474594759103628, 29.92631987129325, 30.86609556946153, 31.604814763472927]","[103.26998622507506, 60.77944380306592, 236.82083625642954, 306.64168072101415, 333.42365218485924]","[12.811709609989538, 23.322494566727304, 33.66925406065223, 37.8916380042115, 41.78268215812491]","[76.97892068744639, 101.2392867813259, 97.07253477435644, 133.6862224842432, 144.675819156094]","[47.49147037677851, 58.24108359639316, 46.30426970267349, 30.428367801354767, 31.279737791275195]","[27.62186763303835, 32.034529894256295, 42.01043860124148, 36.78723791326943, 40.78121843865388]","[80.93063388068288, 69.87293744601372, 94.31567205510774, 159.2750790017226, 209.24939832173015]","[36.04057717204242, 27.397426025524396, 25.098348462133153, 23.74904914731357, 40.816610504079954]","[27.35465124890814, 28.44331452695903, 28.489664037967156, 28.42395500527197, 28.855771297306138]"
17,"[47.49447855130416, 58.78175544004007, 143.80488822748447, 155.67503945988582, 86.28341342644373]","[14.186480042108563, 18.055232397865492, 19.43285370286822, 19.37802381341531, 20.336669266640925]","[44.385437467154574, 34.10745216546627, 34.235991049894416, 35.0794139313768, 35.962891575498794]","[30.158944884362487, 34.54670457705242, 35.69225764842134, 36.51344423970064, 37.18551645304668]","[91.96824077074524, 188.76535328940525, 149.34654249546546, 78.37710678280959, 160.16484615115226]","[15.845754273979246, 29.40364153066749, 35.95120918731762, 40.22166539440059, 46.96050078678006]","[32.820876823600514, 69.28129293355809, 29.199574194914497, 41.95821694905087, 57.44922002694574]","[50.94599695163857, 53.65700430938244, 41.69945985295223, 30.869682863904252, 31.36636750733606]","[32.49831527147421, 69.77195266449576, 69.0318123771476, 32.88738571666857, 35.681088909447446]","[47.92496366095123, 63.08432472622201, 87.21466098740443, 107.98394448073113, 151.52743234350393]","[91.37919537591425, 114.51825259337627, 89.23869144513147, 119.11530785738272, 85.80623294967764]","[25.444555681405916, 28.31558492878925, 26.9382674412315, 28.119312255756522, 27.04484252318402]"
18,"[77.22630275358091, 143.29203673532106, 153.05708568497892, 206.76658904574165, 202.95989073721614]","[15.6316171818356, 19.29465527952067, 20.94789396022024, 20.0914695044189, 20.536250519499486]","[118.83210150942598, 109.44427167622246, 105.14639063179703, 105.31902022307744, 105.60291853251175]","[38.50459198613747, 41.584003149203554, 41.37413037568251, 41.851268055384445, 42.32306785262914]","[108.63931440573684, 18.515212710255792, 82.04761863657512, 36.57297977123847, 113.83355773026697]","[12.113876581442751, 24.652215772816966, 33.32253029726993, 39.464191921692674, 45.59514997369724]","[157.6804005198377, 106.09412601215074, 72.73615497498803, 198.29130386691244, 157.58254660710617]","[49.36375782768084, 54.129038005644105, 40.58573625297283, 29.168024608911907, 30.1583083549112]","[92.97094278149802, 54.01030164931918, 36.57367303204636, 58.28419099648941, 47.32076670514834]","[48.4949365853012, 58.7660804432521, 81.39011591410812, 85.52125818985743, 115.06641690815813]","[48.90683658747222, 101.53081602321046, 104.90121065820092, 143.64238986133165, 141.70961401361367]","[25.652931063506752, 28.089439731915483, 27.558481624468424, 28.578805786480498, 27.826742938727538]"
19,"[38.3860566504793, 12.791151123061455, 21.70554433627216, 28.107522210299084, 22.810025812457173]","[21.106122055734783, 23.870873791193013, 24.90414352476243, 24.95036584966072, 24.3764609943276]","[67.77010531783428, 68.01464167647906, 61.178265674413566, 61.56349396519768, 62.074579367424896]","[50.89493541325674, 53.03174835598094, 52.75185214256547, 53.2945592850358, 53.73133499824028]","[59.20474255512117, 148.6498556316019, 269.49643382598214, 220.0391416323198, 253.73224349575705]","[14.797817493452314, 31.42552653073362, 42.20592129667014, 48.50618297329702, 54.76544574808182]","[36.37128832113793, 38.17186755196089, 89.2785602858114, 108.82520775231488, 86.49325880435687]","[48.631222106081616, 54.40177364054648, 40.2600225396102, 29.08537370124915, 29.498948736844856]","[54.64591122833639, 78.42227265865137, 55.57420095220493, 30.989463822708164, 33.73850027478808]","[85.5894812376548, 63.28798265889084, 83.8589861666279, 82.60283993080469, 99.69340439518002]","[220.7279636305699, 140.61546906188153, 320.33941098960236, 374.51781671407616, 344.0955301470937]","[31.710065737114096, 34.14846026733704, 33.584199098864715, 34.714882140981445, 33.67123270717458]"
20,"[73.93417016281877, 200.93314114466324, 205.852262176625, 211.95353329832932, 253.81226834852666]","[20.877733576185424, 22.22936140335204, 23.206867523492868, 22.21822273571442, 20.002438539646572]","[88.83129153788799, 88.04925414312761, 98.03449202684605, 99.10946748795097, 99.60360727531683]","[52.90798467679243, 55.6246104527371, 55.64958412732044, 56.20788348633701, 56.56060957236737]","[80.11911308985307, 48.35528125740234, 37.06426604348966, 49.02892697926045, 72.66570152280978]","[15.020739325712546, 30.97629002586463, 40.51575102478779, 49.53864302870136, 56.76369170124388]","[29.303446134524897, 84.94176551136445, 45.344994372768696, 35.54279463633279, 48.06552825423782]","[47.09121878218413, 52.526232969840294, 37.72800073566772, 28.274262566415704, 28.785136412323453]","[61.46620822690494, 27.91112343583108, 32.02076966688755, 43.44642721860604, 80.33110879081636]","[103.64408783005237, 57.907318845618725, 77.8232090027105, 90.71699915797129, 98.85205289816363]","[27.388985012400234, 24.517065043664548, 38.76520322907014, 41.10569970572182, 35.21762965340283]","[26.523002842927816, 29.153177874881887, 27.95673118503202, 29.24261187928407, 28.523212937806452]"
21,"[44.03050425154388, 43.62577415522496, 72.52013741880803, 56.98471145691475, 48.34734499367707]","[22.266491209868583, 24.650071936410903, 25.83190032904909, 24.811139254950145, 22.64008423481493]","[201.66121154801192, 211.6877209113677, 200.5595317532915, 199.6864214787781, 199.33594303273932]","[61.10309246795565, 64.95670998891171, 64.93901657919517, 65.13392726127407, 65.31551177619585]","[63.65870549921162, 26.294925179460353, 48.82557397812282, 89.61173464201227, 43.620063011862584]","[17.83262329765844, 36.39209558591485, 47.453843825487205, 56.997710001585524, 64.3084140231277]","[33.251408264201984, 29.415276533331625, 37.872957736868265, 69.89427391810807, 74.73792275000942]","[45.97968678663252, 53.11976834641533, 38.03069962753039, 28.212472975032853, 28.70843536082478]","[42.793049094014904, 40.93002593062249, 34.57054460663423, 36.519253034358826, 42.21965020291153]","[120.32047533005633, 64.1292417204554, 76.50460317796218, 95.51240902927326, 102.04353629205218]","[28.82943011606749, 43.704320083786854, 49.546440262047945, 27.884701722746787, 28.872268713595606]","[26.99677986045936, 29.45599660811673, 29.001825905530065, 30.017932933475382, 29.25131138310609]"
22,"[89.24582425021399, 23.344317498575464, 13.876630163617113, 21.048347655379068, 25.407140486744755]","[22.81764941871906, 27.728261949404782, 30.71127737291138, 30.46421727113827, 27.98247005019252]","[20.622328838460827, 16.616934529985436, 23.972761720294415, 25.44877422824833, 26.407328525438878]","[70.00722799190264, 75.71995516245656, 75.9032982387985, 75.90694400926064, 75.98453092372526]","[16.02366898336752, 33.872070068978374, 27.54267657763328, 66.34824800911112, 64.20790356751411]","[21.505745074600075, 43.70628577489863, 56.475336134609265, 69.37797272184851, 82.00708568617956]","[40.99071941389583, 29.562372809049307, 76.0341136567788, 46.79394719102522, 79.44135913697096]","[44.98851246312003, 52.66447994604437, 38.054591568885996, 28.09275509585142, 28.89394179122456]","[129.36477432589336, 45.92012584061911, 48.72742143330191, 59.14543315215537, 31.888127158269636]","[114.06304638296044, 56.079780967565526, 67.35609259596728, 93.77825085534884, 109.07366946801649]","[44.18060999757273, 44.76500763287761, 30.206879707664562, 31.112209754682773, 153.17539299240676]","[28.43438941472673, 30.633561772799123, 27.835895722789317, 29.299123673084686, 27.520661078144954]"
23,"[13.550925095648614, 15.908342417888594, 53.097708128930186, 65.92898114684661, 85.57077788477694]","[27.76879211509132, 32.221440098655926, 34.648297981769886, 34.60854144820538, 31.798781087141997]","[16.830064480331057, 17.926380081074022, 24.291353928081982, 25.662609518553253, 26.630597734363647]","[68.8747033384631, 73.3508152042002, 73.44088706806934, 73.43584984962823, 73.54209040561041]","[183.9937772925204, 124.82621906763649, 61.393092306554344, 47.88525320290582, 79.82056558152381]","[21.16379240763137, 46.23095443613293, 60.63669306484321, 75.10479229189927, 93.7672840734417]","[52.418102069997296, 65.57348096165423, 114.11988410100157, 97.56666876325549, 133.16704790344528]","[45.35847227693793, 54.01271116080812, 36.278626739587494, 27.16680276793345, 28.063199780595365]","[76.35638284891554, 141.81232184572417, 140.51466152264598, 59.99808082320662, 52.411216835121046]","[90.27179049080874, 49.43320124257367, 52.49855436536062, 76.3531866044635, 103.54923904266408]","[94.30710255822761, 40.502585315334294, 23.984306326087165, 109.20054681682636, 74.38226484618355]","[33.64355687028054, 36.00204339161751, 35.726405564292556, 36.036589720001984, 35.51778415070845]"
