,LSTM Train MINMAX RMSE,LSTM Test MINMAX RMSE,ED-LSTM Train MINMAX RMSE,ED-LSTM Test MINMAX RMSE,BD-LSTM Train MINMAX RMSE,BD-LSTM Test MINMAX RMSE,CNN Train MINMAX RMSE,CNN Test MINMAX RMSE,Conv-LSTM Train MINMAX RMSE,Conv-LSTM Test MINMAX RMSE,Transformer Train MINMAX RMSE,Transformer Test MINMAX RMSE
10,"[0.027154477585297727, 0.03082581043847546, 0.037088526454601214, 0.04261086674989937, 0.04685183443811631]","[0.2636970602765192, 0.27650188616105487, 0.23868608176694225, 0.254034016962249, 0.24229579494277703]","[0.025728867749398216, 0.02855826179912571, 0.03559522527681659, 0.03995899364595553, 0.043892636967506664]","[0.114799174183196, 0.0832585591357729, 0.07687336995865057, 0.07203093800965447, 0.0710800317855501]","[0.01899443765541104, 0.02577928733447014, 0.032257806457836415, 0.0358748813839532, 0.03899436841709594]","[0.0827168179562545, 0.13399671713583214, 0.15470532375236784, 0.14241932092916937, 0.17770323838690383]","[0.01592243115344711, 0.019836147725018283, 0.02343837592453875, 0.022938408146985577, 0.0262384172697148]","[0.08506943660095595, 0.12920099247065972, 0.12635320740691663, 0.1060502427715343, 0.11737097637948495]","[0.019481062557268763, 0.022785593460809776, 0.03203579682292166, 0.03559776713455799, 0.036123996888868325]","[0.2500246177147778, 0.466252713856954, 0.8266334611796041, 0.8277377375408786, 0.8175363551770272]","[0.011548404743329417, 0.010408971387666563, 0.013139728825700026, 0.011555679990636638, 0.012105824111423445]","[0.26464646314314455, 0.2658289033758625, 0.2772552531714016, 0.26644329464562383, 0.2633212266075445]"
11,"[0.028637210215328442, 0.03076563439533042, 0.03742375982321784, 0.04547321455176368, 0.05069271790792499]","[0.2507642076308475, 0.26397547449333475, 0.23447324091796617, 0.24988860460195575, 0.2552079400281357]","[0.026317434963131332, 0.02749607005464352, 0.034539318828562385, 0.038475552973540335, 0.042131106032116346]","[0.11559772075554978, 0.08419740984098216, 0.0675916291149588, 0.06481642592013519, 0.06581822035329493]","[0.019184363167926377, 0.026131830921022052, 0.03296322239165554, 0.035630351585985286, 0.038819078648856635]","[0.09137651233442706, 0.15950473651267585, 0.20106926405745346, 0.187788710145502, 0.22491535526071074]","[0.01632495467625853, 0.021480736736992696, 0.024774118852783526, 0.023581719076061592, 0.026441390021698246]","[0.08505620242619423, 0.13828012246249335, 0.12724428515942005, 0.10855269674573889, 0.11999699687649838]","[0.014295047048457703, 0.015126461294589073, 0.017090820969022456, 0.016729384731482912, 0.019549810872066628]","[0.11571040683254893, 0.31932797895094583, 0.8249271912910705, 0.8287568618338176, 0.8186109336597915]","[0.01028065425421451, 0.010805521926490567, 0.01096687067789274, 0.01111205640438746, 0.012299014595104399]","[0.26391720105957756, 0.26558081713357773, 0.27586739357023815, 0.2681990326362388, 0.260685342438976]"
12,"[0.026712590340829644, 0.028092084130068484, 0.03480772396360452, 0.041259622296662135, 0.04624955776657684]","[0.21850308405562988, 0.2264295975106028, 0.2278928736848959, 0.2432398936626695, 0.2612865720233429]","[0.02562548009831673, 0.024475602109960283, 0.02954077737131901, 0.03278213518888042, 0.03607169691807219]","[0.13583419848289421, 0.09585081746833218, 0.0723238696517969, 0.06891379835897045, 0.06937152986165099]","[0.019088960043022345, 0.026082820223303348, 0.03282547764247854, 0.03516513632096222, 0.03837051437833504]","[0.09867762154062484, 0.17925534184717398, 0.23003948315170503, 0.2226986974772334, 0.25575092416649653]","[0.016243327648925148, 0.01976300507509864, 0.02151913008507069, 0.02399065621315978, 0.025871724355720296]","[0.09716295575554561, 0.13055792806781136, 0.1288641298928313, 0.11986240405912886, 0.1308096581049153]","[0.013705000117913145, 0.014112359180355085, 0.018372789059664302, 0.017263716850371532, 0.021351047273205064]","[0.1156818785185496, 0.10008646065834977, 0.821913228084643, 0.8276247024332966, 0.8237363722528046]","[0.013445342870299077, 0.010862494943772946, 0.011369109489178188, 0.012224054248544737, 0.014216037057715854]","[0.2793255015023337, 0.27075266962945926, 0.2921381563171738, 0.2901990516581337, 0.2830464560664117]"
13,"[0.02489223011030751, 0.02721200364111112, 0.03424958661896019, 0.03769000411288901, 0.043451976185629064]","[0.18865486793938896, 0.2057152798813291, 0.22315080546903207, 0.239784267598557, 0.2585717125123275]","[0.024772857388410945, 0.02371850166284079, 0.02837845957560328, 0.03201970111963366, 0.035674646018033385]","[0.1601034801957103, 0.1055389012933144, 0.07917914754956967, 0.07431447090667392, 0.07385084338757927]","[0.019111420388760188, 0.026073600906464694, 0.03255283092369517, 0.03482150822070759, 0.038154463224828225]","[0.10662948696844925, 0.19874252542951848, 0.28858993586112275, 0.22627149990646553, 0.2815744118239243]","[0.016587192566303453, 0.020178574997889706, 0.02411502935804152, 0.024778156356454823, 0.02819627441284209]","[0.09641174702870885, 0.1391483923592964, 0.1388306515883799, 0.12126163223037602, 0.13368632951375692]","[0.012953201669739414, 0.01319345232959551, 0.017221068559731555, 0.016429297351649868, 0.019723648053632775]","[0.12177092498625029, 0.1143887232327295, 0.8181276547621749, 0.8236608761300542, 0.8253357370191504]","[0.01073657988956305, 0.01031857468601196, 0.011309441093736113, 0.011773441015889206, 0.013261477090277715]","[0.30077927500274865, 0.2855404793193164, 0.3102447816388925, 0.3135047016161454, 0.30588474518643777]"
14,"[0.021335562320079604, 0.020992781241708273, 0.02979556807505966, 0.03265993915315078, 0.03769061938467948]","[0.18782568393441637, 0.21162867272802818, 0.21653273182956156, 0.2322999530887572, 0.2454788642074363]","[0.026041135640076242, 0.02647841039968525, 0.03257577942309274, 0.037611535042666906, 0.04210929177823833]","[0.1654953112195344, 0.10764458540691145, 0.07989781886698422, 0.07469613603324589, 0.07413639086335896]","[0.019085875787452952, 0.025964303472207326, 0.032389547442978416, 0.03468678667318859, 0.03808194413830783]","[0.11204551218029674, 0.2055210675758198, 0.29746332627177613, 0.24803854239458142, 0.2973785036418841]","[0.01605880146520319, 0.018768269104784453, 0.020884889000420955, 0.02280380173478001, 0.02620122905381974]","[0.09898926949670583, 0.1420718097003243, 0.14233662668892103, 0.12450636902073806, 0.1370052454350822]","[0.01297569598214023, 0.01560894755748123, 0.016375851725769545, 0.017175032408472943, 0.021268995892464244]","[0.12705702201676086, 0.11571619256146694, 0.7945574370095153, 0.8094315147081957, 0.8188139704647873]","[0.009628591993755464, 0.00922524230323768, 0.008850495548878522, 0.009789578005461935, 0.010615702989014653]","[0.3240136328413123, 0.31340941386755883, 0.3435272695801971, 0.334682439302574, 0.3263881792042627]"
15,"[0.018348458625104303, 0.01838702108481156, 0.027166956303948463, 0.030901899535646104, 0.03517082004518815]","[0.1804309669174648, 0.20637462101058868, 0.2003835153348988, 0.22530503429072304, 0.19679163806749286]","[0.019170564811380613, 0.020194820718091734, 0.02380644773329807, 0.026821116022913725, 0.030002030820602862]","[0.15969812293798397, 0.11146837238527839, 0.08132723126215961, 0.07464260202477249, 0.0731625945985329]","[0.019399697628265024, 0.026399894854830453, 0.03250535524313949, 0.0349623238461538, 0.038399536763055735]","[0.11786085020909677, 0.22570560454121563, 0.3227444651723571, 0.29198257227560054, 0.3228860440433124]","[0.01616532686744934, 0.019002546651732698, 0.021944321627770443, 0.02281263702533891, 0.026120717837959502]","[0.0983747964827529, 0.14174654398967423, 0.14115941487044703, 0.12269180014373723, 0.13598489460895766]","[0.011437349106016372, 0.01192113580623087, 0.01684270985923891, 0.015152577289883732, 0.018199033515249513]","[0.12935228454348593, 0.12750227043392315, 0.8016825428704963, 0.8138916557213439, 0.821752544758007]","[0.012969696054369878, 0.016088644968911957, 0.014444678927402142, 0.016243225922681778, 0.018167027213947855]","[0.24866348802322075, 0.23869869276320613, 0.25942982977653917, 0.2540040456258398, 0.2619701694741525]"
16,"[0.017014405537867233, 0.020060013163465326, 0.023344124907160348, 0.028304999108204266, 0.043016771000592646]","[0.1926620065423061, 0.19508686507172346, 0.21205129379251386, 0.20627999511151504, 0.1524790034773724]","[0.018977195067019198, 0.019933070951528097, 0.023365033216713498, 0.02644524005663376, 0.029878673050070515]","[0.15991891217709858, 0.11285945226287991, 0.08111187014870302, 0.07436269774407643, 0.07302436219274956]","[0.019302579514110737, 0.02637016655056472, 0.03213951089848102, 0.034559739451331145, 0.03767239209553213]","[0.11950652098744653, 0.22219209329559378, 0.3266033578283697, 0.2850113499969388, 0.3108558915076788]","[0.016327741085074312, 0.019768724680251343, 0.021864943963598452, 0.023967623291917872, 0.026883729437085196]","[0.09552721811630295, 0.13875444497469475, 0.14080123315260876, 0.1181271049983373, 0.13182539601264603]","[0.01171378481222036, 0.013314296996841876, 0.019037221908516144, 0.01771932897051188, 0.021673141982078422]","[0.15390860316762117, 0.1444459134788884, 0.7982900783369375, 0.8150290886021635, 0.8244407615523388]","[0.012237874436089043, 0.01248227375748169, 0.016825127621131943, 0.014181119524023044, 0.01440094842705049]","[0.2785765633820562, 0.27915816764403406, 0.28374910548282495, 0.28308008554474645, 0.28220362673826865]"
17,"[0.018442776694636533, 0.018757529338215204, 0.027442433611438624, 0.030974995528760815, 0.0344636586791521]","[0.18891886099549562, 0.18220047992328062, 0.2166296410483402, 0.15106406147309506, 0.12561348232613423]","[0.024079370808741635, 0.025501894175299772, 0.02986688497081229, 0.032798904630713006, 0.03546379675358469]","[0.19850941246663734, 0.16054041856727988, 0.12453112656045062, 0.11269062219898177, 0.10779477958872835]","[0.018968959106556795, 0.025402234314098757, 0.030950877152207897, 0.033645166484710665, 0.0361101413059712]","[0.11847472275047978, 0.22492941200398275, 0.3194709052840684, 0.2957612325228713, 0.3205809397969272]","[0.015826863867578315, 0.01911811569796368, 0.02311294673136076, 0.023532414123358564, 0.026535177784409683]","[0.1105148849777895, 0.1262411211554623, 0.13227496770517772, 0.12499629483836684, 0.1331450731332765]","[0.01118181689503339, 0.011844311531163837, 0.015682977447991908, 0.013433937241072223, 0.015174074241435154]","[0.2816705161872713, 0.4335373586583406, 0.7753461116975863, 0.7639680800631236, 0.8020395932506966]","[0.008610567679863138, 0.008732217169675476, 0.009227126540239421, 0.010201825332147156, 0.010752197844351667]","[0.27908450884392455, 0.2807300364450309, 0.29609845296151643, 0.28410027999130627, 0.2838205509345713]"
18,"[0.013849342836931768, 0.017350558459245373, 0.021170385130750494, 0.027479778102017887, 0.0383814344727503]","[0.18455323048863595, 0.16958987932301425, 0.23923204805025547, 0.16045707980490811, 0.12433795324056017]","[0.022859276018324475, 0.022736772965195842, 0.025760317879873474, 0.02825676976314674, 0.031203793320441067]","[0.2804031277661871, 0.2766518877392269, 0.2560272245144649, 0.24434743655211896, 0.2387032051369393]","[0.01866406055875927, 0.02502814758651511, 0.03103142744050562, 0.03339689581818443, 0.035613172093365515]","[0.11978173757723941, 0.1999577313746022, 0.2752863062746431, 0.23847918151911265, 0.23283516693572182]","[0.017209538582098956, 0.02075194696976424, 0.022374581996300037, 0.022882928439162165, 0.026913003835223177]","[0.10655953349807318, 0.11953687119525655, 0.12598462190638432, 0.12006706714198627, 0.12848497334885833]","[0.013280848115645021, 0.013716750781526642, 0.01732136974331116, 0.0166485010011256, 0.019718307913209217]","[0.6122042946415157, 0.6137055971879136, 0.7665996002729045, 0.5223074558093974, 0.7971681941774929]","[0.0097278373431112, 0.008779533793898337, 0.010620027580229193, 0.011509450705545357, 0.016121726145235216]","[0.29554294547672183, 0.29234725284952795, 0.303864396609388, 0.2957580874413809, 0.2949181644190419]"
19,"[0.013320539745978837, 0.017017122978239024, 0.021912718372075736, 0.030276039142949508, 0.03441697617194853]","[0.17671516703294227, 0.1691320214028781, 0.22459237649959515, 0.17057237025003552, 0.12477988255010114]","[0.02230336564101949, 0.023148826810975458, 0.027017993841786034, 0.028974410549139285, 0.03087173922141093]","[0.35924854752741464, 0.39004707726079063, 0.3530370064533316, 0.34454422635172255, 0.33983183134260186]","[0.01861467849323677, 0.025071265188366332, 0.03001271459131335, 0.032802723456274614, 0.03484094086807363]","[0.11633123473845057, 0.193977144215918, 0.20437451226041337, 0.20905138476753538, 0.2178800828107225]","[0.016114829556061902, 0.019891264009904923, 0.0222554874280755, 0.022445249211026072, 0.026811814295407854]","[0.10639790329563584, 0.11886259703400466, 0.13191066393729078, 0.12006421718577358, 0.1281779965090787]","[0.010450584908101392, 0.011764168543239714, 0.014284994912906357, 0.013310659922998753, 0.01563446038966063]","[0.8308016657385017, 0.3234733987566625, 0.7611599716307547, 0.778953105934199, 0.8185809144823218]","[0.01986958339895237, 0.022826376393899346, 0.023413889618606173, 0.0207471305912957, 0.024311112979477023]","[0.2593449265060008, 0.2562632331697079, 0.2703446001511229, 0.2613211866531835, 0.2673849968676171]"
20,"[0.013290829360979174, 0.017876135288079055, 0.02027749311096098, 0.023163454504581252, 0.028063224884658438]","[0.1655544491825011, 0.15953552999138532, 0.2076669661909795, 0.13352944754856214, 0.13059591638475507]","[0.015697645199356958, 0.019073245356812284, 0.022344796853528238, 0.025364486094008317, 0.029241361773633567]","[0.37914707755209637, 0.41037125275628633, 0.375669515367407, 0.3641435554603498, 0.3580971411515654]","[0.01895573306782812, 0.025216088614949735, 0.029694050707336064, 0.03261602329710895, 0.03470727622697917]","[0.11271171217369313, 0.16415621556090954, 0.16013207061628612, 0.19741028913801803, 0.19941144410763553]","[0.015890057446235065, 0.018144243043312767, 0.021278939725821577, 0.02234999990378019, 0.025652171578755788]","[0.1049244013750584, 0.11112563984365094, 0.1265666345705415, 0.1168893437887799, 0.1239308288330598]","[0.010214167930655282, 0.01186071976731798, 0.012233227287362454, 0.01228612561002928, 0.013117829676685542]","[0.8392614316607647, 0.22391062531807765, 0.6530184661503988, 0.8089720045147563, 0.8276138442339054]","[0.008599141496721037, 0.007889151113623526, 0.008664573392125523, 0.008374653897609163, 0.009044378630198422]","[0.27771179443847477, 0.2778650752243494, 0.2998290267392133, 0.2844522041261386, 0.28852763841656837]"
21,"[0.012963959915356963, 0.016509371632622175, 0.019959824266910096, 0.02297800915896369, 0.027342330863871347]","[0.1621523392935009, 0.16271158792922275, 0.21607699816927264, 0.12055762907287172, 0.12575390023401709]","[0.02168914466549429, 0.031081398690825664, 0.033741683232261975, 0.03448773346661356, 0.03437683783474466]","[0.3745697412116319, 0.4225715181985541, 0.41734982050042096, 0.40483010405694464, 0.39937097020912804]","[0.01853245856553034, 0.0247824199855117, 0.028690887107238827, 0.031564168113797246, 0.03383625753904314]","[0.10549880879074988, 0.1707123798083677, 0.18940648344877803, 0.20219380908882692, 0.19700600729292175]","[0.015444725300387438, 0.01843204946938895, 0.020940710423697884, 0.022355914813684943, 0.0254242015765673]","[0.1055269577864001, 0.11307180254239248, 0.129439634091409, 0.11846603965848466, 0.12524456890616992]","[0.011309348971434877, 0.010939111030788987, 0.011894371298912534, 0.015507889405448774, 0.016026242600000615]","[0.8381399686237293, 0.2145019059748487, 0.5006523502071555, 0.7986702291347665, 0.8196170084833071]","[0.008887054330149627, 0.00944610877970147, 0.010177824201699276, 0.009891552273927741, 0.01081715198277435]","[0.27261174542459715, 0.27227196049633823, 0.28314930609991695, 0.2752062614212332, 0.2779911337491503]"
