,LSTM Train MAPE,LSTM Test MAPE,ED-LSTM Train MAPE,ED-LSTM Test MAPE,BD-LSTM Train MAPE,BD-LSTM Test MAPE,CNN Train MAPE,CNN Test MAPE,Conv-LSTM Train MAPE,Conv-LSTM Test MAPE,Transformer Train MAPE,Transformer Test MAPE
0,"[48.34427862104775, 111.92456375243687, 52.44319985444702, 112.50980447260179, 17.717514415700013]","[6.094056259600509, 10.53125921547402, 8.056406284295308, 9.754814746957916, 8.588198707811816]","[134.515682942747, 274.65474276538686, 263.1976096745922, 262.95472265005816, 264.2492510590852]","[10.073967955214062, 18.309829535547557, 17.98655818172083, 18.31498185536811, 18.787793249930377]","[165.59636981628782, 129.61328490827398, 194.9196954520867, 83.17168144206151, 136.5095052669496]","[11.220745366347096, 9.863603211887614, 14.216074517115421, 9.10742425873446, 12.845259313309967]","[95.37914190338023, 67.29814167790047, 103.73075927644912, 150.72508128792524, 87.37693798294521]","[7.583995618386838, 7.587404112276061, 8.10045150444376, 11.843573949709013, 11.046540094251402]","[48.792219337125935, 37.88714743538175, 38.58238796461567, 60.74924391349757, 37.90521622729529]","[5.04315867017781, 5.859511785260133, 9.289818594591539, 7.92401889641674, 9.879177683857018]","[109.94860209124555, 243.08656191486796, 130.76788506453542, 72.827026248809, 218.93359237975415]","[9.46434069029653, 9.869732413989201, 10.59237843730922, 12.557147889691123, 24.269958948529894]"
1,"[11.134353626512542, 41.75448451557961, 26.687945314628614, 44.43388744159813, 62.848063891430904]","[3.9946613505459916, 7.606483353954796, 6.552438037612148, 7.515139944593219, 10.434017537002207]","[40.30425556028596, 53.972282278607274, 62.46024271973481, 49.752594453868376, 55.45609160885899]","[4.871618791280918, 5.829233362594706, 7.077904179217039, 7.633937016260171, 8.650804393208654]","[371.68088256557076, 491.7711813461564, 364.43692127323675, 112.59084176790782, 117.77988647179285]","[24.589825330208356, 32.352536807085905, 24.85256841764304, 11.274709564848276, 12.106832415481785]","[125.85261803578416, 145.29866538447735, 142.907809479879, 146.5260752681703, 133.53372501562413]","[8.667533610317777, 12.579372740833803, 8.464735465375647, 11.277068600805242, 12.85854240902466]","[20.821409798712654, 16.947655543022364, 23.64800366720955, 27.984987912900888, 22.76376727020284]","[4.792775456254993, 6.940898097466699, 7.5693426115489775, 9.098923103506328, 9.929272296456555]","[156.8573769855076, 71.78750014972455, 111.87239956286368, 114.3830053843725, 45.51853284289024]","[16.871883609304945, 14.786935378834059, 16.1077150818247, 9.612248408975306, 14.917783665413184]"
2,"[13.516019120118328, 27.944975310840235, 64.28057209910018, 36.518281998193174, 65.33737300029951]","[3.7165486146022353, 6.103644693582446, 8.767405820669445, 7.408564800388323, 8.761924314713001]","[332.25660476319786, 299.10883695486746, 289.1270353037372, 263.5160086082465, 271.174659902938]","[21.497367828102302, 20.43736217127862, 20.653202326886166, 20.010743930649376, 21.010877338017163]","[206.88269783171785, 140.31347222179346, 53.52808468455883, 18.372031075180715, 52.20341792681715]","[13.24168391195981, 10.074262475327163, 7.163344605571988, 7.462901248952381, 9.069681845555651]","[68.89291798332493, 177.3939378780838, 124.33040513537246, 124.70029123984925, 116.24107096818418]","[6.881653581294694, 13.175372568129998, 9.843822461495657, 10.959288391757358, 11.54665455045027]","[30.984376384500145, 18.27034598071407, 31.801502211052977, 31.830304683336664, 79.50704216003864]","[5.594648276783206, 7.086695664546042, 7.534489483750213, 9.316510759026961, 11.37395061264364]","[93.25997590376399, 33.09861113345908, 148.12623754078015, 131.3748859106582, 37.48107695542205]","[8.251183184930207, 13.968539109737293, 9.176981714574406, 21.668689790076144, 15.857529044603288]"
3,"[116.55145365040039, 121.03880628339634, 140.56163491645384, 70.94141888776282, 91.34608157749355]","[10.056675581590282, 11.609523650844844, 13.374150154888653, 10.193728410526433, 12.214374039352224]","[22.713761643279557, 38.87826572775428, 49.24150899591487, 15.369368661209268, 25.882341671002294]","[4.429383838607503, 6.518495535112027, 7.756069181517564, 7.685678799144943, 8.906515175872281]","[192.8959458791705, 94.0252884947269, 156.3695557517252, 20.231257109441025, 31.51430588342522]","[13.586495655108196, 8.89870305569281, 13.083563645720478, 7.561083428994314, 8.924588864555039]","[78.16819275132009, 30.90326224620038, 124.76190841388008, 131.5778658356522, 149.44119742060965]","[7.5396426275314425, 7.2351614445849215, 9.998065714726014, 11.660748277790765, 13.291466916356132]","[30.358077253231237, 44.32444168502384, 19.47631990727108, 16.78154299352865, 19.836106381407383]","[5.6578186947341536, 6.674302786774736, 7.309952317753781, 8.292556857029314, 9.783653918296672]","[225.45855503049995, 105.35267194883404, 308.53140814173685, 145.38560112988245, 187.48154449512987]","[8.091832359193974, 10.528886917423335, 11.351658725048436, 10.51792269370781, 10.331911065516987]"
4,"[54.74807362321869, 60.340858042461775, 65.87026042804195, 18.69487351193173, 49.733771471199056]","[5.80979761058473, 6.922280143311737, 8.252975490108831, 7.362577460851447, 8.746899207442322]","[110.0837100013853, 119.61124369038099, 131.67403549164388, 103.11380738231759, 106.69463093066749]","[9.267960970487717, 10.95758094060091, 12.047791704919264, 11.447061108937518, 12.402269424697929]","[21.079274703070652, 78.40347564061162, 193.21635660038166, 216.0285336352837, 185.29875669683585]","[3.7801000125752555, 6.80928737946052, 13.308535974467114, 15.01802679561885, 13.972612427172129]","[58.97132782313497, 59.85442577060914, 28.528483279204004, 81.76248988278986, 127.45971677972163]","[6.993274631310212, 7.920880422854988, 10.051722029832638, 10.875585550741828, 12.6093338533512]","[39.88080748057963, 26.03956980163501, 17.969658215114194, 41.259108614386165, 26.3646878699518]","[5.238084492639462, 8.646611461207055, 8.287630471314504, 10.116330653697574, 10.88859750851952]","[218.52417774096722, 109.44615962504298, 161.92183582612546, 45.87494064902041, 35.44465693146221]","[19.990109068979677, 16.20331535217213, 19.693698656746086, 12.244465121491393, 14.623779134532539]"
5,"[44.02929915734086, 86.30177522265305, 15.88841693269879, 43.41496105912725, 84.06418036298648]","[4.40901633313384, 7.472238471412123, 6.509194213671831, 7.604931090835314, 9.325404529054897]","[171.48681987652793, 206.04699038948726, 203.11334666606365, 216.42751433730015, 216.4742621317321]","[11.455703796594083, 13.797469196943513, 14.217361118468963, 15.141914674468998, 15.567173641390339]","[22.722395924324555, 39.019252775769885, 87.35529357760008, 153.4134730814582, 80.88793936217982]","[3.791732033784993, 6.293287674754028, 8.113186184521862, 11.624705124463581, 9.498388254711966]","[91.10362869784842, 100.78412096995153, 161.11243983343851, 146.90732813511596, 125.77418836848014]","[7.951052394932036, 8.768172732501322, 12.237246978200723, 13.158220849151064, 13.576519773002252]","[60.568024639790565, 13.2540940971356, 22.528866527124233, 53.77977197658231, 13.308159097787062]","[7.91269126607321, 8.383053276556875, 8.795358391021294, 8.854905148496718, 10.003399212058966]","[70.50052981404228, 88.21369789383016, 36.035138681865945, 69.56780657425362, 80.10979087594556]","[19.62071258229857, 21.069485363122727, 18.310934734908045, 15.134678032573415, 14.929227280359274]"
6,"[107.87232430354628, 122.25243969985222, 55.67185785321755, 47.91114640664734, 40.83793242195345]","[6.65407510502959, 8.358970112726139, 6.902085211687117, 7.6220160231549805, 8.518843382695726]","[40.85897672240012, 29.318808843417976, 29.097802205185268, 22.41369129524569, 23.154640982249553]","[4.773477996260557, 5.665383523128284, 6.779040745691839, 7.467574174077852, 8.464162857117595]","[89.76018125980633, 65.99675064204943, 51.22490021776458, 10.265204335124729, 31.855710143038536]","[7.8384796746744385, 7.378822575274947, 7.6406045462103815, 7.40238708453656, 8.538007627689058]","[53.20750693399917, 78.98460253910277, 161.31626716105632, 72.00159035156909, 14.342257630542996]","[6.236867331558214, 7.817075067036283, 9.85243842523474, 9.198512439763807, 9.818518738498156]","[59.13730877157869, 32.28047848803043, 23.251316242226657, 22.368180139951242, 27.80771921809598]","[5.878199145736563, 7.354734814156803, 7.746070598644514, 9.379813145446654, 10.735618065354833]","[52.53386780959913, 42.00663531838951, 46.06961511083856, 40.660239742157586, 113.97764963037767]","[14.206099590058793, 15.099316401339797, 14.616568414905482, 15.688000182286496, 13.20953213932881]"
7,"[6.992733267757477, 58.809416043519256, 85.42527159243227, 110.62414594268549, 91.75872319684952]","[4.374507960708912, 7.721490432532033, 10.156446730168248, 12.013238503531849, 11.933665796326979]","[286.65531233152984, 290.05517082742153, 293.2914765105251, 298.26494234106724, 299.5398664767639]","[16.964131295714317, 17.428464117982088, 18.258430182308075, 18.77258818865594, 19.288639801099205]","[119.9709461951675, 122.82971153737863, 60.22315108116789, 16.927022049184522, 11.30166762516476]","[7.888607662594943, 9.279851886946568, 7.408243720602457, 7.581241364531327, 8.492386237417294]","[58.20226514416361, 86.41263099011512, 69.67330743935288, 108.32055541961097, 49.374009418162885]","[6.384269226949654, 8.3352417783388, 8.143403148166676, 11.383648756793766, 10.66765064732663]","[29.317731363176197, 9.121941787256988, 15.948608367290696, 19.578361655253993, 19.71452386059565]","[4.890083908083994, 7.793031757862388, 7.573163298023454, 9.474043559081755, 10.838775388377876]","[150.75136938815547, 69.11512095832997, 86.46635491274843, 121.21192685221808, 161.26309361417685]","[7.349332565911014, 10.08262614233966, 9.667719350697855, 10.17084263596748, 11.405133209889769]"
8,"[17.88133917965869, 25.558324137088796, 15.79122709893237, 30.088249234219127, 47.47151631651518]","[3.718707553172923, 5.56814685976519, 6.498800259395219, 7.511553764439323, 8.769644243553998]","[220.18615831309734, 212.14257336287173, 215.3982382681968, 212.739030031256, 211.1295213084011]","[14.14110876295592, 14.699242831747709, 15.392898239789856, 15.862425768806263, 16.44098199660979]","[117.28678320662567, 90.71723235526039, 51.28359757364297, 216.08514194773468, 198.06194047839853]","[8.227146000665577, 7.9867049494416085, 7.473164904734037, 15.636220066713925, 15.198034638883437]","[13.870087242773188, 48.01675218895392, 83.32333499839986, 15.957250137316706, 24.588078950718852]","[5.304617587799178, 6.752371013223233, 8.010442979737096, 8.84177068960123, 10.193880213561023]","[21.108267107598145, 17.601626606041577, 28.635027115834323, 23.667538576678368, 49.98249458196885]","[5.122995663717836, 7.660445563990358, 7.769522355907766, 9.621473209801819, 12.731837708269994]","[68.12497218901335, 52.20621625239641, 75.88535523930099, 55.704310154464274, 32.228177091174146]","[19.386606201464097, 15.689370920671001, 14.486298333342482, 16.2784476049272, 19.050652422206017]"
9,"[29.508117374416248, 49.12331626216654, 63.099712207836454, 63.192325523902205, 64.63378040290698]","[4.460266778545868, 6.47548860021668, 8.328687720830086, 9.337685078126542, 10.309155998787723]","[17.241331009879993, 13.461339776654665, 10.653819581640823, 10.600417380642526, 10.940053088208165]","[3.8043444316957524, 5.266531866991485, 6.474276859915346, 7.446786827975453, 8.439121117197237]","[9.78085657100145, 34.1684212457455, 95.45792581500831, 92.52590118424257, 49.47332978579852]","[3.829702288165067, 5.556070857713906, 8.755560671366768, 9.042293439520686, 8.896011707551677]","[22.525602085397008, 18.594740898080904, 67.67816689720622, 30.418905360930104, 24.864157462779282]","[6.22007288129199, 7.208207003566774, 8.21792363119314, 8.868439818867275, 9.785827735966281]","[38.74428179115761, 51.601701502365096, 34.37605539138614, 13.642604999730686, 31.51237939024861]","[5.78465268075672, 7.348722059174268, 8.057069831347736, 9.351961170570739, 11.303115378569464]","[89.37557819139238, 104.59097884190281, 87.3527318045783, 95.28320787236248, 87.79553051429605]","[8.60780408413551, 9.617938589479479, 11.124793727663834, 12.75863055296465, 13.670801102471295]"
