,LSTM Train MAPE,LSTM Test MAPE,ED-LSTM Train MAPE,ED-LSTM Test MAPE,BD-LSTM Train MAPE,BD-LSTM Test MAPE,CNN Train MAPE,CNN Test MAPE,Conv-LSTM Train MAPE,Conv-LSTM Test MAPE,Transformer Train MAPE,Transformer Test MAPE
10,"[61.32024078066497, 41.69594491839602, 67.29614014942534, 69.45595541544901, 81.44603390259952]","[5.485994207422133, 5.9542649244928265, 7.568951888374313, 8.418025311896754, 9.843374328410608]","[210.6855984994704, 219.10462175351392, 223.9436604864827, 225.28825176275808, 225.73635517727203]","[13.648962946482568, 14.260339210763764, 15.144761768830534, 15.664056308904687, 16.09620792384174]","[17.84141767109917, 35.95913954287931, 93.34743655609482, 114.35104702810837, 154.3236431059456]","[3.767943540839428, 5.810239796150471, 8.878361300082188, 10.393572243340122, 12.960562446132364]","[20.500648514766777, 40.83796898925249, 18.462885373561075, 25.486986215131402, 49.51822251460451]","[7.434327560835925, 8.105825575313377, 8.48498717748226, 9.320289287091192, 10.633064793439843]","[32.1442610653817, 9.801000962911447, 16.290861292480038, 42.26119226329662, 31.53749868632535]","[6.0506689820362, 6.815204381438404, 7.782462774914169, 9.134974784980178, 10.709300380163594]","[71.54891614710263, 61.485056925438855, 72.57301208097, 55.113957835341495, 62.02325303186703]","[11.829530788748235, 12.239390816508562, 12.21224186467022, 14.21077817685868, 14.52027950413296]"
11,"[278.03953032495076, 267.59790566274194, 270.3949647641054, 231.28812708830665, 249.11431113037864]","[18.355631120886372, 18.316990662899904, 19.30473437813714, 17.78540881569284, 18.636090952951097]","[97.60730530153042, 104.25092334193897, 109.15701538855367, 112.1412772481677, 113.9772829453749]","[7.425714241910768, 8.45944229979668, 9.555248685046518, 10.304631059243675, 10.994847142714939]","[57.106931624251715, 59.34001947748837, 77.75591165562655, 49.18570945030639, 104.94759160131663]","[4.852617154933466, 6.271885839474585, 8.063054403701358, 7.85506600978751, 10.521079688084539]","[30.844120253381558, 23.1478193533882, 25.400858495990146, 22.196609897826125, 66.95953454298169]","[5.4817586352081165, 6.691592292805729, 7.797365180944059, 8.872449835907272, 10.620411873446693]","[26.16562886000853, 28.29671868646104, 11.63466124584605, 14.849825087156216, 69.17426538884408]","[5.724992120136426, 8.289661516634423, 9.549283470606113, 11.683624898330454, 15.35564188903262]","[56.708253813783784, 35.8423692102009, 50.61330590391915, 87.14972034417687, 84.47857976839927]","[22.950598669353674, 21.36861327465089, 19.230197318626825, 16.957896865160947, 17.954266649898827]"
12,"[20.768018209729412, 31.96132808718849, 17.32794413382991, 35.935982310343235, 39.5017015378893]","[3.7946705634973448, 5.384532298285724, 6.554838578938544, 7.60004760955921, 8.715598236506517]","[69.54256538397368, 71.07443467055397, 78.12327333335334, 81.24868799249579, 83.31691428343558]","[5.676860811605522, 6.83535899355498, 8.038885078196913, 8.865066169052097, 9.657554383120688]","[9.12016862574156, 19.928341647450587, 47.28867524062629, 80.46170536428744, 45.89105761097215]","[3.9507458534758393, 5.39326340101988, 7.410129176927486, 9.625304616313707, 9.176115056041821]","[39.644581535339896, 21.121138452004082, 22.42584749616798, 21.28930634928817, 23.44029254850572]","[9.489118963022326, 8.483697278876548, 8.944710332032136, 9.55119711226029, 10.302049610365703]","[24.7400469356148, 14.093780937597295, 38.96606210062528, 17.43516963865193, 42.97258772642632]","[5.546446947477529, 8.390036451984564, 8.528734524349622, 11.161410501097032, 13.81216609719119]","[50.531626646407645, 71.06725391228734, 68.78006579164882, 77.4698868565983, 86.70453622853704]","[10.713347753067035, 10.591355980163737, 11.844996523006897, 12.800680739962496, 13.271332933118948]"
13,"[71.97604673178094, 41.195792906902625, 47.13393590910782, 31.289792831727105, 17.991235864067008]","[5.145879209928591, 5.64102124900949, 6.948998728322497, 7.657270056899209, 8.876734784595577]","[46.8903985898085, 49.58736570440172, 44.482343508490644, 42.73746863896946, 41.61559780540449]","[5.565983710583498, 6.617684871517975, 7.438276705611056, 8.334704874619623, 9.1808538366473]","[131.8788539614825, 82.2368600048176, 110.78199512163376, 125.64103855023252, 167.8562625795755]","[8.151383636293723, 6.916754229082303, 9.117477599989392, 10.412754864466429, 13.114637936012189]","[99.39721125932371, 148.74627440370324, 176.03208320834818, 143.0495540960442, 112.83337860666178]","[6.030688335457586, 9.990082724044056, 12.442322933466572, 12.624914678508592, 11.980807736688192]","[21.796539039875988, 36.305729478815394, 30.266903607378264, 26.155387561063797, 33.121381204867376]","[6.208044123366725, 8.683190655735551, 9.412624753371825, 10.891215076261753, 11.660973862671508]","[93.1535130634908, 64.99005636666017, 72.4079519194788, 92.18211601986026, 56.45239864474575]","[9.88550980164596, 12.004509960000796, 12.822201151185114, 13.365953870058696, 15.696125997947577]"
14,"[19.270354530249406, 34.438566415362274, 68.02088095531205, 34.95615617800167, 30.328304671298145]","[4.65594958292334, 6.0997628004418, 8.454370888921325, 8.370607423661127, 8.965956473244947]","[61.8924382227927, 63.630795468987614, 58.890231260578204, 56.20594016491472, 54.14793709049099]","[6.418849258647754, 7.229343155405897, 8.040241538871946, 8.86384866661453, 9.641092661336964]","[65.20728349934835, 81.76463171647622, 109.66174034581493, 93.39953824928592, 54.92847897280523]","[5.014974485818638, 6.908956050038545, 9.107938793016363, 9.076465457230373, 8.8981114903159]","[44.65741975671518, 42.07448254894627, 47.678174500538425, 44.36444887686885, 45.97025216362435]","[12.834896570382739, 11.53014136737916, 11.051221344729136, 11.261077010396361, 11.714851300891512]","[19.380132541037746, 16.063346115394776, 23.579599653134213, 35.22484495307951, 45.15777356417893]","[5.57080477060191, 8.137429663430002, 9.25970631587471, 11.688168800318838, 13.0864503799134]","[63.485498880863354, 76.77449606471713, 85.92548140659116, 89.15366144335127, 88.13333894563084]","[10.415326234038618, 11.045541988093694, 12.143057456363678, 13.413916480915875, 14.628070516713018]"
15,"[176.3071417795853, 82.36906154433788, 88.36359628742186, 120.86958582599738, 69.87280964736622]","[10.705446728006283, 7.222586167527078, 8.464048273923638, 10.393148674041678, 9.667852220455739]","[38.200669922120944, 44.6260076548246, 51.03180500765401, 55.850642440896706, 59.463869013103675]","[4.14226324205356, 5.880493624423388, 7.107286333880417, 8.064840662615987, 9.03960091486546]","[11.68365779733682, 49.84877894700369, 73.0328489639245, 86.48214667004216, 89.34714045414624]","[3.8442225872320455, 6.925953574254956, 7.568687733141717, 8.805359266347953, 9.817454108267835]","[67.3916068310924, 47.32191386238258, 20.31333550536617, 39.838508488706346, 31.898584859191164]","[6.034126800937406, 6.954330714104326, 8.145896642397494, 9.014504974539921, 9.903553270186773]","[36.7849598105738, 38.147721076149224, 23.803133271515893, 18.892502507845016, 25.47282365114503]","[6.242224294697171, 7.476042044187284, 8.407474048107229, 9.25796221090013, 10.422798800090941]","[128.58846885439138, 182.97119363518692, 163.1616401428861, 166.06071371731048, 216.01378087594944]","[13.779911031951567, 13.439683089050513, 14.9217547487026, 16.336945150450067, 16.152585964343213]"
16,"[34.913751729677905, 57.94868823559462, 34.7498832023256, 41.548662660437316, 15.2682092635307]","[5.656864413663646, 7.191549105966937, 7.344464321468363, 8.62600189097301, 8.774471366514403]","[153.7813285460384, 168.07019408826463, 162.8713330931688, 159.68000621826027, 157.40210821949347]","[11.56327208626644, 12.233976458511998, 12.807086082768388, 13.33705777380452, 13.98002749859375]","[5.472647221385988, 20.834847243333307, 24.717150883605875, 24.643138641767873, 42.9328768995883]","[4.22749041755235, 5.8745784726911605, 7.013898701461571, 7.850233495385731, 8.674828207050535]","[48.867836451883264, 37.4762636437916, 67.0824079997713, 74.97313653594114, 81.65028449159959]","[6.0376778390590236, 6.972787730693901, 8.329935893346677, 9.918416946103248, 11.061132000237494]","[11.014341090189964, 9.805466416270809, 13.824103386636613, 24.655515865905837, 24.17221094978588]","[5.685945080533671, 8.023101484861728, 9.125077162440553, 11.17109195932746, 11.714795982285606]","[97.04009373749308, 109.88228347780276, 115.89671199812427, 127.42515340492872, 138.50326970788709]","[10.972795342305721, 11.497582462697698, 12.123711444842456, 12.680125497757894, 13.202014824198127]"
17,"[15.029164842909202, 26.36653818744385, 17.341753786580703, 53.44224310253697, 34.15533201852723]","[3.9547443597608396, 5.446172009296232, 6.702088626953085, 8.20725313458739, 8.985685564187055]","[69.74210384629262, 67.38461431003326, 74.53242672840261, 78.62753537952453, 81.47764457133779]","[5.355145499230859, 6.897520748670434, 8.137054779915928, 8.941216960496018, 9.81215256464712]","[9.744891079537133, 86.36440283417002, 89.37097440897396, 13.331118057992766, 62.91489229895247]","[3.953478233930386, 8.902098531794088, 9.753161301007571, 7.49835320147033, 10.009171897996785]","[78.40894571211702, 51.69284769680614, 57.23479187050291, 57.0449603934773, 54.411572067807526]","[6.066771171691556, 7.1136948395671, 8.540542163483176, 10.057982111423975, 11.001452550359192]","[10.857285324447215, 9.14766793656069, 23.794378186360213, 13.475841679557131, 11.98337133754239]","[5.76596757342017, 7.192017320825871, 8.33249418591673, 9.47019933432767, 10.846145436457155]","[67.61499370879137, 45.486593586416184, 75.60286930782829, 92.76833599503539, 108.94137056827896]","[22.491006052604515, 19.536767310676403, 17.306607055887323, 16.496409861855415, 16.118634472905207]"
18,"[45.11152762494717, 32.92222484411643, 28.17208924195119, 103.06517345070783, 85.34864530457178]","[4.605020173924943, 5.877154273525723, 7.0741210410419235, 10.052697575532255, 10.663536296706095]","[6.868837334950421, 6.75264766607121, 11.119710199097554, 15.568067987641813, 18.952890856089006]","[3.8117990418184653, 5.315212266902412, 6.562535821558144, 7.492197623798003, 8.459305307373072]","[25.650804043486524, 79.99332521594104, 51.50664456689948, 25.14945800497761, 26.38236048842056]","[4.6209954654048, 8.350065169691037, 7.788545256310591, 7.662869298555079, 8.498730787260945]","[47.53272253166895, 67.14146004368882, 37.12945577019212, 62.40640294246551, 80.65158934793632]","[8.809749401333523, 9.32977768404807, 8.690443235755271, 10.06188788034809, 11.203820157792967]","[7.67641021535308, 9.87293484661759, 15.746308224202817, 18.037315810346616, 23.451403634926006]","[5.858878724482035, 7.773361081648682, 8.855084344885347, 10.04811283037872, 12.275225503883123]","[98.42636918623371, 82.53857308686001, 93.62610364894412, 85.8913453431889, 67.6458446138138]","[10.074668816236853, 11.596283251001283, 11.719237715800192, 12.796166942245216, 14.251362872814921]"
19,"[88.20234802048569, 70.72117242300044, 61.34217459050657, 54.20276986409238, 68.6866780197504]","[6.75826419655568, 7.1376000922147655, 7.808570360975503, 8.44590501819733, 9.784237251477446]","[30.33823060535003, 26.34914127207652, 33.72705235393059, 38.63346008700255, 42.35766463705475]","[4.002229606677395, 5.409640822828564, 6.801765578482118, 7.733396260160445, 8.762405896253377]","[54.477716864612766, 58.227280456758436, 16.43026528541816, 69.62298295411958, 134.68231900536338]","[5.992962421734038, 7.178747300508927, 6.617310208005561, 8.379800345699065, 11.689475393511644]","[22.087191023647478, 13.007348546662737, 42.96101334040108, 50.73085403256938, 60.40035294230035]","[6.144525580785249, 6.990441424376223, 8.535337834482974, 9.654862024198788, 10.56926659517815]","[29.667600340866763, 16.616654838000866, 8.77999678850795, 30.528459197102205, 26.85057627087406]","[7.330438844033131, 8.287227865244727, 9.297984806124154, 11.068360288523111, 12.285728311911715]","[97.00591502251719, 85.01676094707763, 73.39210269005333, 79.37624877635491, 89.04562857388055]","[13.427490571748892, 15.046044519542958, 16.48859076879796, 16.85609252304786, 17.10887932399935]"
20,"[8.605831982263407, 29.08929763227387, 35.192279164873916, 51.554831881584974, 71.85020928317022]","[4.749348739014271, 6.651115804352235, 7.740195327313945, 9.286964524679696, 10.66343935418996]","[101.24217540302467, 106.07506602435936, 101.56715437237654, 98.1925156893983, 95.15122715423351]","[8.737614336289411, 9.727916613263977, 10.462867212963308, 10.982391884677305, 11.559678009590156]","[39.39261439954968, 49.340526503479246, 33.455293644167575, 79.04822783493113, 54.989759134204064]","[4.111964462690327, 5.708974846218407, 6.568752828121366, 8.699061992466413, 8.928818780221869]","[56.0368533348955, 118.89215658702099, 162.85708527480955, 150.89478759104443, 146.30240884880251]","[5.5602553462132995, 9.346742540600587, 12.472019022849336, 13.124324455574508, 13.903170083648483]","[54.08167054798445, 9.338472549497133, 13.583964847969487, 11.388914071002668, 13.64232030941451]","[5.5619074503372845, 6.610300703534534, 8.029724711038842, 8.872595984509633, 10.170396493711584]","[72.45498940472329, 68.56660783994502, 92.341516073116, 88.86899665547901, 81.77313478506568]","[15.047677839176062, 15.692315937559446, 14.694760665424287, 15.524651996767002, 16.614829566525458]"
21,"[33.056248057595404, 37.498472918916, 38.85657344061659, 40.58455044383136, 22.585411867442772]","[5.06011096418937, 6.535628151538909, 7.478788223517641, 8.476558686336448, 9.111027928566076]","[74.79728126145044, 74.47484405039724, 73.08841981119332, 71.96625457788375, 70.73527815259374]","[7.349219577563034, 8.100099285701287, 9.192499668514474, 9.937090973334715, 10.710362069507374]","[43.25762564329128, 47.88169861969356, 92.46051868183059, 103.27337270848535, 99.85416815522993]","[4.317945520951518, 5.729146323693447, 8.40877510936806, 9.754183268217847, 10.387079563858194]","[97.74752938519097, 111.82386823485757, 90.42665480068145, 101.87134470350875, 91.67528678905839]","[11.178315877432254, 11.850279890896243, 11.492416569238282, 12.159492691423592, 12.179101702277487]","[15.273537134012805, 8.30780505384834, 12.642707151829335, 20.45394441475611, 14.027212139797154]","[5.343375995899035, 7.072732822056384, 8.379560516479186, 9.865144889616397, 10.856265576984528]","[61.622527670988894, 67.8671433610144, 64.59658568890626, 59.058707989382576, 73.23673451880983]","[16.28683685932322, 16.152067139178072, 16.659242348194773, 17.537409255205255, 17.05647998240686]"
22,"[46.44277597933735, 36.47948559893841, 22.737697892665757, 23.68444204301306, 16.917715588330022]","[4.833359607025142, 5.945054200032727, 6.9120895382191305, 8.191758793399535, 9.006178756772403]","[84.11762901590724, 82.166835465441, 81.23893881237848, 81.11647233464296, 80.88489030760962]","[8.37181751306937, 8.98215376454092, 10.08249245541138, 10.876984175200233, 11.630668353914423]","[27.70886687486016, 90.34484426056963, 82.05738710599462, 119.05163356449637, 81.39299126228086]","[4.483614990008014, 8.678719544493347, 9.032181687490203, 11.26648324394382, 10.442980682391452]","[107.66980696380593, 82.36067258692917, 77.75094669336174, 62.24404157329806, 38.19171205691956]","[6.890511574281491, 7.887014737675973, 8.659752035969271, 9.263545148810639, 9.803326548273343]","[30.507654330473517, 15.282545400464548, 21.276111088107257, 15.772585356968285, 26.281450930286553]","[4.9677738994662395, 7.883024763936042, 9.723890329348794, 11.204012824942941, 13.503455824302456]","[69.57729057103361, 64.5301971550176, 75.94516845400292, 69.55847435876046, 89.34196327281391]","[17.026331763632225, 17.675473886089353, 17.22127958017858, 18.09851938390499, 17.081060918078297]"
23,"[21.529128095671222, 18.723762970349956, 60.10743774880106, 28.651473175405982, 65.6149182659162]","[4.845744584653514, 5.668301843877735, 7.492635200651182, 7.946085218595653, 9.70049923214308]","[98.30434547506314, 94.9197181020091, 93.99551146672552, 94.24235578024175, 94.43820826205176]","[9.403566294594057, 9.864027389812286, 10.867104668949388, 11.688837747321868, 12.535184618439798]","[23.510396278155568, 93.19026051081313, 109.58698977241458, 44.461923508958215, 22.307552431724872]","[3.8430756182422, 7.7920780289365315, 9.292912270610785, 7.75131051739037, 8.451996770590757]","[42.99968172755496, 30.28787667222143, 17.813784038688205, 21.194601220102196, 33.09835531961946]","[6.1390321246748485, 7.917163943999624, 8.34647425406986, 9.116814735829466, 10.299517844987319]","[26.880889511219163, 38.77265931703137, 29.283752108395944, 20.16230700534221, 63.60956860476904]","[5.305997344241155, 9.50670563814292, 10.50749193026868, 11.749343731301133, 15.265757394344446]","[105.92638655071624, 89.6301715789058, 69.1342713945462, 83.84170135247628, 56.53084557520738]","[17.227061297636624, 18.741597926001273, 20.885456655157743, 20.182049616272536, 22.595061593110977]"
