,LSTM Train MAPE,LSTM Test MAPE,ED-LSTM Train MAPE,ED-LSTM Test MAPE,BD-LSTM Train MAPE,BD-LSTM Test MAPE,CNN Train MAPE,CNN Test MAPE,Conv-LSTM Train MAPE,Conv-LSTM Test MAPE,Transformer Train MAPE,Transformer Test MAPE
step-1,"[16.2358, 30.0958]","[11.0453, 18.3415]","[10.9568, 18.1643]","[17.0339, 24.562]","[16.444, 29.0128]","[11.7569, 14.7616]","[12.4456, 19.6094]","[57.5597, 83.7381]","[10.9614, 16.1999]","[28.2191, 37.4584]","[18.0624, 38.5935]","[35.9053, 42.3749]"
step-2,"[14.557, 26.4325]","[12.7042, 20.254]","[12.4392, 19.8443]","[18.3523, 25.6317]","[14.5816, 28.9174]","[14.7721, 18.886]","[13.6298, 20.5017]","[61.1708, 87.2052]","[12.3809, 17.5326]","[67.5042, 96.5711]","[17.0828, 31.157]","[38.7299, 45.1997]"
step-3,"[15.1047, 27.5177]","[13.9886, 20.9816]","[13.1758, 20.0884]","[18.8306, 26.034]","[19.4601, 35.1632]","[18.8798, 23.5365]","[14.3337, 19.9472]","[78.1534, 113.194]","[11.9925, 17.8767]","[32.0964, 52.299]","[18.28, 23.0865]","[43.9375, 49.7327]"
step-4,"[15.6594, 26.2494]","[15.0496, 22.0879]","[13.7104, 20.5762]","[19.4283, 26.4425]","[19.6877, 33.433]","[21.8434, 32.0391]","[14.2556, 19.2461]","[98.2782, 146.5235]","[13.7961, 19.3367]","[37.9544, 51.5417]","[18.3409, 25.4977]","[45.9791, 51.7855]"
step-5,"[17.293, 28.5917]","[15.6829, 22.5097]","[14.3665, 21.0669]","[19.9513, 26.8163]","[23.7479, 33.6312]","[24.2728, 40.0305]","[15.9983, 22.9196]","[107.2007, 156.8459]","[13.678, 19.3821]","[46.5053, 69.0927]","[16.9861, 30.2788]","[46.4281, 52.4348]"
