,LSTM Train MINMAX RMSE,LSTM Test MINMAX RMSE,ED LSTM Train MINMAX RMSE,ED LSTM Test MINMAX RMSE,BD LSTM Train MINMAX RMSE,BD LSTM Test MINMAX RMSE,CNN Train MINMAX RMSE,CNN Test MINMAX RMSE,Covn-LSTM Train MINMAX RMSE,Covn-LSTM Test MINMAX RMSE,Transformer Train MINMAX RMSE,Transformer Test MINMAX RMSE
step-1,"[0.0139, 0.018]","[0.0291, 0.0328]","[0.0154, 0.0193]","[0.0269, 0.0312]","[0.0156, 0.0168]","[0.0229, 0.0264]","[0.0198, 0.0233]","[0.0405, 0.0427]","[0.0107, 0.0138]","[0.0463, 0.0538]","[0.014, 0.0214]","[0.0356, 0.0408]"
step-2,"[0.0176, 0.0232]","[0.0367, 0.0424]","[0.0195, 0.0242]","[0.0339, 0.0373]","[0.0223, 0.0233]","[0.0314, 0.0357]","[0.0225, 0.0267]","[0.0461, 0.0493]","[0.0127, 0.0178]","[0.0447, 0.0485]","[0.0158, 0.0237]","[0.0394, 0.0441]"
step-3,"[0.0205, 0.0265]","[0.0413, 0.0485]","[0.0218, 0.0271]","[0.0369, 0.0398]","[0.0243, 0.0265]","[0.039, 0.0441]","[0.0211, 0.0251]","[0.0516, 0.0552]","[0.0156, 0.021]","[0.0584, 0.0773]","[0.0159, 0.0242]","[0.0438, 0.048]"
step-4,"[0.0225, 0.0283]","[0.0427, 0.0489]","[0.0235, 0.0287]","[0.0391, 0.0418]","[0.0264, 0.0296]","[0.0436, 0.0488]","[0.0203, 0.0229]","[0.0555, 0.0594]","[0.016, 0.0213]","[0.0742, 0.1031]","[0.0162, 0.0243]","[0.0481, 0.0522]"
step-5,"[0.023, 0.0289]","[0.0446, 0.0489]","[0.0254, 0.0306]","[0.0416, 0.0444]","[0.0279, 0.0321]","[0.0486, 0.0537]","[0.019, 0.0214]","[0.0586, 0.0627]","[0.0165, 0.0223]","[0.1061, 0.1593]","[0.0167, 0.025]","[0.0503, 0.0548]"
