,LSTM Train MINMAX RMSE,LSTM Test MINMAX RMSE,ED LSTM Train MINMAX RMSE,ED LSTM Test MINMAX RMSE,BD LSTM Train MINMAX RMSE,BD LSTM Test MINMAX RMSE,CNN Train MINMAX RMSE,CNN Test MINMAX RMSE,Covn-LSTM Train MINMAX RMSE,Covn-LSTM Test MINMAX RMSE,Transformer Train MINMAX RMSE,Transformer Test MINMAX RMSE
step-1,"[0.0094, 0.0134]","[0.0573, 0.0676]","[0.0128, 0.0168]","[0.081, 0.107]","[0.0138, 0.0164]","[0.0748, 0.097]","[0.0152, 0.0175]","[0.418, 0.5116]","[0.0079, 0.0101]","[0.0664, 0.0859]","[0.0096, 0.0143]","[0.1401, 0.1662]"
step-2,"[0.0111, 0.0158]","[0.0718, 0.0857]","[0.0136, 0.0183]","[0.0996, 0.1246]","[0.0166, 0.0203]","[0.1252, 0.1788]","[0.0133, 0.0158]","[0.4109, 0.4996]","[0.0087, 0.0115]","[0.1177, 0.1768]","[0.0101, 0.0141]","[0.1516, 0.1732]"
step-3,"[0.0121, 0.0177]","[0.0863, 0.0978]","[0.014, 0.0184]","[0.0916, 0.1149]","[0.0183, 0.022]","[0.2072, 0.2953]","[0.0144, 0.0168]","[0.4365, 0.5255]","[0.0096, 0.0124]","[0.1059, 0.1502]","[0.0103, 0.0144]","[0.164, 0.1807]"
step-4,"[0.0134, 0.0188]","[0.0842, 0.0929]","[0.0146, 0.0194]","[0.0796, 0.0869]","[0.0205, 0.0236]","[0.2315, 0.3362]","[0.0157, 0.0185]","[0.4626, 0.5546]","[0.0102, 0.0133]","[0.1135, 0.1349]","[0.0113, 0.0164]","[0.1542, 0.18]"
step-5,"[0.0146, 0.0201]","[0.0875, 0.0963]","[0.0162, 0.0216]","[0.0844, 0.0917]","[0.0233, 0.0265]","[0.2259, 0.3261]","[0.0173, 0.0207]","[0.4675, 0.566]","[0.0115, 0.0153]","[0.1431, 0.2076]","[0.0114, 0.0167]","[0.1522, 0.1778]"
