,LSTM Train MAPE,LSTM Test MAPE,ED-LSTM Train MAPE,ED-LSTM Test MAPE,BD-LSTM Train MAPE,BD-LSTM Test MAPE,CNN Train MAPE,CNN Test MAPE,Conv-LSTM Train MAPE,Conv-LSTM Test MAPE,Transformer Train MAPE,Transformer Test MAPE
step-1,"[71.1495, 125.3609]","[13.7237, 17.759]","[87.354, 177.5595]","[23.5033, 42.9113]","[78.5877, 148.5062]","[12.1796, 23.7639]","[48.4968, 70.5129]","[43.1735, 48.3647]","[46.96, 77.2922]","[60.9274, 86.617]","[69.9909, 144.7148]","[26.5008, 29.1959]"
step-2,"[73.5721, 137.3216]","[16.9075, 21.7916]","[87.4993, 176.2802]","[26.9328, 46.0661]","[77.1272, 135.9908]","[21.1178, 41.6849]","[53.4303, 78.5348]","[54.9595, 62.9072]","[45.2569, 68.5102]","[47.6378, 60.8835]","[75.4457, 158.719]","[28.1715, 30.9641]"
step-3,"[77.3352, 150.5576]","[18.7994, 24.0048]","[87.3779, 178.0386]","[27.9435, 46.6445]","[103.8689, 171.8007]","[26.353, 47.8778]","[64.5482, 95.0648]","[36.92, 43.9397]","[43.6237, 67.6503]","[63.8801, 97.9861]","[57.403, 231.4084]","[28.2933, 30.7629]"
step-4,"[90.0539, 168.0963]","[19.2434, 24.0964]","[85.9906, 177.4809]","[28.799, 47.1363]","[114.115, 197.0249]","[31.1495, 60.9349]","[80.6851, 118.4512]","[27.3546, 33.562]","[45.4848, 93.414]","[91.4803, 154.6812]","[62.3175, 284.136]","[29.2086, 31.8409]"
step-5,"[92.0393, 167.0496]","[19.9392, 23.7325]","[86.9353, 178.533]","[29.4506, 47.5555]","[118.7917, 205.1261]","[37.5707, 79.5717]","[83.4045, 133.2062]","[28.2517, 34.3914]","[45.9016, 85.1696]","[109.1657, 183.372]","[74.9242, 199.9918]","[29.2451, 31.5631]"
