,LSTM Train MAPE,LSTM Test MAPE,ED-LSTM Train MAPE,ED-LSTM Test MAPE,BD-LSTM Train MAPE,BD-LSTM Test MAPE,CNN Train MAPE,CNN Test MAPE,Covn-LSTM Single Train MAPE,Covn-LSTM Test MAPE,Transformer Train MAPE,Transformer Test MAPE
step-1,"[10.278, 15.833]","[4.8016, 5.5793]","[10.1073, 15.3695]","[4.4431, 5.1697]","[11.8545, 19.9838]","[3.7574, 4.6475]","[11.7458, 15.7381]","[9.4997, 10.6952]","[7.0251, 9.6154]","[11.7574, 14.2351]","[14.2277, 24.742]","[8.9512, 10.0217]"
step-2,"[10.2299, 14.9598]","[5.9332, 6.8602]","[10.9479, 16.3239]","[5.5227, 6.1601]","[12.2502, 20.8327]","[4.9086, 5.7555]","[12.3209, 15.9513]","[10.3717, 11.5193]","[6.8778, 9.1808]","[10.6307, 12.2771]","[12.7715, 27.4906]","[9.8155, 11.5321]"
step-3,"[10.8624, 15.8207]","[7.0131, 8.0646]","[11.4892, 16.6527]","[6.3722, 7.0218]","[13.7595, 21.1281]","[6.013, 6.6243]","[11.3814, 14.8702]","[11.6071, 12.8574]","[7.648, 9.7496]","[13.3983, 15.394]","[13.3365, 21.536]","[10.5762, 11.6469]"
step-4,"[9.3756, 15.4245]","[7.7479, 8.7253]","[12.1632, 17.6116]","[7.098, 7.7688]","[14.3777, 21.127]","[6.8823, 7.5224]","[12.0493, 15.8533]","[12.1667, 13.4957]","[7.832, 9.9269]","[15.4514, 18.3678]","[16.1949, 23.2823]","[11.0379, 11.9061]"
step-5,"[9.9233, 13.8697]","[8.2672, 9.2328]","[12.6784, 17.9691]","[7.6803, 8.3669]","[16.809, 26.0111]","[7.7761, 8.4948]","[13.1646, 16.906]","[12.7586, 14.2702]","[8.219, 9.9487]","[18.3475, 23.0561]","[14.9598, 28.2582]","[11.7128, 12.9811]"
